Term	P-value	Genes
coreceptor activity (GO:0015026)	0.013960358989951571	CD28
hormone binding (GO:0042562)	0.016406528299616745	ALDH1A1
copper ion binding (GO:0005507)	0.018034416500668685	PRNP
Ras GTPase activator activity (GO:0005099)	0.02452289781104247	ALDH1A1
steroid binding (GO:0005496)	0.032581793001589116	ALDH1A1
microtubule binding (GO:0008017)	0.032581793001589116	PRNP
identical protein binding (GO:0042802)	0.04320737377981771	CD28,PRNP
tubulin binding (GO:0015631)	0.04773656694927403	PRNP
nucleotidyltransferase activity (GO:0016779)	0.04931990255504504	DNTT
GTPase activator activity (GO:0005096)	0.05011072378804453	ALDH1A1
protein tyrosine kinase activity (GO:0004713)	0.056417020225023984	KIT
small GTPase regulator activity (GO:0005083)	0.06034020381550718	ALDH1A1
receptor signaling protein activity (GO:0005057)	0.08511907098195501	KIT
enzyme activator activity (GO:0008047)	0.11678984701282272	ALDH1A1
lipid binding (GO:0008289)	0.12419041660820912	ALDH1A1
transferase activity (GO:0016740)	0.14537938846043086	KIT,DNTT
cytoskeletal protein binding (GO:0008092)	0.15897799811389465	PRNP
signal transducer activity (GO:0004871)	0.1989485537525881	KIT,CD28
protein kinase activity (GO:0004672)	0.22301963977507047	KIT
oxidoreductase activity (GO:0016491)	0.2466621990541716	ALDH1A1
enzyme regulator activity (GO:0030234)	0.27597267788263513	ALDH1A1
metal ion binding (GO:0046872)	0.28779073484239204	PRNP
kinase activity (GO:0016301)	0.29025756327791924	KIT
transcription factor activity (GO:0003700)	0.33575564671648606	MYCN
binding (GO:0005488)	0.41993401877361264	PRNP,HOXA9,MYCN,ALDH1A1,KIT,CD28
protein binding (GO:0005515)	0.4417122366119834	PRNP,KIT,CD28,HOXA9,MYCN
receptor activity (GO:0004872)	0.48109118246648325	CD28
DNA binding (GO:0003677)	0.5023652486470391	MYCN
transcription regulator activity (GO:0030528)	0.541410640775026	MYCN
nucleic acid binding (GO:0003676)	0.618247979374063	MYCN
molecular_function (GO:0003674)	1.0	PRNP,HOXA9,MYCN,DNTT,ALDH1A1,KIT,CD28
