Term	P-value	Genes
16140871-Table1	3.1264771510712358E-9	HOXA5,HOXA9,MYCN,KIT,ALDH1A1
18668134-SuppTable4	2.870119593773646E-7	HOXA5,HOXA9,PBX3
18565887-TableA14	4.836423113328804E-6	HOXA5,HOXA9
18668134-SuppTable6	1.4489723615242384E-5	HOXA5,HOXA9
18565887-TableA13	1.4489723615242384E-5	HOXA5,HOXA9
16230383-Table3	1.4489723615242384E-5	HOXA5,PBX3
12086872-Table12d	1.7986802389918354E-5	DNTT,HOXA9,PBX3
17760805-SuppTableS2b	1.8600564965465793E-5	KIT,ALDH1A1,HOXA9
14684422-TableS1	1.8763596452739415E-5	PBX3,DNTT,HOXA5,HOXA9
20032505-TableS3	1.9227984767399273E-5	DNTT,HOXA5,HOXA9
18668134-SuppTable7	2.509014238658563E-5	HOXA5,HOXA9
18668134-SuppTable8	2.9261970209461066E-5	HOXA9,PBX3
20032505-TableS8	3.1240732867351196E-5	DNTT,HOXA5,PBX3
20032505-TableS7	3.1240732867351196E-5	DNTT,HOXA5,PBX3
19549311-SuppTable5	3.856121583533719E-5	HOXA5,HOXA9
16014681-table2	4.4003569262644034E-5	MYCN,KIT,CD28
11108479-SuppTable2	5.845916130056924E-5	DNTT,HOXA9,KIT
15831697-TableS3	6.529824013660236E-5	HOXA5,HOXA9,PBX3
12764384-Table2	6.736852637949564E-5	HOXA5,HOXA9
16969345-Table2Benign	8.110835571648963E-5	ALDH1A1,PBX3
19755675-TableS6	8.472600455852753E-5	DNTT,HOXA5,HOXA9,PRNP
17429429-Table4	1.4867138376420915E-4	DNTT,PBX3
15695585-Table2	1.7918362813948186E-4	KIT,MYCN
20418243-SuppTable1b	2.242360960726183E-4	HOXA5,HOXA9
17597811-SuppTable3	2.3429686994116006E-4	PBX3,HOXA5,HOXA9
20032505-TableS4	2.3627735158042126E-4	DNTT,HOXA9
11983058-Table1	3.5858840655776306E-4	DNTT,HOXA9
20157477-TableS1	3.6754808589377157E-4	PBX3,HOXA5,HOXA9
16597596-TableS3-1	3.891621926724902E-4	HOXA9,PBX3
16813654-SuppFile2	3.9898691653393283E-4	KIT,HOXA5,HOXA9
16597596-TableS3-4	4.049099456100043E-4	HOXA9,PBX3
16597596-TableS2-1	4.209645178308947E-4	MYCN,PBX3
16520944-Table2	5.983160669383678E-4	KIT,PBX3
17676974-TableS1	7.742110682912637E-4	MYCN,KIT,CD28,ALDH1A1,PBX3
18410693-TableS6	8.284295253175701E-4	DNTT,HOXA9
15831697-TableS2	8.71953940658019E-4	PBX3,HOXA5,HOXA9
18160667-TableS4	8.975038146290402E-4	HOXA9,PBX3
18160665-TableS5	9.011646961517445E-4	PRNP,ALDH1A1,KIT,CD28,HOXA5,MYCN,DNTT,PBX3
19699293-TableS5	9.211270014965612E-4	DNTT,HOXA9
20038735-TableA2	9.450488838714533E-4	HOXA5,HOXA9
20038735-TableA3	9.93787497398331E-4	HOXA5,HOXA9
17174972-TableS1	0.0010161636752168332	KIT,CD28,PRNP
15256440-tableS1	0.0011208395638280864	MYCN,KIT
17638894-Table2	0.0011208395638280864	MYCN,KIT
11731795-SuppTable2	0.0011471398863667091	HOXA5,HOXA9
16670265-TableS1	0.0011471398863667091	HOXA9,PBX3
19429869-TableS1	0.0011747430549860433	PBX3,HOXA5,HOXA9
14993899-TableS1	0.0011932738743428701	MYCN,KIT,HOXA9
17597811-SuppTable2	0.0014618320911739238	PBX3,HOXA5,HOXA9
16863911-table1	0.0016079812439008972	DNTT,MYCN
17638894-Table1	0.0021792300078616158	MYCN,KIT
16501597-Table1a	0.0023566533738911153	HOXA9
15501955-Table2	0.0023566533738911153	MYCN
19204204-SupplementaryTable5	0.002469502157450599	KIT,HOXA5,PRNP,ALDH1A1,PBX3
17597811-SuppTable7	0.0028744202242667835	PBX3,HOXA5,HOXA9
18811983-Table2	0.0031689735061516885	MYCN,ALDH1A1
