Term	P-value	Genes
MP0002873_normal_phenotype_	5.0805635734888354E-6	MYCN,KIT,CD28,DNTT,PRNP,HS6ST2,SMPX,ALDH1A1,HOXA5
MP0002169_no_abnormal_phenotype_	6.0112453129426244E-5	MYCN,CD28,DNTT,PRNP,HS6ST2,SMPX,ALDH1A1,HOXA5
MP0002106_abnormal_muscle_physiology_	0.0012858068270410773	MYCN,PRNP,KIT
MP0002429_abnormal_blood_cell_	0.0015887397123413322	KIT,CD28,HOXA9,MYCN,DNTT,PRNP,MCPT1
MP0005671_abnormal_response_to_	0.0026439797505032905	KIT,CD28
MP0005025_abnormal_response_to_	0.003175415368762936	MCPT1,KIT,CD28,PRNP
MP0005369_muscle_phenotype_	0.0032243588287984445	MYCN,KIT,PRNP
MP0002114_abnormal_axial_skeleton_	0.004185988637651308	MYCN,HOXA5,HOXA9,PRNP
MP0002398_abnormal_bone_marrow_	0.00502888026264267	KIT,CD28,DNTT,PRNP,HOXA9
MP0001664_abnormal_digestion_	0.00532085977142101	KIT,HOXA5
MP0000477_abnormal_intestine_morphology_	0.005475222753970287	MYCN,KIT,HOXA5
MP0003115_abnormal_respiratory_system_	0.0060329214517527594	MYCN,HOXA5
MP0003698_abnormal_male_reproductive_	0.00744191809307208	CRISP1,KIT,HOXA9,PRNP
MP0000689_abnormal_spleen_morphology_	0.007520448520232669	KIT,CD28,HOXA9,PRNP
MP0002177_abnormal_outer_ear_	0.009741509677436883	HOXA5,KIT
MP0000470_abnormal_stomach_morphology_	0.010048191351958098	HOXA5,MYCN
MP0002932_abnormal_joint_morphology_	0.012314446196028889	HOXA5,MYCN
MP0005000_abnormal_immune_tolerance_	0.012425221280866669	KIT,CD28,DNTT
MP0002139_abnormal_hepatobiliary_system_	0.013529930428584346	ALDH1A1
MP0000716_abnormal_immune_system_	0.013866226971820945	KIT,CD28,DNTT,PRNP,MCPT1
MP0001943_abnormal_respiration_	0.015423373039229303	MYCN,ALDH1A1,PBX3
MP0002113_abnormal_skeleton_development_	0.0158011721981963	MYCN,HOXA5,HOXA9
MP0005423_abnormal_somatic_nervous_	0.01719047216301854	PBX3
MP0005171_absent_coat_pigmentation_	0.018407863669325935	KIT
MP0004147_increased_porphyrin_level_	0.01962386307589364	KIT
MP0002877_abnormal_melanocyte_morpholog_	0.01962386307589364	KIT
MP0005248_abnormal_Harderian_gland_	0.022051691425271018	ALDH1A1
MP0001188_hyperpigmentation_	0.022051691425271018	KIT
MP0003936_abnormal_reproductive_system_	0.022689947637510543	HOXA9,MYCN
