Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
TAF1,25,42,0.14619883040935672,0.009265387160820648,0.13693344324853607,8.052792542106268E-20,-1.9936057507197293,87.65023832150621,HMGB1;TBP;FOS;HSF1;GTF2A1;TAF9;TAF1;TAF4;TAF6;SUB1;RELA;CREB1;TAF7;TP53;RB1;GTF2B;TAF11;TAF10;MSX1;TAF12;UBTF;JUN;GTF2F1;MDM2;EDF1
CSNK2A1,52,521,0.30409356725146197,0.11493492168541805,0.18915864556604392,8.088407907996146E-11,-2.198916475528491,51.09843009315017,XRCC6;CTNNB1;PGR;MAPK1;NME1;JUN;MAPK9;NFKBIB;SPI1;HSF1;SPIB;MYC;TP53;FOSB;EEF1D;CREM;RELA;DDIT3;SMARCA2;STIP1;VDR;HNRNPK;TAF7;GTF2A1L;HDAC2;HDAC1;GTF2F1;GTF2F2;PAX3;GTF2A1;ESR1;HMGA1;NR3C1;NFATC1;CREB1;PIAS1;IKZF1;SUB1;CREBBP;NCOR2;NFKB1;UBTF;THRA;CBX5;BRCA1;FOS;MCM2;MDM2;SIRT1;SP1;IRF1;IRF2
MAPK1,37,312,0.21637426900584794,0.06882859033752482,0.14754567866832313,1.2681444905148904E-9,-2.1755993847640602,44.568700326187056,STAT5A;STAT5B;PGR;RARA;RXRA;LIFR;MAPK1;JUN;MAPK8;CREBBP;SMAD4;SMAD3;ETS1;PARP1;HSF1;MYC;AR;TP53;POLR2A;BCL6;UBTF;GSK3B;NR5A1;RELA;DDIT3;EP300;JUND;TAF6;E2F1;FOS;ESR1;RB1;NCOA1;NCOA3;NCOA6;NR3C1;SP1
GSK3B,53,600,0.30994152046783624,0.13236267372600927,0.17757884674182697,3.3515238231127775E-9,-2.09305691552404,40.843600202105556,REST;CTNNB1;RXRA;LIFR;JUN;MAPK8;HSF1;SPIB;MYC;AR;TP53;NACA;CREM;BRD2;GSK3B;NR5A1;RELA;DDIT3;NFE2L2;JUND;TAF6;GTF2F1;E2F1;FOSL2;PAX3;KDM5A;ESR1;RB1;HMGA1;NCOA1;NCOA3;NR3C1;NFATC3;CEBPE;CREB1;STAT5B;SIN3A;RARA;KLF5;SMAD4;ETS1;NCOR2;NFKB1;SNAPC4;POLR2A;SQSTM1;BCL3;UBTF;BRCA1;MCM2;MDM2;SIRT1;ATXN7
MAPK3,31,251,0.18128654970760233,0.05537171850871388,0.12591483119888847,1.5063375882132753E-8,-2.0552703703452186,37.01747356648097,STAT5A;PGR;RXRA;LIFR;JUN;MAPK3;MAPK8;SMAD4;PTPN11;ETS1;HSF1;SPIB;MYC;AR;TP53;POLR2A;BCL3;BCL6;ETV6;UBTF;GSK3B;NR5A1;HNRNPK;JUND;FOS;KDM5A;ESR1;NCOA1;NR3C1;NFATC1;SP1
MAPK8,32,275,0.1871345029239766,0.06066622545775425,0.12646827746622236,3.1297988035775075E-8,-2.018304650199226,34.875723127043514,XRCC6;STAT5B;REST;CTNNB1;RARA;RXRA;MAPK1;JUN;MAPK3;SMAD4;SMAD3;COPS2;HSF1;SPIB;MYC;AR;CTBP1;TP53;JDP2;HNRNPK;JUND;TRAF6;ESR1;NCOA3;PRKDC;NR3C1;REL;NFATC1;CEBPE;SIRT1;SP1;ATXN7
CDK7,13,31,0.07602339181286549,0.006838738142510479,0.06918465367035502,2.389504493178211E-9,-1.6700693184419486,33.15451641744572,E2F1;THRA;POLR2A;VDR;POU2F1;RARA;AR;ESR1;TP53;MCM2;BRCA1;MNAT1;NR5A1
MAPK14,40,461,0.23391812865497075,0.10169865431281712,0.13221947434215364,8.079073949790555E-7,-2.1368430745020452,29.977383431161638,MAPK1;HNF4A;JUN;DHX9;HSF1;SPIB;MYC;AR;TP53;TCEA1;BRD2;NR5A1;JDP2;RELA;DDIT3;JUND;TRAF6;TAF6;GTF2F1;E2F1;KDM5A;ESR1;RB1;NCOA1;NCOA3;NR3C1;NFATC1;CREB1;SIN3A;RARA;SMAD3;EPRS;ETS1;SNAPC4;POLR2A;SQSTM1;ETV6;UBTF;FOS;SIRT1
PRKDC,24,227,0.14035087719298245,0.050077211559673505,0.09027366563330894,9.55141464128854E-6,-1.7703046755341763,20.462635363550465,XRCC5;XRCC6;JUN;MAPK8;PARP1;NFKB1;HSF1;TP53;POLR2A;THRA;HOXC4;RELA;NFE2L2;HMGB1;HMGB2;BRCA1;E2F1;HMGA1;NCOA6;MDM2;PRKDC;NR3C1;POU2F1;SP1
CSNK2A2,26,267,0.15204678362573099,0.05890138980807412,0.09314539381765687,1.5240464949299639E-5,-1.8157047476626273,20.13899179544981,XRCC5;CTNNB1;PGR;SIN3A;JUN;MAPK3;CREBBP;HSF1;SPIB;MYC;TP53;NACA;CREM;THRA;RELA;DDIT3;VDR;GTF2A1L;HDAC2;HDAC1;FOS;GTF2A1;ESR1;MCM2;HMGA1;SP1
