TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
NFATC3,6,1801,0.42857142857142855,0.08649089948614513,0.3420805290852834,6.872516516848066E-4,-2.1909231520840775,15.956077101692879,KIT;CD28;SMPX;HOXA5;CAR1;ALDH1A1
SOX2,4,1797,0.2857142857142857,0.08629880420688661,0.19941548150739907,0.027535763799670824,-3.4526171576536853,12.402731716034092,KIT;CRISP1;MCPT1;PBX3
JUND,5,1764,0.35714285714285715,0.08471401815300389,0.27242883898985326,0.004573719580447203,-2.211894164988848,11.916421646972069,CRISP1;CAR1;DNTT;PRNP;ALDH1A1
POU2F2,4,1754,0.2857142857142857,0.0842337799548576,0.2014805057594281,0.02542958988005454,-2.0203951302512198,7.418571346494436,KIT;CD28;ALDH1A1;MCPT1
NR2F1,3,1021,0.21428571428571427,0.049032320030735245,0.16525339425497904,0.028690111502540635,-1.675100876545526,5.948622860315455,CAR1;DNTT;SMPX
RORB,3,1020,0.21428571428571427,0.04898429621092062,0.16530141807479365,0.028617500840056535,-1.6716270499348265,5.94052261474336,CAR1;DNTT;SMPX
IRF8,4,1770,0.2857142857142857,0.08500216107189165,0.20071212464239405,0.026200992190698782,-1.573628732685707,5.731089750552422,HOXA9;MYCN;CAR1;DNTT
TBP,4,3182,0.2857142857142857,0.15281179465014647,0.13290249106413923,0.15425100969227956,-3.0518877258757975,5.704509402982166,CRISP1;ALDH1A1;CD28;CAR1
POU2F1,3,1735,0.21428571428571427,0.08332132737837968,0.13096438690733458,0.10550173904971258,-2.150964934281379,4.837580025049264,CD28;ALDH1A1;MCPT1
TEAD2,4,1591,0.2857142857142857,0.07640589732507323,0.20930838838921245,0.0183808392602721,-1.1973745670493683,4.785243399461823,HS6ST2;HOXA9;MYCN;PBX3
HNF4A,2,461,0.14285714285714285,0.022138980934543532,0.12071816192259932,0.037580601202647106,-1.3356468168738147,4.3826142074383325,CAR1;HS6ST2
ESRRB,1,65,0.07142857142857142,0.003121548287950824,0.0683070231406206,0.043455967207794904,-1.3872175230370967,4.350324003782189,MYCN
FOXA2,3,1441,0.21428571428571427,0.06920232435287903,0.14508338993283526,0.06805604490733937,-1.5639628109183852,4.203030760655826,CAR1;CD28;HOXA5
HAND1::TCFE2A,1,110,0.07142857142857142,0.005282620179609086,0.06614595124896233,0.07207245412541731,-1.5233724563505318,4.006596546483031,PBX3
CBEPB,4,3275,0.2857142857142857,0.15727800989290688,0.12843627582137881,0.16661520261809326,-2.215882801579976,3.971013327892773,CD28;HOXA5;HOXA9;DNTT
SRF,2,1782,0.14285714285714285,0.08557844690966719,0.05727869594747566,0.33997495182829657,-2.9101694163095924,3.139733285804086,CD28;CRISP1
ARNT::AHR,1,207,0.07142857142857142,0.009940930701628008,0.06148764072694342,0.1310742933958684,-1.3389222771647569,2.7206780053519375,HOXA5
IRF2,2,1706,0.14285714285714285,0.08192863660375546,0.06092850625338739,0.3205089083638315,-1.8946606217559838,2.1558305088737963,CD28;DNTT
CPEB1,2,1748,0.14285714285714285,0.08394563703596984,0.05891150582117301,0.3312767536577891,-1.7610049557695762,1.9455602812424047,CAR1;PRNP
NFYB,2,1748,0.14285714285714285,0.08394563703596984,0.05891150582117301,0.3312767536577891,-1.7544545664139646,1.9383234036202281,CAR1;PRNP
CBEPA,2,1764,0.14285714285714285,0.08471401815300389,0.05814312470413896,0.33537235320699016,-1.6718004930047725,1.8264652136206847,CD28;HOXA9
