Term	P-value	Genes
chr7p15	0.003078367452441647	HOXA3,HOXA5,HOXA7,HOXA9,DFNA5
chr1q25	0.019276082978285515	RNASEL,RGL1,SOAT1,TNFSF4
chr2q24	0.0218543457918742	RPRM,RBMS1,CD302
chr3q21	0.028018926476777502	RBP1,PLXND1,MYLK,SLC41A3
chr17p	0.03091113124147688	KIF1C
chr5q31	0.05350576572652118	PDGFRB,TGFBI,ITK,PURA,ADRB2
chr4q31	0.05544142080279378	LRBA,GALNT7,SH3D19
chr6p21	0.05564721590662816	HFE,PACSIN1,FGD2,LEMD2,CRISP1,MDFI,PLA2G7,RUNX2,RHAG
chr9q32	0.058378039026094945	TLR4,RGS3
chr8q22	0.05915072434572336	PGCP,LAPTM4B,ANGPT1
chr14q31	0.06255956985525239	GALC,EML5
chr16q13	0.06901494068562355	CCL22,LAT
chr1p33	0.06901494068562355	ELTD1,MKNK1
chr7q21	0.07232553829222843	GNAI1,ABCB4,CDK6
chr2p21	0.07343470158469072	LPIN1,PRKD3
chr3q13	0.07510542927195994	GCET2,B4GALT4,IFT57
chr12q11	0.07550216023579942	ABCD2
chr15q21	0.08080483471526861	MNS1,HDC,TRPM7
chr3p11	0.08273268172661329	EPHA3
chr15q	0.08273268172661329	PEX11A
chr2q12	0.0943633332770781	IL1RL1,IL1RL2
chr18q21	0.09583494162543924	PMAIP1,RAB27B,PIGN
chr1q23	0.11025647917285973	UHMK1,FCER1A,FCGR2B
chr4q11	0.11109579651781547	KIT
chr2p24	0.11166711945978686	MYCN,FKBP1B
chr6p25	0.11166711945978686	NEDD9,IRF4
chr7q32	0.12709509851390474	HIPK2,TSPAN33
chr5p13	0.134988023375983	PTGER4,NIPBL
chr9q33	0.15380290202156938	GGTA1,PBX3
chr11q23	0.15975856794258092	HYOU1,ETS1,OAF
chr11q13	0.16408068225431266	FGF3,STARD10,KCNE3,P2RY6,OTUB1
chr20q11	0.16922249312073687	PROCR,LBP,SLA2
chr4q34	0.1846693771983537	CASP3
chr2p25	0.18990441199812544	FAM110C,ID2
chr3q28	0.19104919344506638	B3GNT5
chr3p25	0.1983957794076557	CAMK1,ABHD5
chr15q15	0.1983957794076557	MYEF2,SORD
chr8q21	0.2012365437573724	PAG1,FABP4
chr6p23	0.2036600252239414	GMPR
chr17q23	0.20408204263542415	MSI2,PECAM1
chr2p15	0.20989181003053803	EHBP1
chr7p12	0.21607501536920576	ERV3
chr5q34	0.23433691215396293	HAVCR2
chr9p13	0.24139693954853078	SPINK4,ALDH1B1
chr12q13	0.24864879222162717	KRT18,ITGB7,SUOX,AVIL
chr10q24	0.2703110706166399	CEP55,PAPSS2
chrxq22	0.2732039094914693	TSC22D3,RNF128
chr12q15	0.27531676171659647	HMGA2
chrxq25	0.27531676171659647	GRIA3
chr8q23	0.28098985921715064	ENY2
chr17q22	0.28098985921715064	HLF
chr1q43	0.28098985921715064	HEATR1
chr12q22	0.29220367681885995	METAP2
chr8p22	0.3086985747204318	MSR1
chr4q22	0.3141113321334481	SLC39A8
chr15q23	0.3141113321334481	GLCE
chr2q33	0.3221827102944784	CD28,IGFBP5
