Term	P-value	Genes
regulation of lymphocyte activation (GO:0051249)	0.0025540593201130676	SLA2,CD27,CD28,IL6,LAT,IRF4
regulation of protein transport (GO:0051223)	0.00427379455057987	UHMK1,CD27,MDFI,IL6,TNFSF4,TGFBR1
signal transduction (GO:0007165)	0.004382377012977229	MKNK1,GNA14,SLA2,NRGN,CD7,CD36,CAMK1,PTPLAD1,IL1RL1,IL1RL2,KIT,CD27,CD28,GRIA3,FCGR2B,FGFR1,NEDD9,NRIP1,PECAM1,PTPRF,NPHP1,TGFBR1,GNAZ,SRPK2,FFAR2,CCL22,LAT,LBP,FLT3,PDGFRB,MED1,PAG1,ARHGAP5,HIPK2,USP9X,FGF3,IL6,P2RY6,PTGER4,TNFSF4,TNFSF9,PEX11A,EPHA3,PRKACB,PRKD3,IGFBP5,CLNK,ANGPT1,PITPNC1,STK25,HOMER2,TLR4,CALCRL
protein amino acid phosphorylation (GO:0006468)	0.005055896261220843	PDGFRB,CAMK1,PTPLAD1,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,RNASEL,PRKACB,FGFR1,MYLK,PRKCB,PRKD3
regulation of establishment of protein localization (GO:0070201)	0.005576440900697762	UHMK1,CD27,MDFI,IL6,TNFSF4,TGFBR1
regulation of immune response (GO:0050776)	0.006426388449169315	PVR,LBP,SLA2,CD28,IL6,TNFSF4,IRF4
regulation of protein localization (GO:0032880)	0.006728533454794609	UHMK1,CD27,MDFI,IL6,TNFSF4,TGFBR1
adaptive immune response (GO:0002250)	0.007248192183319462	SLA2,TLR4,CD27
cell structure disassembly during apoptosis (GO:0006921)	0.007248192183319462	GZMB,PMAIP1,CASP3
phosphorylation (GO:0016310)	0.007280368081471137	PDGFRB,CAMK1,PTPLAD1,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,RNASEL,PRKACB,FGFR1,MYLK,PRKCB,PRKD3
regulation of nucleocytoplasmic transport (GO:0046822)	0.00847328850445598	UHMK1,CD27,MDFI,TGFBR1
positive regulation of metabolic process (GO:0009893)	0.008550484201193798	MEF2C,ARF6,TGFBR1,ABHD5,SOAT1,IL6,LBP,ETS1,ENY2,MED1,SEC14L2,CD28,TLR4,SOX4,NRIP1,HIPK2,IRF4,SH3D19
regulation of cell differentiation (GO:0045595)	0.00914503447584509	TLR4,SERPINF1,HOXA7,ETS1,MSR1,CDK6,CD27,IL6,IRF4
regulation of gene expression (GO:0010468)	0.009521024151012292	MEF2C,MYCN,IL6,ATRX,PAWR,SLA2,TNFSF4,ID2,KLF7,ETS1,ZEB2,CD28,NRIP1,IRF4,IGFBP5,TGFBR1,CDK6,HMGA2,TSC22D3,H2AFY2,TULP4,ENY2,MED1,SEC14L2,LANCL2,SOX4,HOXA7,RUNX2,EIF4G1,HIPK2,GRLF1
response to molecule of bacterial origin (GO:0002237)	0.010991927731583603	IL6,TLR4,LBP
positive regulation of MAPKKK cascade (GO:0043410)	0.012445201554869985	IL6,ADRB2,HIPK2
T cell activation (GO:0042110)	0.013047150209512026	CD28,CD7,SLA2,IRF4
phosphate metabolic process (GO:0006796)	0.013707908113167477	TGFBR1,SRPK2,MKNK1,SNRK,DUSP3,RNASEL,PDGFRB,CAMK1,PTPLAD1,UHMK1,PRKACB,FGFR1,PTPN2,MYLK,PRKCB,PRKD3
negative regulation of transcription (GO:0016481)	0.014199522331454637	MEF2C,ZEB2,LANCL2,HOXA7,RUNX2,PAWR,SLA2,NRIP1,TNFSF4,ID2,GRLF1
cell activation (GO:0001775)	0.014901383245129598	TLR4,LBP,SLA2,CD7,CD28,IL6,IRF4
leukocyte activation (GO:0045321)	0.01831708321209372	TLR4,LBP,SLA2,CD28,CD7,IRF4
regulation of transcription (GO:0045449)	0.019527550739089582	MEF2C,MYCN,IL6,ATRX,PAWR,SLA2,TNFSF4,ID2,KLF7,ETS1,ZEB2,NRIP1,IRF4,TGFBR1,HMGA2,TSC22D3,TULP4,ENY2,MED1,SEC14L2,LANCL2,SOX4,HOXA7,RUNX2,HIPK2,GRLF1
positive regulation of immune system process (GO:0002684)	0.021866339643169985	PVR,LBP,SLA2,CD27,CD28,IL6
regulation of erythrocyte differentiation (GO:0045646)	0.022053281716819566	ETS1,CDK6
regulation of T cell activation (GO:0050863)	0.023175102150152553	CD28,IL6,LAT,IRF4
regulation of myeloid cell differentiation (GO:0045637)	0.023175102150152553	MSR1,TLR4,CDK6,ETS1
positive regulation of gene expression (GO:0010628)	0.025996487413908007	MEF2C,TGFBR1,ETS1,ENY2,MED1,SEC14L2,IL6,SOX4,NRIP1,HIPK2,IRF4
cellular iron ion homeostasis (GO:0006879)	0.026096572760802867	TFRC,HFE
fructose metabolic process (GO:0006000)	0.026096572760802867	SORD,ALDOC
nucleotide-sugar metabolic process (GO:0009225)	0.026096572760802867	CSGALNACT1,SLC35A3
defense response to Gram-positive bacterium (GO:0050830)	0.026096572760802867	IL6,LBP
positive regulation of inflammatory response (GO:0050729)	0.026096572760802867	IL6,LBP
cell communication (GO:0007154)	0.027836391984967655	MKNK1,GNA14,SLA2,NRGN,CD7,CD36,CAMK1,PTPLAD1,IL1RL1,IL1RL2,KIT,CD27,CD28,GRIA3,FCGR2B,FGFR1,NEDD9,NRIP1,PECAM1,PTPRF,NPHP1,TGFBR1,GNAZ,SRPK2,FFAR2,CCL22,LAT,LBP,FLT3,PDGFRB,MED1,PAG1,ARHGAP5,HIPK2,USP9X,FGF3,IL6,P2RY6,PTGER4,TNFSF4,TNFSF9,PEX11A,EPHA3,PRKACB,PRKD3,IGFBP5,CLNK,ANGPT1,PITPNC1,STK25,HOMER2,TLR4,CALCRL
regulation of MAPKKK cascade (GO:0043408)	0.027927765739329626	ADRB2,HIPK2,PTPLAD1,IL6
positive regulation of cell motion (GO:0051272)	0.027927765739329626	IL6,TGFBR1,ETS1,PDGFRB
cell surface receptor linked signal transduction (GO:0007166)	0.02937195570777471	PTPRF,TGFBR1,GNAZ,FGF3,FFAR2,IL6,P2RY6,LAT,LBP,PTGER4,SLA2,CD7,FLT3,HOMER2,CD27,CD28,GRIA3,PRKACB,FGFR1,NEDD9,CALCRL,PRKD3,USP9X
positive regulation of cell differentiation (GO:0045597)	0.029399044151789074	MSR1,SERPINF1,CD27,IL6,ETS1
lipid transport (GO:0006869)	0.029631668955266165	MSR1,CD36,ABCD3,SOAT1
defense response to bacterium (GO:0042742)	0.0303157975088977	TLR4,LBP,IL6
iron ion homeostasis (GO:0055072)	0.03041403053189115	TFRC,HFE
positive regulation of translation (GO:0045727)	0.03041403053189115	IL6,CD28
regulation of interleukin-2 biosynthetic process (GO:0045076)	0.03041403053189115	IRF4,CD28
regulation of inflammatory response (GO:0050727)	0.03283720728709341	LBP,IL6,CMA1
regulation of cell-matrix adhesion (GO:0001952)	0.03981814033367815	CD36,CDK6
response to lipopolysaccharide (GO:0032496)	0.04487923568135739	TLR4,LBP
positive regulation of anti-apoptosis (GO:0045768)	0.04487923568135739	IL6,CD28
positive regulation of cellular protein metabolic process (GO:0032270)	0.04654014297013941	ARF6,TGFBR1,CD28,SOAT1,IL6,SH3D19
positive regulation of transcription (GO:0045941)	0.046751091931120745	TGFBR1,ETS1,ENY2,MED1,SEC14L2,IL6,SOX4,NRIP1,HIPK2,IRF4
regulation of interleukin-6 production (GO:0032675)	0.050163359427937905	IL6,LBP
positive regulation of protein metabolic process (GO:0051247)	0.05295944044190358	ARF6,TGFBR1,CD28,SOAT1,IL6,SH3D19
response to bacterium (GO:0009617)	0.05340659240145211	TLR4,LBP,IL6
regulation of cell proliferation (GO:0042127)	0.05409807657187613	TGFBR1,IL6,SESN1,PAWR,CDK6,NDN,TNFSF4,FLT3,PDGFRB,COL18A1,ETS1,CD28,SOX4,IGFBP5
detection of biotic stimulus (GO:0009595)	0.05565877392952228	TLR4,LBP
hemopoiesis (GO:0030097)	0.05565877392952228	FLT3,AHSP
glutamate signaling pathway (GO:0007215)	0.05565877392952228	GRIA3,HOMER2
receptor-mediated endocytosis (GO:0006898)	0.05674939845615656	MSR1,HFE,ADRB2
nervous system development (GO:0007399)	0.057669080924341885	MEF2C,ENC1,OLFM1,ZEB2,NRGN,GPM6B,AVIL,CSGALNACT1
regulation of translation (GO:0006417)	0.05987967198097119	EIF4G1,CD28,IL6,IGFBP5
regulation of cell motion (GO:0051270)	0.060719087522202946	PDGFRB,IL6,TGFBR1,ETS1,IGFBP5
positive regulation of T cell proliferation (GO:0042102)	0.061354136487228796	IL6,CD28
regulation of anti-apoptosis (GO:0045767)	0.06723848799560073	IL6,CD28
positive regulation of cell proliferation (GO:0008284)	0.06797127719713822	PDGFRB,TGFBR1,CD28,IL6,SOX4,CDK6,TNFSF4,FLT3
negative regulation of cell proliferation (GO:0008285)	0.06953019857422887	COL18A1,ETS1,IL6,SESN1,PAWR,CDK6,NDN,IGFBP5
cell death (GO:0008219)	0.07126709095508303	PMAIP1,SGPL1,RRAGA,GZMB,IL6,TNFSF9
cell motility (GO:0048870)	0.07184671385061467	PDGFRB,TGFBR1,ETS1,SORD,IL6
positive regulation of transcription, DNA-dependent (GO:0045893)	0.07271375658922595	ETS1,ENY2,MED1,SEC14L2,IL6,SOX4,NRIP1,HIPK2
positive regulation of intracellular transport (GO:0032388)	0.07330124186843394	TGFBR1,CD27
regulation of cytokine production (GO:0001817)	0.07659157180209376	TLR4,LBP,CD28,IL6,IRF4
negative regulation of gene-specific transcription (GO:0032582)	0.07953217328222581	MEF2C,TNFSF4
positive regulation of innate immune response (GO:0045089)	0.07953217328222581	PVR,LBP
protein deubiquitination (GO:0016579)	0.07953217328222581	ENY2,USP9X
immune response (GO:0006955)	0.082173658240118	CLNK,CCL22,IL6,LAT,LBP,PTGER4,SLA2,CD7,CRISP3,ETS1,CD27,CD28,FCGR2B,TLR4
endocytosis (GO:0006897)	0.0824478243979077	MSR1,ITSN1,ADRB2,HFE
regulation of cytokine biosynthetic process (GO:0042035)	0.08278157917005848	TLR4,CD28,IRF4
protein modification process (GO:0006464)	0.08562790215351222	TGFBR1,SRPK2,MKNK1,SNRK,DUSP3,RNASEL,GALNT7,TSPAN17,CAMK1,PDGFRB,PTPLAD1,UHMK1,ENY2,PRKACB,FGFR1,B3GNT5,PTPN2,MYLK,METAP2,PRKCB,PRKD3,USP9X
amino sugar metabolic process (GO:0006040)	0.08592140868433361	SLC35A3,CSGALNACT1
embryonic development (GO:0009790)	0.08592140868433361	MDFI,TGFBR1
positive regulation of mononuclear cell proliferation (GO:0032946)	0.08592140868433361	IL6,CD28
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	0.08657773776596825	MEF2C,HOXA7,PAWR,SLA2,NRIP1
membrane lipid metabolic process (GO:0006643)	0.08685635477874698	B3GNT5,B4GALT4,SGPL1
enzyme linked receptor protein signaling pathway (GO:0007167)	0.08713033692740156	PTPRF,FGFR1,TGFBR1,FGF3,USP9X,CD7,FLT3
regulation of transcription, DNA-dependent (GO:0006355)	0.08858856968852381	MEF2C,MYCN,IL6,ATRX,PAWR,SLA2,HMGA2,TSC22D3,TNFSF4,KLF7,TULP4,ETS1,ENY2,MED1,SEC14L2,SOX4,HOXA7,NRIP1,HIPK2
apoptosis (GO:0006915)	0.08917645252448554	PMAIP1,SGPL1,GZMB,IL6,TNFSF9
regulation of gene-specific transcription (GO:0032583)	0.09185218306204168	MEF2C,IL6,TNFSF4,ETS1
I-kappaB kinase/NF-kappaB cascade (GO:0007249)	0.09245941559468525	PTPLAD1,TLR4
intracellular signaling cascade (GO:0007242)	0.09434318978054043	CLNK,SRPK2,MKNK1,P2RY6,LAT,PTGER4,SLA2,CD36,PTPLAD1,MED1,TLR4,PRKACB,PAG1,FGFR1,ARHGAP5,CALCRL,NRIP1,HIPK2
second-messenger-mediated signaling (GO:0019932)	0.09512961737215364	PRKACB,CD36,P2RY6,LAT,CALCRL,PTGER4
activation of protein kinase activity (GO:0032147)	0.09525465678825756	TGFBR1,ADRB2,PRKD3
protein kinase cascade (GO:0007243)	0.09748919835399301	TLR4,PRKACB,FGFR1,PTPLAD1,SRPK2,MKNK1
cell adhesion (GO:0007155)	0.09756112264436032	POSTN,PTPRF,CD36,ARF6,NPHP1,PKP2,PLXNC1,NEDD9,ITGB7,EMR1,ARHGAP5
positive regulation of cell adhesion (GO:0045785)	0.09913699266811926	CDK6,CD36
integrin-mediated signaling pathway (GO:0007229)	0.09913699266811926	NEDD9,LAT
multicellular organismal development (GO:0007275)	0.09950515788861505	ENC1,SERPINF1,HOXA9,HLF,HLX,HMGA2,ID2
negative regulation of apoptosis (GO:0043066)	0.09950515788861505	MEF2C,KRT18,SOX4,TGFBR1,CASP3,CD27,IL6
programmed cell death (GO:0012501)	0.09997224139479774	PMAIP1,SGPL1,GZMB,IL6,TNFSF9
negative regulation of programmed cell death (GO:0043069)	0.10383516661110928	MEF2C,KRT18,SOX4,TGFBR1,CASP3,CD27,IL6
positive regulation of immune response (GO:0050778)	0.10397176150049839	PVR,LBP,SLA2
lipid catabolic process (GO:0016042)	0.10397176150049839	SGPL1,HSD17B11,HACL1
cyclic-nucleotide-mediated signaling (GO:0019935)	0.10860344006752341	PRKACB,CALCRL,PTGER4,CD36
cell recognition (GO:0008037)	0.11287564988306112	CSGALNACT1,PECAM1
fibroblast growth factor receptor signaling pathway (GO:0008543)	0.11287564988306112	FGFR1,FGF3
regulation of RNA metabolic process (GO:0051252)	0.1144931106067725	MEF2C,MYCN,IL6,ATRX,PAWR,SLA2,HMGA2,TSC22D3,TNFSF4,KLF7,TULP4,ETS1,ENY2,MED1,SEC14L2,SOX4,HOXA7,NRIP1,HIPK2
regulation of innate immune response (GO:0045088)	0.11991989729999378	PVR,LBP
regulation of signal transduction (GO:0009966)	0.12595622473056867	PTPLAD1,ARF6,TGFBR1,ECM1,RGS3,IL6,LBP,SLA2,ADRB2,HIPK2,IGFBP5
negative regulation of cell differentiation (GO:0045596)	0.1270547366161605	TLR4,CDK6,HOXA7
detection of chemical stimulus (GO:0009593)	0.12707003137681053	TLR4,LBP
cell chemotaxis (GO:0060326)	0.13431836651057436	IL6,PDGFRB
myeloid cell differentiation (GO:0030099)	0.13431836651057436	SOAT1,SNRK
negative regulation of transcription, DNA-dependent (GO:0045892)	0.13651239301476947	MEF2C,HOXA7,PAWR,SLA2,NRIP1,TNFSF4
intracellular receptor-mediated signaling pathway (GO:0030522)	0.13676122191478363	SLA2,NRIP1,MED1
cellular defense response (GO:0006968)	0.13676122191478363	LBP,ITK,IL1RL2
positive regulation of protein secretion (GO:0050714)	0.14165749399029537	IL6,TNFSF4
regulation of ossification (GO:0030278)	0.14165749399029537	IL6,CDK6
defense response (GO:0006952)	0.14563428164480904	CRISP3,IL1RL2,PLA2G7,CCL22,IL6,TLR4,DARC,ITK,TPSAB1,LBP
extracellular matrix organization (GO:0030198)	0.14908027375439883	TGFBR1,CSGALNACT1
regulation of JNK cascade (GO:0046328)	0.14908027375439883	PTPLAD1,HIPK2
cholesterol transport (GO:0030301)	0.14908027375439883	MSR1,SOAT1
negative regulation of transcription factor activity (GO:0043433)	0.14908027375439883	TNFSF4,ID2
monosaccharide metabolic process (GO:0005996)	0.1497773004003585	SLC35A3,SORD,ALDOC,CSGALNACT1
regulation of cell adhesion (GO:0030155)	0.1568947259012266	TGFBI,CDK6,CD36
transforming growth factor beta receptor signaling pathway (GO:0007179)	0.16414952553414824	USP9X,TGFBR1
positive regulation of T cell activation (GO:0050870)	0.16414952553414824	CD28,IL6
regulation of G-protein coupled receptor protein signaling pathway (GO:0008277)	0.16414952553414824	ADRB2,RGS3
negative regulation of DNA binding (GO:0043392)	0.17178298992401414	TNFSF4,ID2
pattern specification process (GO:0007389)	0.17178298992401414	TGFBR1,PBX3
regulation of gene expression, epigenetic (GO:0040029)	0.17947407642211327	ATRX,H2AFY2
