Term	P-value	Genes
plasma membrane (GO:0005886)	1.5096078928891586E-4	ARF6,PKP2,LASP1,CLEC10A,GNA14,PAWR,CASP3,SLA2,CD7,CD36,KIT,CD28,GRIA3,FCGR2B,ATP6V0A1,FGFR1,PLXNC1,LAIR1,PRKCB,PECAM1,GNAI1,HFE,GNAZ,ITM2A,SLC2A3,LAT,PVR,LANCL2,TLR4,PAG1,DARC,RHAG,SH3D19
membrane (GO:0016020)	0.0013376898681754866	ARF6,PKP2,LASP1,CLEC10A,GNA14,PAWR,CASP3,SLA2,CD7,CD36,KIT,CD28,GRIA3,FCGR2B,ATP6V0A1,FGFR1,PLXNC1,LAIR1,PRKCB,PECAM1,GNAI1,HFE,NPHP1,GNAZ,ITM2A,SOAT1,SLC2A3,LAT,PVR,LEMD2,LANCL2,ABCD3,TLR4,PAG1,DARC,PIGN,HIPK2,RHAG,SH3D19
ATP-binding cassette (ABC) transporter complex (GO:0043190)	0.020264765186917853	ABCD2,ABCB10
heterochromatin (GO:0000792)	0.020264765186917853	ATRX,H2AFY2
heterotrimeric G-protein complex (GO:0005834)	0.020264765186917853	GNA14,GNAI1
platelet alpha granule membrane (GO:0031092)	0.02399506974463564	CD36,PECAM1
integral to peroxisomal membrane (GO:0005779)	0.02399506974463564	PEX11A,ABCD3
extrinsic to membrane (GO:0019898)	0.02483298073657681	GNA14,GNAI1,PRNP
peroxisome (GO:0005777)	0.02719198648661026	HACL1,ABCD2,ABCD3,PEX11A
receptor complex (GO:0043235)	0.04313050045394747	TLR4,ADRB2,ITGB7,IL6,TGFBR1
nuclear chromatin (GO:0000790)	0.04626585728666717	ATRX,H2AFY2
secretory granule membrane (GO:0030667)	0.05136550969735547	CD36,PECAM1
extrinsic to plasma membrane (GO:0019897)	0.05665584616188745	GNA14,GNAI1
ruffle (GO:0001726)	0.06776959313731863	ARF6,CDK6
chromatin (GO:0000785)	0.0708830906127207	MYCN,ATRX,H2AFY2
integral to membrane (GO:0016021)	0.07159598891197305	PKP2,TFRC,P2RY6,ABCB4,PTGER4,CD7,TNFSF4,PEX11A,SGPL1,CD36,IL1RL2,EPHA3,ANPEP,CD27,CD28,ELTD1,FGFR1,EMR1,CSGALNACT1,PTPRF,HFE,PROCR,MSR1,SLMAP,FFAR2,B4GALT4,LAT,NKG7,ADRB2,FLT3,PVR,ABCD2,ABCD3,ADCY9,BAMBI,TLR4,CALCRL,RHAG
integral to plasma membrane (GO:0005887)	0.07392973310100301	TFRC,P2RY6,ABCB4,TNFSF4,CD36,IL1RL2,EPHA3,ANPEP,CD27,CD28,FGFR1,EMR1,PTPRF,HFE,PROCR,MSR1,SLMAP,FFAR2,NKG7,ADRB2,FLT3,ABCD2,ADCY9,TLR4,CALCRL,RHAG
intrinsic to membrane (GO:0031224)	0.08480281122334363	PKP2,TFRC,P2RY6,ABCB4,PTGER4,CD7,TNFSF4,PEX11A,SGPL1,CD36,IL1RL2,EPHA3,ANPEP,CD27,CD28,ELTD1,FGFR1,EMR1,CSGALNACT1,PTPRF,HFE,PROCR,MSR1,SLMAP,FFAR2,B4GALT4,LAT,NKG7,ADRB2,FLT3,PVR,ABCD2,ABCD3,ADCY9,BAMBI,TLR4,CALCRL,RHAG
cytoplasm (GO:0005737)	0.09737626540890001	HSD17B11,FABP4,SLA2,KRT18,MDFI,IL1RL1,GZMB,KIT,MLLT3,RRAGA,NEDD9,METAP2,LAIR1,PRKCB,PRNP,IRF4,HFE,GNAZ,HLX,SRPK2,ITM2A,SLC2A3,PITPNC1,RPRM,CDK6,PVR,TULP4,SEC14L2,BAMBI,PBX3,PGCP,SOX4,ARHGAP5,USP9X
extracellular region part (GO:0044421)	0.10967346286638245	SORD,CCL22,TGFBI,LBP,PVR,CRISP3,CRISP1,COL18A1,ECM1,KIT,PGCP,PECAM1,IGFBP5
cytoplasmic vesicle membrane (GO:0030659)	0.11132955827105913	CD36,PECAM1
membrane part (GO:0044425)	0.12216663198628629	PKP2,GNA14,CD7,ABCB10,SGPL1,CD36,IL1RL1,IL1RL2,ANPEP,CD27,CD28,FGFR1,EMR1,CSGALNACT1,PTPRF,GNAI1,HFE,PROCR,TGFBR1,SLMAP,FFAR2,B4GALT4,LAT,NKG7,FLT3,PVR,ADCY9,BAMBI,PAG1,PIGN,RHAG,IL6,TFRC,P2RY6,ABCB4,PTGER4,TNFSF4,PEX11A,EPHA3,GZMB,ELTD1,ITGB7,PRNP,MSR1,SOAT1,ADRB2,ABCD2,ABCD3,TLR4,CALCRL
vesicle membrane (GO:0012506)	0.1387208412971385	CD36,PECAM1
external side of plasma membrane (GO:0009897)	0.1387208412971385	TLR4,CD28
extracellular space (GO:0005615)	0.15228228563542634	PVR,CRISP1,SORD,KIT,CCL22,TGFBI,PGCP,LBP,PECAM1
intracellular membrane-bounded organelle (GO:0043231)	0.17641873549397372	HSD17B11,HACL1,PKP2,ATRX,ENC1,CD36,FUS,SPINK4,KIT,GCET2,NEDD9,NRIP1,MYEF2,GNAZ,HLF,SLMAP,SRPK2,SESN1,LBP,CDK6,PURA,ALDH3A1,CRISP3,HYOU1,MED1,SEC14L2,LANCL2,NUPR1,GALC,HIPK2,GRLF1,ARF6,MYCN,TFRC,CASP3,KIF1C,PEX11A,ID2,SLC35A3,ETS1,ZEB2,GZMB,MLLT3,PMAIP1,RRAGA,IRF4,PHTF2,LPIN1,ADRB2,SIGLEC5,ABCD2,ABCD3,MYL10,SH3D19
eukaryotic translation initiation factor 4F complex (GO:0016281)	0.18685677555397937	EIF4G1
nuclear membrane (GO:0031965)	0.19694145316503792	LEMD2,HIPK2
membrane raft (GO:0045121)	0.2270796047107474	PAG1,LAT
chromosome, telomeric region (GO:0000781)	0.235823881551622	PURA
nuclear speck (GO:0016607)	0.235823881551622	MEF2C
organelle membrane (GO:0031090)	0.2596504699205475	LEMD2,CD36,ABCD3,SOAT1,SLA2,PIGN,HIPK2,PECAM1
nuclear body (GO:0016604)	0.26514925498338043	MEF2C,HIPK2
integral to Golgi membrane (GO:0030173)	0.2668294952382846	CSGALNACT1
endoplasmic reticulum (GO:0005783)	0.27000467626343666	PHTF2,HYOU1,GNAZ,SLMAP,KIF1C,SIGLEC5,ALDH3A1
spindle (GO:0005819)	0.2818603256367017	NEDD9
endosome (GO:0005768)	0.29654278719944605	ADRB2,ARF6,TFRC
cell cortex (GO:0005938)	0.29658497990849336	ARF6
microtubule organizing center (GO:0005815)	0.30216016707629345	KRT18,HIPK2,IL1RL1
intrinsic to Golgi membrane (GO:0031228)	0.31100965462748786	CSGALNACT1
secretory granule (GO:0030141)	0.32514042176015123	CRISP3
proteinaceous extracellular matrix (GO:0005578)	0.32595106496504345	CRISP3,ECM1
Golgi apparatus (GO:0005794)	0.32750554980125557	SLC35A3,CD36,MYEF2,RRAGA,KIF1C,SH3D19
lysosome (GO:0005764)	0.3409870850580068	ADRB2,GALC
mediator complex (GO:0000119)	0.3525439130881557	MED1
nucleus (GO:0005634)	0.3731720135030758	HSD17B11,PKP2,MYCN,ATRX,ENC1,CASP3,ID2,FUS,ETS1,SPINK4,ZEB2,GZMB,KIT,MLLT3,NEDD9,RRAGA,NRIP1,IRF4,MYEF2,HLF,SRPK2,SESN1,LBP,CDK6,LPIN1,PURA,MED1,SEC14L2,LANCL2,NUPR1,HIPK2,GRLF1
integrin complex (GO:0008305)	0.3788416310881199	ITGB7
integral to endoplasmic reticulum membrane (GO:0030176)	0.3788416310881199	SGPL1
intrinsic to endoplasmic reticulum membrane (GO:0031227)	0.3915897505236708	SGPL1
extracellular matrix (GO:0031012)	0.3926924311662818	CRISP3,ECM1
vacuole (GO:0005773)	0.4071428207858084	ADRB2,GALC
intracellular organelle (GO:0043229)	0.4291964101451761	HSD17B11,HACL1,PKP2,ATRX,ENC1,CD36,FUS,ALDOC,IL1RL1,SPINK4,KIT,GCET2,NEDD9,FOXP1,NRIP1,MYEF2,GNAZ,HLF,HLX,SLMAP,SRPK2,SESN1,LBP,CDK6,PURA,ALDH3A1,H2AFY2,CRISP3,HYOU1,MED1,SEC14L2,LANCL2,NUPR1,GALC,HIPK2,GRLF1,ARF6,MYCN,TFRC,CASP3,KIF1C,AVIL,PEX11A,ID2,SLC35A3,ETS1,ZEB2,GZMB,MLLT3,PMAIP1,RRAGA,IRF4,PHTF2,LPIN1,ADRB2,SIGLEC5,ABCD2,ABCD3,MYL10,SH3D19
PML body (GO:0016605)	0.4400348054100523	HIPK2
endosome membrane (GO:0010008)	0.4400348054100523	SLA2
ER-Golgi intermediate compartment (GO:0005793)	0.4515347617550886	ANPEP
centrosome (GO:0005813)	0.483404451719385	HIPK2,IL1RL1
collagen (GO:0005581)	0.48464559609718627	COL18A1
chromosome (GO:0005694)	0.48464559609718627	H2AFY2
nuclear envelope (GO:0005635)	0.49523507014289664	GNAZ
intermediate filament (GO:0005882)	0.5056083453969232	KRT18
endoplasmic reticulum membrane (GO:0005789)	0.5943263217704045	PIGN,SOAT1
cytoplasmic membrane-bounded vesicle (GO:0016023)	0.6110050867119396	CRISP3,TFRC
intracellular (GO:0005622)	0.6191981239754906	B3GNT5,CLNK,CSGALNACT1
nucleolus (GO:0005730)	0.6255828414151344	MYEF2,HLX,SRPK2,CASP3,ADRB2,FUS,KIT,FOXP1,SH3D19
extracellular region (GO:0005576)	0.6281609112243773	SERPINF1,ANGPT1,FGF3,TFRC,LBP,CRISP3,PLA2G7,CD27,IGFBP5
histone acetyltransferase complex (GO:0000123)	0.6304358308166171	ENY2
focal adhesion (GO:0005925)	0.6455003986817089	IL1RL1
cell-cell junction (GO:0005911)	0.6455003986817089	PKP2
cell junction (GO:0030054)	0.662836944242042	IL1RL1,PKP2
cytoplasmic vesicle (GO:0031410)	0.662836944242042	CRISP3,TFRC
ubiquitin ligase complex (GO:0000151)	0.6669607888598621	TSPAN17
cell-substrate junction (GO:0030055)	0.6669607888598621	IL1RL1
soluble fraction (GO:0005625)	0.6811086942215477	FABP4,SORD,CSGALNACT1
vesicle (GO:0031982)	0.6819724763790296	CRISP3,TFRC
cell projection (GO:0042995)	0.6866165960813784	ARF6,CDK6
cell surface (GO:0009986)	0.6912053768921709	PVR,CD36
extracellular matrix part (GO:0044420)	0.7121465782179291	COL18A1
actin cytoskeleton (GO:0015629)	0.7180837005647687	AVIL
adherens junction (GO:0005912)	0.7238991507107094	IL1RL1
perinuclear region of cytoplasm (GO:0048471)	0.8218930046289434	TLR4
cytoskeleton (GO:0005856)	0.8358827735011846	ALDOC,PKP2,AVIL
mitochondrion (GO:0005739)	0.8391816643387214	MYL10,PMAIP1,GCET2,CASP3
membrane fraction (GO:0005624)	0.8620551539800089	CD36,ARF6,SORD,ABCB4,CD7
insoluble fraction (GO:0005626)	0.8789502903439214	CD36,ARF6,SORD,ABCB4,CD7
cytosolic part (GO:0044445)	0.889964126390596	AHSP
cytoskeletal part (GO:0044430)	0.9259987002437424	KRT18,IL1RL1,NEDD9,HIPK2
protein complex (GO:0043234)	0.9317376829625308	IL6,GNA14,ABCB10,AHSP,PRKACB,ITGB7,IGFBP5,GNAI1,TGFBR1,NIPBL,CDK6,ADRB2,TSPAN17,ENY2,MED1,ABCD2,TLR4,EIF4G1
cytosol (GO:0005829)	0.9512481576215019	RGS3,XDH,CASP3,CKB,GZMB,LANCL2,CD28,ITK,PRKCB,EIF4G1
nucleoplasm (GO:0005654)	0.9948558179151122	DUSP3,CASP3
