Term	P-value	Genes
carbon-carbon lyase activity (GO:0016830)	9.617125424055985E-5	SGPL1,HACL1,DDC,ALDOC,HDC
SH3/SH2 adaptor activity (GO:0005070)	0.002843664702537832	CLNK,PAG1,SLA2,LAT,LASP1
signal transducer activity (GO:0004871)	0.004451148389825525	LASP1,TFRC,GNA14,P2RY6,PTGER4,SLA2,CD7,CD36,IL1RL1,ANPEP,KIT,CD27,CD28,ELTD1,FGFR1,EMR1,PTPRF,PROCR,TGFBR1,GNAZ,MSR1,CLNK,FFAR2,LAT,ADRB2,FLT3,PVR,PDGFRB,ECM1,MED1,TLR4,PAG1
lyase activity (GO:0016829)	0.0054462339745889096	HDC,DDC,SGPL1,HACL1,ALDOC,ADCY9
protein kinase activity (GO:0004672)	0.0070395839084274325	PDGFRB,TGFBR1,SRPK2,MKNK1,KIT,SNRK,PRKACB,FGFR1,ITK,MYLK,PRKCB,PRKD3,FLT3
molecular adaptor activity (GO:0060090)	0.0070776347607890994	CLNK,PAG1,SLA2,LAT,LASP1
protein tyrosine kinase activity (GO:0004713)	0.01371336109307086	PDGFRB,FGFR1,KIT,ITK,FLT3
ATP binding (GO:0005524)	0.017269193674236422	ABCB10,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,LANCL2,ABCD2,PRKACB
nucleotide binding (GO:0000166)	0.018213921867287455	ABCB10,ARF6,UHMK1,TGFBR1,SRPK2,SORD,MKNK1,SNRK,LANCL2,ABCD2,PRKACB,RRAGA
transforming growth factor beta binding (GO:0050431)	0.021364470942758708	CD36,TGFBR1
protein binding, bridging (GO:0030674)	0.021558719880433154	CLNK,PAG1,SLA2,LAT,LASP1
purine nucleotide binding (GO:0017076)	0.021911377217952437	ABCB10,ARF6,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,LANCL2,ABCD2,PRKACB,RRAGA
coenzyme binding (GO:0050662)	0.027000131288528406	HACL1,SORD,SOAT1
acetylgalactosaminyltransferase activity (GO:0008376)	0.02872758217908052	CSGALNACT1,GALNT7
kinase activity (GO:0016301)	0.030236978879495228	TGFBR1,SRPK2,MKNK1,SNRK,FLT3,PDGFRB,CKB,KIT,PRKACB,FGFR1,ITK,MYLK,PRKCB,PRKD3
growth factor binding (GO:0019838)	0.03604047707795037	CD36,PDGFRB,TGFBR1,IGFBP5
fatty acid binding (GO:0005504)	0.03694735307072014	SOAT1,FABP4
carboxy-lyase activity (GO:0016831)	0.03694735307072014	DDC,HDC
nucleoside binding (GO:0001882)	0.03730674892872216	ABCB10,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,LANCL2,ABCD2,PRKACB
GTPase activity (GO:0003924)	0.037881206657509346	GNA14,RAB27B,GNAI1,ARF6,GNAZ,ARHGAP5
lipid binding (GO:0008289)	0.03973172346513525	TLR4,CD36,PAFAH2,FABP4,PLA2G7,SEC14L2,SOAT1
double-stranded DNA binding (GO:0003690)	0.04103172016031239	HLF,RBMS1,PURA
SH2 domain binding (GO:0042169)	0.041354840726737174	ARHGAP5,PAG1
receptor activity (GO:0004872)	0.04261422606608068	PTPRF,PROCR,TGFBR1,MSR1,FFAR2,TFRC,P2RY6,PTGER4,ADRB2,CD7,FLT3,PVR,CD36,PDGFRB,ANPEP,MED1,CD27,CD28,TLR4,ELTD1,FGFR1,EMR1
cofactor binding (GO:0048037)	0.04918022599635717	HACL1,SORD,SOAT1
aminopeptidase activity (GO:0004177)	0.05072017152837455	METAP2,ANPEP
protein serine/threonine kinase activity (GO:0004674)	0.06161789490737112	TGFBR1,SRPK2,MKNK1,SNRK,PRKACB,MYLK,PRKCB,PRKD3
metalloexopeptidase activity (GO:0008235)	0.0660174562035603	METAP2,PGCP
vitamin binding (GO:0019842)	0.0660174562035603	HACL1,SEC14L2
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.07097353036848315	FGFR1,FLT3,PDGFRB
ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)	0.07141770358406267	ENY2,MED1
peptidase activity (GO:0008233)	0.08008857123318514	TPSB2,ANPEP,GZMB,CMA1,PGCP,METAP2,CASP3,USP9X
guanyl-nucleotide exchange factor activity (GO:0005085)	0.08506109553984496	ITSN1,RGL1,NET1
transferase activity (GO:0016740)	0.09368856650419065	ABHD5,MKNK1,SNRK,KIT,PRKACB,FGFR1,PRKCB,PRKD3,CSGALNACT1,TGFBR1,SRPK2,B4GALT4,GALNT7,FLT3,PDGFRB,UHMK1,CKB,GSTM5,B3GNT5,ITK,MYLK,PIGN
serine-type endopeptidase activity (GO:0004252)	0.10418855204678511	TPSB2,GZMB,CMA1
GTPase activator activity (GO:0005096)	0.12483869045093607	ARHGAP5,PTPLAD1,RGS3
protein tyrosine phosphatase activity (GO:0004725)	0.12913537819330137	PTPRF,PTPN2,DUSP3
transcription corepressor activity (GO:0003714)	0.13639969441792235	PAWR,NRIP1,HIPK2,GRLF1
GTP binding (GO:0005525)	0.13788351742100055	RRAGA,ARF6,LANCL2
serine-type peptidase activity (GO:0008236)	0.14233197788772423	TPSB2,GZMB,CMA1
SMAD binding (GO:0046332)	0.14506734718331427	USP9X,TGFBR1
serine hydrolase activity (GO:0017171)	0.14682803676804054	TPSB2,GZMB,CMA1
magnesium ion binding (GO:0000287)	0.1513701982711666	PRKACB,SRPK2,SNRK
structure-specific DNA binding (GO:0043566)	0.1513701982711666	HLF,RBMS1,PURA
endopeptidase activity (GO:0004175)	0.1590928178823555	TPSB2,CASP3,GZMB,USP9X,CMA1
RNA polymerase II transcription factor activity (GO:0003702)	0.15919260934936777	MEF2C,RUNX2,ETS1,PURA,MED1,IRF4
metallopeptidase activity (GO:0008237)	0.16058685789687663	METAP2,ANPEP,PGCP
receptor signaling protein activity (GO:0005057)	0.16137480292253883	IL1RL1,TGFBR1,GNAZ,KIT
caspase inhibitor activity (GO:0043027)	0.17651912973762632	CD27
estrogen receptor binding (GO:0030331)	0.17651912973762632	NRIP1
transmembrane receptor activity (GO:0004888)	0.1911813960426778	PTPRF,TGFBR1,MSR1,FFAR2,TFRC,P2RY6,PTGER4,ADRB2,FLT3,PDGFRB,CD27,TLR4,ELTD1,FGFR1,EMR1
scavenger receptor activity (GO:0005044)	0.19236815286245532	MSR1
phosphotransferase activity, for other substituted phosphate groups (GO:0016780)	0.19236815286245532	PIGN
insulin-like growth factor binding (GO:0005520)	0.19236815286245532	IGFBP5
glucose transmembrane transporter activity (GO:0005355)	0.19236815286245532	SLC2A3
phospholipid binding (GO:0005543)	0.1940794013267813	PLA2G7,PAFAH2,SEC14L2
cysteine-type endopeptidase activity (GO:0004197)	0.20705638023405024	USP9X,CASP3
carboxylic acid binding (GO:0031406)	0.20705638023405024	SOAT1,FABP4
ATPase binding (GO:0051117)	0.20791394213043357	ATP6V0A1
metallocarboxypeptidase activity (GO:0004181)	0.20791394213043357	PGCP
transcription activator activity (GO:0016563)	0.20860535344516454	KLF7,ENY2,MED1,SEC14L2,RUNX2,NRIP1,IRF4
enzyme regulator activity (GO:0030234)	0.2197579846170602	ITSN1,SERPINF1,PTPLAD1,RGS3,ZEB2,CD27,RGL1,NET1,ARHGAP5,CSN2
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	0.2231622647057051	ITK
bacterial binding (GO:0008367)	0.2231622647057051	LBP
transforming growth factor beta receptor activity (GO:0005024)	0.2231622647057051	TGFBR1
organic cation transmembrane transporter activity (GO:0015101)	0.2231622647057051	RHAG
transferase activity, transferring glycosyl groups (GO:0016757)	0.23203272961303426	B3GNT5,B4GALT4,GALNT7,CSGALNACT1
vitamin D receptor binding (GO:0042809)	0.23811877874916162	MED1
aldo-keto reductase activity (GO:0004033)	0.23811877874916162	ALDH3A1
steroid dehydrogenase activity (GO:0016229)	0.23811877874916162	HSD17B11
pattern recognition receptor activity (GO:0008329)	0.23811877874916162	TLR4
telomeric DNA binding (GO:0042162)	0.23811877874916162	PURA
cholesterol binding (GO:0015485)	0.2527890354150428	SOAT1
transforming growth factor beta receptor binding (GO:0005160)	0.2527890354150428	TGFBR1
RNA polymerase II transcription mediator activity (GO:0016455)	0.2671784809143705	MED1
receptor serine/threonine kinase binding (GO:0033612)	0.2671784809143705	TGFBR1
sugar binding (GO:0005529)	0.27123992123101437	SORD,CLEC10A
transcription repressor activity (GO:0016564)	0.2797338795124038	PAWR,NRIP1,HIPK2,ID2,GRLF1
phosphoprotein phosphatase activity (GO:0004721)	0.2809131175192942	PTPRF,PTPN2,DUSP3
galactosyltransferase activity (GO:0008378)	0.2812924584220976	B4GALT4
glutathione transferase activity (GO:0004364)	0.2812924584220976	GSTM5
carboxypeptidase activity (GO:0004180)	0.2812924584220976	PGCP
coreceptor activity (GO:0015026)	0.2812924584220976	CD28
low-density lipoprotein binding (GO:0030169)	0.2812924584220976	MSR1
cysteine-type endopeptidase inhibitor activity (GO:0004869)	0.2951362100894331	CD27
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	0.2951362100894331	PTPRF
phospholipid transporter activity (GO:0005548)	0.2951362100894331	PITPNC1
