Term	P-value	Genes
16166618-SuppTable4	3.164380415801148E-35	PKP2,AKR1C12,ABHD6,ABHD5,PAPSS2,ATRX,DIAP2,RGL1,NET1,ENC1,RNF128,CD36,ABCB1A,ALDOC,IL1RL1,IL1RL2,EHBP1,CHI3L4,ANPEP,KIT,CD28,FCGR2B,CYP4F18,CYP4F16,ATP6V0A1,GCET2,FGFR1,NEDD9,FAM198B,CDK18,LAIR1,NRIP1,CEP55,CLCA3,HFE,2610018G03RIK,TGFBR1,SLMAP,SRPK2,FFAR2,CCL22,BMP2K,XDH,SESN1,PURA,CLEC4B1,PVR,ECM1,GMPR,SEC14L2,NUPR1,IFT57,PAG1,RUNX2,ITSN1,SNRK,TFRC,CD302,FGD2,ABCB4,FABP4,PTGER4,GRAMD3,PEX11A,ID2,KLF7,ETS1,PLA2G7,PMAIP1,PLXNC1,RRAGA,ITGB7,PRKCB,PRNP,SLC39A8,IRF4,PHTF2,MSR1,RASSF8,KCNE3,SLC2A3,LPIN1,SIGLEC5,FAM20C,PTPN22,POSTN,FAM105A,NOV,GGTA1,ABCD2,DFNA5,PGCP,B3GNT5,HAVCR2,CALCRL,ABHD15,SH3D19
16166618-SuppTable3	8.283002430235228E-24	MEF2C,ITSN1,LASP1,PKP2,ABHD6,ABHD5,MKNK1,SNRK,PAPSS2,TFRC,RGL1,NET1,FABP4,PTGER4,OAF,RNF128,ID2,EEPD1,CD36,ABCB1A,RBP1,ALDOC,KLF7,CHI3L4,DDX4,ANPEP,PLA2G7,CYP4F18,FCGR2B,CYP4F16,ATP6V0A1,NEDD9,PLXND1,FAM198B,CDK18,PRKCB,NRIP1,PRNP,IRF4,CLCA3,HFE,PROCR,TGFBR1,MSR1,RASSF8,EAR1,FFAR2,CCL22,KCNE3,SOAT1,SLC2A3,BMP2K,XDH,SESN1,HDC,LPIN1,PURA,ADRB2,CLEC4B1,PVR,FAM20C,FAM105A,GGTA1,ECM1,HYOU1,TULP4,SEC14L2,DFNA5,PAG1,PGCP,B3GNT5,RUNX2,HIPK2,ABHD15,SH3D19
15897907-SuppTable2	2.8320452918745175E-17	IGHM,LASP1,ABHD6,NET1,ENC1,PAWR,ANPEP,FCGR2B,NEDD9,SLPI,CEP55,CSGALNACT1,PTPRF,GNAI1,CTNNAL1,DOCK9,CRISP3,ECM1,GMPR,MED1,ADCY9,DARC,SERPINF1,LAPTM4B,CD302,GRAMD3,TNFSF4,PEX11A,ID2,OLFM1,EPHA3,PLA2G7,FKBP1B,PLXNC1,PRKCB,PRNP,PRKD3,UBE3A,SLC39A8,IGFBP5,MSR1,SORD,SOAT1,NIPBL,TPSAB1,SOX4,ITK,MEF2C,HSD17B11,PKP2,PAPSS2,TGFBI,LRBA,RNF128,CREB3L2,CD36,PTPLAD1,GPM6B,KIT,NT5DC2,RBMS1,NRIP3,NRIP1,ITM2A,SESN1,NKG7,LBP,DDC,PURA,CKB,SEC14L2,NUPR1,IFT57,BAMBI,ARGLU1,GALC,HOXA9,MYCN,TFRC,FABP4,PTGER4,SLC35A3,GLCE,ZEB2,FANCI,GZMB,PMAIP1,ELTD1,PRKACB,ANGPT1,SLC2A3,PITPNC1,LPIN1,GALNT7,NDN,TSC22D3,NOV,PBX3,HEATR1
15793299-TableC	5.546980810143533E-17	SERPINF1,PKP2,SNRK,PAPSS2,TFRC,CD302,GNA14,TGFBI,NET1,FABP4,CASP3,PTGER4,ID2,EEPD1,CD36,RBP1,PTPLAD1,ALDOC,COL18A1,ETS1,QK,CD27,FGFR1,ITGB7,PRNP,SLC39A8,IRF4,IGFBP5,PHTF2,GNAI1,PROCR,ITM2A,DOCK9,LBP,LPIN1,NDN,PTPN22,POSTN,GGTA1,HOMER2,STARD10,ABCD2,ADCY9,SOX4,ITK,PTPN2,MYLK,5730469M10RIK,PIGN,EIF4G1,HIPK2
20460173-ImmPortComprehensiveListofImmune-RelatedGenes	2.97602764137625E-16	IGHM,PACSIN1,NET1,PAWR,SLA2,SGPL1,ALDOC,MDFI,COL18A1,IL1RL1,IL1RL2,FCGR2B,NEDD9,EMR1,LAIR1,SLPI,PTPRF,HFE,PROCR,HLF,SRPK2,CCL22,CTNNAL1,DOCK9,HDC,PVR,PDGFRB,FCER1A,MED1,PAG1,DARC,HIPK2,FGF3,SNRK,IL6,CD302,FGD2,TNFSF4,TNFSF9,PEX11A,ID2,RSPH9,EPHA3,ETS1,KLF2,PLA2G7,FKBP1B,MLLT3,PLXNC1,RRAGA,PRKCB,PRNP,PRKD3,UBE3A,IRF4,MSR1,PLEKHG2,SOAT1,NIPBL,ADRB2,SIGLEC5,ABCD2,RBM25,TLR4,SOX4,ITK,MEF2C,RAB27B,PKP2,MKNK1,DUSP3,TGFBI,NRGN,RNF128,CD7,CD36,KIT,CD27,CD28,GCET2,FOXP1,BCL2L15,NPHP1,TGFBR1,SYTL2,LAT,NKG7,LBP,TRPM7,FLT3,NUPR1,IFT57,BAMBI,HOXA3,HOXA5,HOXA7,ARHGAP5,USP9X,ITSN1,ARF6,CLEC10A,TFRC,PAFAH2,FABP4,CASP3,PTGER4,ZEB2,FANCI,GZMB,CMA1,PMAIP1,PRKACB,ITGB7,CLNK,ANGPT1,NDN,TSC22D3,POSTN,PBX3,B3GNT5,HAVCR2
17676974-TableS1	2.6764829979469597E-14	MEF2C,RAB27B,ARF6,MYCN,ABHD5,PAPSS2,DUSP3,TGFBI,CCL6,PAWR,PTGER4,NRGN,RNF128,PEX11A,ID2,SGPL1,ABCB1A,FUS,CHI3L4,ETS1,KIT,CD28,MLLT3,PMAIP1,ELTD1,PLXNC1,RRAGA,NEDD9,METAP2,SLPI,CSGALNACT1,PHTF2,HLF,SRPK2,SOAT1,TTC14,PITPNC1,PCMTD1,DOCK9,NDN,TSC22D1,TSC22D3,PVR,UHMK1,RBM25,SLC15A4,PBX3,TLR4,PGCP,PTPN2,MYLK,5730469M10RIK,ARHGAP5,USP9X,MSI2,SH3D19
16140871-Table1	2.2487886597367315E-12	KRT18,GNAI1,HOXA5,HOXA9,LAPTM4B,HLF,PAWR,ANGPT1,HMGA2,MYCN,NRIP1,NDN,KIT,MLLT3,TNFSF4,FLT3
17009876-tableS1a	3.06516494670357E-11	MEF2C,SERPINF1,HSD17B11,LAPTM4B,PKP2,PSG17,PACSIN1,A930001N09RIK,PAFAH2,CASP3,NRGN,KRT18,RBP1,ALDOC,MDFI,ETS1,ANPEP,QK,GPM6B,KIT,CMA1,FGFR1,EMR1,CDK18,PTPRF,PROCR,FNBP4,HLX,CCL22,SOAT1,LAT,LBP,NDN,TSC22D1,TSPAN33,FLT3,LEMD2,PTPN22,FAM105A,NOV,MCPT1,MCPT4,MCPT2,MCPT8,TPH1,RBM25,GSTM5,RUNX2
18160665-TableS5	2.5829474396417826E-10	IGHM,ATRX,NET1,ENC1,PAWR,SLA2,FUS,IL1RL1,ANPEP,FCGR2B,LAIR1,SLPI,CEP55,PTPRF,GNAZ,HLF,SRPK2,XDH,ALDH3A1,TSPAN33,TSPAN17,CRISP3,PDGFRB,GSTM5,PAG1,DARC,PTPN2,EIF4G1,GRLF1,SNRK,IL6,CD302,FGD2,ABCB4,TNFSF4,TNFSF9,ID2,OLFM1,ETS1,MLLT3,PRKCB,PRNP,PRKD3,IRF4,TUG1,PLEKHG2,ADRB2,ALDH1B1,HOMER2,RBM25,TLR4,SOX4,ITK,MSI2,MEF2C,DUSP3,OTUB1,CD36,CAMK1,KIT,CD27,CD28,RBMS1,GCET2,FOXP1,SYTL2,LAT,NKG7,TRPM7,CDK6,CKB,ARGLU1,HOXA5,ARHGAP5,USP9X,ITSN1,MYCN,TFRC,CASP3,PTGER4,ZEB2,FANCI,GZMB,PMAIP1,PRKACB,ITGB7,PHTF2,CLNK,SLC2A3,STK25,PCMTD1,LPIN1,TSC22D1,TSC22D3,POSTN,UHMK1,PBX3,ZFAND3,HEATR1
17174972-TableS1	5.202949845730078E-10	PVR,CD36,PDGFRB,PROCR,MSR1,ANPEP,KIT,CLEC10A,CD28,TFRC,FCGR2B,CD302,TLR4,DARC,FGFR1,PLXNC1,LAIR1,SIGLEC5,PRNP,CD7,TNFSF4,FLT3,RHAG
