Term	P-value	Genes
HMDB00042	0.002211196472326243	PAFAH2,ALDH3A1,ALDH1B1,PLA2G7
HMDB00870	0.019962983866922763	DDC,HDC
HMDB01448	0.028290684046770466	GSTM5,PAPSS2,SUOX
HMDB00990	0.04098164806059601	ALDH3A1,ALDH1B1
HMDB00290	0.07712539371472157	SLC35A3,B3GNT5
HMDB05007	0.07712539371472157	CASP3,IL6
HMDB01394	0.08216701987522851	FGFR1,FGF3
HMDB01134	0.09786858757454066	HS6ST2,PAPSS2
HMDB00547	0.10552862566665559	HACL1,TGFBR1,SRPK2,MKNK1,SNRK,RNASEL,STK25,TRPM7,ADCY9,PRKACB,ITGB7,MYLK
HMDB01491	0.11348131900284888	HDC,DDC,SGPL1
HMDB03125	0.17338946497705118	XDH,SUOX
HMDB00024	0.18752740135492604	GALC
HMDB00039	0.18752740135492604	CASP3
HMDB00068	0.18752740135492604	ADRB2
HMDB10710	0.18752740135492604	GALC
HMDB10711	0.18752740135492604	GALC
HMDB10712	0.18752740135492604	GALC
HMDB10713	0.18752740135492604	GALC
HMDB10714	0.18752740135492604	GALC
HMDB10709	0.18752740135492604	GALC
HMDB10708	0.18752740135492604	GALC
HMDB00056	0.20149110281097102	ALDH1B1
HMDB00143	0.20149110281097102	GALC
HMDB00158	0.20149110281097102	FGFR1
HMDB06894	0.20149110281097102	ALDH1B1
HMDB01220	0.20149110281097102	PTGER4
HMDB04073	0.20149110281097102	ALDH1B1
HMDB06242	0.20149110281097102	ALDH3A1
HMDB00243	0.20452062244160701	HDC,ADCY9
HMDB01473	0.21521844433956616	ALDOC
HMDB03419	0.21521844433956616	HACL1
HMDB01849	0.21521844433956616	ADRB2
HMDB00027	0.22871336527054925	TPH1
HMDB00067	0.22871336527054925	SOAT1
HMDB06750	0.22871336527054925	B3GNT5
HMDB02217	0.22871336527054925	ALDH1B1
HMDB04866	0.22871336527054925	B3GNT5
HMDB04874	0.22871336527054925	B3GNT5
HMDB04873	0.22871336527054925	B3GNT5
