Term	P-value	Genes
HSA04640_HEMATOPOIETIC_CELL_LINEAGE	0.003834433516941781	ANPEP,CD36,KIT,CD7,IL6,FLT3,TFRC
HSA00340_HISTIDINE_METABOLISM	0.014827002694496993	ALDH3A1,HDC,DDC,ALDH1B1
HSA02010_ABC_TRANSPORTERS_GENERAL	0.018451917392388707	ABCD2,ABCD3,ABCB10,ABCB4
HSA04115_P53_SIGNALING_PATHWAY	0.019021025314118863	RPRM,PMAIP1,CASP3,CDK6,SESN1
HSA00053_ASCORBATE_AND_ALDARATE_METABOLISM	0.0218507656096549	ALDH1B1,ALDH3A1
HSA05060_PRION_DISEASE	0.044504318298378746	IL6,PRNP
HSA00920_SULFUR_METABOLISM	0.044504318298378746	SUOX,PAPSS2
HSA00380_TRYPTOPHAN_METABOLISM	0.04666756137211057	DDC,ALDH1B1,TPH1,ALDH3A1
HSA00641_3_CHLOROACRYLIC_ACID_DEGRADATION	0.04975236276134755	ALDH3A1,ALDH1B1
HSA00120_BILE_ACID_BIOSYNTHESIS	0.0559470895571197	ALDH3A1,SOAT1,ALDH1B1
HSA04614_RENIN_ANGIOTENSIN_SYSTEM	0.06087086927818484	ANPEP,CMA1
HSA05110_CHOLERA_INFECTION	0.06644605216465929	ARF6,ADCY9,ATP6V0A1
HSA04540_GAP_JUNCTION	0.0677438998677856	PRKACB,PDGFRB,GNAI1,TUBA8,ADCY9
HSA05218_MELANOMA	0.07501889028954332	FGF3,CDK6,PDGFRB,FGFR1
HSA04916_MELANOGENESIS	0.07708333293995709	CREB3L2,PRKACB,GNAI1,KIT,ADCY9
HSA00534_HEPARAN_SULFATE_BIOSYNTHESIS	0.07894248756043845	GLCE,HS6ST2
HSA00602_GLYCOSPHINGOLIPID_BIOSYNTHESIS_NEO_LACTOSERIES	0.08529730625933338	B3GNT5,B4GALT4
HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.11181903436630694	PDGFRB,TGFBR1,KIT,CCL22,CD27,IL6,TNFSF4,FLT3,TNFSF9
HSA04010_MAPK_SIGNALING_PATHWAY	0.11181903436630694	MEF2C,PDGFRB,TGFBR1,FGF3,MKNK1,DUSP3,PRKACB,FGFR1,CASP3
HSA04670_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.11195740631467971	GNAI1,ITK,ARHGAP5,PECAM1,GRLF1
HSA00410_BETA_ALANINE_METABOLISM	0.11212200084785966	ALDH3A1,ALDH1B1
HSA05130_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EHEC	0.11630884267492747	TLR4,KRT18,TUBA8
HSA05131_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EPEC	0.11630884267492747	TLR4,KRT18,TUBA8
HSA00950_ALKALOID_BIOSYNTHESIS_I	0.12145304579528864	DDC
HSA00903_LIMONENE_AND_PINENE_DEGRADATION	0.14079115284355637	ALDH3A1,ALDH1B1
HSA00220_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS	0.14818885515165986	ALDH3A1,ALDH1B1
HSA00360_PHENYLALANINE_METABOLISM	0.14818885515165986	ALDH3A1,DDC
HSA05040_HUNTINGTONS_DISEASE	0.15566465844242816	CASP3,IFT57
HSA00232_CAFFEINE_METABOLISM	0.15860103107524584	XDH
HSA01031_GLYCAN_STRUCTURES_BIOSYNTHESIS_2	0.16054113994382616	PIGN,B3GNT5,B4GALT4
HSA00010_GLYCOLYSIS_AND_GLUCONEOGENESIS	0.17099689450845124	ALDH1B1,ALDOC,ALDH3A1
HSA04514_CELL_ADHESION_MOLECULES	0.1741809510806329	PVR,PTPRF,ITGB7,CD28,PECAM1
HSA00640_PROPANOATE_METABOLISM	0.17849594866413965	ALDH3A1,ALDH1B1
HSA04020_CALCIUM_SIGNALING_PATHWAY	0.18468110302084484	GNA14,PRKACB,PDGFRB,MYLK,ADRB2,ADCY9
HSA01510_NEURODEGENERATIVE_DISEASES	0.20965775967497352	CASP3,PRNP
HSA00601_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTOSERIES	0.21142941518831831	B3GNT5
HSA00480_GLUTATHIONE_METABOLISM	0.21754035814138462	ANPEP,GSTM5
HSA04520_ADHERENS_JUNCTION	0.23152273392641265	PTPRF,FGFR1,TGFBR1
HSA04730_LONG_TERM_DEPRESSION	0.23722431753050804	GNAZ,GNAI1,GRIA3
HSA00051_FRUCTOSE_AND_MANNOSE_METABOLISM	0.2413307213929314	SORD,ALDOC
HSA00620_PYRUVATE_METABOLISM	0.2413307213929314	ALDH3A1,ALDH1B1
HSA00280_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.2572653161453271	ALDH3A1,ALDH1B1
HSA04940_TYPE_I_DIABETES_MELLITUS	0.2652424974448187	CD28,GZMB
HSA00650_BUTANOATE_METABOLISM	0.2652424974448187	ALDH3A1,ALDH1B1
HSA04510_FOCAL_ADHESION	0.27547317413847405	PDGFRB,CHAD,ITGB7,MYLK,ARHGAP5,GRLF1
HSA00071_FATTY_ACID_METABOLISM	0.2811975721194021	ALDH3A1,ALDH1B1
HSA00310_LYSINE_DEGRADATION	0.2811975721194021	ALDH3A1,ALDH1B1
HSA05210_COLORECTAL_CANCER	0.28946055657917086	CASP3,PDGFRB,TGFBR1
HSA05050_DENTATORUBROPALLIDOLUYSIAN_ATROPHY	0.29228277708696576	CASP3
HSA05215_PROSTATE_CANCER	0.30122013783059337	CREB3L2,PDGFRB,FGFR1
HSA04512_ECM_RECEPTOR_INTERACTION	0.30122013783059337	CHAD,CD36,ITGB7
HSA00533_KERATAN_SULFATE_BIOSYNTHESIS	0.3074409279838214	B4GALT4
HSA04360_AXON_GUIDANCE	0.3105257293893464	PLXNC1,GNAI1,EPHA3,RGS3
HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON	0.32069997206988277	PDGFRB,FGF3,FGFR1,ITGB7,MYLK,GRLF1
HSA05221_ACUTE_MYELOID_LEUKEMIA	0.3288239925133391	KIT,FLT3
HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.3366177122682626	CD28,ITK,LAT
HSA00561_GLYCEROLIPID_METABOLISM	0.36789137616345274	ALDH1B1,ALDH3A1
HSA00350_TYROSINE_METABOLISM	0.37560728131466803	DDC,ALDH3A1
HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.3895226187531299	TLR4,LBP,IL6
HSA00230_PURINE_METABOLISM	0.39390266078640546	XDH,GMPR,PAPSS2,ADCY9
HSA00710_CARBON_FIXATION	0.4049234834883801	ALDOC
HSA00563_GLYCOSYLPHOSPHATIDYLINOSITOL_ANCHOR_BIOSYNTHESIS	0.4049234834883801	PIGN
HSA05214_GLIOMA	0.41358806885345695	CDK6,PDGFRB
HSA00030_PENTOSE_PHOSPHATE_PATHWAY	0.4424256655658807	ALDOC
HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.4431547532602423	CASP3,ATP6V0A1
HSA00980_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.4576346016483076	GSTM5,ALDH3A1
HSA03320_PPAR_SIGNALING_PATHWAY	0.4576346016483076	CD36,FABP4
HSA04320_DORSO_VENTRAL_AXIS_FORMATION	0.466118690715582	ETS1
HSA05010_ALZHEIMERS_DISEASE	0.466118690715582	CASP3
HSA01030_GLYCAN_STRUCTURES_BIOSYNTHESIS_1	0.47512042366353635	B4GALT4,GALNT7,HS6ST2
HSA00450_SELENOAMINO_ACID_METABOLISM	0.47758904589452117	PAPSS2
HSA05212_PANCREATIC_CANCER	0.478949516259833	CDK6,TGFBR1
HSA04664_FC_EPSILON_RI_SIGNALING_PATHWAY	0.4928785418324982	FCER1A,LAT
HSA05220_CHRONIC_MYELOID_LEUKEMIA	0.4997563262513004	CDK6,TGFBR1
HSA00565_ETHER_LIPID_METABOLISM	0.49980360320607964	PAFAH2
HSA00512_O_GLYCAN_BIOSYNTHESIS	0.49980360320607964	GALNT7
HSA04740_OLFACTORY_TRANSDUCTION	0.49980360320607964	PRKACB
HSA00330_ARGININE_AND_PROLINE_METABOLISM	0.5414678737026438	CKB
HSA04210_APOPTOSIS	0.5526151859203501	CASP3,PRKACB
HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.5550180266772282	LAT,CASP3,GZMB
HSA04910_INSULIN_SIGNALING_PATHWAY	0.5701371835172935	PRKACB,PTPRF,MKNK1
HSA00600_SPHINGOLIPID_METABOLISM	0.5796970450395975	GALC
HSA04350_TGF_BETA_SIGNALING_PATHWAY	0.5896483952360142	TGFBR1,ID2
HSA00790_FOLATE_BIOSYNTHESIS	0.6062841220418979	DDX4
HSA04912_GNRH_SIGNALING_PATHWAY	0.6299645189323783	PRKACB,ADCY9
HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.6565822376125849	GRIA3,P2RY6,CALCRL,PTGER4,ADRB2
HSA04742_TASTE_TRANSDUCTION	0.6902951135651179	PRKACB
HSA05223_NON_SMALL_CELL_LUNG_CANCER	0.6969890232155179	CDK6
HSA04340_HEDGEHOG_SIGNALING_PATHWAY	0.7162241451305063	PRKACB
HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.7565361641430154	FCGR2B
HSA04720_LONG_TERM_POTENTIATION	0.7818095514531522	PRKACB
HSA05211_RENAL_CELL_CARCINOMA	0.7818095514531522	ETS1
HSA04920_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.7957092743869811	CD36
HSA01430_CELL_COMMUNICATION	0.8071362546475395	CHAD,KRT18
HSA00500_STARCH_AND_SUCROSE_METABOLISM	0.8430754954849963	DDX4
HSA05222_SMALL_CELL_LUNG_CANCER	0.8531077937084397	CDK6
HSA04110_CELL_CYCLE	0.9208982596470664	CDK6
HSA00190_OXIDATIVE_PHOSPHORYLATION	0.9407417403567082	ATP6V0A1
HSA04530_TIGHT_JUNCTION	0.9504143250675609	GNAI1
HSA04310_WNT_SIGNALING_PATHWAY	0.9629092696678669	PRKACB
HSA04630_JAK_STAT_SIGNALING_PATHWAY	0.966085437230389	IL6
