Term	P-value	Genes
MP0002429_abnormal_blood_cell_	6.757610690140474E-12	MEF2C,IGHM,RAB27B,TGFBI,PAWR,RNF128,SGPL1,ABCB1A,AHSP,FUS,RBP1,IL1RL1,ANPEP,KIT,CD27,CD28,FCGR2B,NEDD9,FOXP1,SLPI,CLCA3,PROCR,HLX,FFAR2,HDC,CDK6,PURA,TSPAN33,FLT3,PDGFRB,FCER1A,MED1,TRBV13-2,PAG1,GALC,HOXA9,RUNX2,PTPN2,ARF6,MYCN,CLEC10A,TFRC,CASP3,PTGER4,TNFSF4,ETS1,KLF2,GZMB,PMAIP1,ITGB7,PRKCB,PRNP,IRF4,CLNK,SOAT1,TPSAB1,ADRB2,PTPN22,NOV,GGTA1,MCPT1,MCPT8,ABCD2,TLR4,SOX4,B3GNT5,ITK
MP0002420_abnormal_adaptive_immunity_	7.319852524265834E-12	IGHM,IL6,PAWR,CASP3,PTGER4,RNF128,TNFSF4,TNFSF9,ID2,CD36,ABCB1A,FUS,IL1RL1,ETS1,KLF2,ANPEP,GZMB,KIT,CD27,CD28,FCGR2B,CMA1,NEDD9,ITGB7,FOXP1,EMR1,PRKCB,SLPI,IL6RA,PECAM1,IRF4,TPSB2,MSR1,CLNK,FFAR2,RNASEL,LAT,TPSAB1,LBP,CDK6,ADRB2,FLT3,PVR,PTPN22,NOV,GGTA1,FCER1A,MCPT4,ADCY9,TLR4,B3GNT5,GALC,ITK
MP0000716_abnormal_immune_system_	1.1758504352707508E-11	IGHM,CLEC10A,IL6,TGFBI,PAWR,CASP3,PTGER4,RNF128,TNFSF4,ID2,SGPL1,ABCB1A,FUS,RBP1,IL1RL1,ETS1,KLF2,ANPEP,GZMB,KIT,CD27,CD28,FCGR2B,PMAIP1,NEDD9,ITGB7,FOXP1,PRKCB,SLPI,PRNP,IRF4,CLCA3,CLNK,FFAR2,SOAT1,LAT,TPSAB1,HDC,CDK6,ADRB2,TSPAN33,PTPN22,NOV,GGTA1,FCER1A,MCPT1,MCPT8,ABCD2,TRBV13-2,TLR4,PAG1,SOX4,B3GNT5,GALC,RUNX2,ITK,PTPN2
MP0001819_abnormal_immune_cell_	2.910858133894126E-11	IGHM,IL6,PAWR,CASP3,PTGER4,RNF128,TNFSF4,TNFSF9,ID2,CD36,ABCB1A,FUS,IL1RL1,ETS1,KLF2,ANPEP,GZMB,KIT,CD28,FCGR2B,CMA1,NEDD9,ITGB7,FOXP1,EMR1,PRKCB,SLPI,IL6RA,PECAM1,IRF4,TPSB2,MSR1,CLNK,FFAR2,RNASEL,LAT,TPSAB1,LBP,CDK6,ADRB2,FLT3,PVR,PTPN22,NOV,GGTA1,FCER1A,MCPT4,ADCY9,TLR4,B3GNT5,GALC,ITK
MP0002398_abnormal_bone_marrow_	9.369975228129363E-9	IGHM,RAB27B,CLEC10A,TFRC,PAWR,CASP3,PTGER4,RNF128,TNFSF4,ID2,SGPL1,ABCB1A,AHSP,IL1RL1,ETS1,KLF2,KIT,CD28,ITGB7,FOXP1,PRKCB,SLPI,PRNP,IRF4,PROCR,LAT,CDK6,PURA,TSPAN33,FLT3,PTPN22,GGTA1,PDGFRB,FCER1A,MCPT8,MED1,TRBV13-2,TLR4,PAG1,SOX4,HOXA9,RUNX2,ITK,PTPN2
MP0002723_abnormal_immune_serum_	1.8871488745560843E-8	IGHM,IL6,PTGER4,RNF128,TNFSF4,CD36,ABCB1A,FUS,IL1RL1,KLF2,KIT,CD28,FCGR2B,PRKCB,SLPI,IL6RA,PECAM1,IRF4,CLCA3,GNAI1,MSR1,CLNK,FFAR2,LAT,LBP,FLT3,PVR,PTPN22,GGTA1,FCER1A,MCPT1,ADCY9,SLC15A4,TLR4,DARC,B3GNT5,GALC,ITK,PTPN2
MP0002452_abnormal_antigen_presenting_	6.178143071705123E-8	IGHM,MSR1,IL6,LAT,PAWR,CASP3,PTGER4,ADRB2,RNF128,TNFSF4,FLT3,PVR,PTPN22,NOV,GGTA1,CD36,FUS,FCER1A,IL1RL1,ETS1,KLF2,ANPEP,KIT,CD28,FCGR2B,ADCY9,TLR4,NEDD9,B3GNT5,GALC,ITK,FOXP1,PRKCB,SLPI,IRF4
MP0000001_mammalian_phenotype_	1.6557839270784245E-7	IGHM,ATRX,PAWR,SGPL1,ABCB1A,FUS,RBP1,MDFI,IL1RL1,IL1RL2,FCGR2B,HS6ST2,IL6RA,PECAM1,PTPRF,SMPX,HFE,PROCR,RLIM,FFAR2,XDH,ALDH3A1,PDGFRB,DARC,GRLF1,FGF3,LTN1,KIF1C,AVIL,PEX11A,KLF7,EPHA3,ETS1,KLF2,QK,MLLT3,PLXNC1,PLXND1,PRKCB,PRNP,UBE3A,SLC39A4,IRF4,MSR1,SORD,KCNE3,SOAT1,NIPBL,TPSAB1,ADRB2,HOMER2,ABCD2,TLR4,SOX4,MSI2,MEF2C,RAB27B,AQR,MKNK1,PAPSS2,DIAP2,PSG23,CD36,CD28,RBMS1,FGFR1,FOXP1,CSN2,TGFBR1,DDC,PURA,IFT57,BAMBI,HOXA3,HOXA5,HOXA7,GALC,RUNX2,MYLK,ARHGAP5,USP9X,ITSN1,MYCN,TFRC,FABP4,CASP3,PTGER4,ZEB2,GZMB,PRKACB,ITGB7,LPIN1,NDN,TSC22D1,POSTN,NOV,GGTA1,UHMK1,TPH1,B3GNT5,CALCRL
MP0002722_abnormal_immune_system_	3.434731972184843E-6	IGHM,SOAT1,RNASEL,TGFBI,LAT,PAWR,CDK6,PURA,TSPAN33,RNF128,ID2,PTPN22,SGPL1,AHSP,FUS,ETS1,KIT,FCGR2B,TLR4,GCET2,NEDD9,B3GNT5,ITGB7,HOXA7,GALC,HOXA9,RUNX2,PTPN2,ARHGAP5,CALCRL,PRNP,IRF4
MP0000266_abnormal_heart_morphology_	1.73402292918515E-5	MEF2C,PKP2,LASP1,MYCN,IL6,ATRX,TFRC,CASP3,PTGER4,SGPL1,CD36,EPHA3,KLF2,QK,FKBP1B,FGFR1,PLXND1,FOXP1,SLC39A4,TGFBR1,ANGPT1,NIPBL,TSC22D1,POSTN,NOV,PDGFRB,TPH1,MED1,IFT57,SOX4,HOXA3,CALCRL,USP9X
