Term	P-value	Genes
prostate_cancer	0.018061813939577284	RNASEL,MSR1,EHBP1
rheumatoid_arthritis	0.02649645029639859	IL6,PTPN22
malaria	0.02995840288540264	CD36,FCGR2B
asthma	0.06803467580262625	ADRB2,PLA2G7
systemic_lupus_erythematosus	0.09356034545191019	PTPN22,FCGR2B
diabetes	0.14979413640049072	PTPN22,HFE,IL6
leukemia	0.16235586354666484	PDGFRB,KIT,FLT3
zellweger_syndrome	0.2037830555956138	ABCD3
ciliary_dyskinesia	0.2037830555956138	RSPH9
dementia	0.2037830555956138	TRPM7
anomalies	0.2176731654864008	RUNX2
arrhythmogenic_right_ventricular_dysplasia	0.2176731654864008	PKP2
fanconi_anemia	0.2176731654864008	FANCI
corneal_dystrophy	0.23132864514306647	TGFBI
microcephaly	0.23132864514306647	MYCN
adenoma	0.23132864514306647	HMGA2
hypogonadism	0.2447533279606746	FGFR1
myocardial_infarction	0.25795098682929407	TNFSF4
macular_degeneration	0.28368002727701475	TLR4
lateral_sclerosis	0.2962186603394909	TRPM7
anemia	0.29843857483932573	FANCI,RHAG
alzheimer_disease	0.3782298382519184	HFE
diabetes_mellitus,_type_1	0.38916283599145146	PTPN22
obesity	0.43106377442490895	ADRB2
colorectal_cancer	0.5154209554985787	TLR4
cataract	0.5725318599292678	SORD
deafness	0.5930864802081981	FGF3,DFNA5
mental_retardation	0.6078126136675921	GRIA3,ATRX
