Term	P-value	Genes
Ig	0.0011951121712587254	PVR,PDGFRB,FCER1A,IL1RL1,IL1RL2,KIT,FCGR2B,FGFR1,SIGLEC5,FLT3,PECAM1
Prot_kinase_core	0.0028112158048182083	CAMK1,UHMK1,TGFBR1,SRPK2,MKNK1,SNRK,RNASEL,PRKACB,STK25,BMP2K,MYLK,CDK6,PRKCB,HIPK2,PRKD3
TIR	0.007601733771223497	IL1RL1,IL1RL2,TLR4
Tyr_pkinase	0.008394570333460945	PDGFRB,FGFR1,KIT,ITK,FLT3,EPHA3
SH3	0.00958828505933595	ITSN1,PACSIN1,NEDD9,NPHP1,ITK,LASP1,SLA2,SH3D19
ABC_transp_like	0.009594857071773315	ABCD2,ABCD3,ABCB10,ABCB4
IGFBP_like	0.028565106506458573	NOV,IGFBP5
RhoGEF	0.03142224917708587	ITSN1,NET1,FGD2,PLEKHG2
Tyr_Pase_rcpt/non-rcpt	0.03191413978032656	PTPN22,PTPRF,PTPN2
EMI	0.0402031763253093	POSTN,TGFBI
SCP-like_extracellular	0.0402031763253093	CRISP3,CRISP1
ABC_TM_transpt	0.0533062169649984	ABCB4,ABCB10
PA	0.0533062169649984	TFRC,RNF128
FHA	0.11690527454541619	SLMAP,KIF1C
AB_hydrolase_1	0.12281927030108974	ABHD6,ABHD5
Ras-assoc	0.12880474583002552	RASSF8,RGL1
RRM_RNP1	0.13811830126581875	RBMS1,FUS,MYEF2,UHMK1,CPEB2,MSI2
PH	0.14181739627070658	ITSN1,PLEKHG2,NET1,FGD2,ITK,DOCK9,PRKD3
Homeobox	0.15513918134004093	HLX,PBX3,HOXA3,HOXA5,HOXA7,HOXA9
LRR_C	0.17235192532161478	TLR4,CHAD
C2_Ca-dep	0.17378890597461047	ITSN1,RGS3,SYTL2,PRKCB
MIF4G-like_typ-3	0.19461436166359453	EIF4G1
CRAL_bd_TRIO_N	0.19461436166359453	SEC14L2
Gelsoln	0.19461436166359453	AVIL
Cys_knot	0.19461436166359453	NOV
Activin_rcpt	0.19461436166359453	TGFBR1
SAM_PNT	0.20902234948862955	ETS1
EVH1	0.20902234948862955	HOMER2
CRAL_bd_TRIO_C	0.20902234948862955	SEC14L2
Pept_C14_cat	0.22317441947461902	CASP3
