Term	P-value	Genes
Signaling by Rho GTPases	0.006321942920583005	ITSN1,NET1,FGD2,ARHGAP5,PLEKHG2,GRLF1
Signaling in Immune system	0.030030298837168127	PVR,ANGPT1,FCGR2B,PAG1,ITGB7,ITK,LAT,LBP
Opioid Signalling	0.03241785008892615	GNAZ,GNA14,GNAI1,ADCY9
Formation of PAPS	0.045654887503434764	PAPSS2
Synaptic Transmission	0.10818655915549691	DDC,TPH1,GRIA3
Hormone biosynthesis	0.1689465278997235	DDC,TPH1
Signaling by TGF beta	0.22099081950275465	TGFBR1
Signalling by NGF	0.2529690327532185	MEF2C,CASP3,DUSP3,ADCY9
Signaling by FGFR	0.27965883336709524	FGF3
Apoptosis	0.28700150961417425	PMAIP1,CASP3,GZMB
Metabolism of lipids and lipoproteins	0.394222346175085	HACL1,FABP4,ABHD5
Metabolism of carbohydrates	0.43488865380707087	SLC2A3,ALDOC
Signaling by Insulin receptor	0.4571500557857762	EIF4G1
Signaling by EGFR	0.4822314835337592	PAG1
Transmembrane transport of small molecules	0.49033681410070284	ABCD3
Metabolism of vitamins and cofactors	0.5290346905721783	SLC2A3
Signaling by PDGF	0.5850411250071719	PDGFRB
Diabetes pathways	0.6400944600937485	GNAI1,ALDOC,GNA14,IGFBP5
Integrin cell surface interactions	0.693198367532849	ITGB7
Metablism of nucleotides	0.6980512880124005	XDH
DNA Repair	0.784222292645258	FANCI
3' -UTR-mediated translational regulation	0.8071828638276787	EIF4G1
Processing of Capped Intron-Containing Pre-mRNA	0.8132910485868677	FUS
Integration of energy metabolism	0.842127229453514	ALDOC,ADCY9
Metabolism of proteins	0.8441131283013785	PIGN,EIF4G1
Biological oxidations	0.853437259932499	GSTM5
Gene Expression	0.9072256810570876	FUS,MED1,EIF4G1
Influenza Infection	0.9085265915917079	FUS
Metabolism of amino acids	0.9223308049932206	CKB
HIV Infection	0.9362198473684088	CD28
Signaling by GPCR	0.9443634564881369	GNAI1,GNAZ,GNA14,P2RY6,PTGER4,CALCRL
Hemostasis	0.9665609970487126	ANGPT1
Cell Cycle, Mitotic	0.9908859109164769	CDK6
