Term	P-value	Genes
Hs_G_Protein_Signaling_Pathways_WP35_20751	0.008847785374280956	GNAZ,GNA14,PRKACB,PRKCB,PRKD3,GNAI1,ADCY9
Hs_Biogenic_Amine_Synthesis_WP550_21838	0.009979560503513124	DDC,HDC,TPH1
Hs_Calcium_Regulation_in_the_Cardiac_Cell_WP536_21808	0.023150327308771368	PRKACB,CAMK1,GNAI1,RGS3,GNAZ,PRKCB,ADRB2,ADCY9
Hs_Nuclear_receptors_in_lipid_metabolism_and_toxicity_WP299_21309	0.033383517182936306	ABCB4,ABCD2,ABCD3
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.03467455852141672	MEF2C,HOXA9,RUNX2,TGFBR1,ETS1,ZEB2,CDK6,PRKCB
Hs_TGF_Beta_Signaling_Pathway_WP560_21858	0.04000814178566767	ZEB2,RUNX2,TGFBR1,BAMBI
Hs_SIDS_Susceptibility_Pathways_WP706_29373	0.04825923983769574	DDC,TPH1
Hs_GPCRs,_Class_B_Secretin-like_WP334_21381	0.06867229373369622	ELTD1,CALCRL
Hs_Tryptophan_metabolism_WP465_21658	0.0811159586804562	UBE3A,DDC,TPH1
Hs_IL-4_signaling_Pathway_WP395_28126	0.17790358494355743	PAWR,PRKD3,ETS1
Hs_Adipogenesis_WP236_28133	0.17824769965748413	MEF2C,KLF7,LPIN1,NRIP1,NDN
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	0.1953154326077579	IGHM,NEDD9,SLA2,CDK6,PRKCB,FCGR2B
Hs_T_Cell_Receptor_Signaling_Pathway_WP69_20823	0.20510999288567347	PTPN22,PAG1,NEDD9,SLA2,DUSP3
Hs_p38_MAPK_Signaling_Pathway_(BioCarta)_WP400_21524	0.2063266871916305	MKNK1,TGFBR1
Hs_Endochondral_Ossification_WP474_28899	0.217534930675255	MEF2C,FGFR1,RUNX2
Hs_Endochondral_Ossification_WP474_29737	0.217534930675255	MEF2C,FGFR1,RUNX2
Hs_Regulation_of_Actin_Cytoskeleton_WP51_20783	0.2575414852372473	PDGFRB,FGFR1,MYLK,FGF3,GRLF1
Hs_Small_Ligand_GPCRs_WP247_21199	0.267922071268306	PTGER4
Hs_Androgen_Receptor_Signaling_Pathway_WP138_20973	0.2695379094637986	CASP3,NRIP1,UBE3A,RUNX2
Hs_Osteoblast_WP322_21357	0.2867447811262486	PDGFRB
Hs_Apoptosis_Modulation_by_HSP70_WP384_29910	0.3050898227643968	CASP3
Hs_Apoptosis_Modulation_by_HSP70_WP384_21486	0.3050898227643968	CASP3
Hs_Apoptosis_WP254_29955	0.308216587602695	PMAIP1,CASP3,GZMB
Hs_Apoptosis_WP254_22525	0.308216587602695	PMAIP1,CASP3,GZMB
Hs_Myometrial_Relaxation_and_Contraction_Pathways_WP289_21289	0.3283458585080963	PRKACB,RGS3,PRKCB,ADCY9,IGFBP5
Hs_SIDS_Susceptibility_Pathways_WP706_29396	0.3400961871671692	DDC,TPH1
Hs_MAPK_signaling_pathway_WP382_28779	0.35424611721559707	MEF2C,PDGFRB,TGFBR1,CASP3,PRKCB
Hs_Statin_Pathway_PharmGKB_WP430_21586	0.3900584895428617	SOAT1
Hs_Statin_Pathway_PharmGKB_WP430_29996	0.3900584895428617	SOAT1
Hs_Ovarian_Infertility_Genes_WP34_20749	0.3900584895428617	NRIP1
Hs_Monoamine_GPCRs_WP58_20799	0.4057786315665307	ADRB2
Hs_SIDS_Susceptibility_Pathways_WP706_29979	0.414125557927258	DDC,TPH1
Hs_Hypothetical_Network_for_Drug_Addiction_WP666_29740	0.42109887997833445	GRIA3
Hs_Urea_cycle_and_metabolism_of_amino_groups_WP497_21724	0.42109887997833445	CKB
