Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,31,312,0.3924050632911392,0.06882859033752482,0.3235764729536144,9.235524257117193E-16,-2.25920312084903,78.20978067785454,RARA;RXRA;MAPK1;JUN;CREBBP;SMAD4;SMAD3;SMAD2;PARP1;PPARG;AR;TP53;MED1;STAT3;MAPK14;GATA1;CSNK2A1;RELA;EP300;HIF1A;SREBF1;SREBF2;HDAC4;E2F1;ESR1;RB1;CDK2;NCOA1;CEBPB;SP1;SP3
MAPK3,23,251,0.2911392405063291,0.05537171850871388,0.23576752199761525,6.084184561886674E-11,-2.223845964803472,52.310957798571856,RXRA;JUN;MAPK3;TAL1;SMAD4;SMAD2;AR;TP53;MED1;STAT3;MAPK14;GATA1;HIF1A;SREBF1;SREBF2;HDAC4;ESR1;CDK2;NCOA1;NFATC1;CEBPB;SP1;SP3
GSK3B,34,600,0.43037974683544306,0.13236267372600927,0.2980170731094338,1.2529667113505581E-10,-2.1763728981556256,49.62203512721467,CTNNB1;RXRA;MED14;JUN;AR;TP53;SFPQ;CSNK2A1;RELA;HDAC4;SMARCC1;SMARCC2;E2F1;ESR1;RB1;NCL;HMGA1;NCOA1;CEBPB;SIN3A;RARA;TAL1;SMAD4;SMAD2;NOTCH1;NCOR2;PPARG;NFKB1;NFKB2;STAT3;SREBF1;DNMT1;LEF1;ZBTB7A
MAPK8,22,275,0.27848101265822783,0.06066622545775425,0.2178147872004736,1.992577058432403E-9,-2.1443415790333273,42.959389734796424,CTNNB1;RARA;RXRA;MAPK1;JUN;MAPK3;SMAD4;SMAD3;SMAD2;PPARG;AR;CTBP1;TP53;STAT3;MAPK14;SMARCC2;ESR1;LEF1;REL;NFATC1;CEBPB;SP1
CSNK2A1,29,521,0.3670886075949367,0.11493492168541805,0.2521536859095187,8.327160567406912E-9,-2.0772512418174807,38.644648887199665,CTNNB1;MAPK1;JUN;SPI1;TP53;TLE1;CSNK2A1;PSIP1;RELA;HIF1A;SMARCA4;ARNT;HDAC3;HDAC2;HDAC1;ESR1;HMGA1;NCL;NFATC1;SUB1;CREBBP;NCOR2;PPARG;NFKB1;MAPK14;SRF;LEF1;SP1;IRF1
AKT1,19,256,0.24050632911392406,0.05647474078976395,0.1840315883241601,9.995686703805365E-8,-2.2008554996096654,35.47454895559962,CTNNB1;RARA;PPARGC1B;TAL1;CREBBP;SMAD4;SMAD3;SMAD2;FOXA2;AR;GATA1;CSNK2A1;EP300;SMARCC1;SMARCC2;DNMT1;CASP3;ESR1;CDK2
MAPK14,25,461,0.31645569620253167,0.10169865431281712,0.21475704188971456,2.1721469908642917E-7,-2.1368430745020452,32.784257542982466,MAPK1;HNF4A;JUN;AR;TP53;CSNK2A2;CSNK2A1;PSIP1;RELA;SMARCC1;E2F1;CASP3;ESR1;RB1;NCL;NCOA1;NFATC1;SIN3A;RARA;SMAD3;PPARG;MED1;STAT3;MAPK14;ZBTB7A
HIPK2,9,43,0.11392405063291139,0.009485991617030664,0.10443805901588073,1.6207535899310571E-7,-1.5780401786019767,24.672980792626007,SUMO1;CTBP1;CREBBP;TP53;TLE1;SMAD2;UBE2I;HMGA1;EP300
CDK1,25,567,0.31645569620253167,0.12508272667107875,0.1913729695314529,8.890548081884291E-6,-1.7496804615091834,20.349696853556082,RXRA;ELF1;AR;TP53;TLE1;CSNK2A1;SMARCC1;SMARCC2;E2F1;ESR1;RB1;NCL;HMGA1;NCOA1;CEBPB;RARA;TAL1;NCOR2;MED1;ZBTB16;SREBF1;DNMT1;LEF1;POU2F1;ZBTB7A
CHUK,10,90,0.12658227848101267,0.01985440105890139,0.10672787742211128,6.077777050832533E-6,-1.6737354476982467,20.103021463419502,NFKB1;NFKB2;CTNNB1;RELA;ESR1;TP53;HSPA1A;REL;CREBBP;NCOR2
CDK9,8,38,0.10126582278481013,0.008382969335980588,0.09288285344882954,7.983125559600177E-7,-1.4109360039709693,19.810621767680605,PPARG;NFKB1;HSPA1A;AR;RELA;TP53;SMAD3;RB1
MAP3K8,8,54,0.10126582278481013,0.011912640635340834,0.08935318214946929,8.293699984609543E-6,-1.4596199090588886,17.077573909815946,NFKB1;NFKB2;RELA;MAPK1;MAPK3;HSPA1A;REL;HSPA8
CDK7,7,31,0.08860759493670886,0.006838738142510479,0.08176885679419839,2.7233379404993495E-6,-1.2677486796277906,16.244490716106696,E2F1;POU2F1;RARA;AR;ESR1;TP53;CDK2
RPS6KA3,18,365,0.22784810126582278,0.08052062651665563,0.14732747474916713,5.709421338280451E-5,-1.625337908031973,15.88086429032866,MAPK1;HNF4A;MAPK3;TAL1;CREBBP;SMAD3;SMAD2;AR;TP53;STAT3;SRF;HDAC4;SMARCC1;SMARCC2;E2F1;ESR1;REL;CEBPB
IKBKB,9,87,0.11392405063291139,0.019192587690271344,0.09473146294264004,3.1093332708705233E-5,-1.492123976282917,15.486034269003286,NFKB1;NFKB2;CTNNB1;RELA;HSPA1A;REL;HSPA8;SMARCC1;PARP1
ATM,12,177,0.1518987341772152,0.039046988749172735,0.11285174542804247,7.25988137594388E-5,-1.5214506950391264,14.500280141994587,CTNNB1;EP300;HIF1A;JUN;SRF;SMARCC2;E2F1;NFKB2;TP53;HMGA1;MED1;SP1
TAF1,7,42,0.08860759493670886,0.009265387160820648,0.07934220777588821,1.5933723776692918E-5,-1.2652154692137096,13.976927272885666,TBP;SUB1;RELA;TP53;RB1;GTF2B;JUN
CDK2,24,606,0.3037974683544304,0.13368630046326935,0.17011116789116104,8.096898063567565E-5,-1.4514967745580456,13.67519620436732,RXRA;JUN;TP53;CSNK2A1;EP300;SMARCC1;E2F1;ESR1;RB1;HMGA1;NCL;CDK2;NCOA1;NFYA;CEBPB;SIN3A;CREBBP;SMAD4;SMAD3;SMAD2;MED1;ZBTB16;STAT3;POU2F1
RPS6KA5,6,37,0.0759493670886076,0.00816236487977057,0.06778700220883703,7.675705623742793E-5,-0.950030268572484,9.00140876653248,SRF;CEBPB;RELA;CREBBP;STAT3;EP300
MAP2K3,5,20,0.06329113924050633,0.004412089124200309,0.05887905011630602,5.2736161623748827E-5,-0.8049835623086885,7.929256458226042,SMAD4;SMAD3;SMAD2;MAPK14;MAPK3
MAPK9,10,162,0.12658227848101267,0.0357379219060225,0.09084435657499017,6.203067065454837E-4,-1.0727728461321173,7.922745561139075,CTNNB1;RXRA;JUN;SMAD3;SMAD2;DNMT1;TP53;RB1;HMGA1;STAT3
PRKCZ,8,104,0.10126582278481013,0.022942863445841608,0.07832295933896852,5.849544640833585E-4,-1.0523664154401478,7.833790921633544,RELA;MAPK1;MAPK3;CREBBP;CASP3;NCL;STAT3;SP1
PRKDC,12,227,0.1518987341772152,0.050077211559673505,0.10182152261754168,6.563706643382233E-4,-1.010850166829229,7.408303430220817,JUN;PARP1;NFKB1;NFKB2;TP53;RELA;SRF;E2F1;CASP3;HMGA1;POU2F1;SP1
CSNK2A2,13,267,0.16455696202531644,0.05890138980807412,0.10565557221724232,8.085888075456175E-4,-1.017549881022098,7.245179057221543,CTNNB1;SIN3A;JUN;MAPK3;CREBBP;TP53;RELA;HDAC2;HDAC1;ESR1;HMGA1;NCL;SP1
IKBKE,6,60,0.0759493670886076,0.013236267372600927,0.06271309971600666,8.367279578516847E-4,-0.5676690699355628,4.022509592268142,NFKB1;RELA;ESR1;HSPA1A;REL;HSPA8
CSNK1D,7,85,0.08860759493670886,0.018751378777851314,0.06985621615885755,9.004102977922626E-4,-0.5006455057562534,3.510856718448834,CTNNB1;TP53;NCL;HIF1A;SRF;SUB1;DNMT1
CHEK1,5,35,0.06329113924050633,0.00772115596735054,0.05556998327315579,5.342437141351517E-4,-0.43712383487785283,3.2935787872451643,E2F1;RELA;TP53;SMAD4;RB1
MAP2K1,5,39,0.06329113924050633,0.008603573792190603,0.05468756544831573,8.358469092141656E-4,-0.2891059196205275,2.0489124686932914,TAL1;MAPK1;EP300;MAPK14;MAPK3
TRIM24,7,95,0.08860759493670886,0.020957423339951466,0.0676501715967574,0.001655037342425755,-0.2307549001633165,1.4777386217034234,RARA;AR;RXRA;ESR1;HNF4A;HSPA1A;SUMO1
PRKACA,15,395,0.189873417721519,0.0871387602029561,0.1027346575185629,0.0035120811210763406,-0.15517737292138623,0.8769921396230291,CTNNB1;RXRA;TP53;RELA;EP300;ESR1;RB1;NFATC1;CEBPB;RARA;TAL1;CREBBP;NFKB1;SRF;SREBF1
RPS6KA1,6,75,0.0759493670886076,0.01654533421575116,0.059404032872856435,0.002438776389619681,-0.10788823073413376,0.6490835224390189,ESR1;MAPK1;MAPK3;SRF;CEBPB;CREBBP
MAP3K1,8,139,0.10126582278481013,0.030664019413192148,0.07060180337161798,0.0033834979919813318,-0.10851849560699811,0.6173449223856239,MAPK1;HSPA1A;ESR1;UBE2I;NCL;UBC;HSPA8;STAT3
CSNK1E,8,148,0.10126582278481013,0.03264945951908228,0.06861636326572784,0.004863728783902924,-0.09297781837606543,0.4951952020881179,CTNNB1;PSIP1;HDAC2;HDAC1;DNMT1;NFKB2;ESR1;TP53
MAPKAPK2,5,40,0.06329113924050633,0.008824178248400618,0.05446696099210571,9.278534602112709E-4,0.016699865542647144,-0.11660909480641293,SRF;ESR1;TP53;NCOA1;MAPK14
PLK3,4,18,0.05063291139240506,0.003970880211780278,0.046662031180624786,4.6145065012295056E-4,0.1340885346230954,-1.02995219584487,TP53;MAPK1;HIF1A;JUN
INSR,2,175,0.02531645569620253,0.0386057798367527,-0.01328932414055017,0.8138603746758123,7.45335713104132,-1.5351415653206337,SMAD2;HMGA1
PAK1,6,92,0.0759493670886076,0.020295609971321422,0.05565375711728618,0.006286007983205179,0.33747644375890257,-1.7108128946374361,CSNK2A2;CSNK2A1;CTBP1;ESR1;SMAD4;SMAD2
WEE1,4,18,0.05063291139240506,0.003970880211780278,0.046662031180624786,4.6145065012295056E-4,0.24318075063214628,-1.8679042828292856,SMAD3;CDK2;CASP3;CSNK2A1
MAPKAPK5,4,20,0.05063291139240506,0.004412089124200309,0.04622082226820475,6.530986393061316E-4,0.28716861698793167,-2.1060321446463486,TP53;MAPK1;MAPK14;JUN
HCK,1,77,0.012658227848101266,0.01698654312817119,-0.004328315280069923,0.743116536960067,8.334993340639896,-2.4746795272307875,STAT3
BMPR1B,1,77,0.012658227848101266,0.01698654312817119,-0.004328315280069923,0.743116536960067,8.86728285338987,-2.632717561087319,SMAD2
