TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
GATA1,41,1863,0.1305732484076433,0.08946837631465207,0.04110487209299124,0.01020429903342676,-2.2319835166782753,10.23352428438077,MEF2C;RAB27B;RGS3;AKR1C12;DMKN;ABHD6;PSG17;OAF;FAM110C;CD36;MDFI;2610507B11RIK;KIT;BCL2L15;HLF;FFAR2;CSN1S2B;HDC;TSPAN17;CRISP1;IFT57;GSTM5;DARC;SERPINF1;GLCE;OLFM1;KLF2;ZEB2;MLLT3;RRAGA;ITGB7;SVS2;SLC39A8;IGFBP5;GALNT7;HOMER2;MCPT2;TPH1;MYL10;B9D1;ITK
SP3,28,1129,0.08917197452229299,0.05421889257071508,0.03495308195157791,0.00781626991119211,-1.395274210428236,6.7692395701968,LASP1;AKR1C18;PACSIN1;LRBA;PTGER4;SLA2;SLC35A3;ALDOC;OLFM1;PLA2G7;ATP6V0A1;GCET2;NEDD9;FOXP1;CDK18;LAIR1;PHTF2;GNAZ;MSR1;RASSF8;SRPK2;ITM2A;SOAT1;SLC2A3;XDH;HYOU1;RUNX2;ARHGAP5
LEF1,38,1730,0.12101910828025478,0.08308120827930654,0.03793790000094824,0.013627042445338805,-1.4197230211638812,6.098702826777745,RGS3;APLF;SLC41A3;CREB3L2;CD36;MDFI;EHBP1;ZFP703;NEDD9;CDK18;PECAM1;BCL2L15;FFAR2;XDH;NKG7;PURA;LEMD2;ECM1;CKB;NUPR1;DARC;MYLK;MTAP7;P2RY6;ELTD1;ITGB7;SORD;PLEKHG2;TPSAB1;SIGLEC5;ALDH1B1;TSC22D1;TSC22D3;MCPT4;MCPT2;ABCD2;DFNA5;ITK
HNF4A,13,461,0.041401273885350316,0.022138980934543532,0.019262292950806784,0.025634400148746937,-1.5369114285664114,5.630966943508301,ANGPT1;A930001N09RIK;PTPN22;RBP1;COL18A1;MDFI;ENY2;CAR1;DFNA5;MYL10;MYLK;CALCRL;HS6ST2
HMGA1,35,1748,0.11146496815286625,0.08394563703596984,0.027519331116896403,0.05483495508664769,-1.844276200810683,5.354722094869375,RAB27B;DMKN;LRBA;EEPD1;KRT18;CD36;IL1RL1;2610507B11RIK;GPM6B;CD27;ATP6V0A1;FOXP1;HFE;SYTL2;TRPM7;ALDH3A1;ARHGAP5;PIGN;HIPK2;RHAG;ITSN1;LAPTM4B;IL6;FABP4;CASP3;AVIL;FANCI;MLLT3;PMAIP1;STK25;FAM105A;GGTA1;UHMK1;HEATR1;CALCRL
REL,36,1752,0.11464968152866242,0.08413773231522835,0.030511949213434073,0.038211361147663145,-1.338569926123468,4.369925358558472,AKR1C12;ABHD5;TGFBI;PSG23;OTUB1;NRGN;OAF;COL18A1;DDX4;GCET2;CSN2;SYTL2;RLIM;HDC;TRPM7;HMGA2;CLEC4B1;H2AFY2;HOXA3;GALC;HOXA9;PIGN;HIPK2;CLEC10A;PEX11A;MLLT3;MBOAT1;PLXND1;SLC39A4;MSR1;NDN;TSC22D1;NOV;ABCD3;B3GNT5;MSI2
FOXA2,29,1441,0.09235668789808917,0.06920232435287903,0.023154363545210138,0.07250121807786514,-1.606241217355409,4.2150209683843745,AKR1C12;ABHD5;PAPSS2;NET1;RNF128;FAM110C;ANPEP;CAR1;CD28;CYP4F18;PRKACB;SLC39A4;PECAM1;CLCA3;SYTL2;MSR1;ANGPT1;B4GALT4;LBP;CLEC4B1;TSPAN33;PVR;GGTA1;PDGFRB;UHMK1;ECM1;ABCD2;B3GNT5;HOXA5
IRF8,35,1770,0.11146496815286625,0.08500216107189165,0.026462807080974593,0.06300702881584203,-1.409100661935986,3.895471448171661,PKP2;DMKN;MKNK1;PSG17;KRT18;DDX4;RBMS1;NEDD9;LAIR1;NRIP1;CEP55;DDC;PVR;PDGFRB;FCER1A;SEC14L2;IFT57;HOXA7;HOXA9;MTAP7;PIGN;EIF4G1;MYCN;P2RY6;GRAMD3;CAR1;CMA1;PMAIP1;RNASEL;PCMTD1;TPSAB1;GALNT7;TULP4;SOX4;CALCRL
FOXO3A,14,597,0.044585987261146494,0.02867022042933295,0.015915766831813543,0.07327730494092462,-1.2790326571299169,3.342757396376007,PROCR;TMEM191C;SORD;FFAR2;PCMTD1;CLEC4B1;H2AFY2;IL1RL1;MED1;CD28;ELTD1;RRAGA;RUNX2;FOXP1
SP1,47,2360,0.14968152866242038,0.11333621476252222,0.03634531389989816,0.030698997817885484,-0.8887605715889647,3.0960199094791165,LASP1;PKP2;PACSIN1;LRBA;PAWR;SLC41A3;MDFI;2610507B11RIK;CPEB2;ZFP703;EML5;CEP55;TGFBR1;GNAZ;HLF;BMP2K;DOCK9;NKG7;TSPAN17;STARD10;PAG1;PTPN2;HIPK2;GRLF1;ITSN1;FGF3;SNRK;CASP3;KIF1C;OLFM1;ETS1;KLF2;QK;MLLT3;PLXNC1;PLXND1;IGFBP5;PHTF2;LPIN1;TSC22D1;UHMK1;HOMER2;PBX3;ZFAND3;SUOX;MSI2;ABHD15
