Term	P-value	Genes
TH1TH2PATHWAY	0.0050765198695826436	IL18,IFNGR2,CD28
NKTPATHWAY	0.01466739666584462	CCL3,IFNGR2,CD28
VITCBPATHWAY	0.018594631774518245	COL4A1,SLC2A3
EXTRINSICPATHWAY	0.024530487338894895	F7,F2R
HIFPATHWAY	0.0311382016959778	HIF1A,ASPH
INTRINSICPATHWAY	0.06338247612190374	COL4A1,F2R
ARGININECPATHWAY	0.11147445527318586	ARG1
IL18PATHWAY	0.11147445527318586	IL18
NEUROTRANSMITTERSPATHWAY	0.11147445527318586	HDC
IFNGPATHWAY	0.11147445527318586	IFNGR2
UREACYCLEPATHWAY	0.1263962583144588	ARG1
EEA1PATHWAY	0.1263962583144588	TFRC
BBCELLPATHWAY	0.14107867414107406	CD28
MITRPATHWAY	0.1555253631083544	MEF2C
RECKPATHWAY	0.1555253631083544	MMP14
EPONFKBPATHWAY	0.18372593656163844	HIF1A
TCAPOPTOSISPATHWAY	0.18372593656163844	CD28
ASBCELLPATHWAY	0.1974868786278148	CD28
FIBRINOLYSISPATHWAY	0.1974868786278148	F2R
ACE2PATHWAY	0.1974868786278148	COL4A1
CLASSICPATHWAY	0.22434733350793484	C1QB
ARENRF2PATHWAY	0.22434733350793484	MAFF
TCYTOTOXICPATHWAY	0.22434733350793484	CD28
THELPERPATHWAY	0.22434733350793484	CD28
ERYTHPATHWAY	0.23745359976246905	CCL3
IL7PATHWAY	0.2503483121410458	IL7R
IL17PATHWAY	0.26303472532013833	CD34
ERK5PATHWAY	0.26303472532013833	MEF2C
TIDPATHWAY	0.28779543541452873	IFNGR2
COMPPATHWAY	0.28779543541452873	C1QB
P53HYPOXIAPATHWAY	0.29987600628544203	HIF1A
IGF1MTORPATHWAY	0.29987600628544203	INPPL1
NKCELLSPATHWAY	0.29987600628544203	IL18
PAR1PATHWAY	0.3117608271666765	F2R
CTLA4PATHWAY	0.3117608271666765	CD28
TOB1PATHWAY	0.3117608271666765	CD28
CYTOKINEPATHWAY	0.3234529212233024	IL18
SPPAPATHWAY	0.3234529212233024	F2R
IL12PATHWAY	0.3349552672300546	IL18
PGC1APATHWAY	0.3462708001935231	MEF2C
VEGFPATHWAY	0.3897220036143944	HIF1A
HDACPATHWAY	0.41039992107344886	MEF2C
CARM_ERPATHWAY	0.41039992107344886	MEF2C
AT1RPATHWAY	0.4497670137613397	MEF2C
ALKPATHWAY	0.4776321804848526	MEF2C
TOLLPATHWAY	0.4776321804848526	TLR6
P38MAPKPATHWAY	0.504147209430684	MEF2C
KERATINOCYTEPATHWAY	0.5533738921528348	HOXA7
NFATPATHWAY	0.6049126475357721	MEF2C
MAPKPATHWAY	0.7843558064125191	MEF2C
