Term	P-value	Genes
phospholipid efflux (GO:0033700)	3.809752547588868E-4	APOE,APOC2,ABCA1
reverse cholesterol transport (GO:0043691)	9.352513146951225E-4	APOE,APOC2,ABCA1
phospholipid transport (GO:0015914)	9.352513146951225E-4	APOE,APOC2,ABCA1
negative regulation of cell differentiation (GO:0045596)	0.006120107758350159	C1QC,ENPP1,ABCA1,HOXA7
cholesterol transport (GO:0030301)	0.007818503042070572	APOC2,ABCA1,APOE
positive regulation of endothelial cell proliferation (GO:0001938)	0.007864395560184562	HIF1A,VEGFA
cellular iron ion homeostasis (GO:0006879)	0.009361079621190427	TFRC,SLC40A1
positive regulation of positive chemotaxis (GO:0050927)	0.009361079621190427	VEGFA,F7
regulation of viral genome replication (GO:0045069)	0.01097385793808486	CCL3,CD28
iron ion homeostasis (GO:0055072)	0.01097385793808486	TFRC,SLC40A1
regulation of nitric-oxide synthase activity (GO:0050999)	0.01097385793808486	HIF1A,APOE
regulation of blood vessel endothelial cell migration (GO:0043535)	0.01097385793808486	APOE,VEGFA
protein-lipid complex assembly (GO:0065005)	0.01269966432205329	APOE,ABCA1
positive regulation of leukocyte migration (GO:0002687)	0.01269966432205329	VEGFA,F7
positive regulation of monooxygenase activity (GO:0032770)	0.01269966432205329	HIF1A,APOE
homeostatic process (GO:0042592)	0.01488517173823352	ENPP1,TFRC,HIF1A,SLC40A1,C3AR1,CCL3,APOC2,ABCA1,F2R
T cell activation (GO:0042110)	0.015179052073529965	CHD7,DPP4,CD28
cellular ion homeostasis (GO:0006873)	0.016355612629361062	SLC40A1,C3AR1,CCL3,ENPP1,TFRC,F2R
negative regulation of macrophage differentiation (GO:0045650)	0.018525440060059288	ABCA1,C1QC
lipoprotein particle clearance (GO:0034381)	0.018525440060059288	APOC2,APOE
adaptive immune response (GO:0002250)	0.0206738238641348	IL18,TLR6
cholesterol efflux (GO:0033344)	0.0206738238641348	APOC2,ABCA1
glucose transport (GO:0015758)	0.0206738238641348	PPBP,SLC2A3
ion homeostasis (GO:0050801)	0.022343144002547746	SLC40A1,C3AR1,CCL3,ENPP1,TFRC,F2R
positive regulation of cell migration (GO:0030335)	0.022889261641179517	F7,VEGFA,F2R
positive regulation of T cell proliferation (GO:0042102)	0.022920742148404633	IL18,CD28
negative regulation of lipid metabolic process (GO:0045833)	0.022920742148404633	APOC2,APOE
cellular amine metabolic process (GO:0009308)	0.02404438613497278	KMO,ARG1,B3GNT8,CKB,HDC,SHMT1
cellular cation homeostasis (GO:0030003)	0.024266360342151662	SLC40A1,C3AR1,CCL3,TFRC,F2R
