Term	P-value	Genes
protein dimerization activity (GO:0046983)	0.0022441848968244313	APOE,VEGFA,ENPP1,TCF4,DPP4,AMBP,SHMT1,HIF1A,APOC2,P2RX3
signal transducer activity (GO:0004871)	0.003738034392460792	IL7R,TFRC,IL18,C3AR1,CCL3,ABCA1,P2RX3,PTGER4,AMFR,MMD,CD72,CD28,ELTD1,AHR,BMX,PTPRF,PTPRO,P2RY14,LILRB3,ECM1,IFNGR2,F2R
receptor activity (GO:0004872)	0.0038000479989796637	PTPRF,PTPRO,IL7R,TFRC,P2RY14,C3AR1,ABCA1,P2RX3,PTGER4,LILRB3,AMFR,MMD,CD72,CD28,ELTD1,AHR,IFNGR2,F2R
protein homodimerization activity (GO:0042803)	0.003987873769967335	APOE,VEGFA,ENPP1,DPP4,AMBP,SHMT1,APOC2,P2RX3
glucose transmembrane transporter activity (GO:0005355)	0.00840437678811193	PPBP,SLC2A3
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)	0.009856617022579233	P4HA2,ASPH
lipid binding (GO:0008289)	0.012748566705064308	APOE,APOC2,ABCA1,FABP4,FABP5,SHMT1
protein heterodimerization activity (GO:0046982)	0.013051558026159333	APOE,HIF1A,APOC2,TCF4,P2RX3
fatty acid binding (GO:0005504)	0.014819989426795062	FABP4,FABP5
heat shock protein binding (GO:0031072)	0.014819989426795062	AHR,HIF1A
peptidase activity (GO:0008233)	0.019477768941821006	F7,DPP7,DPP4,MMP14,SENP2,USP5,CPD
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	0.02064066356228785	PTPRF,PTPRO
RNA polymerase II transcription factor activity, enhancer binding (GO:0003705)	0.022760104798583973	HIF1A,IRF8
transmembrane receptor activity (GO:0004888)	0.025181229468450143	PTPRF,PTPRO,IL7R,TFRC,P2RY14,C3AR1,P2RX3,PTGER4,LILRB3,CD72,ELTD1,IFNGR2,F2R
hydrolase activity (GO:0016787)	0.0257482203491176	F7,ARG1,MMP14,ARL4C,C3AR1,DDX5,SENP2,AOAH,PTPRF,PTPRO,DPP7,DPP4,MINPP1,ATP5F1,ENPP1,INPPL1,USP5,APOBEC1,CPD
acetylglucosaminyltransferase activity (GO:0008375)	0.027253865994518536	B3GNT8,MGAT2
identical protein binding (GO:0042802)	0.028109028491600237	DPP4,SHMT1,APOC2,P2RX3,APOE,VEGFA,ENPP1,AMBP,CD28,JMJD6
electron carrier activity (GO:0009055)	0.03946142276299908	P4HA2,ASPH,KMO
serine-type peptidase activity (GO:0008236)	0.0459107148665902	DPP7,F7,CPD
serine hydrolase activity (GO:0017171)	0.047599900008553235	DPP7,F7,CPD
cytokine activity (GO:0005125)	0.07017571531802143	IL18,VEGFA,CCL3
lipid transporter activity (GO:0005319)	0.07691316819800317	ABCA1,APOE
cytokine receptor activity (GO:0004896)	0.08035872088213936	IL7R,IFNGR2
steroid binding (GO:0005496)	0.08385160628164151	ABCA1,SHMT1
cofactor binding (GO:0048037)	0.08739025671829354	KMO,SHMT1
hydrolase activity, acting on ester bonds (GO:0016788)	0.09411437080117369	PTPRF,PTPRO,MINPP1,INPPL1,USP5,C3AR1,AOAH
carboxylic acid binding (GO:0031406)	0.09459873003582278	FABP4,FABP5
ion channel inhibitor activity (GO:0008200)	0.1118508731312416	AMBP
heme binding (GO:0020037)	0.1118508731312416	AMBP
lipase inhibitor activity (GO:0055102)	0.12233020278168691	APOC2
sterol transporter activity (GO:0015248)	0.12233020278168691	ABCA1
beta-amyloid binding (GO:0001540)	0.12233020278168691	APOE
apolipoprotein binding (GO:0034185)	0.12233020278168691	ABCA1
SNARE binding (GO:0000149)	0.12233020278168691	ABCA1
neutral amino acid transmembrane transporter activity (GO:0015175)	0.13268709605583415	SLC1A4
low-density lipoprotein receptor binding (GO:0050750)	0.13268709605583415	APOE
lipase activity (GO:0016298)	0.14092667791833705	AOAH,C3AR1
insulin receptor binding (GO:0005158)	0.14292296930638565	ENPP1
ubiquitin thiolesterase activity (GO:0004221)	0.15303922268044698	USP5
cysteine-type peptidase activity (GO:0008234)	0.15316720262978653	SENP2,USP5
cholesterol binding (GO:0015485)	0.1630372402722212	ABCA1
carboxy-lyase activity (GO:0016831)	0.1630372402722212	HDC
glycoprotein binding (GO:0001948)	0.1630372402722212	F7
inositol or phosphatidylinositol phosphatase activity (GO:0004437)	0.17291839032658815	INPPL1
lipoprotein receptor binding (GO:0070325)	0.17291839032658815	APOE
phosphoinositide phospholipase C activity (GO:0004435)	0.17291839032658815	C3AR1
