Term	P-value	Genes
16166618-SuppTable4	3.0878367347781887E-26	IL7R,IL18,ENC1,HIF1A,SDC1,APOE,VEGFA,SENP2,CD28,CYP4F16,TMEM176B,AHR,KMO,PTPRCAP,BMX,TMPO,PTPRO,VGLL4,SHMT1,SLC40A1,TMEM216,FRMD4B,PF4,GAB3,ECM1,COX6A2,PION,APOBEC1,CPD,NINJ1,MAFF,LSR,ARL4C,ACSL1,TFRC,C3AR1,ABCA1,MEIS1,FABP4,PTGER4,GPNMB,OLR1,C1QC,C1QB,MMD,ZDHHC14,LY6A,LPXN,PLXNB2,ITGB5,AOAH,TMEM51,ADAM8,DPP4,RASA4,SLC2A3,ASPH,CHD7,ENPP1,LGMN,CALCRL,H2-AA,CTSB,CYP51
16166618-SuppTable3	8.060863243324313E-20	MEF2C,ARG1,MMP14,ARL4C,IL7R,TFRC,IL18,C3AR1,MEIS1,FGD4,FABP4,PTGER4,SDC1,GPNMB,H2-DMA,C1QC,EEPD1,C1QB,VEGFA,MMD,SENP2,ZDHHC14,LPXN,CYP4F16,RAB34,TMEM176B,AHR,BMX,TST,TMEM51,ADAM8,DPP7,ZDHHC6,4930471M23RIK,RASA4,SHMT1,SLC2A3,ASPH,HDC,SERPINA3G,PF4,COL4A1,GAB3,CLEC4N,ECM1,COX6A2,IL1F9,LGMN,NINJ1,LSR,H2-AA,CTSB
18160665-TableS5	2.095671391809293E-11	IGHM,RALGPS2,ENC1,HIF1A,SDC3,SDC1,GCA,VEGFA,AMFR,FUS,SGPP1,PTPRF,PTPRO,DAB2,TSPAN13,PION,INPPL1,IFNGR2,ARL4C,ABCA1,OLFM1,AOAH,PRKD3,IRF8,TCF4,FBXW11,CHD7,SNIP1,TBRG4,ENPP1,PPP1CB,CMPK2,MEF2C,MMP14,IL7R,CCL3,HIAT1,CD34,CD72,DDX5,GBE1,CD28,AHR,BMX,FOXP1,TPR,RPA2,GLIPR2,SHMT1,GAB3,CKB,MACROD1,MALAT1,HOXA5,MYCN,TFRC,C3AR1,DNAJA2,FABP5,SLC1A4,PTGER4,MMD,ZDHHC14,ITGB5,MYB,DPP4,STYX,SLC2A3,TSC22D1,LGMN,CTSB
15474998-tableS1b	5.4866682926617866E-11	MEF2C,F7,DUSP16,ARL4C,C3AR1,CCL3,FABP5,C1QC,APOE,C1QB,CD72,LY6A,CD28,TMEM176B,TMEM176A,ITGB5,IGFBP4,TCF4,DPP7,DAB2,APOC2,LILRB3,APOBEC1,LGMN,LEPROT,NINJ1,LSR,H2-AA,CTSB
15897907-SuppTable2	1.2116415167652455E-10	IGHM,ENC1,SDC1,VEGFA,AMFR,TMEM176B,TMEM176A,TMPO,PTPRF,DAB2,TSPAN13,ECM1,PION,MAFF,ARL4C,ACSL1,ABCA1,GPNMB,OLFM1,TEX14,PLXNB2,PRKD3,IGFBP4,TCF4,CHD7,ENPP1,PPP1CB,MEF2C,IL7R,IL18,APOE,KMO,TPR,MINPP1,CKB,BAMBI,CPD,HOXA9,MYCN,TFRC,C3AR1,FABP4,SLC1A4,PTGER4,C1QB,MMD,LPXN,ELTD1,ITGB5,MYB,P2RY14,SLC2A3,ASPH,STC2,MTFR1,CBR3,LGMN,CTSB,F2R
15474998-tableS1a	1.1504246494344929E-9	F7,PTPRO,GLIPR2,RASA4,CELA1,TFRC,DAB2,CCL3,ABCA1,FABP5,H2-DMA,EEPD1,LILRB3,SASH1,ZDHHC14,CD28,RAB34,ITGB5,NINJ1,FOXP1,H2-AA,IGFBP4
15474998-tableS1c	1.4789152092629685E-9	MEF2C,HIF1A,CCL3,GRINA,HIAT1,APOE,EEPD1,CD72,CD28,TMEM176B,TMEM176A,PTPRCAP,TMPO,RPA2,SHMT1,REPIN1,APOC2,LILRB3,CKB,APOBEC1,LEPROT,CPD,NINJ1,HOXA7,F7,ARL4C,TFRC,C3AR1,FABP5,H2-DMA,C1QC,C1QB,LY6A,RAB34,ITGB5,IRF8,ADAM8,TCF4,DPP7,TRP53INP2,SLC2A3,TBRG4,LGMN,PPP1CB,H2-AA,CTSB
17676974-TableS1	2.3760733287255767E-9	MEF2C,DUSP16,MMP14,MYCN,HIF1A,MEIS1,DNAJA2,PTGER4,KIF1B,AMFR,FUS,SENP2,CD28,ELTD1,DSP,LIN7C,SGPP1,CSGALNACT2,TLK2,ITFG1,CDADC1,MINPP1,FBXW11,STYX,ASPH,TSC22D1,CHD7,MUC13,MGAT2,PPP1CB,TM9SF2,CTSB,CYP51,F2R
16440291-SuppTable1	1.967726436660166E-8	APOE,C1QB,IL7R,P2RY14,LGMN,DAB2,ELTD1,ABCA1,FABP4,SDC3,PTGER4,COL4A1,IGFBP4
18450603-Table3S	1.9961743735522563E-8	MEF2C,IGHM,ADAM8,TCF4,ARL4C,ASPH,C3AR1,FGD4,GRINA,GPNMB,TSPAN13,VEGFA,MMD,PION,RAB34,SLC15A3,CPD,HOXA9,IFNGR2,CTSB
