Term	P-value	Genes
HMDB00725	3.7187419921193813E-4	SLC1A4,P4HA2,DPP4
HMDB00058	0.006947033874995021	PKIB,AHR,PPBP,ENPP1,ABCA1,MEIS1
HMDB01586	0.009221245516543615	ENPP1,NUDT14
HMDB01220	0.009221245516543615	PTGER4,CBR3
HMDB00187	0.011998219387586053	SLC1A4,SHMT1
HMDB00286	0.015094622164156754	ENPP1,NUDT14
HMDB00692	0.017142507577076686	ASPH,PPP1CB,SLC40A1,TST,P4HA2,TFRC
HMDB01498	0.02030756812879898	MINPP1,INPPL1
HMDB00288	0.03489144843126803	ENPP1,NUDT14
HMDB00254	0.03722836861358094	P4HA2,ASPH
HMDB01429	0.05952631132461517	PTPRF,PTPRO,DUSP16,MINPP1,INPPL1,PPP1CB,ATP5F1
HMDB00208	0.06651311642461628	P4HA2,ASPH
HMDB01967	0.07461034077206684	P4HA2,HDC,ASPH
HMDB01377	0.07557975431447986	ASPH,KMO,COX6A2,P4HA2
HMDB00870	0.12034331730026125	HDC
HMDB00757	0.12034331730026125	PPP1CB
HMDB01416	0.12970883960655435	ENPP1
HMDB00614	0.12970883960655435	JMJD6
HMDB10164	0.12970883960655435	JMJD6
HMDB10163	0.12970883960655435	JMJD6
HMDB10166	0.12970883960655435	JMJD6
HMDB10165	0.12970883960655435	JMJD6
HMDB10167	0.12970883960655435	JMJD6
HMDB00229	0.13897711607494073	ENPP1
HMDB00067	0.14814913081718933	ABCA1
HMDB00220	0.14814913081718933	ACSL1
HMDB00037	0.15722585824660387	PTGER4
HMDB00214	0.15722585824660387	ARG1
HMDB01491	0.1619049693349575	HDC,SHMT1
HMDB01132	0.16620826316632117	ENPP1
HMDB00161	0.1750973008725803	SLC1A4
HMDB01846	0.1750973008725803	SHMT1
HMDB00191	0.19259904878310644	ASPH
HMDB01892	0.20121362281483512	F7
HMDB03345	0.20973855747112963	ENPP1
HMDB00061	0.21817476182181558	ENPP1
HMDB00517	0.23478457109173292	ARG1
HMDB00162	0.24295994960398745	P4HA2
HMDB01338	0.24295994960398745	ACSL1
HMDB00290	0.24295994960398745	MGAT2
HMDB00044	0.25105014517191676	P4HA2
HMDB01394	0.25105014517191676	APOE
HMDB01520	0.259056022828937	ENPP1
HMDB01134	0.27481824184234016	ENPP1
HMDB00123	0.28257627081488906	SHMT1
HMDB01448	0.32745317560366016	ENPP1
HMDB00243	0.40272590040476913	HDC
HMDB07185	0.4217863792683453	PRKD3
HMDB07186	0.4217863792683453	PRKD3
HMDB07187	0.4217863792683453	PRKD3
HMDB07188	0.4217863792683453	PRKD3
HMDB07181	0.4217863792683453	PRKD3
HMDB07182	0.4217863792683453	PRKD3
HMDB07183	0.4217863792683453	PRKD3
HMDB07184	0.4217863792683453	PRKD3
HMDB07189	0.4217863792683453	PRKD3
HMDB07191	0.4217863792683453	PRKD3
HMDB07190	0.4217863792683453	PRKD3
HMDB07176	0.4217863792683453	PRKD3
HMDB07177	0.4217863792683453	PRKD3
HMDB07174	0.4217863792683453	PRKD3
HMDB07175	0.4217863792683453	PRKD3
