Term	P-value	Genes
MP0002429_abnormal_blood_cell_	4.819910904112926E-10	MEF2C,IGHM,IL7R,IL18,HIF1A,H2-OA,CCL3,RABGGTA,APOE,CD34,VEGFA,FUS,CD72,CD28,AHR,PTPRCAP,FOXP1,TMPO,CIAPIN1,SLC40A1,HDC,PF4,CLEC4N,LILRB3,HOXA9,IFNGR2,ARG1,MYCN,TFRC,C3AR1,ABCA1,MEIS1,PTGER4,H2-DMA,LY6A,IRF8,TCF4,MYB,COL4A1,MGAT2,JMJD6,LGMN,H2-AA
MP0002452_abnormal_antigen_presenting_	5.088283565792382E-10	IGHM,ARG1,MMP14,RASA4,IL18,HIF1A,H2-OA,SLC40A1,C3AR1,ABCA1,PTGER4,SDC1,H2-DMA,APOE,LILRB3,FUS,CD72,LY6A,CD28,JMJD6,LGMN,TLR6,AHR,PTPRCAP,FOXP1,IFNGR2,H2-AA,IRF8
MP0002420_abnormal_adaptive_immunity_	2.4391716687699766E-7	IGHM,ARG1,MMP14,IL7R,HIF1A,H2-OA,C3AR1,ABCA1,RABGGTA,PTGER4,SDC1,H2-DMA,APOE,FUS,CD72,LY6A,CD28,AHR,PTPRCAP,FOXP1,IRF8,TCF4,RASA4,SLC40A1,LILRB3,JMJD6,LGMN,TLR6,IFNGR2,H2-AA
MP0001819_abnormal_immune_cell_	2.6881734811547506E-7	IGHM,ARG1,MMP14,IL7R,HIF1A,H2-OA,C3AR1,ABCA1,RABGGTA,PTGER4,SDC1,H2-DMA,APOE,FUS,CD72,LY6A,CD28,AHR,PTPRCAP,FOXP1,IRF8,TCF4,RASA4,SLC40A1,LILRB3,JMJD6,LGMN,TLR6,IFNGR2,H2-AA
MP0002398_abnormal_bone_marrow_	1.275175611945032E-6	IGHM,IL7R,TFRC,C3AR1,ABCA1,MEIS1,RABGGTA,PTGER4,H2-DMA,APOE,CD34,CD72,LY6A,CD28,PTPRCAP,FOXP1,TMPO,IRF8,TCF4,MYB,PF4,CLEC4N,MGAT2,LILRB3,LGMN,HOXA9,IFNGR2
MP0002722_abnormal_immune_system_	5.046097383644206E-6	IGHM,TCF4,MYB,IL7R,SLC40A1,ABCA1,CHD7,APOE,MGAT2,VEGFA,FUS,LY6A,JMJD6,LGMN,AHR,PTPRCAP,HOXA7,HOXA9,CALCRL,H2-AA,IRF8,F2R
MP0002148_abnormal_hypersensitivity_rea_	8.126583022176532E-6	IGHM,APOE,AHR,C3AR1,CCL3,IFNGR2,PTGER4,CD28,H2-DMA
MP0000716_abnormal_immune_system_	1.2633413789855712E-5	IGHM,ARG1,IL7R,IL18,H2-OA,C3AR1,CCL3,PTGER4,H2-DMA,APOE,CD34,VEGFA,FUS,CD72,LY6A,CD28,AHR,PTPRCAP,FOXP1,IRF8,TCF4,MYB,HDC,CLEC4N,MGAT2,LILRB3,LGMN,IFNGR2,H2-AA
MP0002419_abnormal_innate_immunity_	1.8645750400201743E-5	ARG1,MMP14,RASA4,IL18,HIF1A,SLC40A1,C3AR1,ABCA1,PTGER4,APOE,JMJD6,LGMN,TLR6,AHR,H2-AA
MP0002135_abnormal_kidney_morphology_	2.6978400253753967E-5	MEF2C,PTPRF,PTPRO,MYCN,DAB2,HIF1A,ABCA1,MEIS1,TSC22D1,COL4A1,APOE,CLEC4N,MGAT2,VEGFA,JMJD6,LGMN,AHR,LIN7C
MP0000001_mammalian_phenotype_	4.748898036976058E-5	IGHM,HIF1A,RABGGTA,VEGFA,FUS,PTPRCAP,LIN7C,PTPRF,PTPRO,INPPL1,APOBEC1,MAFF,F7,ABCA1,OLR1,TCF4,CHD7,COL4A1,MGAT2,ENPP1,JMJD6,PPP1CB,MEF2C,MMP14,IL18,PKIB,APOE,ZFP110,CD28,AHR,BMX,FOXP1,MINPP1,GAB3,COX6A2,BAMBI,HOXA5,HOXA7,ARG1,SRSF3,SRSF1,MYCN,TFRC,C3AR1,P2RX3,FABP4,FABP5,PTGER4,LY6A,DSP,ITGB5,ADAM8,MYB,P2RY14,TSC22D1,CALCRL,CTSB,F2R
MP0002169_no_abnormal_phenotype_	6.365612294279692E-5	MEF2C,IGHM,F7,ARG1,SRSF3,MMP14,MYCN,PKIB,HIF1A,PTGER4,OLR1,VEGFA,ZFP110,LY6A,CD28,ITGB5,PTPRCAP,BMX,LIN7C,ADAM8,MYB,MINPP1,GAB3,BAMBI,APOBEC1,HOXA5,HOXA7,MAFF,CTSB
MP0002873_normal_phenotype_	6.795433538923074E-5	MEF2C,IGHM,F7,ARG1,SRSF3,MMP14,MYCN,PKIB,HIF1A,PTGER4,OLR1,VEGFA,ZFP110,LY6A,CD28,ITGB5,PTPRCAP,BMX,LIN7C,ADAM8,MYB,MINPP1,GAB3,BAMBI,APOBEC1,HOXA5,HOXA7,MAFF,CTSB
MP0002723_abnormal_immune_serum_	7.278050478193295E-5	IGHM,HIF1A,H2-OA,C3AR1,CCL3,ABCA1,PTGER4,SDC1,OLR1,H2-DMA,APOE,FUS,CD72,LY6A,CD28,AHR,IRF8,CLEC4N,LGMN,TLR6,F2R
MP0001784_abnormal_fluid_regulation_	9.274853401207944E-5	MYCN,TFRC,HIF1A,SLC40A1,FABP5,PTGER4,CHD7,COL4A1,VEGFA,SENP2,JMJD6,AHR,FOXP1,CALCRL,F2R
MP0001614_abnormal_blood_vessel_	9.465473261571114E-5	MEF2C,MMP14,MYCN,IL18,HIF1A,MEIS1,PTGER4,OLR1,APOE,VEGFA,DDX5,AHR,MYB,CHD7,COL4A1,ENPP1,JMJD6,APOBEC1,CALCRL,F2R
