Term	P-value	Genes
HLH_basic	0.01841542323885144	AHR,HIF1A,TCF4,MYCN
Rhodanese-like	0.01876301558612357	TST,DUSP16
Znf_DHHC	0.022142097279671324	ZDHHC6,ZDHHC14
PAS_3	0.023919020019786717	AHR,HIF1A
Exo_endo_phos	0.025752530742681433	INPPL1,EEPD1
PH	0.028446788063288965	GAB3,RALGPS2,FGD4,BMX,KIF1B,PRKD3
Lipocln_cytFABP	0.03787445244260609	AMBP,FABP4
C1q	0.03787445244260609	C1QC,C1QB
FHA	0.04007069979722714	SNIP1,KIF1B
Tyr_Pase_rcpt/non-rcpt	0.05173923100419387	PTPRF,PTPRO
SAM_2	0.061835998122349425	PPFIA4,SASH1
FN_III	0.06242601912867799	PTPRF,PTPRO,IFNGR2,IL7R
SH3_2	0.10158361211090783	ZDHHC6,SASH1
SAM	0.10464369133678779	INPPL1,PPFIA4
EGF_extracell	0.10464369133678779	ADAM8,ITGB5
L27_C	0.11000908149262581	LIN7C
Znf_UBP	0.11000908149262581	USP5
NA_bd_OB_tRNA-helicase	0.12714504387195105	RPA2
Peptidase_C1A_C	0.12714504387195105	CTSB
IGFBP_like	0.12714504387195105	IGFBP4
Homeobox	0.1290261811038325	MEIS1,HOXA5,HOXA7,HOXA9
Olfac_like	0.13559055469395775	OLFM1
VitK_dep_GLA	0.1439554427471838	F7
SCP-like_extracellular	0.15224046723484735	GLIPR2
Thyroglobulin_1	0.1604463803076793	IGFBP4
SEA	0.16857392712161828	MUC13
ADAM_cysteine	0.16857392712161828	ADAM8
Prot_inh_Kunz-m	0.176623845923974	AMBP
PA	0.176623845923974	TFRC
Lectin_C	0.17709369183172577	CD72,OLR1
TIR	0.18459686809023446	TLR6
Znf_RanBP2	0.18459686809023446	FUS
2OG-FeII_Oase	0.18459686809023446	P4HA2
PGBD_1	0.1924937182068357	MMP14
Blood-coag_inhib_Disintegrin	0.1924937182068357	ADAM8
PTB_PID	0.20031511413335001	DAB2
TF_JmjC	0.20031511413335001	JMJD6
Hemopexin	0.20806176703903728	MMP14
PAS_fold	0.20806176703903728	AHR
NUDIX_hydrolase	0.20806176703903728	NUDT14
PAAD_DAPIN	0.20806176703903728	PYHIN1
RasGRF_CDC25	0.215734381495814	RALGPS2
Chromo	0.215734381495814	CHD7
Pept_M10A_M12B	0.215734381495814	MMP14
Znf_FYVE	0.23086028065882302	FGD4
hormone_rcpt	0.23086028065882302	CALCRL
Tyr_pkinase	0.2335648371585281	BMX,TEX14
M-pesterase	0.23831494198531505	PPP1CB
SH2	0.25148778512920067	BMX,INPPL1
Helicase_C	0.25148778512920067	DDX5,CHD7
Sema	0.2530110818197636	PLXNB2
Band_4.1_N	0.2602538988985073	FRMD4B
SNF2_N	0.2602538988985073	CHD7
IPT_TIG_rcpt	0.2602538988985073	PLXNB2
AMP-dep_Synth/Lig	0.26742742942997194	ACSL1
Peptidase_M12B_N	0.28853880955048455	ADAM8
Peptidase_M12B	0.2954416714942082	ADAM8
Myb_DNA-bd	0.2954416714942082	MYB
Tyr_Pase_dual_specific	0.30227845569599326	DUSP16
UBA/Transl_elong_EF1B_N	0.3223985522662602	USP5
LRR_C	0.3289772071051311	TLR6
kinesin_motor	0.3354928463444626	KIF1B
ABC_transp_like	0.34833745420675494	ABCA1
Histone_core_D	0.3546675970788784	HIST1H3F
TF_Fork_head	0.3546675970788784	FOXP1
DnaJ_N	0.36714645539495305	DNAJA2
EGF_like	0.37598383305605704	F7,ITGB5
Peptidase_C19	0.4089765817875886	USP5
BACK	0.4147252322822796	ENC1
DAG_PE_bd	0.4316422688165851	PRKD3
DEAD/DEAH_N	0.43717336719832345	DDX5
RhoGEF	0.4640422481940642	FGD4
F-box	0.4795519774116042	FBXW11
LIM_Zn_bd	0.4795519774116042	LPXN
Peptidase_S1_S6	0.6380317842896821	F7
BTB_POZ	0.6815247721182224	ENC1
Prot_kinase_core	0.6901214942272907	TLK2,CSNK1G1,PRKD3
Ig_I-set	0.7114341709060974	PTPRF
PDZ	0.7253319779260942	LIN7C
EF_hand_Ca_bd	0.803818794564622	GCA
RRM_RNP1	0.8469730133603891	FUS
Znf_RING	0.8973431104229403	AMFR
Znf_C2H2	0.9975503648570706	REPIN1
