Term	P-value	Genes
Hs_Complement_and_Coagulation_Cascades_KEGG_WP558_22582	0.005287244639618934	C3AR1,C1QC,F7,C1QB
Hs_Statin_Pathway_PharmGKB_WP430_21586	0.005426261833669697	APOC2,ABCA1,APOE
Hs_Statin_Pathway_PharmGKB_WP430_29996	0.005426261833669697	APOC2,ABCA1,APOE
Hs_Complement_Activation,_Classical_Pathway_WP545_21826	0.012429537724581797	C1QB,C1QC
Hs_GPCRs,_Class_B_Secretin-like_WP334_21381	0.03474013524461388	ELTD1,CALCRL
Hs_Hypertrophy_Model_WP516_21764	0.0427211767205109	IL18,VEGFA
Hs_Urea_cycle_and_metabolism_of_amino_groups_WP497_21724	0.05582605051059353	CKB,ARG1
Hs_Wnt_Signaling_Pathway_NetPath_WP363_28127	0.13148863098471988	DAB2,TCF4,MYB,SENP2
Hs_Small_Ligand_GPCRs_WP247_21199	0.1918030725127317	PTGER4
Hs_Biogenic_Amine_Synthesis_WP550_21838	0.24733178157187413	HDC
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.24862998144921833	MEF2C,SNIP1,DAB2,HOXA9
Hs_Mitochondrial_LC-Fatty_Acid_Beta-Oxidation_WP368_21451	0.26061875946620094	ACSL1
Hs_Blood_Clotting_Cascade_WP272_30179	0.2736756996540347	F7
Hs_Blood_Clotting_Cascade_WP272_21251	0.2736756996540347	F7
Hs_Fatty_Acid_Biosynthesis_WP357_21427	0.28650650648512277	ACSL1
Hs_Endochondral_Ossification_WP474_28899	0.29729747891456293	MEF2C,VEGFA
Hs_Endochondral_Ossification_WP474_29737	0.29729747891456293	MEF2C,VEGFA
Hs_Adipogenesis_WP236_28133	0.32845877047069616	MEF2C,AHR,HIF1A
Hs_Nuclear_receptors_in_lipid_metabolism_and_toxicity_WP299_21309	0.3703050115812927	ABCA1
Hs_Prostaglandin_Synthesis_and_Regulation_WP98_20887	0.3814597335031806	PTGER4
Hs_One_Carbon_Metabolism_WP241_21183	0.3814597335031806	SHMT1
Hs_Inflammatory_Response_Pathway_WP453_21632	0.3924206624763102	CD28
Hs_Folic_Acid_Network_WP176_21049	0.4031910991151239	KMO
Hs_Matrix_Metalloproteinases_WP129_20953	0.4031910991151239	MMP14
Hs_Folic_Acid_Network_WP176_30153	0.4031910991151239	KMO
Hs_selenium_WP15_29615	0.41377428894207907	KMO
Hs_selenium_WP15_28780	0.41377428894207907	KMO
Hs_Fatty_Acid_Beta_Oxidation_WP143_20983	0.43439164021569115	ACSL1
Hs_Type_II_interferon_signaling_(IFNG)_WP619_28124	0.4444320252997325	IRF8
Hs_Peptide_GPCRs_WP24_20727	0.46399138541051305	C3AR1
Hs_Glycogen_Metabolism_WP500_21730	0.46399138541051305	GBE1
Hs_GPCRs,_Class_A_Rhodopsin-like_WP455_21638	0.4725219670040448	C3AR1,PTGER4,P2RY14
Hs_G13_Signaling_Pathway_WP524_21780	0.4828751722056003	PPP1CB
Hs_IL-6_Signaling_Pathway_WP364_28142	0.49058008242596124	INPPL1,BMX
Hs_Toll-like_receptor_signaling_pathway_WP245_26599	0.507635082242142	TLR6,CCL3
Hs_Toll-like_receptor_signaling_pathway_(for_GenMAPP)_WP75_26601	0.507635082242142	TLR6,CCL3
Hs_DNA_Replication_WP466_21660	0.5099840010391884	RPA2
Hs_Electron_Transport_Chain_WP111_20917	0.5298124614158501	COX6A2,ATP5F1
Hs_Id_Signaling_Pathway_WP53_20789	0.5679353393581733	VEGFA
Hs_TGF_Beta_Signaling_Pathway_WP560_21858	0.575645380538548	BAMBI
Hs_IL-4_signaling_Pathway_WP395_28126	0.6259645118081579	PRKD3
Hs_Oxidative_phosphorylation_WP623_29613	0.6456939318941903	ATP5F1
Hs_Oxidative_phosphorylation_WP623_29958	0.6456939318941903	ATP5F1
Hs_Oxidative_phosphorylation_WP623_29743	0.6456939318941903	ATP5F1
Hs_Oxidative_phosphorylation_WP623_28181	0.6456939318941903	ATP5F1
Hs_Alpha6-Beta4_Integrin_Signaling_Pathway_WP244_21193	0.682140644329582	DSP
Hs_G1_to_S_cell_cycle_control_WP45_20771	0.6934522432026619	RPA2
Hs_Myometrial_Relaxation_and_Contraction_Pathways_WP289_21289	0.7324884568688237	MAFF,IGFBP4
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	0.746441831545163	IGHM,CD72
Hs_Delta-Notch_Signaling_Pathway_WP61_20805	0.7489588029480243	MEF2C
Hs_Insulin_Signaling_WP481_28132	0.7498339955836781	PTPRF,INPPL1
Hs_G_Protein_Signaling_Pathways_WP35_20751	0.7907899510047791	PRKD3
Hs_IL-3_Signaling_Pathway_WP286_21281	0.8055364700053563	BMX
Hs_Integrin-mediated_cell_adhesion_WP185_21067	0.8090608623335818	ITGB5
Hs_mRNA_processing_WP411_26223	0.883763001396967	FUS
Hs_MAPK_signaling_pathway_WP382_28779	0.93341791326908	MEF2C
Hs_EGFR1_Signaling_Pathway_WP437_21600	0.9506589460618698	INPPL1
Hs_TNF-alpha-NF-kB_Signaling_Pathway_WP231_28972	0.961372524064261	FBXW11
