Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,42,312,0.2346368715083799,0.06882859033752482,0.16580828117085505,7.957446819092494E-12,-2.25920312084903,57.73825742563283,RARA;RXRA;JUN;MAPK8;MYBL2;CREBBP;ETS1;ETS2;PARP1;PPARG;MITF;CCNE1;TP53;PML;BCL6;STAT1;GSK3B;GATA1;GATA2;CSNK2A1;RBL1;EP300;ATF2;RUNX1;EWSR1;VAV1;CDKN1A;E2F1;ARID4B;FOS;PRKCA;HSP90AA1;ESR1;RB1;CDK2;NCOA2;NCOA3;NCOA6;CEBPA;CEBPB;SP1;SP3
HIPK2,17,43,0.09497206703910614,0.009485991617030664,0.08548607542207548,3.118925699551671E-11,-1.8469011048820607,44.678287495007666,PAX6;PML;SUMO1;RUNX1;CUL1;KAT2B;CREBBP;TP53;MECP2;TLE1;SKI;UBE2I;HMGA1;EP300;HIPK2;MDM2;SIAH2
CSNK2A1,51,521,0.2849162011173184,0.11493492168541805,0.16998127943190036,1.4549158090802204E-9,-2.158361397624821,43.91902364865205,XRCC6;CTNNB1;JUN;EIF2S2;MYBL2;SPI1;SPIB;TP53;TLE1;CREM;PML;SSRP1;CSNK2A1;PSIP1;ATF1;ATF2;ARID3A;HDAC3;CDKN1A;HDAC2;HDAC1;GTF2F2;ARID4A;CDK1;ESR1;HMGA1;NCL;NFATC1;PIAS1;TP53BP1;CREBBP;HNRNPA1;NCOR2;PPARG;NFKB1;CTDP1;STAT1;PPP1R8;YWHAQ;SRF;NPM1;SSB;BRCA1;FOS;HSP90AA1;LEF1;MDM2;APEX1;SIRT1;SP1;IRF1
GSK3B,55,600,0.30726256983240224,0.13236267372600927,0.17489989610639298,2.5031108144895254E-9,-2.134714906839833,42.279590386647634,CTNNB1;RXRA;JUN;MAPK8;MYBL2;CCNE1;SPIB;TP53;CREM;BRD2;GSK3B;SFPQ;CSNK2A1;RBL1;HNRNPD;CDKN1A;ABL1;E2F1;ARID4B;ESR1;RB1;NCL;HMGA1;NCOA3;CEBPA;CEBPB;CEBPE;SIN3A;RARA;CHEK2;TP53BP1;NOTCH2;NOTCH1;ETS1;NCOR1;NCOR2;PPARG;MITF;NFKB1;NFKB2;SPEN;HNRPDL;SUFU;STAT1;PRKAB1;NPM1;RUNX1;SNW1;KAT5;BRCA1;DNMT1;LEF1;MDM2;ZBTB7A;SIRT1
MAPK14,44,461,0.24581005586592178,0.10169865431281712,0.14411140155310465,5.6604736543137734E-8,-2.22415062126775,37.114786574883645,MECP2;JUN;MYBL2;ATR;CCNE1;SPIB;TP53;PML;BRD2;CSNK2A2;CSNK2A1;PSIP1;RBL1;ATF2;HNRNPD;TRAF6;CDKN1A;E2F1;ARID4B;ESR1;RB1;NCL;NCOA2;NCOA3;NFATC1;SIN3A;RARA;RARG;NOTCH2;ETS1;ETS2;NCOR1;PPARG;MITF;SPEN;HNRPDL;SIAH2;STAT1;RUNX1;EWSR1;SNW1;FOS;ZBTB7A;SIRT1
CDK1,48,567,0.2681564245810056,0.12508272667107875,0.14307369790992683,3.825417758681993E-7,-1.9939326139415015,29.463201650305358,CCNA1;CCNA2;RXRA;NME2;MAPK8;MYBL2;RCC1;ELF1;CCNE1;SPIB;TP53;TLE1;CREM;CSNK2A1;HNRNPD;EPB41;CDKN1A;ABL1;E2F1;E2F4;CDK1;ESR1;CDK7;RB1;NCL;HMGA1;NCOA3;CEBPA;CEBPB;RARA;CHEK2;TP53BP1;NOTCH2;NCOR2;CDT1;SPEN;PRKAB1;NPM1;RUNX1;SNW1;KAT5;BRCA1;DNMT1;LEF1;MDM4;POU2F1;ZBTB7A;SIRT1
ATM,24,177,0.1340782122905028,0.039046988749172735,0.09503122354133006,3.867987567255306E-7,-1.9839319646866815,29.29347222867463,CTNNB1;TOPBP1;EP300;JUN;FUS;CHEK2;SRF;ATF2;EWSR1;TP53BP1;KAT5;BRCA1;ATM;ABL1;E2F1;NFKB2;HSP90AA1;TP53;HMGA1;MDM2;SIAH1;MDM4;TRIM28;SP1
CDK7,12,31,0.0670391061452514,0.006838738142510479,0.060200368002740916,3.42845606552581E-8,-1.603015878639589,27.553551780500985,E2F1;POU2F1;RARA;CDK1;RARG;ESR1;TP53;CDK7;CDK2;BRCA1;GTF2H1;MNAT1
PRKDC,27,227,0.15083798882681565,0.050077211559673505,0.10076077726714214,7.356485491309571E-7,-1.8102759654660157,25.565646484104576,XRCC6;JUN;EIF2S2;MAPK8;FUS;CHEK2;TP53BP1;ATM;PARP1;NFKB1;NFKB2;TP53;CTDP1;ETV1;PRKAB1;HMGB1;HMGB2;SRF;BRCA1;ABL1;E2F1;HSP90AA1;HMGA1;NCOA6;MDM2;POU2F1;SP1
MAPK3,28,251,0.1564245810055866,0.05537171850871388,0.10105286249687272,1.4559542433091135E-6,-1.8866947758869652,25.356892963010544,RARG;RXRA;JUN;MAPK8;ETS1;ETS2;MITF;SPIB;TP53;PML;BCL6;STAT1;GSK3B;GATA1;ATF2;RUNX1;EWSR1;SNW1;FOS;PRKCA;ESR1;CDK2;NCOA2;NFATC1;CEBPA;CEBPB;SP1;SP3
