Term	P-value	Genes
positive regulation of immune system process (GO:0002684)	6.394154187670418E-4	LAT2,VEGFA,IL12A,CD27
regulation of apoptosis (GO:0042981)	0.006484253613454667	MEF2C,IL12A,NIACR1,VEGFA,CD27,MX1
nervous system development (GO:0007399)	0.006791356046784695	MEF2C,VEGFA,NRGN,VLDLR
sensory perception of sound (GO:0007605)	0.01698491962363907	WHRN,EYA1
positive regulation of immune response (GO:0050778)	0.01829424150301054	LAT2,IL12A
regulation of lymphocyte activation (GO:0051249)	0.02469051393319422	IL12A,CD27
cell cycle arrest (GO:0007050)	0.030207091982146803	AIF1,IL12A
response to stress (GO:0006950)	0.03077292492344437	AIF1,IL12A,CCL3,PDLIM1,VEGFA,MX1,EYA1
negative regulation of apoptosis (GO:0043066)	0.03480358613926351	MEF2C,VEGFA,CD27
defense response (GO:0006952)	0.03528772640509996	AIF1,IL12A,MX1,CCL3
negative regulation of programmed cell death (GO:0043069)	0.03579087156155202	MEF2C,VEGFA,CD27
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	0.039490298226409426	IL12A
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	0.039490298226409426	IL12A
positive regulation of endothelial cell migration (GO:0010595)	0.039490298226409426	VEGFA
positive regulation of T cell mediated immunity (GO:0002711)	0.039490298226409426	IL12A
positive regulation of endothelial cell proliferation (GO:0001938)	0.039490298226409426	VEGFA
positive regulation of positive chemotaxis (GO:0050927)	0.043355277555782404	VEGFA
positive regulation of transcription factor import into nucleus (GO:0042993)	0.043355277555782404	CD27
defense response to Gram-positive bacterium (GO:0050830)	0.043355277555782404	IL12A
negative regulation of cell proliferation (GO:0008285)	0.04421071504706036	AIF1,IL12A,IGFBP7
tissue homeostasis (GO:0001894)	0.04720520438898148	WHRN
long-chain fatty acid metabolic process (GO:0001676)	0.04720520438898148	HPGD
regulation of viral genome replication (GO:0045069)	0.04720520438898148	CCL3
prostaglandin metabolic process (GO:0006693)	0.04720520438898148	HPGD
regulation of leukocyte mediated cytotoxicity (GO:0001910)	0.04720520438898148	IL12A
very-long-chain fatty acid metabolic process (GO:0000038)	0.04720520438898148	HPGD
positive regulation of adaptive immune response (GO:0002821)	0.04720520438898148	IL12A
antigen receptor-mediated signaling pathway (GO:0050851)	0.04720520438898148	LAT2
regulation of blood vessel endothelial cell migration (GO:0043535)	0.04720520438898148	VEGFA
regulation of NF-kappaB import into nucleus (GO:0042345)	0.051040135401886746	CD27
positive regulation of leukocyte migration (GO:0002687)	0.051040135401886746	VEGFA
positive regulation of nucleocytoplasmic transport (GO:0046824)	0.05486012706528861	CD27
immune response-activating cell surface receptor signaling pathway (GO:0002429)	0.05486012706528861	LAT2
cell surface receptor linked signal transduction (GO:0007166)	0.055098198166752654	HPGD,CCL3,VEGFA,HOMER2,CD27,LAT2
response to radiation (GO:0009314)	0.056435406368019615	EYA1,IL12A
regulation of immune response (GO:0050776)	0.058535848466333106	LAT2,IL12A
response to lipopolysaccharide (GO:0032496)	0.058665235645056914	IL12A
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	0.058665235645056914	LAT2
regulation of cell shape (GO:0008360)	0.058665235645056914	VEGFA
positive regulation of apoptosis (GO:0043065)	0.06112198972453288	IL12A,NIACR1,MX1
positive regulation of DNA repair (GO:0045739)	0.06245551719996916	EYA1
lipoprotein particle clearance (GO:0034381)	0.06245551719996916	VLDLR
positive regulation of programmed cell death (GO:0043068)	0.06309299806320706	IL12A,NIACR1,MX1
cognition (GO:0050890)	0.0644236485899327	VLDLR,WHRN,EYA1
adaptive immune response (GO:0002250)	0.0662310275876485	CD27
negative regulation of specific transcription from RNA polymerase II promoter (GO:0010553)	0.0662310275876485	MEF2C
glutamate signaling pathway (GO:0007215)	0.0662310275876485	HOMER2
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	0.06831715423502537	MEF2C,HOXA7
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	0.06999182246255863	IL12A
exocytosis (GO:0006887)	0.06999182246255863	CCL3
regulation of cell proliferation (GO:0042127)	0.07317121683939992	AIF1,IL12A,VEGFA,IGFBP7
learning or memory (GO:0007611)	0.07373795727323239	VLDLR
neurological system process (GO:0050877)	0.07410439267564717	VLDLR,WHRN,EYA1
positive regulation of JAK-STAT cascade (GO:0046427)	0.07746948726980717	IL12A
response to molecule of bacterial origin (GO:0002237)	0.07746948726980717	IL12A
positive regulation of intracellular transport (GO:0032388)	0.07746948726980717	CD27
negative regulation of gene-specific transcription (GO:0032582)	0.08118646750035763	MEF2C
calcium-mediated signaling (GO:0019722)	0.08118646750035763	LAT2
positive regulation of innate immune response (GO:0045089)	0.08118646750035763	IL12A
positive regulation of chemotaxis (GO:0050921)	0.08118646750035763	VEGFA
