Term	P-value	Genes
MP0002114_abnormal_axial_skeleton_	5.245723028447839E-4	MEF2C,DLK1,GPC3,VEGFA,HOXA5,HOXA7,HOXA9,ANK,EYA1
MP0002429_abnormal_blood_cell_	6.2293482630325E-4	MEF2C,CCL3,VEGFA,CHI3L1,CD27,MFGE8,TRF,FCGR1,LAT2,HOXA9,PRG2,MX1,TGM2,DLK1,WHRN,GPC3
MP0005025_abnormal_response_to_	0.0014503214605137151	TPSB2,IL12A,CCL3,LCN2,GPC3,FCGR1,CAMP,MX1
MP0002420_abnormal_adaptive_immunity_	0.0014506773319527175	IL12A,CHI3L1,CD27,CMA1,MFGE8,EMR1,TGM2,TPSB2,DLK1,FCGR1,MCPT4,LAT2
MP0000716_abnormal_immune_system_	0.0014976264573441209	CCL3,VEGFA,CHI3L1,PRG2,CD27,MX1,MFGE8,TGM2,DLK1,WHRN,GPC3,FCGR1,LAT2
MP0002081_perinatal_lethality_	0.0020483769619496365	MEF2C,HPGD,SPINT1,VEGFA,ETV4,TRF,EYA1,DLK1,GPC3,PBX3,HOXA5
MP0000678_abnormal_parathyroid_gland_	0.004434454295941306	EYA1,VEGFA
MP0001819_abnormal_immune_cell_	0.00486611626363768	IL12A,CHI3L1,CMA1,MFGE8,EMR1,TGM2,TPSB2,DLK1,FCGR1,MCPT4,LAT2
MP0003122_maternal_imprinting_	0.0055949078731557895	DLK1,GPC3
MP0003942_abnormal_urinary_system_	0.007402587713479835	GPC3,EYA1,ETV4
MP0002249_abnormal_larynx_morphology_	0.01033941683339707	HOXA5,EYA1
MP0004859_abnormal_synaptic_plasticity_	0.01033941683339707	NRGN,VLDLR
MP0002925_abnormal_cardiovascular_devel_	0.010543616187895788	MEF2C,EGFL7,HPGD,GPC3,VEGFA,VLDLR,MFGE8
MP0002135_abnormal_kidney_morphology_	0.011304048554130005	MEF2C,WHRN,GPC3,TSC22D1,VEGFA,ETV4,EYA1
MP0009642_abnormal_blood_homeostasis_	0.01523212569925906	HPGD,SDC3,VEGFA,HOXA5,LTF,IL12A,VLDLR,EYA1,TGM2,DLK1,WHRN,GPC3,MCPT4,PBX3
MP0003566_abnormal_cell_adhesion_	0.01569175059752641	TGM2,MFGE8
MP0002148_abnormal_hypersensitivity_rea_	0.017150508062889484	CCL3,FCGR1,IL12A
MP0000681_abnormal_thyroid_gland_	0.019078104140849542	HOXA5,EYA1
MP0002932_abnormal_joint_morphology_	0.020430102310620785	HOXA5,ANK,EYA1
MP0003699_abnormal_female_reproductive_	0.020782614091990254	HPGD,LCN2,VEGFA,HOXA9,ANK,EYA1
MP0000627_abnormal_mammary_gland_	0.022795946370049475	MFGE8,HOXA9,ETV4
MP0000703_abnormal_thymus_morphology_	0.024270035408728314	WHRN,VEGFA,HOXA7,EYA1,TGM2
MP0002063_abnormal_learning/memory/cond_	0.02691251395638768	CCL3,NRGN,HOMER2,VLDLR,SYNPO
MP0000534_abnormal_ureter_morphology_	0.028318183773777313	EYA1,ETV4
MP0002405_respiratory_system_inflammati_	0.02980825993697869	GPC3,PRG2,IL12A
MP0002115_abnormal_skeleton_extremities_	0.030535571313091092	MEF2C,GPC3,ETV4,HOXA9,ANK
MP0009763_increased_sensitivity_to_	0.030799972016445524	IL12A,MX1,LCN2,TGM2
MP0002722_abnormal_immune_system_	0.03558926275971413	WHRN,GPC3,VEGFA,MFGE8,LAT2,HOXA7,HOXA9
MP0004085_abnormal_heartbeat_	0.036255806508380305	VEGFA,EGFL7,TGM2
MP0000858_altered_metastatic_potential_	0.038995157176348834	MFGE8,ETV4
MP0000049_abnormal_middle_ear_	0.03994478039480966	ANK,EYA1
MP0001881_abnormal_mammary_gland_	0.03994478039480966	MFGE8,HOXA9
MP0003948_abnormal_gas_homeostasis_	0.04205992611170492	VEGFA,EGFL7,PBX3,WHRN
MP0001614_abnormal_blood_vessel_	0.04260275430393411	MEF2C,EGFL7,HPGD,VEGFA,VLDLR,MFGE8,GPC3
MP0003195_calcinosis_	0.04499462451744118	ANK
MP0003936_abnormal_reproductive_system_	0.04627585071705057	MFGE8,HOXA9,ETV4
MP0001340_abnormal_eyelid_morphology_	0.04867171425058791	DLK1,HOXA5,EYA1
MP0009785_altered_susceptibility_to_	0.052002298514504185	MX1,CAMP
MP0001544_abnormal_cardiovascular_syste_	0.053644336719756824	VEGFA,HPGD,TGM2
MP0005385_cardiovascular_system_phenoty_	0.053644336719756824	VEGFA,HPGD,TGM2
MP0005423_abnormal_somatic_nervous_	0.056918503203416355	PBX3
MP0000689_abnormal_spleen_morphology_	0.0602409362893054	DLK1,GPC3,MFGE8,LAT2,HOXA9,LTF
MP0002254_reproductive_system_inflammat_	0.06086070212480855	MFGE8
MP0000266_abnormal_heart_morphology_	0.06332137326082972	MEF2C,SPINT1,VEGFA,TGM2,WHRN,GPC3,TSC22D1
MP0003123_paternal_imprinting_	0.06478679515116788	GPC3
MP0002161_abnormal_fertility/fecundity_	0.08133187374020559	DNAJC6,VEGFA,ETV4,MFGE8,EYA1,DLK1,LCN2,HOXA9
MP0009278_abnormal_bone_marrow_	0.08417791278187155	TSC22D1
MP0005503_abnormal_tendon_morphology_	0.08800871151107573	ANK
MP0005000_abnormal_immune_tolerance_	0.08999449268598485	IL12A,FCGR1,LAT2,EMR1
MP0002109_abnormal_limb_morphology_	0.09133999573309541	MEF2C,GPC3,ETV4,HOXA9,ANK
MP0003315_abnormal_perineum_morphology_	0.09182384905751356	GPC3
MP0003448_altered_tumor_morphology_	0.09183175448429085	MFGE8,TGM2
MP0002177_abnormal_outer_ear_	0.09310988565764182	HOXA5,EYA1
MP0002419_abnormal_innate_immunity_	0.09437175726626333	CHI3L1,FCGR1,MFGE8,TGM2
MP0004264_abnormal_extraembryonic_tissu_	0.09562338795927089	SPINT1
MP0003937_abnormal_limbs/digits/tail_de_	0.09697571005423573	VEGFA,ETV4
MP0002277_abnormal_respiratory_mucosa_	0.09940739051897528	HOXA5
MP0004782_abnormal_surfactant_physiolog_	0.09940739051897528	HOXA5
MP0005390_skeleton_phenotype_	0.10151076407838984	FCGR1,HOXA5,ANK
MP0005508_abnormal_skeleton_morphology_	0.10220112434006229	HOXA5,ANK
MP0003935_abnormal_craniofacial_develop_	0.10407732133815661	MEF2C,VEGFA,EYA1
MP0004084_abnormal_cardiac_muscle_	0.1069290345989439	VEGFA
MP0005195_abnormal_posterior_eye_	0.1087830477132461	EGFL7,WHRN,VEGFA,VLDLR
MP0002113_abnormal_skeleton_development_	0.11495602814764491	MEF2C,GPC3,HOXA5,HOXA9
MP0000163_abnormal_cartilage_morphology_	0.11639423390356976	HOXA5,ANK,EYA1
MP0002882_abnormal_neuron_morphology_	0.1252921400790265	DNAJC6,VEGFA,ETV4,VLDLR,EYA1,ARHGAP32,WHRN
MP0004272_abnormal_basement_membrane_	0.12912749891081288	SPINT1
MP0002723_abnormal_immune_serum_	0.13113633888580348	IL12A,CCL3,CHI3L1,DLK1,FCGR1,LAT2
MP0006082_CNS_inflammation_	0.13640645073118146	CCL3
