Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
CHUK,38,90,0.16740088105726872,0.01985440105890139,0.14754647999836734,3.520215574555031E-21,-2.128526775424566,100.2445962206579,HSP90AB1;BTRC;NFKB1;FOXO3;NFKB2;CLTC;ACTG1;MAP3K8;CSF2RA;CUL1;TUBB4;RELA;RELB;TP53;ARRB2;PIAS1;MAP3K14;EIF2AK2;FKBP5;NFKBIE;NFKBIB;NFKBIA;HSPA1A;SRC;TNFRSF1A;TUBB;REL;TUBA3C;HSPA9;TGFBR1;CREBBP;PTPN11;IKBKE;CALM3;IKBKB;NCOR1;CALM2;CALM1
MAPK1,62,312,0.27312775330396477,0.06882859033752482,0.20429916296643996,1.0182475526202429E-19,-2.217401252806545,96.96924891924472,STAT5A;STAT5B;RARA;MAPK1;JUN;MAPK8;EIF2AK2;TCF3;CREBBP;SMAD4;SMAD3;SMAD2;SMAD1;ETS1;ETS2;PPARA;PPARG;MITF;CCNE1;HSF1;AR;TP53;GTF2I;MED1;PML;NUP214;BCL6;STAT1;STAT3;RPS6KA5;CCNB1;DUSP3;PAPOLA;UBTF;MAPK14;FOXO3;GATA1;GATA2;CSNK2A1;EGFR;RELA;EP300;ARRB2;PTK2;RUNX1;VAV1;HDAC4;CDKN1B;E2F1;FOS;RB1;PRKCD;CDK2;C1QBP;LCK;NR3C1;TNFRSF1A;CEBPA;NUP153;CEBPB;SP1;JAK2
MAPK3,52,251,0.2290748898678414,0.05537171850871388,0.17370317135912755,4.006300821510353E-17,-2.139558167574345,80.78132560335695,STAT5A;SYK;JUN;MAPK3;MAPK8;TCF3;SMAD4;SMAD2;PTPN11;ETS1;ETS2;PPARA;MITF;HSF1;SPIB;AR;TP53;GTF2I;MAP3K14;MED1;PML;NUP214;BCL3;BCL6;STAT1;STAT3;RPS6KA5;DUSP3;PAPOLA;UBTF;MAPK14;FOXO3;GATA1;EGFR;PTK2;RUNX1;RUNX2;HDAC4;CDKN1B;AKT1;FOS;PRKCD;CDK2;C1QBP;LCK;NR3C1;NFATC1;CEBPA;NUP153;CEBPB;SP1;JAK2
IKBKB,33,87,0.14537444933920704,0.019192587690271344,0.1261818616489357,2.45279369750914E-17,-2.035358664917774,77.84579076109233,HSP90AB1;TBK1;NFKB1;FOXO3;NFKB2;CLTC;ACTG1;FOS;MAP3K8;CSF2RA;TUBB4;RELA;C1QBP;MAP3K14;EIF2AK2;ACVR1;NFKBIB;NFKBIA;HSPA1A;SRC;HSPA1L;TNFRSF1A;TUBB;REL;TUBA3C;HSPA5;HSPA8;HSPA9;TGFBR1;CALM3;IKBKB;CALM2;CALM1
IKBKE,24,60,0.10572687224669604,0.013236267372600927,0.0924906048740951,2.9398032199994816E-13,-1.90005723352384,54.82665225580649,HSP90AB1;BTRC;NFKB1;CLTC;ACTG1;CUL1;TUBB4;RELA;FKBP5;NFKBIA;HSPA1A;TUBB;REL;TUBA3C;HSPA8;HSPA9;STAT1;IKBKE;SPTBN1;CALM3;HNRNPH1;CALM2;SPTAN1;CALM1
JAK2,29,92,0.1277533039647577,0.020295609971321422,0.10745769399343628,1.2729297344470951E-13,-1.8162555437666477,53.92877739761953,STAT5A;STAT5B;CXCR4;PRMT5;CSF3R;CSF2RB;IFNGR1;EGFR;ELP2;HES1;MAPK1;GTF2I;MAPK3;PDGFRB;NFKBIA;KIT;MDK;TNFRSF1A;HSPA8;STAT1;VAV1;BRCA1;STAT3;PTPN11;STAT2;CDKN1B;FYN;JAK2;JAK3
JAK1,25,66,0.11013215859030837,0.01455989410986102,0.09557226448044734,2.457974426898509E-13,-1.79419810553795,52.093229721139245,STAT5A;CXCR4;PRMT5;CSF2RB;CSF3R;IFNGR1;SYK;ELP2;PLAUR;TYK2;IFNAR2;PDGFRA;PDGFRB;IL7R;MDK;TNFRSF1A;PTPN2;STAT1;BRCA1;STAT3;PTPN11;STAT2;JAK1;JAK3;GNB2L1
MAP3K8,23,54,0.1013215859030837,0.011912640635340834,0.08940894526774286,3.31344441011017E-13,-1.6573767407305453,47.625744826328486,HSP90AB1;NFKB1;NFKB2;CLTC;MAP3K8;TNIP2;TUBB4;CDK1;RELA;CD40;MAPK1;MAPK3;MAP3K14;HSPA1A;HSPA1L;REL;TUBA3C;HSPA5;HSPA8;HSPA9;SPTBN1;CALM3;CALM1
MAP3K7,27,102,0.11894273127753303,0.022501654533421574,0.09644107674411145,2.9538750483271585E-11,-1.7190289512321195,41.67840381254123,ACTG1;RELA;MAPK8;HSPA1A;HSPA1L;TUBB;SMAD6;TGFBR1;SMAD3;HDAC5;HDAC4;SMURF1;IKBKB;HDAC7;HSP90AB1;CLTC;FOS;TUBB4;FKBP5;TUBA3C;HSPA5;HSPA8;HSPA9;STAT3;CALM3;CALM2;CALM1
HIPK2,18,43,0.07929515418502203,0.009485991617030664,0.06980916256799137,1.759046842178618E-10,-1.4167236228339264,31.82114097922044,BTRC;PAX6;PML;RUNX1;CUL1;KAT2B;CREBBP;TP53;MECP2;TLE1;SMAD2;SKI;UBE2I;SMAD1;HMGA1;TP73;TRADD;EP300
PRKDC,35,227,0.15418502202643172,0.050077211559673505,0.10410781046675821,1.3804398449336984E-8,-1.6503908057386583,29.86923254725719,MEF2C;XRCC5;XRCC6;RFC1;JUN;MAPK8;FUS;NFKBIE;ATM;GFAP;NFKB1;NFKB2;HSF1;TP53;YWHAZ;ETV1;ERBB2IP;RELA;RELB;SRF;SRC;BRCA1;TRADD;SPTBN1;IKBKB;HSP90AB1;E2F1;AKT1;HMGA1;PRKCD;NR3C1;TNFRSF1A;TNFRSF1B;SP1;SPTAN1
RIPK2,17,48,0.07488986784140969,0.010589013898080741,0.06430085394332895,4.555749304105996E-9,-1.4899635739629375,28.617545338916102,ACTG1;TUBB4;UBE2I;CD40;HSPA1A;HSPA1L;TNFRSF1A;TUBB;HSPA6;TUBA3C;GAPDH;HSPA8;SMAD4;CALM3;SMURF1;CALM2;CALM1
TBK1,18,59,0.07929515418502203,0.013015662916390912,0.06627949126863111,1.1052584685165111E-8,-1.468083519715092,26.896173174781083,HSP90AB1;TBK1;NONO;AKT1;TUBB4;RELA;NFKBIA;HSPA1A;TUBB;TUBA3C;HSPA5;GAPDH;HSPA8;HSPA9;IKBKE;CALM3;CALM2;CALM1
LCK,27,161,0.11894273127753303,0.035517317449812486,0.08342541382772055,1.6649641110851172E-7,-1.649834197987007,25.751094050145706,STAT5A;CSF3R;SYK;MAPK1;MAPK3;NFKBIA;SRC;PTK2;VAV1;PTPN11;NOTCH1;FASLG;CSF2RB;PRKCD;LCK;KIT;NR3C1;GAPDH;FLT3;STAT1;STAT3;STAT2;FYN;MAPK14;JAK1;JAK3;SPTAN1
RIPK3,21,95,0.09251101321585903,0.020957423339951466,0.07155358987590757,7.995903664146981E-8,-1.4645544146175498,23.933384119413383,HSP90AB1;CLTC;ACTG1;NONO;TUBB4;ACTN4;C1QBP;HSPA1A;HSPA1L;TNFRSF1A;TUBB;TUBA3C;HSPA5;HSPA8;HSPA9;CALM3;SPTBN1;HNRNPH1;CALM2;CALM1;SPTAN1
RIPK1,16,54,0.07048458149779736,0.011912640635340834,0.058571940862456526,1.0504900289334237E-7,-1.3659821324198809,21.949746828092977,HSP90AB1;NFKB1;ACTG1;TUBB4;EGFR;FADD;HSPA1A;HSPA1L;TNFRSF1A;TUBB;TUBA3C;HSPA5;HSPA8;HSPA9;TRADD;CALM3
MAPK8,35,275,0.15418502202643172,0.06066622545775425,0.09351879656867748,9.717124880089397E-7,-1.5141569348628223,20.962300326442563,MEF2A;XRCC6;STAT5B;RARA;MAPK1;JUN;MAPK3;SMAD4;SMAD3;SMAD2;IL27RA;PPARG;HSF1;SPIB;AR;TP53;YWHAZ;NUP214;STAT1;STAT3;TP73;YWHAH;ERBB2IP;MAPK14;SRC;HDAC6;LEF1;NR3C1;TNFRSF1B;REL;NFATC1;CEBPB;CEBPE;NF1;SP1
MAP3K1,24,139,0.10572687224669604,0.030664019413192148,0.07506285283350389,5.345274846192573E-7,-1.425725027088914,20.590153584604845,ACTG1;FADD;MAPK1;MAPK8;NFKBIA;HSPA1A;HSPA1L;TUBB;AXIN1;ETS2;HSP90AB1;TUBB4;UBE2I;YWHAZ;FKBP5;HSPA6;TUBA3C;HSPA5;HSPA8;HSPA9;STAT3;CALM3;CALM2;CALM1
MAPK14,48,461,0.21145374449339208,0.10169865431281712,0.10975509018057496,1.7146503745536708E-6,-1.5256902471421134,20.255523505151576,MEF2C;MEF2A;MECP2;MAPK1;JUN;EIF2AK2;TCF3;CCNE1;HSF1;SPIB;AR;TP53;PML;RPS6KA5;CSNK2A1;EGFR;RELA;CDKN1B;IKBKB;E2F1;RB1;FKBP5;NR3C1;STUB1;NFATC1;ID2;SIN3A;RARA;SMAD3;ETS1;ETS2;NCOR1;PPARA;PPARG;MITF;MED1;STAT1;STAT3;UBTF;MAPK14;RUNX1;AXIN1;SPTBN1;CLTC;AKT1;FOS;IFNAR2;NUP153
MAP3K14,24,145,0.10572687224669604,0.03198764615045224,0.0737392260962438,1.0527604350767487E-6,-1.3333139058803793,18.351859075688978,ACTG1;RARA;EGFR;MAPK3;NFKBIA;HSPA1A;HSPA1L;TUBB;IKBKB;HSP90AB1;NFKB2;TUBB4;C1QBP;MAP3K14;STUB1;HSPA6;TUBA3C;HSPA5;GAPDH;HSPA8;HSPA9;CALM3;CALM2;CALM1
CSNK2A1,52,521,0.2290748898678414,0.11493492168541805,0.11413996818242336,1.8640521565988925E-6,-1.3472598395514215,17.77407283916525,MEF2C;MEF2A;XRCC6;MAPK1;JUN;NFKBIB;NFKBIA;SPI1;HSF1;SPIB;TP53;TLE1;CREM;PML;SSRP1;RPS6KA5;CSNK2A1;EGFR;RELA;ARRB2;SMARCA4;ATF1;VDR;HDAC3;CDKN1B;HDAC1;CDK1;HMGA1;DPF2;NR3C1;NFATC1;RFC1;PIAS1;CREBBP;PPARG;NFKB1;STAT1;UBTF;MAPK14;CALM1;SRF;BRCA1;SPTBN1;HSP90AB1;AKT1;FOS;LEF1;MCM3;SP1;IRF1;IRF2;SPTAN1
PTK2B,17,70,0.07488986784140969,0.01544231193470108,0.05944755590670861,4.7030553773145E-7,-1.2167846600425962,17.72841046540846,MAP3K4;SYK;EGFR;PRKCD;LCK;ERBB2;IL7R;SRC;PTK2;RB1CC1;VAV1;STAT3;PTPN11;FYN;JAK1;JAK2;JAK3
ABL1,24,151,0.10572687224669604,0.03331127288771233,0.0724155993589837,2.0017372770960597E-6,-1.2157862917209334,15.95293388879979,XRCC6;EGFR;EP300;JUN;PDGFRB;ERBB2;NFKBIA;SRC;VAV1;BRCA1;PTPN11;CDKN1B;GNB2L1;YAP1;TP53;RB1;PRKCD;YWHAZ;KIT;CEBPB;TP73;YWHAH;JAK1;JAK2
