TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
RUNX2,17,1750,0.20481927710843373,0.0840416846755991,0.12077759243283463,4.970495313047504E-4,-1.7753832451542186,13.50502233260221,PHF11;CCL3;CD27;MFGE8;EMR1;ARHGAP32;CLEC4A1;PDLIM1;LTF;NIACR1;PRG2;CMA2;MS4A7;NGP;WHRN;IFI204;SYNPO
REL,15,1752,0.18072289156626506,0.08413773231522835,0.09658515925103671,0.003793265885711272,-1.5058075480779243,8.394166218422779,EGFL7;SPINT1;NRGN;ARHGAP32;CLEC4A1;CLEC4B1;IFIT3;MOCOS;HOXA9;MS4A7;LCN2;GPC3;TSC22D1;PIRA11;SYNPO
POU1F1,14,1754,0.1686746987951807,0.0842337799548576,0.0844409188403231,0.00944452438511913,-1.6115124255932045,7.513386830543709,PHF11;SPINT1;TPSB2;ITGB2L;NKG7;IFIT3;PDLIM1;DMWD;GM5416;STFA2L1;VLDLR;TSC22D1;HOMER2;STFA2
CBEPA,12,1764,0.14457831325301204,0.08471401815300389,0.05986429510000815,0.047347134333541686,-2.406234140847401,7.339613238863248,RGS8;CHI3L3;CHI3L4;PDLIM1;HOXA9;STFA2L1;GM14446;PRG2;HOMER2;MCPT4;STFA2;CTSH
STAT1,2,68,0.024096385542168676,0.0032656197473947077,0.02083076579477397,0.031597374686415956,-1.9813524499548154,6.844941141429856,ARHGAP32;STFA1
FOXO3A,6,597,0.07228915662650602,0.02867022042933295,0.04361893619717307,0.03274877710609645,-1.5217180009658382,5.202585935696572,ISG15;GM5416;NIACR1;CLEC4B1;IFIT2;ELTD1
EN1,8,957,0.0963855421686747,0.04595879556259905,0.050426746606075656,0.03754327716783595,-1.5754022331982402,5.17088123625599,SPINT1;VEGFA;ELTD1;TSC22D1;D14ERTD668E;PDLIM1;LAT2;SYNPO
SPI1,12,1680,0.14457831325301204,0.08068001728857513,0.06389829596443691,0.03461674161906596,-1.4887198626633642,5.007186962886295,MEF2C;EMR1;NKG7;CLEC4B1;HOXA9;LTF;GM14446;ETV4;CMA1;MS4A7;TSC22D1;CTSH
CBEPB,17,3275,0.20481927710843373,0.15727800989290688,0.047541267215526845,0.1502623589877857,-2.215882801579976,4.199923220728841,EMR1;ARHGAP32;CLEC4B1;GM14446;PRG2;HOMER2;PIRA11;STFA1;STFA2;EGFL7;PHF11;CCL3;CHI3L3;HOXA5;HOXA9;CMA2;WHRN
MYOG,12,1675,0.14457831325301204,0.080439898189502,0.06413841506351005,0.03394662540694637,-1.2356658128756626,4.1802152208112835,PCP4L1;CD27;ALDH3B1;D14ERTD668E;HOXA5;HOXA7;ISG15;IL12A;WHRN;GPC3;PIRA11;SYNPO
LEF1,12,1730,0.14457831325301204,0.08308120827930654,0.0614971049737055,0.04185189155684599,-1.1745274848527996,3.727501901667233,PHF11;SDC3;LRG1;NKG7;STFA2L1;PRG2;ELTD1;TGM2;LCN2;GPC3;TSC22D1;MCPT4
NR5A1,8,1020,0.0963855421686747,0.04898429621092062,0.047401245957754086,0.05114784302940857,-1.240322527143206,3.687522231134823,IL12A;TRF;WHRN;PPM1E;FCGR1;2010005H15RIK;HOXA9;SYNPO
NR3C1,10,1775,0.12048192771084337,0.0852422801709648,0.03523964753987857,0.1689219424590412,-2.0163572236531047,3.585725453641048,AIF1;CHI3L3;CLEC4A1;GM5416;STFA2L1;GM5483;CMA1;CMA2;MCPT4;STFA2
TBX5,11,1663,0.13253012048192772,0.07986361235172645,0.05266650813020127,0.06654341656808758,-1.2676470907046138,3.4351976923504757,PCP4L1;LRG1;IFI27L2A;PKD2L1;LAT2;ELTD1;WHRN;GPC3;HOMER2;STFA1;CTSH
IKZF1,11,1674,0.13253012048192772,0.08039187436968737,0.052138246112240355,0.06905575506401611,-1.0278820892344778,2.7473654491114905,EGFL7;PHF11;LRG1;VEGFA;CHI3L1;IFI27L2A;TPSB2;HOXA7;HOXA9;IL12A;CAMP
RXRA,4,507,0.04819277108433735,0.024348076646016424,0.023844694438320928,0.1455152269052972,-1.2579343634793834,2.4246364656120765,H2-OB;NRGN;D14ERTD668E;ARHGAP32
NFATC3,10,1801,0.12048192771084337,0.08649089948614513,0.03399102822469824,0.17990334111789955,-1.349490187922438,2.3148285154654604,LRG1;VEGFA;CHI3L3;DMWD;HOXA5;ISG15;NIACR1;MS4A7;DLK1;TSC22D1
E2F1,18,3056,0.21686746987951808,0.14676079335350334,0.07010667652601474,0.05532133876172395,-0.7864525995533249,2.276462998831813,MEF2C;PHF11;NRGN;VEGFA;MFGE8;D14ERTD668E;IFIT2;PKD2L1;GM5416;STFA2L1;GM14446;VLDLR;ELTD1;EYA1;NGP;LCN2;HOMER2;SYNPO
ETV4,9,1773,0.10843373493975904,0.08514623253133555,0.02328750240842349,0.2747991928845353,-1.5400667828072752,1.9893268341699788,CHI3L4;ARHGAP32;NKG7;CLEC4B1;IFIT3;PKD2L1;NIACR1;ETV4;GPC3
IRF8,10,1770,0.12048192771084337,0.08500216107189165,0.03547976663895172,0.1668494055870443,-1.0389125027491135,1.860342840022227,CHI3L1;FCGR1;HOXA7;HOXA9;ISG15;GM14446;CMA1;MX1;DLK1;STFA2
JUND,9,1764,0.10843373493975904,0.08471401815300389,0.02371971678675515,0.26994227618477656,-1.2525585852275147,1.6402845063896336,CCL3;LRG1;MFGE8;ARHGAP32;PDLIM1;ISG15;STFA2L1;GM14446;GPC3
ARNT::AHR,2,207,0.024096385542168676,0.009940930701628008,0.014155454840540668,0.20149867714206182,-1.0064678667302573,1.6123338070628352,PHF11;HOXA5
ZFX,1,43,0.012048192771084338,0.0020650242520290065,0.00998316851905533,0.16072344052431448,-0.8775342156230687,1.6041941067276675,DMWD
PDX1,5,907,0.060240963855421686,0.04355760457186764,0.016683359283554043,0.2957005613587989,-1.1192848742302601,1.36374559323954,MEF2C;ELTD1;TRF;ITGB2L;MOCOS
IRF2,8,1706,0.0963855421686747,0.08192863660375546,0.014456905564919242,0.37078734065332564,-1.0741257423775052,1.0656687062633552,MEF2C;ANK;CLEC4B1;DMWD;DNAJC6;GM14446;CMA2;DLK1
SOX5,4,728,0.04819277108433735,0.034961340825049224,0.013231430259288128,0.3312918823130712,-0.7680903643621241,0.8485520334056301,NGP;WHRN;CHI3L4;LTF
SMAD3,1,72,0.012048192771084338,0.00345771502665322,0.008590477744431118,0.252409694783255,-0.5715424473768855,0.786843481021461,TGM2
NKX2-5,3,515,0.03614457831325301,0.024732267204533448,0.011412311108719563,0.33881917238476966,-0.7215690522591618,0.7809460522476058,GPC3;ELTD1;LTF
HNF4A,3,461,0.03614457831325301,0.022138980934543532,0.014005597378709479,0.28010154099298107,-0.6110942147804671,0.7776803891576964,ALDH3B1;VEGFA;LTF
PRRX2,10,2205,0.12048192771084337,0.10589252269125486,0.014589405019588511,0.38366916239175874,-0.7281573887256952,0.6975563225357205,MEF2C;TRF;MOCOS;PDLIM1;HOXA7;LTF;CMA1;ELTD1;DLK1;STFA1
SMAD4,9,1580,0.10843373493975904,0.07587763530711233,0.032556099632646704,0.17805876098359036,-0.3999288849718945,0.6901339470571267,IFIT3;DMWD;NIACR1;IGFBP7;DLK1;WHRN;TSC22D1;HOMER2;PBX3
CACYBP,9,1656,0.10843373493975904,0.07952744561302406,0.028906289326734974,0.2141141103785937,-0.44428323141799386,0.6847498332639683,VEGFA;TPSB2;NKG7;LAT2;MX1;IGFBP7;LCN2;PIRA11;SYNPO
SREBF1,8,1735,0.0963855421686747,0.08332132737837968,0.013064214790295028,0.3886878400885779,-0.6655542658315416,0.6289346216448445,EGFL7;LRG1;IFIT3;NIACR1;DNAJC6;IGFBP7;MS4A6D;2010005H15RIK
STAT3,8,1762,0.0963855421686747,0.08461797051337464,0.011767571655300069,0.405402664007506,-0.5383560059830389,0.48606789555423957,MEF2C;H2-OB;ALDH3B1;PDLIM1;ISG15;GM14446;CMA1;HOMER2
FOS,8,1708,0.0963855421686747,0.08202468424338472,0.014360857925289988,0.37201935608812736,-0.4348698180692676,0.4300033610859545,ARHGAP32;TPSB2;MOCOS;LTF;DNAJC6;GM5483;CAMP;SYNPO
SND1,1,90,0.012048192771084338,0.004322143783316525,0.007726048987767813,0.3042646583528477,-0.35532983111163846,0.42279181819746114,MOCOS
HAND1::TCFE2A,1,110,0.012048192771084338,0.005282620179609086,0.006765572591475252,0.3577207623814174,-0.34519386095308724,0.3548601832093966,PBX3
CPEB1,7,1748,0.08433734939759036,0.08394563703596984,3.917123616205137E-4,0.5521104002029154,-0.36960279418809433,0.21954674023095253,CLEC4B1;IFIT3;NIACR1;IGFBP7;MS4A6D;MCPT4;2010005H15RIK
NFYB,7,1748,0.08433734939759036,0.08394563703596984,3.917123616205137E-4,0.5521104002029154,-0.3637227323385288,0.21605394084813312,CLEC4B1;IFIT3;NIACR1;IGFBP7;MS4A6D;MCPT4;2010005H15RIK
ARID3A,8,1893,0.0963855421686747,0.09090909090909091,0.005476451259583792,0.48620479417141355,-0.24136597857304423,0.17405512738318596,EMR1;NKG7;GM5416;GM14446;CMA1;ELTD1;MS4A7;WHRN
NFYA,7,1748,0.08433734939759036,0.08394563703596984,3.917123616205137E-4,0.5521104002029154,-0.2504421513759911,0.14876445420768072,CLEC4B1;IFIT3;NIACR1;IGFBP7;MS4A6D;MCPT4;2010005H15RIK
TEAD2,8,1591,0.0963855421686747,0.07640589732507323,0.01997964484360147,0.30108409448348816,-0.10342071423878507,0.12414267489646051,CHI3L1;IFIT2;HOXA9;DNAJC6;ETV4;WHRN;TSC22D1;PBX3
NR2E3,1,139,0.012048192771084338,0.006675310954233299,0.0053728818168510386,0.42809993971343097,-0.13473348043612418,0.11430769707176135,ISG15
NKX3-2,5,1122,0.060240963855421686,0.05388272583201268,0.006358238023409006,0.4656772529793288,-0.11808665651182716,0.09024920036795761,EGFL7;DNAJC6;CMA2;ELTD1;GPC3
JUN,8,1699,0.0963855421686747,0.08159246986505307,0.014793072303621632,0.36647880055501997,-0.06477727928777793,0.06502437884561013,CD27;PDLIM1;DNAJC6;CAMP;NGP;MS4A6D;TSC22D1;SYNPO
NFKB1,15,3284,0.18072289156626506,0.15771022427123854,0.023012667295026518,0.3260520604073821,-0.025629418324492035,0.028722843389892044,SDC3;VEGFA;EMR1;MOCOS;IL12A;GM14446;LRG1;CHI3L1;NKG7;IFIT3;IFIT2;VLDLR;EYA1;WHRN;TSC22D1
SRF,3,1782,0.03614457831325301,0.08557844690966719,-0.04943386859641418,0.9768947089114877,0.4711273493483384,-0.011013262566302024,CHI3L1;IFI27L2A;GM14446
HIF1A,5,1124,0.060240963855421686,0.053978773471641935,0.006262190383779752,0.467235736553962,0.022171119296932447,-0.01687047823665205,VEGFA;IFI27L2A;TGM2;TPSB2;LTF
TFAP2A,8,1663,0.0963855421686747,0.07986361235172645,0.01652192981694825,0.34442539032345204,0.017449868865872496,-0.01859942758909989,EGFL7;SDC3;LRG1;TPSB2;ALDH3B1;LCN2;TSC22D1;SYNPO
GATA1,7,1863,0.08433734939759036,0.08946837631465207,-0.005131026917061715,0.6211084154023478,0.040300893309211945,-0.019193285539995844,MEF2C;CHI3L3;TRF;ARHGAP32;LAT2;HOMER2;STFA1
TBP,8,3182,0.0963855421686747,0.15281179465014647,-0.05642625248147176,0.9503525860294499,0.4679770171645341,-0.023830428648853135,EMR1;ITGB2L;CLEC4A1;GM14446;STFA1;CHI3L3;GM5416;GM5483
SOX2,4,1797,0.04819277108433735,0.08629880420688661,-0.03810603312254926,0.9347095206900906,0.5010127703166901,-0.03382811722657317,ARHGAP32;GM14446;EYA1;PBX3
SOX10,2,451,0.024096385542168676,0.021658742736397254,0.002437642805771422,0.5397804685185537,0.05855559546457741,-0.03610495633009335,DMWD;ARHGAP32
ETS1,3,1681,0.03614457831325301,0.08072804110838976,-0.044583462795136745,0.9679361763785588,1.7082940412971326,-0.055671812101502655,VEGFA;LTF;LCN2
AP1,1,183,0.012048192771084338,0.008788359026076935,0.003259833745007403,0.520586060802166,0.09338765999495444,-0.06096347023803694,H2-OB
POU2F1,6,1735,0.07228915662650602,0.08332132737837968,-0.011032170751873654,0.6993189492261918,0.18904587311274448,-0.06761194406732558,CLEC4B1;GM14446;ELTD1;EYA1;DLK1;PIRA11
NRF1,3,1676,0.03614457831325301,0.08048792200931662,-0.04434334369606361,0.9674179631451569,2.181651848069449,-0.07226645451773567,HPGD;LAT2;LTF
MYOD1,8,1672,0.0963855421686747,0.08029582673005811,0.016089715438616592,0.34992009510989625,0.08113415784095403,-0.08519495897146956,EGFL7;H2-OB;VEGFA;D14ERTD668E;LAT2;IGFBP7;CTSH;SYNPO
STAT5B,4,1729,0.04819277108433735,0.08303318445949191,-0.03484041337515456,0.9212559843651618,1.4270061416230935,-0.11703924730156627,NKG7;CMA1;NGP;HOMER2
SOX17,1,500,0.012048192771084338,0.024011909907314027,-0.01196371713622969,0.8669824759922953,1.0462243894508672,-0.1493344228824353,NKG7
