Term	P-value	Genes
chr11q12	4.197881657553738E-5	MPEG1,STX3,PRG3,PRG2,LPXN,SLC15A3,MS4A7,AHNAK
chr7p15	0.004326280316656742	HOXA2,HOXA5,HOXA7,HOXA9
chr12q	0.005462299628181657	CHPT1,TRAFD1
chr3q21	0.00766161895582004	CPA3,ACPP,LTF,P2RY14
chr2q32	0.007977521373972757	SLC40A1,STAT1,RPE
chr17q11	0.010480929999135734	CCL2,CCL8,CCL7,EVI2A
chr6q21	0.017463018957442473	PKIB,SESN1,MARCKS
chr20q12	0.03436517228320685	TGM2,SLPI
chr2p14	0.03551657761316108	MEIS1,GCA
chr7p	0.03642705141058476	GPNMB
chr4q12	0.04149186191024707	IGFBP7,PPBP
chr10q23	0.04631965315023317	PDLIM1,IFIT3,IFIT2
chr3q27	0.08076603225106373	KLHL24,RTP4
chrxq21	0.08232457472722558	ARMCX2,ARMCX1
chr1p	0.08618846798913282	IFI44
chr17p13	0.10010282773333884	GAS7,CLEC10A,NLGN2,SCARF1
chr2p25	0.10170963017636661	ADAM17,RSAD2
chr9q21	0.10842727684966473	KLF9,ANXA1
chr14q11	0.11363925089793707	MMP14,CMA1,CEBPE,RNASE6
chr4q34	0.12878475848274726	HPGD
chr10q24	0.1508770587917268	PKD2L1,NRAP
chr2q34	0.1515901734318259	FN1
chr3q24	0.1560795238401731	P2RY13
chr15q25	0.16381222457334388	MFGE8,CTSH
chr18q21	0.16567623415151392	PMAIP1,BCL2
chr1q12	0.16940635141548271	S100A8
chr13q14	0.17693594138436253	TSC22D1,PHF11
chr5q32	0.18252391799812823	CSF1R
chr1q23	0.182610444199727	FCER1A,PCP4L1
chr3p12	0.19543549068972874	IL12A
chr7q33	0.1996941292433647	CLEC5A
chr17q22	0.1996941292433647	BZRAP1
chr9p12	0.20814428600170365	DDX58
chr7q22	0.21133930481602223	PILRA,CLDN15
chr9q34	0.21497582738346957	GFI1B,EGFL7,LCN2
chr17p12	0.22065347042658898	HS3ST3B1
chr8p22	0.22065347042658898	MTUS1
chr21q22	0.22601240006006174	DNMT3L,MX1,MX2
chr11q23	0.23657433429140345	SORL1,AMICA1
chr14q12	0.23702725820736295	EGLN3
chr13q13	0.23702725820736295	EPSTI1
chr1p33	0.2490827233929128	ELTD1
chr5q12	0.26875572466411113	MAST4
chr8q13	0.26875572466411113	EYA1
chr18q11	0.26875572466411113	B4GALT6
chr7p21	0.27648066810518085	SCIN
chr6q14	0.28031265801177874	HMGN3
chr17q24	0.2916879731841516	PPM1E
chr2q12	0.2916879731841516	IL1R2
chr17q21	0.29258867143440415	ATP6V0A1,TMEM106A,MPO
chr4q28	0.29543987715409803	SLC7A11
chr9p24	0.30288450824558455	VLDLR
chr11q13	0.3069822649254458	P2RY6,ALDH3B1,DGAT2
chr12q14	0.31390505689205334	PPM1H
chr2q35	0.31390505689205334	SLC11A1
chr2p16	0.31390505689205334	BCL11A
chr18q12	0.32475236964782994	MOCOS
chr11q22	0.32475236964782994	IL18
chr12q12	0.3318890080608553	STAT2
chr5q14	0.3318890080608553	MEF2C
chr7q11	0.33204391054788596	FGL2,LAT2
chr10p12	0.3354291540527052	NRP1
chr5p13	0.3494042015145108	DAB2
chr5q33	0.3562817588645551	UBLCP1
chr11q14	0.36308702578070134	CTSC
chr12p12	0.36646278678235433	MGST1
chr9q31	0.3797888614651824	CTNNAL1
chr3q25	0.3830766002538325	GPR171
chr4q35	0.38634701040689656	ANKRD37
chr5q31	0.3927588626538367	PDLIM4,H2AFY
chr7p14	0.4056106214459835	AOAH
chr20q13	0.4112420357416291	ZNFX1,ZBP1
chr3p25	0.4242728816863209	SRGAP3
chr2p23	0.4303632447504971	XDH
chr15q24	0.4303632447504971	HOMER2
chr12q23	0.4333843614039251	ELK3
chr3p21	0.4437975936768606	TREX1,CAMP
chr15q13	0.4482526415068298	SPINT1
chr5q13	0.45117941542767337	CCDC125
chr1p32	0.4540907529054996	CDKN2C
chrxq13	0.4540907529054996	DLG3
chr15q22	0.4768353654112021	UACA
chr3q13	0.47961136712034674	MUC13
chr4q21	0.4851195100366522	ANXA3
chr15q21	0.49056968266340123	HDC
chr11q24	0.49327321992606366	SLC37A2
chr7q36	0.4959624915242601	GIMAP1
chr16p12	0.5039454592598328	TMEM159
chr15q26	0.511802707644415	ISG20
chr17q12	0.5516646869280138	CCL3
chr7q34	0.5794218131327511	PARP12
chr10q22	0.5860898272221288	ACTA2
chr1p36	0.5894644007558486	ISG15,CD52,EPHB2
chr16p13	0.6015466551413834	TPSB2,SEPX1
chr1q21	0.6072241713694265	S100A9,CTSS
chr4p16	0.6158436674003528	JAKMIP1
chr5q35	0.6377214708962758	TSPAN17
chr1q32	0.6829448953265698	HSD11B1
chr19p13	0.6990870820348215	IL27RA,RAB3D,EMR1
chrxp22	0.7057699926817654	CSF2RA
chr17q25	0.7135194844249875	AATK
chr11p15	0.7180195515429766	CSRP3,IRF7
chr12p13	0.7864660223357323	CLEC4D
chr19q13	0.7878199931127704	CD177,NKG7,LILRB4,DMWD
chr12q24	0.7986667597282125	HVCN1
chr6p21	0.8367604415419007	AIF1,TREM2
chr22q11	0.88217650225303	USP18
chr14q32	0.9186679938366702	DLK1
