Term	P-value	Genes
cytokine activity (GO:0005125)	9.63250635608478E-5	IL18,VEGFA,IL12A,CCL3,CCL2,CCL8,CCL7
signal transducer activity (GO:0004871)	9.866069537774389E-4	FPR2,HPGD,IL18,CCL3,CCL2,CCL8,P2RY6,EPHB2,NRP1,GPR171,CD27,VLDLR,ELTD1,CSF1R,EMR1,SORL1,EVI2A,P2RY14,CSF2RA,TREM2,S100A9,LILRB4,STAT1,STAT2,SCARF1
low-density lipoprotein binding (GO:0030169)	0.0016675969147381421	SORL1,SCARF1,VLDLR
chemokine activity (GO:0008009)	0.0022652355964849994	CCL3,CCL2,CCL8,CCL7
lipoprotein binding (GO:0008034)	0.004194874931498489	SORL1,SCARF1,VLDLR
receptor activity (GO:0004872)	0.00850152474940907	FPR2,P2RY14,HPGD,P2RY6,CSF2RA,TREM2,LILRB4,EPHB2,NRP1,GPR171,CD27,VLDLR,ELTD1,CSF1R,EMR1,SORL1,EVI2A,SCARF1
G-protein-coupled receptor binding (GO:0001664)	0.008736558431221448	CCL3,CCL2,CCL8,CCL7
peptidase activity (GO:0008233)	0.009483371566717042	TPSB2,USP18,MMP14,CMA1,CPA3,LTF,CTSS,CTSH
transmembrane receptor activity (GO:0004888)	0.009683639479222047	FPR2,P2RY14,HPGD,P2RY6,EPHB2,NRP1,GPR171,CD27,VLDLR,ELTD1,CSF1R,EMR1,SORL1,EVI2A,SCARF1
endopeptidase activity (GO:0004175)	0.011983594990156953	TPSB2,LTF,CTSS,MMP14,CTSH,CMA1
3'-5' exonuclease activity (GO:0008408)	0.023765085283480442	TREX1,ISG20
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.025397798440017112	NRP1,EPHB2,CSF1R
calcium ion binding (GO:0005509)	0.026197430584303835	S100A8,S100A9,SCIN,ANXA1,GCA
deoxyribonuclease activity (GO:0004536)	0.03681750177635181	TREX1,ISG20
serine-type endopeptidase activity (GO:0004252)	0.0388330051292902	LTF,TPSB2,CMA1
cysteine-type peptidase activity (GO:0008234)	0.040510062218105845	USP18,CTSS,CTSH
exonuclease activity (GO:0004527)	0.042651564975992325	TREX1,ISG20
receptor binding (GO:0005102)	0.047484233635079025	IL12A,IL18,CCL3,CCL2,CCL8,CCL7,BZRAP1,ANXA1,HMGN3,VEGFA,JAKMIP1,ADAM17
serine-type peptidase activity (GO:0008236)	0.05521214606614161	LTF,TPSB2,CMA1
serine hydrolase activity (GO:0017171)	0.05720687123288858	LTF,TPSB2,CMA1
carbohydrate binding (GO:0030246)	0.059957619983132454	VEGFA,FN1,PRG2,CLEC10A
protein tyrosine kinase activity (GO:0004713)	0.06339353897575166	NRP1,EPHB2,CSF1R
specific RNA polymerase II transcription factor activity (GO:0003704)	0.06545971152038726	GFI1B,IRF7
phosphoinositide binding (GO:0035091)	0.06545971152038726	SCIN,ARAP2
heparin binding (GO:0008201)	0.06899024348540687	FN1,VEGFA
ribonuclease activity (GO:0004540)	0.07623350470303875	ISG20,RNASE6
G-protein coupled receptor activity (GO:0004930)	0.10437848572285263	GPR171,FPR2,P2RY14,HPGD,ELTD1,P2RY6,EMR1
cysteine-type endopeptidase activity (GO:0004197)	0.10734186952778278	CTSS,CTSH
hematopoietin/interferon-class (D200-domain) cytokine receptor binding (GO:0005126)	0.11143955201532062	IL12A,ADAM17
caspase inhibitor activity (GO:0043027)	0.12010355094310537	CD27
scavenger receptor activity (GO:0005044)	0.13129737831647748	SCARF1
phosphotransferase activity, for other substituted phosphate groups (GO:0016780)	0.13129737831647748	CHPT1
apolipoprotein binding (GO:0034185)	0.13129737831647748	VLDLR
calcium activated cation channel activity (GO:0005227)	0.13129737831647748	PKD2L1
glucose transmembrane transporter activity (GO:0005355)	0.13129737831647748	PPBP
neutral amino acid transmembrane transporter activity (GO:0015175)	0.14235009055918751	SLC7A11
ATPase binding (GO:0051117)	0.14235009055918751	ATP6V0A1
metallocarboxypeptidase activity (GO:0004181)	0.14235009055918751	CPA3
sugar binding (GO:0005529)	0.1455460502599953	PRG2,CLEC10A
lipid binding (GO:0008289)	0.15076198585559433	CHPT1,STX3,SCIN,ARAP2
solute:solute antiporter activity (GO:0015300)	0.1532634503719091	SLC7A11
glycosaminoglycan binding (GO:0005539)	0.1543842431074368	VEGFA,FN1
fatty acid binding (GO:0005504)	0.1746790547036492	STX3
carboxy-lyase activity (GO:0016831)	0.1746790547036492	HDC
SH2 domain binding (GO:0042169)	0.18518471662444838	LAT2
peroxidase activity (GO:0004601)	0.18518471662444838	MPO
phosphatidylinositol binding (GO:0005545)	0.18518471662444838	SCIN
galactosyltransferase activity (GO:0008378)	0.19555786143801673	B4GALT6
glutathione transferase activity (GO:0004364)	0.19555786143801673	MGST1
carboxypeptidase activity (GO:0004180)	0.19555786143801673	CPA3
endopeptidase inhibitor activity (GO:0004866)	0.20453705415330173	SPINT1,CD27
cysteine-type endopeptidase inhibitor activity (GO:0004869)	0.2058001454082142	CD27
O-acyltransferase activity (GO:0008374)	0.2159132043102345	DGAT2
protease binding (GO:0002020)	0.2159132043102345	BCL2
RNA polymerase II transcription factor activity (GO:0003702)	0.21667640670039012	MEF2C,MEIS1,GFI1B,IRF7
structure-specific DNA binding (GO:0043566)	0.21853419934618912	ZBP1,TREX1
metallopeptidase activity (GO:0008237)	0.2279128328019038	CPA3,MMP14
carbon-carbon lyase activity (GO:0016830)	0.23575808886133923	HDC
metalloexopeptidase activity (GO:0008235)	0.23575808886133923	CPA3
thyroid hormone receptor binding (GO:0046966)	0.24549308574430037	HMGN3
ubiquitin-specific protease activity (GO:0004843)	0.24549308574430037	USP18
PDZ domain binding (GO:0030165)	0.2551052004787613	ADAM17
metal ion binding (GO:0046872)	0.2593638104108751	MMP14,ANXA1,GCA,S100A8,S100A9,SEPX1,SCIN
protein domain specific binding (GO:0019904)	0.2594100095055655	LAT2,ADAM17,BCL2
phospholipid binding (GO:0005543)	0.2609167507513484	SCIN,ARAP2
cell surface binding (GO:0043498)	0.26459596998184337	VEGFA
caspase regulator activity (GO:0043028)	0.26459596998184337	CD27
collagen binding (GO:0005518)	0.2739669121487116	FN1
protein kinase inhibitor activity (GO:0004860)	0.2739669121487116	CDKN2C
antioxidant activity (GO:0016209)	0.2739669121487116	MPO
enzyme inhibitor activity (GO:0004857)	0.27664644719126635	CDKN2C,SPINT1,CD27
protein homodimerization activity (GO:0042803)	0.286067497719418	VEGFA,TREX1,BCL2,HPGD
kinase inhibitor activity (GO:0019210)	0.29235529213155637	CDKN2C
growth factor activity (GO:0008083)	0.29397901435615015	IL12A,ADAM17
hydrolase activity (GO:0016787)	0.2954062492251436	ISG20,USP18,MMP14,RAB3D,CMA1,MX2,AOAH,EYA1,TPSB2,CPA3,RNASE6,TREX1,LTF,CTSS,CTSH
protein complex binding (GO:0032403)	0.29869183546669187	ADAM17,TREX1
protein dimerization activity (GO:0046983)	0.30087886023503957	VEGFA,TREX1,IL12A,BCL2,HPGD
actin filament binding (GO:0051015)	0.3102821113746694	MARCKS
amino acid transmembrane transporter activity (GO:0015171)	0.3102821113746694	SLC7A11
actin binding (GO:0003779)	0.3315171805846942	NRAP,MARCKS
coenzyme binding (GO:0050662)	0.3363319506898716	HPGD
protein kinase activity (GO:0004672)	0.3436701731095248	EPHB2,NRP1,CCL2,CSF1R,PRKCB
calmodulin binding (GO:0005516)	0.3531544798316881	MARCKS
sulfotransferase activity (GO:0008146)	0.3695544083697156	HS3ST3B1
metalloendopeptidase activity (GO:0004222)	0.37759919524204616	MMP14
serine-type endopeptidase inhibitor activity (GO:0004867)	0.38554225668099995	SPINT1
chromatin binding (GO:0003682)	0.38554225668099995	MPO
single-stranded DNA binding (GO:0003697)	0.39338486721668475	TREX1
carboxylesterase activity (GO:0004091)	0.39338486721668475	AOAH
receptor signaling protein activity (GO:0005057)	0.40020793029830154	STAT1,STAT2
hydrolase activity, acting on ester bonds (GO:0016788)	0.40470425811221145	ISG20,TREX1,AOAH,EYA1,RNASE6
cofactor binding (GO:0048037)	0.40877375488282025	HPGD
integrin binding (GO:0005178)	0.40877375488282025	ADAM17
carboxylic acid binding (GO:0031406)	0.42377574167967197	STX3
amine transmembrane transporter activity (GO:0005275)	0.43113466893088914	SLC7A11
protein heterodimerization activity (GO:0046982)	0.4355258532208073	IL12A,BCL2
carboxylic acid transmembrane transporter activity (GO:0046943)	0.4596506921131212	SLC7A11
protein kinase regulator activity (GO:0019887)	0.4596506921131212	CDKN2C
GTPase activity (GO:0003924)	0.4739036016465636	MX2,RAB3D
cytoskeletal protein binding (GO:0008092)	0.4984906859632714	MARCKS,NRAP,PKD2L1
enzyme binding (GO:0019899)	0.5060669075318612	DNMT3L,BCL2,ATP6V0A1,CDKN2C
lipase activity (GO:0016298)	0.5061862183058985	AOAH
peptide receptor activity, G-protein coupled (GO:0008528)	0.5369725918423761	FPR2
nuclear hormone receptor binding (GO:0035257)	0.5487476551617588	HMGN3
protein tyrosine phosphatase activity (GO:0004725)	0.5545234308418157	EYA1
cation channel activity (GO:0005261)	0.5608130625270715	PKD2L1,HVCN1
GTP binding (GO:0005525)	0.5658561316897402	MX1
transcription factor activity (GO:0003700)	0.5885953689876652	MEF2C,GAS7,KLF9,STAT1,ELK3,HOXA7
kinase activity (GO:0016301)	0.5995871130344917	CCL2,EPHB2,NRP1,CSF1R,PRKCB
cytokine binding (GO:0019955)	0.6183739805264283	IL12A
protein kinase binding (GO:0019901)	0.6183739805264283	CDKN2C
zinc ion binding (GO:0008270)	0.6240548658399051	SEPX1,MMP14
transferase activity (GO:0016740)	0.635793527118346	CCL2,EPHB2,NRP1,CHPT1,CSF1R,PRKCB,DGAT2,B4GALT6,HS3ST3B1,MGST1
lyase activity (GO:0016829)	0.6375725026561884	HDC
ubiquitin-protein ligase activity (GO:0004842)	0.6375725026561884	TSPAN17
protein binding, bridging (GO:0030674)	0.6375725026561884	ANXA1
cation transmembrane transporter activity (GO:0008324)	0.6496005533501377	HVCN1,PKD2L1,SLC40A1
ion channel activity (GO:0005216)	0.6591539422628814	PKD2L1,HVCN1
acyltransferase activity (GO:0008415)	0.6602299007492617	DGAT2
transcription repressor activity (GO:0016564)	0.674230573700892	ELK3,DNMT3L
voltage-gated ion channel activity (GO:0005244)	0.6814830418104826	HVCN1
small conjugating protein ligase activity (GO:0019787)	0.6855728460865638	TSPAN17
kinase binding (GO:0019900)	0.6935969965770186	CDKN2C
phosphoprotein phosphatase activity (GO:0004721)	0.701418202604637	EYA1
channel activity (GO:0015267)	0.705513066692859	PKD2L1,HVCN1
transferase activity, transferring acyl groups (GO:0016746)	0.7090415506732004	DGAT2
DNA binding (GO:0003677)	0.7155606428819965	MEF2C,GAS7,KLF9,ZBP1,H2AFY,TREX1,STAT1,ELK3,HOXA7
acid-amino acid ligase activity (GO:0016881)	0.7164720009096117	TSPAN17
protein C-terminus binding (GO:0008022)	0.7201164056016682	DAB2
transcription regulator activity (GO:0030528)	0.7225802176173632	MEF2C,GAS7,MEIS1,KLF9,IRF7,DNMT3L,GFI1B,STAT1,ELK3,HOXA7
transcription corepressor activity (GO:0003714)	0.7237143902405047	ELK3
