Term	P-value	Genes
alzheimer_disease	0.019470066826509827	SORL1,MPO
usher_syndrome	0.09101647129648396	WHRN
anomalies	0.10541598387061464	EYA1
cardiomyopathy,_hypertrophic	0.1335817319651572	CSRP3
aneurysm	0.1404933306849082	ACTA2
orofacial_cleft	0.14735370318790444	HOXA2
lung_cancer	0.16092217000077286	MPO
lymphoma	0.1676309590467473	BCL2
asthma	0.17428991137475539	PHF11
systemic_lupus_erythematosus	0.2068490148304866	TREX1
prostate_cancer	0.21953560233501707	EPHB2
obesity	0.22580799129413887	SDC3
mental_retardation	0.23192372985445167	DLG3,VLDLR
cardiomyopathy,_dilated	0.23821258494140232	CSRP3
cardiomyopathy	0.29178316879426264	CSRP3
cataract	0.32001140424785585	EYA1
leukemia	0.472988078715961	BCL2
deafness	0.600293141551	WHRN
