Term	P-value	Genes
LIM_Zn_bd	0.00126895862160795	PDLIM4,PDLIM1,LPXN,CSRP3,NRAP
Lectin_C	0.002410043798708553	CLEC4D,PRG3,PRG2,CLEC5A,CLEC10A
Dynamin_GTPase	0.012383849736309254	MX1,MX2
Peptidase_C1A_C	0.012383849736309254	CTSS,CTSC
Exonuc_X-T	0.015804000934485862	TREX1,ISG20
PDZ	0.019675498202870602	PDLIM4,PDLIM1,DLG3,AHNAK,MAST4
PP2C_N	0.0236921833976024	PPM1E,PPM1H
Cdc15_Fes_CIP4	0.02586987482259259	GAS7,SRGAP3
FN_III	0.033076641889704245	EPHB2,FN1,IL27RA,SORL1,BZRAP1
S100_Ca_bd_sub	0.04318818178653633	S100A8,S100A9
EGF_Ca_bd_2	0.0476365077392755	EGFL7,EMR1,VLDLR
Ubiquitin	0.07328001797928074	ISG15,UBLCP1
Homeobox	0.08178653803947518	MEIS1,HOXA2,HOXA5,HOXA7,HOXA9
Pkinase_C	0.09374358632646465	PRKCB,MAST4
Tyr_pkinase	0.09749116238654404	EPHB2,CSF1R,AATK
Ig_V-set	0.10739813151782064	CSF1R,PILRA,TREM2,AMICA1
EF_hand_Ca_bd	0.12859466928244107	S100A8,S100A9,LPCAT2,GCA
Gelsoln	0.1293072580267643	SCIN
SAM	0.138657090875807	EPHB2,ARAP2
EGF_extracell	0.138657090875807	EGFL7,SCARF1
EVH1	0.13930477385391793	HOMER2
Trnsglumase_like	0.13930477385391793	TGM2
Syntaxin_N	0.13930477385391793	STX3
Bcl2_BH	0.13930477385391793	BCL2
DEAD/DEAH_N	0.15052258639731092	DHX58,DDX58
FN_type2_col_bd	0.15896056643596018	FN1
RhoGAP	0.16258390041560555	SRGAP3,ARAP2
Eph_rcpt_lig_bd	0.16862137705789976	EPHB2
Whey_acidic_protein_4-diS_core	0.178172463063265	SLPI
EMI	0.178172463063265	EGFL7
Acyltransferase	0.18761505651994181	LPCAT2
SEA	0.19695037579554517	MUC13
Ig	0.19876973143663204	LILRB4,IL1R2,FCER1A,CSF1R
Prot_inh_Kunz-m	0.20617962575266674	SPINT1
bZIP_2	0.20617962575266674	CEBPE
2OG-FeII_Oase	0.21530399787126234	EGLN3
PGBD_1	0.22432467039551174	MMP14
Permease_region	0.22432467039551174	SLC7A11
Blood-coag_inhib_Disintegrin	0.22432467039551174	ADAM17
T_SNARE	0.2332428084921089	STX3
PTB_PID	0.2332428084921089	DAB2
TNFR_c6	0.2332428084921089	CD27
Hemopexin	0.2420595643873913	MMP14
Coagulation_factor_5/8-type_C	0.2420595643873913	MFGE8
Pept_M10A_M12B	0.2507760774962544	MMP14
PKD_cys_rich	0.25939347459488693	EMR1
Prot_Inh_Kazal_2	0.26791286991928037	IGFBP7
Fibrinogen_a/b/g_C	0.2763353653353421	FGL2
Ets	0.2846620504604976	ELK3
Lipocln_cytFABP	0.3010322878820933	LCN2
SH2	0.318556670857893	STAT1,STAT2
Helicase_C	0.318556670857893	DHX58,DDX58
Ras-assoc	0.3248956179350451	ARAP2
EGF_laminin	0.3248956179350451	SCARF1
Peptidase_M12B	0.34035517584972413	ADAM17
Dehalogen-like_hydro	0.3554646491784734	EYA1
Znf_CCCH	0.4057025047997976	PARP12
Histone_core_D	0.4057025047997976	H2AFY
WW_Rsp5_WWP	0.4193311296880249	GAS7
DnaJ_N	0.4193311296880249	DNAJC6
EGF_like	0.4606199944201255	MFGE8,VLDLR
Peptidase_C19	0.46464253000942846	USP18
BACK	0.4708235136584004	KLHL24
SH3_2	0.4708235136584004	BZRAP1
DAG_PE_bd	0.48894627499221965	PRKCB
SH3	0.5512520834500698	DLG3,SRGAP3
Peptidase_S1_S6	0.7010086753575627	CMA1
Ion_trans	0.7113137599088778	HVCN1
BTB_POZ	0.7431928086358424	KLHL24
C2_Ca-dep	0.7491377654670072	PRKCB
Ig_I-set	0.7715871079650032	IGFBP7
Prot_kinase_core	0.9255689742058314	MAST4,PRKCB
PH	0.9369597748350728	ARAP2
Znf_C2H2	0.9719465051253667	KLF9,GFI1B,BCL11A
