Term	P-value	Genes
Hemostasis	0.0805953796199415	PPBP,CD177,AMICA1,SLC7A11
Signaling by VEGF	0.08250939607807524	NRP1
Signaling in Immune system	0.10904771415994048	LILRB4,CD177,AMICA1,SLC7A11
Botulinum neurotoxicity	0.13156881076481794	STX3
Signaling by Rho GTPases	0.19891465844176298	SRGAP3,ARAP2
Gap junction trafficking and regulation	0.20986836020578079	DAB2
Apoptosis	0.2394211449652801	PMAIP1,BCL2
Membrane Trafficking	0.27565341191853154	DNAJC6
Signaling by EGFR	0.28136592444238323	ADAM17
Transmembrane transport of small molecules	0.28703517401529377	SLC7A11
Hormone biosynthesis	0.30928579198337547	HSD11B1
Signaling by PDGF	0.3569384668592796	STAT1
Signalling by NGF	0.3678311116245371	MEF2C,ADAM17
Integrin cell surface interactions	0.44739057513378605	AMICA1
Metablism of nucleotides	0.45179594363151293	XDH
Metabolism of carbohydrates	0.5255587786634641	RPE
Signaling by GPCR	0.5610882341398244	FPR2,P2RY13,P2RY14,P2RY6,PPBP
Biological oxidations	0.6186206503330315	MGST1
Metabolism of lipids and lipoproteins	0.6838292418857683	HSD11B1
Metabolism of amino acids	0.7227264015123632	SLC7A11
Diabetes pathways	0.8960932383279628	MARCKS
