Term	P-value	Genes
chr8p22	1.315005388701607E-4	MSR1,RIMS2,MTMR7,LPL,TEX15,EFHA2
chr20q12	0.0018422159131093378	SDC4,CD40,HNF4A,SULF2,SLC13A3
chr3q21	0.002104749518785379	H1FX,AMOTL2,GP9,TMCC1,HEG1,MYLK,CD86,TM4SF1
chr6p12	0.004194151851569444	CLIC5,DST,PAQR8,GSTA3,GSTA4,ICK
chr1q23	0.00862160033425173	OLFML2B,SLAMF9,SLAMF6,SLAMF8,SLAMF7,FCRLA,PBX1
chr14q31	0.009021431989319496	TTC8,GPR68,EML5,ASB2
chr6q23	0.009472102181596137	GPR126,CTGF,SLC35D3,AHI1,HIVEP2
chr16q13	0.010877440995275853	GPR56,CCL22,CCL17,GPR114
chr7p15	0.012518056493405141	HOXA2,HOXA3,HOXA5,HOXA10,HOXA9,INHBA
chr3p11	0.013640145471136067	PROS1,EPHA3
chr4q21	0.01442101113248335	RASGEF1B,IGJ,ANKRD17,CDS1,PKD2,RASSF6
chr3q24	0.014555698769979648	SUCNR1,P2RY12,P2RY13
chr10q25	0.017859517710412505	TCF7L2,RBM20,SLC18A2,GFRA1
chr11q23	0.020191594140263558	POU2AF1,CD3G,CD3D,CD3E,THY1,ZBTB16,SCN4B
chr12q12	0.03200155914960979	HOXC6,HOXC8,HOXC4,HOXC5
chr1p13	0.035365705387797916	CTTNBP2NL,PTGFRN,DENND2C,GNAT2,RHOC,CD2
chr5p13	0.03878403773838175	DAB2,CAPSL,IL7R,CARD6
chr5q31	0.047013050382815925	PDLIM4,PDGFRB,TCF7,CXXC5,ITK,CXCL14,PURA,SPARC
chr15q21	0.049345237009630956	CGNL1,SLC30A4,MYO1E,ALDH1A2,FBN1
chr3q27	0.04955392271455723	KNG1,BCL6,ST6GAL1,ADIPOQ
chrxq21	0.05121358541097494	KLHL4,ARMCX1,P2RY10,SYTL4
chr1p33	0.052960666196012834	ZFYVE9,ADC,TGFBR3
chr2q13	0.057685090760620644	IL1B,BCL2L11,NPHP1
