Term	P-value	Genes
integral to plasma membrane (GO:0005887)	6.139425702258917E-9	THY1,KLRC1,SLC3A1,TFR2,MPZL1,IL17RB,P2RY6,CYB561,P2RX1,GABBR1,SDC4,PCDH7,CLDN1,TM4SF1,CD2,CD3G,CD3E,CD40,CCR7,CCR5,TACSTD2,CD72,SLC11A1,EPHA3,CD55,ACVRL1,GJA1,ANPEP,CD163,NEO1,CD19,ROBO1,MS4A1,ADCYAP1R1,CD8A,CD83,PPAP2A,IL2RB,SLC18A2,MPL,HFE,TGFBR3,CD200,MSR1,CMKLR1,GPR68,SLC7A8,JAG1,SLC7A7,ST3GAL5,GPR56,SLC40A1,GPR22,MRC1,ADAM23,GPR137B,GPR35,FLT3,HTR7,EDNRA,FAT1,TLR3,GP9,KLRK1,RAMP3,NCR1,GP1BA
integral to membrane (GO:0016021)	1.3751115632432392E-7	THY1,KLRC1,PKP2,SLC3A1,TFR2,FPR1,FPR2,PKD2,MPZL1,IL17RB,ST8SIA1,P2RY6,CYB561,P2RX1,CXCL16,GABBR1,SDC4,PCDH7,CLDN1,TM4SF1,CD2,PEX11A,GPR125,CD3G,CD3E,CD40,CCR7,CCR5,TACSTD2,CD72,SLC11A1,EPHA3,CD55,ACVRL1,GJA1,ANPEP,ICAM4,CD163,NEO1,CD19,ROBO1,MS4A1,EMP1,ADCYAP1R1,SLC4A10,CD8A,CD83,CD86,PPAP2A,IL2RB,CSGALNACT1,SLC18A2,GPR114,MPL,HFE,TGFBR3,CD200,MSR1,CMKLR1,FLNB,GPR68,SLC7A8,JAG1,SLC7A7,ST3GAL5,GPR56,SLC40A1,GPR22,MRC1,ADAM23,GPR137B,GPR35,GPR18,FLT3,HTR7,IL28RA,EDNRA,FAT1,TLR3,GP9,KLRK1,RAMP3,NCR1,SMO,TNFRSF19,GP1BA
membrane part (GO:0044425)	2.418311117658151E-7	THY1,GNGT2,PKP2,CACNG8,SLC3A1,PKD2,GNA14,MPZL1,ST8SIA1,GABBR1,SDC4,TM4SF1,CD2,SCN4B,GPR125,CD3G,CD3D,CD3E,CD40,CCR7,CCR5,CD72,SLC11A1,ACE,CD55,GJA1,ANPEP,CD163,NEO1,CD19,EMP1,SLC4A10,CD8A,CD83,CD86,PPAP2A,IL2RB,CSGALNACT1,GPR114,HFE,TGFBR3,FLNB,GPR68,DAB2,GPR56,SLC40A1,GPR22,MRC1,ADAM23,GPR35,GPR18,FLT3,HTR7,CHRNB1,IL28RA,GP9,PARD6B,RAMP3,NCR1,SMO,TNFRSF19,GP1BA,KLRC1,CYP7B1,TFR2,FPR1,FPR2,IL17RB,P2RY6,CYB561,P2RX1,CXCL16,SLC13A3,PCDH7,CLDN1,PEX11A,TACSTD2,EPHA3,GNAT2,ACVRL1,AGPAT9,ICAM4,GZMA,MLLT4,ROBO1,MS4A1,DST,ADCYAP1R1,ITGAE,ITGAX,SLC18A2,MPL,CD200,MSR1,DPP4,CMKLR1,GFRA2,SLC7A8,JAG1,SLC7A7,ST3GAL5,ASPH,GPR137B,ACVR1,SLC46A1,EDNRA,FAT1,TLR3,KLRK1,KCNQ3
intrinsic to membrane (GO:0031224)	2.5864690996707256E-7	THY1,KLRC1,PKP2,SLC3A1,TFR2,FPR1,FPR2,PKD2,MPZL1,IL17RB,ST8SIA1,P2RY6,CYB561,P2RX1,CXCL16,GABBR1,SDC4,PCDH7,CLDN1,TM4SF1,CD2,PEX11A,GPR125,CD3G,CD3E,CD40,CCR7,CCR5,TACSTD2,CD72,SLC11A1,EPHA3,CD55,ACVRL1,GJA1,ANPEP,ICAM4,CD163,NEO1,CD19,ROBO1,MS4A1,EMP1,ADCYAP1R1,SLC4A10,CD8A,CD83,CD86,PPAP2A,IL2RB,CSGALNACT1,SLC18A2,GPR114,MPL,HFE,TGFBR3,CD200,MSR1,CMKLR1,FLNB,GPR68,SLC7A8,JAG1,SLC7A7,ST3GAL5,GPR56,SLC40A1,GPR22,MRC1,ADAM23,GPR137B,GPR35,GPR18,FLT3,HTR7,IL28RA,EDNRA,FAT1,TLR3,GP9,KLRK1,RAMP3,NCR1,SMO,TNFRSF19,GP1BA
plasma membrane (GO:0005886)	1.353335299770042E-6	KLRD1,KLRC1,PKP2,FPR1,FPR2,PKD2,GNA14,FSCN1,CYB561,P2RX1,SLC13A3,SDC4,PCDH7,CD3G,CD3D,CD3E,CD40,CCR7,CCR5,ACE,NRP2,ACVRL1,GJA1,AGPAT3,ICAM4,NEO1,CD19,SEPT3,MS4A1,ADCYAP1R1,TST,PRKCA,CD83,CD86,PPAP2A,IL2RB,MPL,CTGF,BCL2L11,HFE,CDC42EP2,ADAP2,DPP4,SLC7A8,COL1A2,COL1A1,MRC1,ITGA2B,AKAP12,GP9,BASP1,PPP1R16B,PARD6B,RAMP3,GP1BA
membrane (GO:0016020)	2.4144549166879246E-5	IGLL1,KLRD1,KLRC1,CYP7B1,PKP2,FPR1,FPR2,PKD2,GNA14,FSCN1,CYB561,P2RX1,SLC13A3,SDC4,PCDH7,CD3G,CD3D,CD3E,CD40,CCR7,CCR5,ACE,NRP2,ACVRL1,GJA1,AGPAT9,AGPAT3,ICAM4,NEO1,CD19,SEPT3,MS4A1,ADCYAP1R1,TST,PRKCA,CD83,CD86,PPAP2A,IL2RB,MPL,CTGF,BCL2L11,HFE,CDC42EP2,NPHP1,SYNE2,ADAP2,TNK1,DPP4,SLC7A8,ST3GAL5,ASPH,COL1A2,COL1A1,MRC1,ITGA2B,AKAP12,TLR3,GP9,BASP1,PPP1R16B,PARD6B,DIO2,RAMP3,SBF2,GP1BA
T cell receptor complex (GO:0042101)	0.0016306497143625455	CD3G,CD3D,CD8A,CD3E
receptor complex (GO:0043235)	0.0016922757085259229	CD8A,IL28RA,CD3G,CD3D,CD3E,ACVR1,CSF1,ITGAE,ITGAX,CHRNB1
extracellular region (GO:0005576)	0.006509150645534376	FSTL1,SERPINF1,PLTP,ANGPT1,INHBA,IGF1,ORM1,IL18,JAG1,IL1B,COL1A2,COL1A1,IGJ,CXCL16,KNG1,SPINT1,COL4A1,C1QC,C1QA,C1QB,VEGFC,PTGDS,PLA2G7,LPL,PROS1,SPARC,IGFBP5
heterotrimeric G-protein complex (GO:0005834)	0.0065374488576502195	GNA14,GNGT2,GNAT2
