Term	P-value	Genes
HSA04640_HEMATOPOIETIC_CELL_LINEAGE	1.2500304466486173E-7	CD8A,ANPEP,GP9,DNTT,MS4A1,IL1B,CD3G,CD3D,CD3E,ITGA2B,CSF1,IL7R,CD2,GP1BA,FLT3,CD55,CD19
HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2.008432538818285E-6	CD40,VEGFC,CCR7,CCR5,PDGFRB,IL28RA,INHBA,CSF1,IL7R,CCL22,CCL17,IL18,CXCL12,IL17RB,IL1B,CCL5,TNFRSF13C,CXCL14,CXCL16,XCL1,CXCR3,ACVR1,TNFRSF19,IL2RB,FLT3,TSLP,MPL
HSA05010_ALZHEIMERS_DISEASE	0.005922300195260228	C1QC,IL1B,LPL,C1QA,C1QB
HSA00830_RETINOL_METABOLISM	0.017525428860542862	ALDH1A2,BCMO1
HSA04610_COMPLEMENT_AND_COAGULATION_CASCADES	0.018571388155337296	C1QC,CFH,KNG1,C1QA,C1QB,PROS1,CD55
HSA04512_ECM_RECEPTOR_INTERACTION	0.020059993018261273	SDC4,SDC3,GP9,COL1A2,COL1A1,ITGA2B,GP1BA,COL4A1
HSA05216_THYROID_CANCER	0.0292544208889787	PPARG,TCF7L2,TCF7,LEF1
HSA04514_CELL_ADHESION_MOLECULES	0.033331468936323064	MPZL1,CD40,CD8A,SDC4,PDCD1,SDC3,CD86,CLDN1,NEO1,CD2
HSA05221_ACUTE_MYELOID_LEUKEMIA	0.056038888477112636	LEF1,ZBTB16,TCF7L2,TCF7,FLT3
HSA05217_BASAL_CELL_CARCINOMA	0.06687016020422398	LEF1,SMO,TCF7L2,TCF7,FZD1
HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.06703498226995494	CD8A,PDCD1,CD3G,CD3D,CD3E,RASGRP1,ITK
HSA04670_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.07376828302720459	CXCL12,RAPGEF3,THY1,ITK,PRKCA,CLDN1,MLLT4,MAPK13
HSA05215_PROSTATE_CANCER	0.11651991329944138	FOXO1,LEF1,PDGFRB,TCF7L2,TCF7,IGF1
HSA00604_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIOSERIES	0.13518296797853585	ST8SIA1,ST3GAL5
HSA05130_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EHEC	0.14750913443677158	TUBB2B,CTTN,PRKCA,CLDN1
HSA05131_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EPEC	0.14750913443677158	TUBB2B,CTTN,PRKCA,CLDN1
HSA04614_RENIN_ANGIOTENSIN_SYSTEM	0.14768020266039136	ANPEP,ACE
HSA00561_GLYCEROLIPID_METABOLISM	0.18249960554367725	AGPAT3,DGAT2,PPAP2A,LPL
HSA00480_GLUTATHIONE_METABOLISM	0.19081828996224154	ANPEP,GSTA3,GSTA4
HSA04916_MELANOGENESIS	0.19163322562085008	TCF7,PRKCA,LEF1,TCF7L2,CAMK2D,FZD1
HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.19163322562085008	TLR3,IL1B,CD40,CCL5,CD86,MAPK13
HSA05210_COLORECTAL_CANCER	0.22185860129788407	LEF1,PDGFRB,TCF7L2,TCF7,FZD1
