Term	P-value	Genes
immunodeficiency	0.004421674888227457	RAG1,IL7R,CD3G,CD3D,CD3E
diabetes	0.053992792438017745	PPARG,HNF4A,CCR5,HFE,TCF7L2,ACE
osteoporosis	0.06990828980916344	COL1A2,COL1A1
ehlers-danlos	0.06990828980916344	COL1A2,COL1A1
gastric_cancer	0.06990828980916344	IL1RN,IL1B
charcot-marie-tooth_disease	0.07948906040787475	EGR2,KIF1B,SBF2
anomalies	0.09013007341897179	EYA1,FOXC1
arrhythmogenic_right_ventricular_dysplasia	0.09013007341897179	PKP2,DSP
microcephaly	0.10081448383393361	ASPM,MYCN
bardet-biedl_syndrome	0.11183235045529873	TTC8,BBS1
cholesterol_level	0.11183235045529873	LPL,PLTP
diabetes_mellitus,_type_2	0.11386470793194269	PPARG,TCF7L2,HNF4A
glaucoma	0.1231494828552794	CYP1B1,FOXC1
aneurysm	0.14655407222829692	COL4A1,FBN1
macular_degeneration	0.14655407222829692	TLR3,ABCA4
cataract	0.24073292218146689	SLC16A12,MAF,EYA1
alzheimer_disease	0.24649568763107496	HFE,ACE
leukemia	0.30410774132368096	PDGFRB,ZBTB16,FLT3,PBX1
obesity	0.31064013263713874	PPARG,SDC3
cardiomyopathy,_dilated	0.33609228541375147	CSRP3,DSP
thrombophilia	0.34095734283835716	PROS1
alopecia	0.34095734283835716	CLDN1
pancreatic_cancer	0.34095734283835716	PALLD
diabetes_mellitus	0.3446384695833298	HNF4A,CCR5,TCF7L2
neuropathy	0.36128256562337724	GP1BA,EGR2
long_qt_syndrome	0.36354476392265156	SCN4B
epidermolysis_bullosa	0.385370109409226	DSP
cdeficiency	0.385370109409226	CD8A
corneal_dystrophy	0.40645868340934893	TACSTD2
cone-rod_dystrophy	0.42683496337979077	ABCA4
cardiomyopathy	0.44635352002822937	CSRP3,DSP
myocardial_infarction	0.4465226266872701	ACE
migraine	0.4465226266872701	EDNRA
cardiomyopathy,_hypertrophic	0.46554457632374496	CSRP3
ichthyosis	0.46554457632374496	CLDN1
lateral_sclerosis	0.5016792233825096	NEFH
orofacial_cleft	0.5016792233825096	HOXA2
lymphoma	0.5514190916766096	BCL6
asthma	0.5668873988616381	PLA2G7
diabetes_mellitus,_type_1	0.6236823907077172	CCR5
systemic_lupus_erythematosus	0.6366950464664002	PDCD1
prostate_cancer	0.6614063379109982	MSR1
spastic_paraplegia	0.6844621015269758	CYP7B1
blood	0.726036808707102	CD55
deafness	0.7583741399378441	JAG1,MARVELD2,IGF1
retinitis_pigmentosa	0.8391795593514189	ABCA4
epilepsy	0.874774336452869	KCNQ3
anemia	0.8875406937876645	AK1
mental_retardation	0.9155436487480982	ZBTB16,IGF1
