Term	P-value	Genes
Signaling in Immune system	1.1072748019186084E-5	C1QC,KLRD1,CD3G,CD3D,CD3E,CD40,C1QA,C1QB,KLRC1,CD200,ANGPT1,ICAM4,CD19,SLC7A8,TLR3,SLC7A7,KLRK1,ITGAX,ITK,CD8A,PROS1,CD2
Hemostasis	2.3948245059146579E-4	RAPGEF3,VEGFC,ITGA2B,GNGT2,ANGPT1,GNG11,IGF1,SLC7A8,GP9,SLC7A7,ITGAX,P2RX1,KNG1,PRKCA,PROS1,CD2,GP1BA,SPARC
Signaling by VEGF	0.007148893680733122	NRP2,VEGFC,NRP1
Integrin cell surface interactions	0.013771052092869315	RAPGEF3,ICAM4,ITGA2B,ITGAE,ITGAX,COL4A1,FBN1
Synthesis of Cx43	0.06280183866998178	GJA1
Metabolism of lipids and lipoproteins	0.10658612455838763	HACL1,LPL,CYP7B1,FAR2,AGPAT3,CYP11A1,PPAP2A,BDH1
Signaling by Rho GTPases	0.13695855957493472	ITSN1,RHOJ,ARHGAP12,ARHGAP6,RHOC,ARAP2
Transmembrane transport of small molecules	0.17189185047706423	SLC7A8,SLC7A7,SLC3A1
Synaptic Transmission	0.2229509989745253	PRKCA,CACNG8,CAMK2D,SLC18A2
Signaling by GPCR	0.23934093519336497	GNGT2,PENK,GNG11,FPR2,P2RY12,P2RY13,P2RY10,GNA14,CXCL12,CCL5,P2RY6,CXCL16,XCL1,GABBR1,KNG1,S1PR5,CCR7,HTR7,GNAT2,EDNRA,ADM,ADCYAP1R1,CXCR3,RAMP3
Opioid Signalling	0.243744577144905	GNA14,GNG11,GNAT2,GNGT2
Gap junction trafficking and regulation	0.26004003820354876	GJA1,DAB2
Axon guidance	0.3434568519514127	COL4A1,GFRA1
Biological oxidations	0.36859976083611257	CYP1B1,CYP7B1,CYP11A1,GSTA3,GSTA4
Signaling by TGF beta	0.4054852111550522	ZFYVE9
Signaling by Notch	0.4054852111550522	JAG1
Hormone biosynthesis	0.456733075413449	CYP11A1,DIO2
Signaling by BMP	0.5420446396815493	FSTL1
Signaling by PDGF	0.54865460023239	PDGFRB,COL4A1
Regulation of beta-cell development	0.5567631315165114	FOXO1
Diabetes pathways	0.5652601789537742	RAPGEF3,GNGT2,MARCKS,GNG11,IGF1,GNA14,PRKCA,ENO3,IGFBP5
Signalling by NGF	0.6242029448650835	FOXO1,ADCYAP1R1,NR4A1,OMG,MAPK13
Membrane Trafficking	0.7375556865465981	DNAJC6
Metabolism of vitamins and cofactors	0.7915008098467261	SLC46A1
Metabolism of amino acids	0.898609925930224	SLC7A8,SLC7A7,SLC3A1
Metabolism of proteins	0.9139770926723669	TUBB2B,PROS1,FKBP9,GSPT2
Metablism of nucleotides	0.9173641504434952	AK1
Metabolism of carbohydrates	0.9546165471908696	ENO3
Integration of energy metabolism	0.9681105124771842	GNG11,PDK4,ENO3
Apoptosis	0.980369670009524	DSP
Cell Cycle, Mitotic	0.9999433488530608	REC8
Gene Expression	0.999989877204297	GSPT2
