TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
NR3C1,69,1775,0.10883280757097792,0.0852422801709648,0.02359052740001312,0.024698708196574822,-2.5242441385436307,9.342238503007707,AIF1;TREML4;IL18;CES1D;AUTS2;MYO1E;GABBR1;GM6377;CD3G;CD3D;GPR174;TRIM36;CD59A;BLK;TET1;PLS3;TNIK;KCNK13;SMPDL3B;SLC40A1;KNG1;CRISP1;FCGRT;APCDD1;B630019K06RIK;MAPK13;HOXC4;HOXB3;DIO2;MYLK;GP1BA;SPARC;9530008L14RIK;KLRD1;SSXB1;CEACAM10;FPR2;TCEAL8;CMAH;P2RX1;1110032F04RIK;DYNC2LI1;IFI44;C1QA;GM8369;BCL6;LY6I;ADCYAP1R1;LIN28A;H2-EB1;GIMAP3;GIMAP7;CTGF;MSR1;CLNK;CMKLR1;PLEKHG1;ORM1;PDE2A;SLC7A8;TSPAN6;B4GALNT4;RNF220;ZFP462;SH2D1A;CELF4;EVL;WBSCR27;CPVL
MYOG,73,1675,0.11514195583596215,0.080439898189502,0.03470205764646016,0.0016710530996114983,-1.439443281274301,9.204233976682367,THY1;IGF1;ENC1;CCR7;ACE;CIDEB;NRP2;NRP1;ADC;CTXN1;SLC37A2;AK1;TST;CD8A;CD86;TOX;1700061J05RIK;CDC42EP2;IL1RN;SMTNL2;MREG;PERP;GPR56;RHOC;RAPGEF3;HTR7;1700040L02RIK;APCDD1;SUSD5;GP9;FUT10;HOXA5;PTPN3;MYLK;PLVAP;MECOM;TOX2;KLRE1;MEIS1;P2RY6;FSCN1;EBF1;1110032F04RIK;ICK;DYNC2LI1;C1QC;REC8;KIF26B;SCD1;GNAT2;ACVRL1;PLA2G7;ROBO1;DST;ITGAE;TMEM8B;CD79A;LEF1;EAR3;EAR2;EAR1;TLE6;RASSF6;PDE2A;FGR;MSX3;COL4A1;RLTPR;HTRA3;SLAMF8;2300009A05RIK;CGNL1;H2-AA
SP3,52,1129,0.08201892744479496,0.05421889257071508,0.02780003487407988,0.0027195394607515554,-1.3541835575118666,7.999558682899258,KLRD1;KLRC1;SPNS2;SCML4;FPR1;CES1D;MGP;FN3K;LRBA;AUTS2;SERPINB6B;SLC45A3;SDC4;PCDH7;KLK8;KLRA17;PRDM1;CD72;GPR155;GJA1;ADM;PLA2G7;TMEM98;IRG1;PHTF2;SYNE2;MSR1;RASSF8;PLEKHG5;DAB2;EPAS1;ARMC9;HIVEP2;RHOJ;ACVR1;VPREB1;MSX3;NAV1;HTR7;FCGR4;CSRP3;6430548M08RIK;SLC16A12;2300009A05RIK;ABTB2;BCAS1;BASP1;4930506M07RIK;PARD6B;LPL;EVL;CYP11A1
SPI1,69,1680,0.10883280757097792,0.08068001728857513,0.028152790282402793,0.008377068150778896,-1.6498803349408595,7.890152256725628,EOMES;THY1;GNGT2;CSF1;ENC1;BICD1;ST8SIA1;AUTS2;MYO1E;CALML4;CTTNBP2NL;GPR126;CIDEB;NRP1;GPR174;BCL11B;LRRN3;EMP1;PDCD1;CD86;PLS3;TNK1;NETO2;MRC1;EPAS1;RHOJ;FRMD4B;ZFP521;HTR7;CDS1;MAPK13;4930506M07RIK;HOXA9;PTPN3;PLVAP;SSXB1;CLIC5;GM14446;P2RY6;P2RX1;CXCL16;1600029D21RIK;EBF1;KLK8;GDF3;LUZP1;PRKG1;C1QC;C1QB;SCD1;ETV1;MS4A7;2010001M09RIK;GBP8;HNF4A;PDE2A;CECR2;COL1A2;FGR;HIVEP2;ACVR1;SIGLECE;ALDH1A2;ITGA2B;TLR3;BASP1;ITK;WBSCR27;CPVL
IRF8,72,1770,0.11356466876971609,0.08500216107189165,0.028562507697824438,0.008776032618920078,-1.6147607503731372,7.647072283445699,2510009E07RIK;PKP2;BICD1;CXXC5;H2-Q7;GABBR1;CTTNBP2NL;CD3E;ACE;IKZF2;DDX4;ADC;RASGEF1B;CARD6;TET1;CAMK2D;PRR5L;TOX;BC030307;BCL2L11;G0S2;GPR68;CSN1S2A;GPR18;S100A5;PDGFRB;FCGRT;KLRB1A;1300014I06RIK;HOXA9;GPATCH2;2010002M12RIK;D10BWG1379E;CEACAM10;MYCN;POU2AF1;GM14446;P2RY6;SKAP1;MAF;RECK;IFI44;OLFM4;BLNK;ZBTB46;AGPAT3;TEX15;RAB38;D0H4S114;DNTT;MS4A1;ADCYAP1R1;HEG1;TMEM158;GIMAP4;GIMAP7;GBP8;GBP6;MAGI3;ADAP2;TTC26;ORM1;TSPAN6;SLC7A7;COL1A1;ALDH1A2;DNASE1L3;TULP4;TFPI2;EFCAB3;KLRK1;MGL2
HIF1A,47,1124,0.07413249211356467,0.053978773471641935,0.02015371864192273,0.020750447555308235,-1.5471095568924729,5.9953395596970935,THY1;SERPINF1;DUSP16;TMEM191C;KLRE1;SCML4;SCML2;HPGDS;IL18;BAIAP3;MGP;AUTS2;CYB561;FCNA;RAG1;CTTNBP2NL;PRG3;GM8369;FAM69B;ETV1;AK1;CARD6;GIMAP4;CTGF;BC030307;TCF7;ADAP2;LAG3;SMTNL2;GNG11;PLEKHG1;PERP;SLC7A7;GPR56;ADAM23;AHI1;1700026L06RIK;SLAMF7;CHRNB1;RPH3AL;BCAS1;4930506M07RIK;CELF4;PAQR5;RTKN2;HOXB6;MYLK
TEAD2,65,1591,0.10252365930599369,0.07640589732507323,0.02611776198092046,0.01151299302729392,-1.1132242706793236,4.96974379280523,AMOTL2;GNGT2;NUAK1;SPIB;ARHGEF10;IGF1;MPZL1;IL1B;CXXC5;CCL5;AUTS2;GABBR1;ZCCHC7;HIF3A;CD72;IKZF2;NRP1;BGN;PTGDS;FAM69B;MORC4;BCL11B;TST;RFX3;UBE2E2;PDCD1;CAMK1D;G0S2;GPR68;DAB2;TNFRSF13C;PURA;CLEC2I;HOXC8;LOX;HOXA9;DIO2;RAMP3;EGR2;MECOM;MYCN;DNAJC6;PCDH7;DYNC2LI1;PRDM1;KLF3;ZBTB16;MLLT3;D0H4S114;LIN28A;LEF1;GIMAP4;MARCKS;BATF3;CMKLR1;PLEKHG5;GFRA2;CECR2;NAV1;TMCC3;PBX3;BASP1;MED12L;ITK;TCF7L2
HAND1::TCFE2A,7,110,0.011041009463722398,0.005282620179609086,0.005758389284113312,0.05866958598026347,-1.6706447807752123,4.737670958538474,NPHP1;PTPN3;NCR1;FUT8;GPR68;PKD2;PBX3
POU2F2,64,1754,0.10094637223974763,0.0842337799548576,0.016712592284890027,0.0808541840074,-1.6884958912112034,4.246749429484264,HPGDS;IGF1;FN3K;PGM2L1;CCR5;ABCB1A;PIH1D2;AFP;RASGEF1B;KCTD4;CXCR3;ITIH5;ENDOU;PRR5L;CSGALNACT1;ADAMTS6;IL1RN;KCNK13;DAB2;RRAS;CSN1S2A;NETO2;TEF;ADAM23;TSPAN33;AHI1;HOXA10;KLRB1B;KLRB1A;1700040L02RIK;ABTB2;CLEC2I;FUT10;LPL;ARHGAP6;EGR2;GP1BA;SUCNR1;9530008L14RIK;ITSN1;SERPINF1;INHBA;SLC13A5;GM14446;1600029D21RIK;PCDH7;FCNA;KLRA8;KLRA2;BLNK;PRG3;PLA2G7;LY6D;MLLT3;EYA1;GIMAP4;RASSF8;GPHN;TRP53INP2;ALDH1A2;ALDH1A7;MORN4;SLAMF6;2300009A05RIK
CBEPB,109,3275,0.1719242902208202,0.15727800989290688,0.014646280327913319,0.17284784895880495,-2.215882801579976,3.889635599365952,SCML2;ARMCX1;IGF1;HIF3A;GPR155;GPR174;PTGDS;BCL11B;LRRN3;TET1;EMR4;OMG;ENDOU;CAMK2D;HFE;GPR68;CCL17;CCL12;GPR22;HTR7;PDGFRB;HOXA10;KLRB1A;APCDD1;GP9;D10BWG1379E;KLRD1;GM14446;NR4A3;1600029D21RIK;KLRA8;KLRA2;PEX11A;ICK;ID3;PRKG1;GM8369;ETV1;TEX15;RHOBTB3;2010001M09RIK;MYCT1;PALLD;IGFBP5;SYNE2;RETNLA;BBS1;ALDH1A7;KIF13B;ANKRD17;B9D1;PSMA8;TCF7L2;CPVL;CTLA2A;IL18;MYO1D;H2-Q7;SLC45A3;DMC1;CD2;CCR5;CD163;ADC;PLS3;IL1RN;SYTL4;KCNK13;MREG;AHI1;IL28RA;FCRLA;CLEC2I;2210010C04RIK;HOXA2;HOXA5;HOXA9;HOXB3;NCR1;MARVELD2;TNFRSF19;MECOM;MAB21L2;D630045J12RIK;FPR2;TCEAL8;SKAP1;C1QC;VIT;ZBTB46;DNTT;FXYD4;H2-EB1;GSPT2;ANGPT1;P2RY12;ORM1;GFRA2;COL1A2;COL1A1;ENKUR;TRIM9;MS4A4B;MORN4;DENND2C;FAR2;FAT1;EVL;SBF2
