Term	P-value	Genes
protein amino acid phosphorylation (GO:0006468)	1.0426591484462618E-4	MAP3K5,ADAM9,ROCK1,BRAF,PIK3CD,PDGFRB,STK17B,UHMK1,TAOK1,TGFBR2,TGFBR3,CAMKK2,SIK2,THBS1,STRADB,CSNK1E,RNASEL,MDFIC,STK3,MAP4K5,CDKL1,ACVR1B,SGK3,PKN2,PRKCD,DAPK1,IGF1R,GMFG
phosphorylation (GO:0016310)	2.0767679936004315E-4	MAP3K5,ADAM9,ROCK1,BRAF,PIK3CD,PDGFRB,STK17B,UHMK1,TAOK1,TGFBR2,TGFBR3,CAMKK2,SIK2,THBS1,STRADB,CSNK1E,RNASEL,MDFIC,STK3,MAP4K5,CDKL1,ACVR1B,SGK3,PKN2,PRKCD,DAPK1,IGF1R,GMFG
phosphate metabolic process (GO:0006796)	3.3675609923161377E-4	MAP3K5,ADAM9,ROCK1,BRAF,PIK3CD,PPP2R3A,TAOK1,TGFBR2,TGFBR3,SIK2,STRADB,CSNK1E,DUSP8,RNASEL,MDFIC,SGK3,PKN2,IGF1R,PDGFRB,STK17B,UHMK1,PTPN18,CAMKK2,THBS1,STK3,MAP4K5,CDKL1,PTPN6,ACVR1B,PRKCD,DAPK1,PTPRE,GMFG
protein modification process (GO:0006464)	0.0021144730167063637	MAP3K5,BRPF3,ADAM9,ROCK1,BRAF,PIK3CD,PPP2R3A,TAOK1,TGFBR2,TGFBR3,SIK2,USP25,EIF5A2,STRADB,CSNK1E,WHSC1L1,DUSP8,RNASEL,MDFIC,UBE2V2,ST8SIA4,SGK3,MAN1A2,PKN2,GALNT6,IGF1R,PDGFRB,STK17B,UHMK1,GCNT1,PTPN18,CAMKK2,TRIOBP,FUT4,THBS1,LOR,STK3,MAP4K5,CDKL1,DSP,RNF11,PTPN6,UBE2E2,ACVR1B,UBE2C,PRKCD,DAPK1,PTPRE,GMFG
anti-apoptosis (GO:0006916)	0.0026681140671180074	APOE,SOCS2,BRAF,BCL2L1,HTATIP2,BNIP2,ALOX12,IGF1R,BCL2,THBS1,CD27,ANXA4,BNIP3L,MPO
multicellular organismal development (GO:0007275)	0.0027779725074724457	RREB1,ENC1,SERPINF1,EMP1,GCNT2,ARIH2,HOXA10,HOXA9,CSF1R,KLF3,HLF,FES,CREG1,MXD1,GPR65,AFF3,ID2
response to reactive oxygen species (GO:0000302)	0.00379356253150701	PXN,FOS,APOE,TXNRD2,ADAM9
cellular protein metabolic process (GO:0044267)	0.004484625087541129	MAP3K5,BRAF,PIK3CD,PPP2R3A,PABPC4,ARIH1,TAOK1,USP25,STRADB,CSNK1E,WHSC1L1,DUSP8,MDFIC,UBE2V2,ST8SIA4,DNAJB2,DNAJB6,PKN2,STK17B,TRIOBP,FUT4,DSP,UBE2E2,UBE2H,UBE2C,PRKCD,HS6ST1,BRPF3,ADAM9,ROCK1,TGFBR2,TGFBR3,SIK2,EIF5A2,RNASEL,BTRC,MAN1A2,SGK3,GALNT6,IGF1R,PDGFRB,UHMK1,GCNT1,PTPN18,CAMKK2,THBS1,LOR,STK3,MAP4K5,CDKL1,RNF11,PTPN6,PSMB8,PSMB9,ACVR1B,DAPK1,PSME3,PTPRE,GMFG
negative regulation of apoptosis (GO:0043066)	0.006260835856744633	APOE,SOCS2,BRAF,KRT18,SOX4,BCL2L1,HTATIP2,BNIP2,ALOX12,IGF1R,BCL2,THBS1,CD27,ANXA4,BNIP3L,MPO
negative regulation of programmed cell death (GO:0043069)	0.006899494075013934	APOE,SOCS2,BRAF,KRT18,SOX4,BCL2L1,HTATIP2,BNIP2,ALOX12,IGF1R,BCL2,THBS1,CD27,ANXA4,BNIP3L,MPO
regulation of apoptosis (GO:0042981)	0.007274615563206345	MAP3K5,BRAF,BCL2L1,HTATIP2,BNIP2,ALOX12,BNIP3L,CRADD,CDKN1A,CDKN1B,IKBKG,DNAJB6,LCK,IGF1R,ANXA4,APOE,KRT18,STK17B,ETS1,BCL2,THBS1,CD27,SOCS2,SOX4,ACVR1B,DAPK1,HIPK2,SCIN,PSME3,MPO
regulation of actin polymerization or depolymerization (GO:0008064)	0.00827300317042726	TRIOBP,PLEK,GSN,ADD2
regulation of cell differentiation (GO:0045595)	0.011337331147811637	IL6ST,FOXO4,APOE,SERPINF1,TGFBR2,ABCG1,NOTCH1,ETS1,HOPX,HDAC7,ACVR1B,CDK6,SCIN,CD27
regulation of actin filament length (GO:0030832)	0.011703964150263249	TRIOBP,PLEK,GSN,ADD2
regulation of erythrocyte differentiation (GO:0045646)	0.011724831902454512	ACVR1B,ETS1,CDK6
negative regulation of angiogenesis (GO:0016525)	0.013715599356672614	FOXO4,HHEX,SERPINF1,THBS1
regulation of phosphorylation (GO:0042325)	0.014524717194932035	IL6ST,MAP3K5,APOE,ADAM9,IBTK,MAP2K3,TGFBR2,CAMKK2,CCND3,GADD45A,THBS1,STRADB,CDKN3,DUSP8,MDFIC,MAP4K5,CCNG1,CDKN1A,CDKN1B,PRKCD
