Term	P-value	Genes
kinase activity (GO:0016301)	8.27385954876624E-4	MAP3K5,CLK3,PIK3CG,ROCK1,PIK3CD,EIF2AK1,TAOK1,MAP2K3,TGFBR3,SIK2,STRADB,CSNK1E,FN3K,MAPKAPK3,PIP5K1A,SGK3,PKLR,IGF1R,PDGFRB,STK17B,TRIO,NRP1,CAMKK2,ADK,CASK,STK3,MAP4K5,CDKL1,CSF1R,ACVR1B,MPP1,PRKCD,PANK1
neutral amino acid transmembrane transporter activity (GO:0015175)	0.0029645012509743798	SLC1A5,SLC6A9,SERINC1,SLC7A8
protein kinase activity (GO:0004672)	0.005101961616876671	MAP3K5,CLK3,ROCK1,EIF2AK1,PDGFRB,STK17B,TAOK1,MAP2K3,TRIO,TGFBR3,NRP1,CAMKK2,SIK2,STRADB,CSNK1E,STK3,MAP4K5,CDKL1,MAPKAPK3,CSF1R,ACVR1B,SGK3,PRKCD,IGF1R
transferase activity (GO:0016740)	0.0053591916875453255	MAP3K5,PIK3CG,PIK3CD,EIF2AK1,TAOK1,STRADB,CSNK1E,WHSC1L1,FN3K,MAPKAPK3,PKLR,STK17B,NRP1,CHST10,ADK,FUT4,F13A1,CASK,DNTT,CSF1R,PRKCD,CHST1,PANK1,OXCT1,HS6ST1,CLK3,ROCK1,MAP2K3,TGFBR3,SIK2,SHMT1,ST3GAL2,ST3GAL5,PCYT1B,PIP5K1A,ALAS2,SGK3,GALNT6,IGF1R,PDGFRB,GCNT2,UHMK1,GCNT1,TRIO,CAMKK2,STK3,MAP4K5,CDKL1,ACVR1B,PIGA,MPP1,MGST3,MGST1
calmodulin binding (GO:0005516)	0.0054922440810733185	CALD1,CAMKK2,DAPK1,RGS2,MARCKS,RIT1
growth factor binding (GO:0019838)	0.008330748637559752	IL6ST,ACVR1B,CSF2RB,PDGFRB,IGF1R,THBS1,TGFBR2,TGFBR3
protein tyrosine phosphatase activity (GO:0004725)	0.009069583633214794	PTPRS,PTPN6,PTPRE,PTPN18,CDKN3,CDC25B,PTP4A3,DUSP8
phospholipid binding (GO:0005543)	0.00948286467098582	HIP1R,APOE,SCIN,PLEK,WIPI1,ANXA4,ABCG1,ARAP2,PLEKHA2
enzyme inhibitor activity (GO:0004857)	0.013414914644632698	IQGAP2,IBTK,SERPINF1,CST7,ARRB1,TIMP2,CDKN1A,CDKN1B,SPINT2,CD27,ANXA4,ANXA2,GMFG
cytoskeletal protein binding (GO:0008092)	0.013488437781003127	APOE,ADD2,PXN,MARCKS,RPH3AL,FLNB,TRIOBP,IQGAP2,ANK1,SLC4A1,GABARAPL2,MYH10,ATG4D,ATG4A,CALD1,PAFAH1B1,COTL1
lipid binding (GO:0008289)	0.0141609060115507	APOE,WIPI1,ABCG1,PLEKHA2,HIP1R,STX3,SCIN,ALOX5AP,RASGRP2,SHMT1,PLEK,SELL,ANXA4,ARAP2
transforming growth factor beta binding (GO:0050431)	0.015641819687894944	TGFBR2,TGFBR3,THBS1
phosphoinositide binding (GO:0035091)	0.016870603358234613	HIP1R,PLEK,WIPI1,SCIN,ARAP2
ATPase binding (GO:0051117)	0.019294625055484915	GABARAPL2,LCK,ATP6V0A1
SMAD binding (GO:0046332)	0.020976773015595022	ACVR1B,FOS,TGFBR2,JUN,TGFBR3
enzyme regulator activity (GO:0030234)	0.0230641619554276	MAP3K5,APOE,IBTK,SERPINF1,JUN,PPP2R3A,TRIO,RGS2,HERC1,BNIP2,RASA3,CD27,IQGAP2,RCBTB2,ARRB1,CST7,TIMP2,CDKN1A,CDKN1B,DNAJB6,SPINT2,PRKCD,RASGRP2,ANXA4,ANXA2,GMFG
phosphoprotein phosphatase activity (GO:0004721)	0.028333007255540967	PTPRS,LCK,PTPN6,PTPRE,PTPN18,CDKN3,CDC25B,PTP4A3,DUSP8
protein kinase inhibitor activity (GO:0004860)	0.028876754768541797	IBTK,CDKN1A,CDKN1B,GMFG
protein serine/threonine kinase activity (GO:0004674)	0.03225852206890465	MAP3K5,CLK3,ROCK1,EIF2AK1,STK17B,TAOK1,TRIO,TGFBR3,SIK2,CSNK1E,STK3,MAP4K5,CDKL1,ACVR1B,SGK3,PRKCD
kinase inhibitor activity (GO:0019210)	0.03619632794407031	IBTK,CDKN1A,CDKN1B,GMFG
purine nucleotide binding (GO:0017076)	0.04321785656584496	MAP3K5,ABCB10,STK17B,UHMK1,TAOK1,ABCG1,RIT1,SIK2,ARL4A,GCH1,STK3,MAP4K5,ABCA2,ADSSL1,MYH10,PPOX,ACVR1B,DAPK1,NDOR1
amino acid transmembrane transporter activity (GO:0015171)	0.04449011692816478	SLC7A8,SLC1A5,SERINC1,SLC6A9
cysteine-type peptidase activity (GO:0008234)	0.04936558231347512	USP11,USP15,ATG4D,ATG4A,USP25,CTSF
identical protein binding (GO:0042802)	0.05448949313526048	MAP3K5,ROCK1,BCL2L1,FNBP1,SHMT1,PTP4A3,BNIP3L,ZXDC,HEXB,IGF1R,IL6ST,APOE,ADD2,CLCN3,ABCG1,PON2,GYPA,GCH1,BCL2,THBS1,PLEK,SLC4A1,STRAP,PSME3,OXCT1,MPG
protease binding (GO:0002020)	0.05675187035971043	CST3,CRADD,BCL2
hydrolase activity, acting on ester bonds (GO:0016788)	0.05762181247267565	PLD3,PTPRS,ACP5,GALNS,PTPN18,PON2,SYNJ1,CDKN3,PTP4A3,DUSP8,CNP,PDE4B,PTPN6,DNA2,PLCG1,PDE7A,HAGH,LCK,ERCC4,PTPRE,CDC25B
enzyme binding (GO:0019899)	0.058433774697315796	IBTK,CCND3,TRIOBP,CARHSP1,BCL2,PLEK,ATP6V0A1,FOXO4,CRADD,ANK1,CST3,RNF138,GABARAPL2,ACVR1B,PRKCD,LCK,IGF1R,PAFAH1B1,COTL1
carboxylic acid transmembrane transporter activity (GO:0046943)	0.06761981871587408	SLC7A8,SLC1A5,SLC16A1,SERINC1,SLC6A9
acetylglucosaminyltransferase activity (GO:0008375)	0.07107653876069664	GCNT2,GCNT1,PIGA
lipid kinase activity (GO:0001727)	0.07107653876069664	PIK3CG,PIK3CD,PIP5K1A
protein heterodimerization activity (GO:0046982)	0.07623862123626778	APOE,ADD2,CLCN3,TGFBR2,ABCG1,HEXB,BCL2,CYBA,BNIP3L
guanylate kinase activity (GO:0004385)	0.07624224981059474	MPP1,CASK
1-phosphatidylinositol-3-kinase activity (GO:0016303)	0.07624224981059474	PIK3CG,PIK3CD
sialyltransferase activity (GO:0008373)	0.07624224981059474	ST3GAL2,ST3GAL5
ubiquitin-specific protease activity (GO:0004843)	0.07878764924594946	USP11,USP25,USP15
