Term	P-value	Genes
HSA05220_CHRONIC_MYELOID_LEUKEMIA	0.0015108855345747744	E2F2,ACVR1B,PIK3CG,BRAF,PIK3CD,CDK6,BCL2L1,TGFBR2,CDKN1A,CDKN1B,IKBKG
HSA05210_COLORECTAL_CANCER	0.0033497283056808194	ACVR1B,FOS,PIK3CG,BRAF,PIK3CD,JUN,PDGFRB,IGF1R,BCL2,TGFBR2,FZD5
HSA05212_PANCREATIC_CANCER	0.0035313936751399898	E2F2,ACVR1B,PIK3CG,BRAF,PIK3CD,CDK6,VEGFC,BCL2L1,TGFBR2,IKBKG
HSA05215_PROSTATE_CANCER	0.003937081760777693	E2F2,CREB3L2,PIK3CG,BRAF,PIK3CD,PDGFRB,IGF1R,BCL2,CDKN1A,CDKN1B,IKBKG
HSA00562_INOSITOL_PHOSPHATE_METABOLISM	0.0042790294564849585	IMPA2,SYNJ1,FN3K,PIP5K1A,PIK3CG,PIK3CD,PLCG1,INPP4A
HSA05214_GLIOMA	0.004773446280634575	E2F2,PIK3CG,BRAF,PIK3CD,CDK6,PDGFRB,IGF1R,CDKN1A,PLCG1
HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.004773446280634575	FOS,PIK3CG,PIK3CD,JUN,NFAT5,PTPN6,VAV1,FCGR2B,IKBKG
HSA05130_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EHEC	0.005265941691498665	TUBB2A,CTTN,TUBA1A,TUBB1,ROCK1,KRT18,ARPC5L,HCLS1
HSA05131_PATHOGENIC_ESCHERICHIA_COLI_INFECTION_EPEC	0.005265941691498665	TUBB2A,CTTN,TUBA1A,TUBB1,ROCK1,KRT18,ARPC5L,HCLS1
HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00620648447104757	FOS,PIK3CG,PIK3CD,JUN,LCK,LCP2,NFAT5,PTPN6,VAV1,PLCG1,IKBKG
HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON	0.006650250592425136	PIK3CG,ROCK1,BRAF,PIK3CD,PDGFRB,PXN,NCKAP1L,ARHGEF12,IQGAP2,ITGAL,ITGB5,MYL9,VAV1,CYFIP2,MYH10,PIP5K1A,GSN,ARPC5L,SCIN
HSA04510_FOCAL_ADHESION	0.007880788976421577	PIK3CG,ROCK1,BRAF,PIK3CD,VEGFC,JUN,PDGFRB,PXN,FLNB,CCND3,BCL2,THBS1,CAPN2,PDGFC,ITGB5,MYL9,VAV1,IGF1R
HSA05218_MELANOMA	0.008717655065351018	E2F2,PDGFC,PIK3CG,BRAF,PIK3CD,CDK6,PDGFRB,IGF1R,CDKN1A
HSA04320_DORSO_VENTRAL_AXIS_FORMATION	0.014450439354664378	ETV6,BRAF,NOTCH1,ETS1,ETS2
HSA04070_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.014754730485373794	IMPA2,SYNJ1,PIP5K1A,PIK3CG,PIK3CD,INPP4A,FN3K,ITPR3,PLCG1
HSA05223_NON_SMALL_CELL_LUNG_CANCER	0.017964483481337775	E2F2,PIK3CG,BRAF,PIK3CD,CDK6,RASSF5,PLCG1
HSA00680_METHANE_METABOLISM	0.01800918184695762	SHMT1,MTHFR,MPO
HSA05219_BLADDER_CANCER	0.01886824576174333	E2F2,THBS1,BRAF,DAPK1,VEGFC,CDKN1A
HSA04115_P53_SIGNALING_PATHWAY	0.01909919976825193	CDK6,CCND3,GADD45A,CCNG1,SESN2,SESN1,THBS1,CDKN1A
HSA04930_TYPE_II_DIABETES_MELLITUS	0.022707373602539667	SLC2A4,PIK3CG,SOCS2,PIK3CD,PRKCD,PKLR
HSA04670_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.02412413749145576	PIK3CG,ROCK1,NCF4,PIK3CD,ITGAL,PXN,MYL9,VAV1,PLCG1,CYBA,RASSF5
HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.026225408738252406	PIK3CG,BRAF,PIK3CD,ITGAL,TYROBP,PTPN6,VAV1,PLCG1,ICAM2,LCK,LCP2,NFAT5
HSA05222_SMALL_CELL_LUNG_CANCER	0.026476375025301584	E2F2,PIK3CG,PIK3CD,CDK6,BCL2L1,BCL2,TRAF4,CDKN1B,IKBKG
HSA04664_FC_EPSILON_RI_SIGNALING_PATHWAY	0.03069873072542797	PIK3CG,PIK3CD,PRKCD,LCP2,FCER1A,MAP2K3,VAV1,PLCG1
HSA00604_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIOSERIES	0.05017129408085315	HEXB,ST3GAL2,ST3GAL5
HSA00670_ONE_CARBON_POOL_BY_FOLATE	0.05017129408085315	SHMT1,MTHFD2,MTHFR
HSA04010_MAPK_SIGNALING_PATHWAY	0.06340756562916054	MAP3K5,BRAF,JUN,PDGFRB,TAOK1,MAP2K3,TGFBR2,FLNB,GADD45A,DUSP8,STK3,ARRB1,MAPKAPK3,IKBKG,ACVR1B,FOS,RASGRP2,CDC25B
HSA00512_O_GLYCAN_BIOSYNTHESIS	0.06863611871129777	GALNT6,GALNT10,ST3GAL2,GCNT1
HSA04150_MTOR_SIGNALING_PATHWAY	0.08594771542155805	PIK3CG,BRAF,PIK3CD,VEGFC,ULK2
HSA04540_GAP_JUNCTION	0.09968030847774934	TUBB2A,PDGFC,TUBB1,TUBA1A,GNAQ,PDGFRB,GUCY1B3,ITPR3
HSA04130_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.10116650852858151	STX8,STX3,BET1L,VAMP2
HSA04210_APOPTOSIS	0.11046540377204363	CSF2RB,PIK3CG,PIK3CD,BCL2L1,BCL2,CAPN2,IKBKG
HSA05221_ACUTE_MYELOID_LEUKEMIA	0.11528624027658976	PIK3CG,BRAF,PIK3CD,CEBPA,IKBKG
HSA01510_NEURODEGENERATIVE_DISEASES	0.11585544744356496	BCL2L1,APOE,BCL2,NR4A2
HSA05211_RENAL_CELL_CARCINOMA	0.11668266465492685	PIK3CG,BRAF,PIK3CD,VEGFC,JUN,ETS1
HSA04370_VEGF_SIGNALING_PATHWAY	0.12225814313917081	PIK3CG,PIK3CD,MAPKAPK3,PXN,NFAT5,PLCG1
HSA04012_ERBB_SIGNALING_PATHWAY	0.1253061558411956	PIK3CG,BRAF,PIK3CD,JUN,CDKN1A,CDKN1B,PLCG1
HSA00603_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBOSERIES	0.158303388831511	ST3GAL2,HEXB
HSA01031_GLYCAN_STRUCTURES_BIOSYNTHESIS_2	0.17816756968445888	ST3GAL2,ST3GAL5,PIGA,GCNT2,FUT4
HSA01032_GLYCAN_STRUCTURES_DEGRADATION	0.1810136718679579	HEXB,GALNS,NEU3
