Term	P-value	Genes
MP0002429_abnormal_blood_cell_	1.331227016993482E-22	IGHM,BRAF,EIF2AK1,LFNG,RGS2,ARHGEF12,SERPINB1A,TACC3,CDKN1A,CDKN1B,E2F2,H2-K1,PKLR,SELPLG,CEBPA,H2-M3,IL6ST,APOE,CD34,STK17B,CD69,TYROBP,SASH3,CD27,PLEK,HCLS1,FCGR2B,FECH,MFGE8,PTPRCAP,TRF,CSF1R,EPB4.1,EPB4.2,CYTIP,FOS,TIPARP,NFAT5,TXNIP,TGFBR2,TGFBR3,CCND3,SELL,BNIP3L,TNFRSF13B,DOCK8,VAV1,HDC,CSF2RB,CDK6,LCK,PDGFRB,ADD2,FCER1A,LGALS3,NCKAP1L,FCGR3,TMOD1,GYPA,GADD45A,CLEC1B,SLC19A2,CNP,KLHL6,HOXC4,SLC4A1,SATB1,HOXA9,MAFG,PTPN6,GSN,PIGA,RSAD2,PTPRE,PLAC8,PIK3CG,PIK3CD,MECOM,BCL2L1,EBF1,IKBKG,TXNRD2,SPNB1,ETS1,TUBB1,SPNA1,FUT4,ETV6,DNTT,GABPB2,ITGAL,PRKCD,MPG,IRF8,IRF1,MPO,CCDC86,MXD1,SWAP70,RASSF5,AP1G1,BTRC,CBFB,ANK1,CPA3,HHEX,TIMP2,FES,CD1D1,ALAS2,LCP2,VPREB1,IGF1R,FBN1,GCNT2,GCNT1,ABCG1,NOTCH1,RAD54B,MCPT8,THBS1,AFF1,THRA,STK3,SOX4,LAPTM5,PSMB8,PSMB9,PLCG1,PSME3,CTSG,APEX2,CD24A
MP0002398_abnormal_bone_marrow_	5.5184500989978825E-21	IGHM,PIK3CG,BRAF,PIK3CD,MECOM,BCL2L1,RGS2,ARHGEF12,TACC3,CDKN1A,CDKN1B,IKBKG,EBF1,E2F2,PKLR,SELPLG,CEBPA,ID2,IL6ST,APOE,CD34,STK17B,CD69,SPNB1,TYROBP,ETS1,SASH3,TUBB1,ICAM2,SPNA1,FUT4,ETV6,PLEK,HCLS1,DNTT,GABPB2,FECH,ITGAL,PTPRCAP,TRF,CSF1R,EPB4.1,EPB4.2,FOS,PRKCD,NFAT5,TXNIP,IRF8,IRF1,MXD1,CCND3,SWAP70,SELL,RASSF5,BNIP3L,CBFB,ANK1,CPA3,HHEX,TNFRSF13B,VAV1,FES,CD1D1,CDK6,LCK,LCP2,VPREB1,PDGFRB,ADD2,GCNT1,FCER1A,LGALS3,NCKAP1L,ABCG1,NOTCH1,MCPT8,GADD45A,CLEC1B,SLC19A2,THBS1,AFF1,KLHL6,HOXC4,SLC4A1,SATB1,SOX4,LAPTM5,HOXA9,MAFG,PTPN6,PLCG1,PIGA,PSME3,CTSG,APEX2,RSAD2,CD24A
MP0001819_abnormal_immune_cell_	5.477109082192814E-20	IGHM,PIK3CG,PIK3CD,RGS2,NFKBIZ,ARHGEF12,SERPINB1A,IL16,CDKN1A,CDKN1B,IKBKG,EBF1,E2F2,SELPLG,H2-M3,CYBA,ID2,IL6ST,APOE,CLCN3,STK17B,CD69,TYROBP,IKZF2,ETS1,SASH3,NRP1,ICAM2,SIGIRR,SPNA1,PRTN3,BCL2,FUT4,HCLS1,FCGR2B,GABPB2,MFGE8,ITGAL,PTPRCAP,CSF1R,CYTIP,FOS,CD93,PRKCD,NFAT5,TXNIP,IRF8,IRF1,MPO,ROCK1,NCF4,ACP5,CCDC86,MAP2K3,MARCKSL1,MXD1,CCND3,GPR65,ALOX5AP,SELL,SWAP70,RASSF5,RNASEL,CBFB,PDE4B,TRAF4,TNFRSF13B,VAV1,HEXB,FES,CD1D1,CSF2RB,CDK6,LCK,LCP1,LCP2,VIM,VPREB1,IGF1R,GCNT1,FCER1A,LGALS3,NCKAP1L,ABCG1,FCGR3,NOTCH1,PON2,GADD45A,THBS1,THRA,HOXC4,SATB1,LAPTM5,PTPN6,PLCG1,UCP2,GSN,MPP1,RSAD2,PTPRE,PLAC8
MP0002420_abnormal_adaptive_immunity_	1.2863876646482345E-19	IGHM,PIK3CG,PIK3CD,RGS2,NFKBIZ,ARHGEF12,SERPINB1A,IL16,CDKN1A,CDKN1B,IKBKG,EBF1,E2F2,SELPLG,H2-M3,CYBA,ID2,IL6ST,APOE,CLCN3,STK17B,CD69,TYROBP,IKZF2,ETS1,SASH3,NRP1,ICAM2,SPNA1,PRTN3,BCL2,FUT4,CD27,HCLS1,FCGR2B,GABPB2,MFGE8,ITGAL,PTPRCAP,CYTIP,FOS,CD93,PRKCD,NFAT5,TXNIP,IRF8,IRF1,MPO,ROCK1,NCF4,ACP5,CCDC86,MAP2K3,MARCKSL1,MXD1,CCND3,GPR65,ALOX5AP,SELL,SWAP70,RASSF5,RNASEL,CBFB,PDE4B,TNFRSF13B,VAV1,HEXB,FES,CD1D1,CSF2RB,CDK6,LCK,LCP1,LCP2,VIM,VPREB1,IGF1R,GCNT1,FCER1A,LGALS3,NCKAP1L,ABCG1,FCGR3,NOTCH1,PON2,GADD45A,THBS1,THRA,KLHL6,HOXC4,SATB1,LAPTM5,PTPN6,PLCG1,UCP2,GSN,MPP1,RSAD2,PTPRE,PLAC8
MP0000716_abnormal_immune_system_	2.0583902633898626E-19	IGHM,PIK3CG,BRAF,PIK3CD,MECOM,RGS2,ARHGEF12,SERPINB1A,TACC3,CDKN1A,CDKN1B,EBF1,IKBKG,E2F2,H2-K1,SELPLG,CEBPA,H2-M3,ID2,IL6ST,APOE,CD34,STK17B,CD69,TYROBP,ETS1,SASH3,SPNA1,BCL2,FUT4,ETV6,CD27,HCLS1,FCGR2B,DNTT,GABPB2,MFGE8,ITGAL,PTPRCAP,CSF1R,CYTIP,FOS,PRKCD,NFAT5,TXNIP,MPG,IRF8,IRF1,MPO,CCDC86,MXD1,CCND3,SWAP70,SELL,RASSF5,AP1G1,BTRC,CBFB,ANK1,CPA3,HHEX,TIMP2,TNFRSF13B,DOCK8,VAV1,FES,CD1D1,HDC,CSF2RB,CDK6,LCK,LCP2,VPREB1,IGF1R,FBN1,GCNT2,GCNT1,FCER1A,LGALS3,NCKAP1L,ABCG1,FCGR3,NOTCH1,MCPT8,GADD45A,CLEC1B,SLC19A2,THBS1,AFF1,THRA,CNP,KLHL6,HOXC4,SATB1,SOX4,LAPTM5,PTPN6,PSMB8,PSMB9,PLCG1,GSN,PSME3,CTSG,APEX2,RSAD2,CD24A,PTPRE,PLAC8
MP0002419_abnormal_innate_immunity_	2.095148042518595E-13	PIK3CG,ROCK1,NCF4,PIK3CD,TFPI,ACP5,MARCKSL1,GPR65,SERPINB1A,ALOX5AP,SELL,PDE4B,ATG9A,VAV1,CDKN1A,FES,LCP1,IGF1R,SELPLG,H2-M3,CYBA,IL6ST,APOE,CLCN3,CD69,TYROBP,FCER1A,LGALS3,NCKAP1L,ABCG1,FCGR3,PON2,PRTN3,BCL2,FUT4,THBS1,THRA,MFGE8,ITGAL,UCP2,FOS,CD93,GSN,MPP1,PRKCD,PTPRE,PLAC8,IRF1,MPO
MP0002452_abnormal_antigen_presenting_	9.142015501342153E-13	IGHM,PIK3CG,ROCK1,PIK3CD,ACP5,MARCKSL1,NFKBIZ,MXD1,GPR65,SWAP70,SELL,RASSF5,CBFB,TRAF4,TNFRSF13B,VAV1,CDKN1A,EBF1,HEXB,CD1D1,FES,CSF2RB,LCK,LCP1,LCP2,VPREB1,IGF1R,H2-M3,IL6ST,APOE,CLCN3,CD69,TYROBP,FCER1A,LGALS3,NCKAP1L,ABCG1,FCGR3,ETS1,PON2,SASH3,NRP1,SIGIRR,SPNA1,GADD45A,BCL2,THBS1,HCLS1,FCGR2B,THRA,HOXC4,GABPB2,MFGE8,PTPRCAP,CSF1R,PTPN6,UCP2,FOS,CD93,GSN,PRKCD,RSAD2,NFAT5,PTPRE,IRF8,IRF1
MP0000001_mammalian_phenotype_	2.749583406339438E-12	IGHM,TFPI,LFNG,JDP2,CDKN1A,CDKN1B,E2F2,E2F8,SH2D4A,IL6ST,TYROBP,FCGR2B,MKRN1,PDGFC,PTPRCAP,TET2,FOS,XPC,ZMIZ1,TIPARP,HS6ST1,OPA1,PTPRS,RPTOR,GNAQ,CAPN2,BNIP3L,ATG9A,CTPS2,TRAF4,VAV1,PIP5K1A,ZRSR1,PDGFRB,HOXA10,HIP1R,GADD45A,MEG3,ITPR3,SLC4A1,SATB1,SOCS5,TNS3,GADD45GIP1,SCARB2,MAFG,PTPN6,GSN,PIGA,HIPK1,CENPB,NFIA,PNPLA6,VAMP2,NR4A2,TXNRD2,KLF7,ETS1,ETS2,KLF3,ETV6,MLLT3,AGFG1,SORL1,PRKCD,TRA2B,EPB4.1L2,IRF1,ROCK1,MARCKS,SYNJ1,GALNT10,BTRC,ANK1,ST3GAL2,HHEX,KCNA3,CD1D1,SGK3,IGF1R,CHDH,H2AFY,HOMER1,NOTCH1,RAD54B,HERC1,AFF1,SOX4,SOX6,ELK3,NDRG1,PSMB8,PSMB9,SLC6A9,BRAF,RGS2,HTATIP2,NFKBIZ,ALOX12,TACC3,ARRB1,FN3K,SERPINB6A,PKLR,CEBPA,CEBPD,APOE,KRT10,CD69,IKZF2,UBP1,HOPX,NRP1,ADK,FOXO4,FECH,MFGE8,CST7,TRF,CSF1R,ZFP148,NFAT5,ERCC4,TXNIP,TGFBR2,TGFBR3,FLNB,GUCY1B3,HMGCR,HEXB,MAN1A2,INPP4A,TAB3,GAB3,LGALS3,TMOD1,CLEC1B,SLC19A2,CNP,HOXC4,LMBR1,HOXA5,RAMP2,DAPK1,SMO,PIK3CG,PIK3CD,FNDC3B,IKBKG,GDF3,CLCN3,SPNB1,SPNA1,SPNA2,RAB3A,ZDHHC21,CASK,DNTT,DSP,ITGB5,PODXL,ADIPOR1,EYA4,MPO,ADAM9,GRB10,MARCKSL1,CLN8,ALOX5AP,RASA3,CBFB,SLC2A4,PDE4B,TIMP2,MYH10,FES,VIM,PAFAH1B1,FBN1,ANXA2,CDC25B,GCNT2,UHMK1,GCNT1,THRA,PROKR1,STK3,MAP4K5,ZFAND5,PLCG1,ACVR1B,CTTN,CTSB,CTSG
MP0002722_abnormal_immune_system_	4.039349746775864E-12	IGHM,PIK3CG,BRAF,PIK3CD,CCND3,SELL,RASSF5,BNIP3L,RNASEL,CBFB,ANK1,CPA3,TACC3,TNFRSF13B,VAV1,CDKN1A,CDKN1B,IKBKG,E2F2,FES,CSF2RB,CDK6,PKLR,LCK,LCP2,CEBPA,ID2,IL6ST,APOE,ADD2,SPNB1,NCKAP1L,NOTCH1,ETS1,SASH3,SPNA1,GADD45A,BCL2,FUT4,AFF1,FCGR2B,KLHL6,SLC4A1,SATB1,FECH,MFGE8,STK3,TNS3,ASB1,ITGAL,PTPRCAP,HOXA9,CSF1R,MAFG,PTPN6,PLCG1,EPB4.1,EPB4.2,CYTIP,FOS,RAMP2,PRKCD,CTSG,NFAT5,TXNIP,IRF8
MP0003656_abnormal_erythrocyte_physiolo_	1.8943654096717024E-8	CD24A,ANK1,SPNB1,SLC4A1,PIGA,MAFG,FECH,NCKAP1L,EIF2AK1,BNIP3L,SPNA1,ADD2
