Term	P-value	Genes
Hemostasis	0.0024730264160155936	BRPF3,VEGFC,F5,PPBP,TFPI,GNAQ,THBS1,PLEK,SELL,ITPR3,F13A1,SLC7A8,SLC16A1,ITGAL,PTPN6,PLCG1,RASGRP2,SELPLG
Metabolism of porphyrins	0.0095866039974532	ALAS2,FECH,PPOX
Signaling by VEGF	0.01211530672632947	VEGFC,NRP1,PDGFC
Metabolism of vitamins and cofactors	0.015287454074528002	ACP5,SLC19A2,MTHFR,SLC2A4,SHMT1,PANK1
Signaling by Rho GTPases	0.028915790771465773	FGD4,TRIO,VAV1,RHOJ,ARHGEF12,ARHGAP25,ARHGAP30,PLEKHG2,ARAP2
Botulinum neurotoxicity	0.039684210872647306	STX8,STX3,VAMP2
Signaling in Immune system	0.053962621398921	CD34,JUN,TYROBP,ICAM2,SELL,FCGR2B,SLC7A8,SLC16A1,ITGAL,PTPN6,PLCG1,IKBKG,CD96,LCP2,SELPLG
Apoptosis	0.05471931948705566	ROCK1,DSP,BCL2L1,PSMB8,PSMB9,GSN,PRKCD,PSME3,BCL2
Cell Cycle, Mitotic	0.07374560474972598	TAOK1,TSGA14,CCND3,CSNK1E,BTRC,PSMB8,PSMB9,DNA2,CDKN1A,E2F2,TUBA1A,CDK6,UBE2C,PSME3,PAFAH1B1,SFI1,CDC25B
Integrin cell surface interactions	0.08670662611580746	ICAM2,ITGAL,ITGB5,RASGRP2,THBS1,FBN1
Membrane Trafficking	0.08791417751591263	STX8,AP1G1,ARRB1,VAMP2
Mitochondrial Uncoupling Proteins	0.14583561943216244	UCP2
Signaling by PDGF	0.19203013179817613	PDGFC,PDGFRB,THBS1,PLCG1
APC/C:Cdh1-mediated degradation of Skp2	0.20813121139324603	UBE2C,PSME3,PSMB8,PSMB9
Signaling by Wnt	0.21632607126369993	BTRC,PSME3,PSMB8,PSMB9
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.24992988108121222	UBE2C,PSME3,PSMB8,PSMB9
Regulation of activated PAK-2p34 by proteasome mediated degradation	0.25087720197407154	PSMB8,PSMB9,PSME3
Transmembrane transport of small molecules	0.25087720197407154	SLC16A10,SLC7A8,SLC1A5
DNA Replication	0.3121813025946988	PSME3,PSMB8,PSMB9,DNA2,CDKN1A
Metabolism of amino acids	0.31604797872916707	SLC7A8,SMOX,PSMB8,PSMB9,SLC16A10,SLC1A5,PSME3,SHMT1
Metabolism of proteins	0.3270654454987506	TUBB2A,KIF13A,EIF1AX,USP11,TUBB1,EIF5A2,RPL23,EIF4H,TUBA1A,PIGA
Signalling by NGF	0.33372200704330296	FOXO4,BRAF,MAPKAPK3,CDKN1B,PLCG1,RIT1,PRKCD,ITPR3
Synaptic Transmission	0.3377025095131318	STXBP1,VAMP2,RAB3A,ALDH2
Signal attenuation	0.35205858150361585	GRB10
Metabolism of nitric oxide	0.3771680279384726	ZDHHC21
Cell Cycle Checkpoints	0.4056715179966308	PSMB8,PSMB9,CDKN1A,UBE2C,PSME3
Phase 1 functionalization	0.42452653982724375	SMOX
Signaling by TGF beta	0.4683100335746694	TGFBR2
Signaling by Notch	0.4683100335746694	NOTCH1
Signaling by EGFR	0.4999107750073607	PXN,PLCG1
APC-Cdc20 mediated degradation of Nek2A	0.5462036670871673	UBE2C
Metablism of nucleotides	0.5867387540424903	GDA,ADK,ADSSL1
Opioid Signalling	0.5867387540424903	PDE4B,GNAQ,ITPR3
Signaling by BMP	0.612761758466451	CHRDL1
Muscle contraction	0.6278275623893652	TMOD1
Regulation of beta-cell development	0.6278275623893652	PKLR
Telomere Maintenance	0.6540701681788478	HIST2H2BE,DNA2
Pyruvate metabolism and TCA cycle	0.6824920591323108	SLC16A1
Biological oxidations	0.7146746427099854	SMOX,ALDH2,MGST3,MGST1
Metabolism of carbohydrates	0.7257527809184116	SLC16A1,SLC2A4,PKLR
DNA Repair	0.7450131890426583	XPC,ERCC4,MPG
Axon guidance	0.7690500166944222	ST8SIA4
3' -UTR-mediated translational regulation	0.7858009156544039	EIF1AX,EIF4H,RPL23
Signaling by Insulin receptor	0.7867421703436869	RPTOR
HIV Infection	0.8206698866779313	AP1G1,BTRC,PSMB8,PSMB9,PSME3
Metabolism of lipids and lipoproteins	0.9282741561627409	HMGCR,APOE,OXCT1
Diabetes pathways	0.931354501999476	MARCKS,GNAQ,ITPR3,VAMP2,STXBP1,PKLR,IGFBP4
Integration of energy metabolism	0.9674289551715098	STRADB,VAMP2,STXBP1,PKLR
Processing of Capped Intron-Containing Pre-mRNA	0.9856538094401759	PCF11
Gene Expression	0.9936670400089365	EIF1AX,PCF11,NOTCH1,MED6,RPL23,EIF4H
Transcription	0.9941602957269642	PCF11
Influenza Infection	0.9976379757216658	RPL23
Signaling by GPCR	0.9999999938545184	GNAQ,PPBP,RAMP1,RAMP2
