Term	P-value	Genes
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	2.6068807006484896E-4	IGHM,PIK3CG,BRAF,JUN,PTPN6,PTPN18,VAV1,PLCG1,IKBKG,HDAC7,PLEKHA2,PIP5K1A,CDK6,PRKCD,CCND3,LCK,LCP2,BCL2,HCLS1,FCGR2B
Hs_Senescence_and_Autophagy_WP615_28686	4.350639019943284E-4	RNASEL,GSN,CREG1,BRAF,IGF1R,THBS1,MAP2K3,CDC25B,CDKN1A,CDKN1B,IRF1
Hs_Senescence_and_Autophagy_WP615_29531	4.350639019943284E-4	RNASEL,GSN,CREG1,BRAF,IGF1R,THBS1,MAP2K3,CDC25B,CDKN1A,CDKN1B,IRF1
Hs_Senescence_and_Autophagy_WP615_29697	4.350639019943284E-4	RNASEL,GSN,CREG1,BRAF,IGF1R,THBS1,MAP2K3,CDC25B,CDKN1A,CDKN1B,IRF1
Hs_IL-5_Signaling_Pathway_WP127_20949	7.327083956715402E-4	PIK3CG,PRKCD,CCND3,JUN,SOX4,ALOX5AP,UNC119,PTPN6,HCLS1,VAV1,CDKN1B
Hs_IL-4_signaling_Pathway_WP395_28126	0.013030738067560393	FES,PIK3CD,PRKCD,LCK,BCL2L1,PTPN6,PLCG1,ETS1
Hs_IL-2_Signaling_Pathway_WP49_20779	0.013666021148304357	CD53,PIK3CG,PIK3CD,LCK,BCL2,PTPN6,VAV1,ETS1,ETS2
Hs_Myometrial_Relaxation_and_Contraction_Pathways_WP289_21289	0.014372358777113953	PDE4B,ARRB1,JUN,RGS2,PLCG1,ETS2,FOS,RAMP1,RAMP2,PRKCD,GNAQ,CALD1,RGS19,ITPR3,IGFBP4
Hs_Cell_cycle_WP179_28966	0.02579225840951604	E2F2,MPEG1,CDK6,CCND3,GADD45A,TBC1D8,CDC25B,CDKN1A,CDKN1B,HDAC7
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.02638389579273292	BTRC,FOXO4,ROCK1,JUN,STRAP,HOXA9,MAP2K3,TGFBR2,CDKN1A,ETS1,TGFBR3,FOS,CDK6,PRKCD
Hs_ErbB_signaling_pathway_WP673_28873	0.028188946172402366	BRAF,CDKN1A,CDKN1B,PLCG1,JUN
Hs_ErbB_signaling_pathway_WP673_29738	0.028188946172402366	BRAF,CDKN1A,CDKN1B,PLCG1,JUN
Hs_T_Cell_Receptor_Signaling_Pathway_WP69_20823	0.03328987844243112	BRAF,JUN,PXN,UNC119,PTPN6,VAV1,PLCG1,HDAC7,FOS,LCK,LCP2,RASGRP2
Hs_Insulin_Signaling_WP481_28132	0.036776563376319384	MAP3K5,SLC2A4,PIK3CG,PIK3CD,MAP4K5,GRB10,JUN,MAP2K3,FOS,SGK3,STXBP1,PRKCD,INPP4A,IGF1R
Hs_MAPK_signaling_pathway_WP382_28779	0.036776563376319384	MAP3K5,BRAF,STK3,ARRB1,JUN,PDGFRB,TAOK1,TGFBR2,IKBKG,ACVR1B,FOS,PRKCD,GADD45A,CDC25B
Hs_Apoptosis_WP254_29955	0.05454272237105784	CRADD,JUN,BCL2L1,IGF1R,BCL2,BNIP3L,IKBKG,IRF1
Hs_Apoptosis_WP254_22525	0.05454272237105784	CRADD,JUN,BCL2L1,IGF1R,BCL2,BNIP3L,IKBKG,IRF1
Hs_Prostaglandin_Synthesis_and_Regulation_WP98_20887	0.06541203731428061	S100A10,ANXA4,ANXA3,ANXA2
