TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
SP1,157,2360,0.20657894736842106,0.11333621476252222,0.09324273260589884,3.291782238988427E-13,-1.0759271655847453,30.924489115020503,SIPA1L1;LFNG;ATP11A;SFMBT1;FNIP2;LASP1;ZNFX1;GKAP1;USP25;LRRC33;CSNK1E;ARRB1;RNF138;LRBA;GRINA;FBXO30;HDAC7;SLC45A3;IMPA2;E2F8;RNF103;PKN2;1110038D17RIK;HIF3A;GPR146;STK17B;TMEM229B;IDH2;IKZF2;UBP1;SPECC1;ZFP703;F13A1;SLC25A39;PACS2;TBC1D10C;EPB4.1;UBE2E2;ZMIZ1;2900026A02RIK;HS6ST1;ARAP2;HLF;SIK2;GNAQ;CCND3;2010011I20RIK;EIF5A2;BBIP1;LIMD2;D5ERTD579E;IQGAP2;SIX5;BMP2K;CAMTA1;WIPI1;VAV1;MAN1A2;UGT8A;FAM120A;TSEN34;CDV3;TRIO;TMOD1;HIP1R;GEN1;FAM46C;ITPR3;PHF21A;RNF38;ZFP276;SATB1;SOCS2;SOCS5;EIF4E3;NINJ1;MFAP3L;MAFG;PTPN6;KHDRBS3;HIPK2;GMFG;NFIA;RREB1;PPP2R3A;ARL4A;WAC;LMO4;FNDC3B;VAMP2;NR4A2;IRF2BP2;EIF1AX;GTPBP2;MLLT11;HPCAL1;ETS1;KLF3;1810013L24RIK;AGAP1;SPNA2;TRIOBP;ZDHHC18;RAB44;ZDHHC20;AFAP1;MLLT3;CASK;ITGB5;PODXL;GM2A;CHST1;FAM134B;UBE2O;EPB4.1L2;BRPF3;GRB10;FNBP1;H3F3A;MAGEH1;SERTAD2;PDE10A;MXD1;TLCD1;RASSF3;RASSF5;CBFB;ST3GAL2;ANK1;NUDT4;NUDT6;PDE5A;PDE7A;SGK3;BANP;IGF1R;KIF13A;H2AFY;GCC1;UHMK1;TMCC2;HOMER1;NOTCH1;ZCCHC24;YPEL5;STAU2;AFF1;FZD5;PBX3;THRA;STK3;ZFAND5;PLCG1;ACVR1B;GRCC10;TPM4;RASGRP2
SMAD4,110,1580,0.14473684210526316,0.07587763530711233,0.06885920679815083,2.0226405724726506E-10,-1.1885704197543332,26.53061169936107,MAP3K5;JUN;KBTBD8;SFMBT1;FNIP2;ZNFX1;GKAP1;USP25;TMEM2;CSNK1E;LRRK1;LRBA;FBXO30;HDAC7;SLC45A3;RNF103;PKN2;PHLPP2;2010109K11RIK;GPR137;GPR146;IKZF2;UBP1;ZFP41;PDGFC;HBB-B2;ZFP148;PANK1;ZMIZ1;ARAP2;SMOX;GNAQ;BBIP1;HMGCR;IQGAP2;ATG9A;BMP2K;XPO7;MAN1A2;UGT8A;GPCPD1;CDV3;TMOD1;SLC16A10;FAM46C;NUPR1;PHF21A;RNF38;SATB1;CPD;NINJ1;MFAP3L;MAFG;KHDRBS3;HIPK2;GMFG;NFIA;ELF2;WAC;STRADB;PTP4A3;LMO4;FNDC3B;NR4A2;2810453I06RIK;IRF2BP2;EIF1AX;CLCN3;SEPN1;TTLL4;1810013L24RIK;AGAP1;SPNA2;ZDHHC18;ZDHHC21;BCL2;CASK;RHOBTB3;EIF4H;UBE2H;FAM134B;EYA4;BRPF3;ADAM9;GRB10;MTHFD2;SERTAD2;MXD1;MXD4;MFSD6;WDR26;CBFB;ANK1;NUDT6;PDE7A;SGK3;BANP;CPSF6;IGF1R;PAFAH1B1;PPP1R9A;H2AFY;FAM102B;HOMER1;ZCCHC24;STAU2;PBX3;PSME4;CD24A;FAM107B
EGR1,110,1617,0.14473684210526316,0.07765451664025357,0.0670823254650096,7.090363660539442E-10,-1.1623294373842632,24.486927110089134,MAP3K5;SIPA1L1;ORAI2;SERF1;TAOK1;UBE2CBP;USP25;USP45;ARRB1;LRBA;IMPA2;RNF103;CEBPA;STK17B;TMEM229B;IKZF2;FAM69B;2310035K24RIK;SLC25A23;HBB-B2;SLC25A39;TET2;1110003E01RIK;TRIM59;EPB4.1;UBE2E2;HS6ST1;ARAP2;PTPRS;TGFBR2;APOL8;GNAQ;TBC1D5;LIMD2;D5ERTD579E;SCCPDH;CAMTA1;DOCK8;MAN1A2;FAM120A;TSEN34;PDLIM7;CDV3;PXN;SERINC1;TRIO;DOCK10;GEN1;SLC19A2;PHF21A;CNP;ZFP276;SATB1;SOCS5;TNS3;GADD45GIP1;MFAP3L;TBC1D24;HIPK2;FTL1;CENPB;RCSD1;2310003H01RIK;CRTAP;UNC119;LMO4;ZXDC;FNDC3B;ABCA2;RAB8B;IRF2BP2;AFAP1L1;HPCAL1;SEPN1;KLF3;ZDHHC18;ZDHHC21;PODXL;PRKCD;IRF1;BRPF3;ROCK1;PCDH17;TTC28;SERTAD2;PDE10A;MXD1;MXD4;TLCD1;GM166;RASSF3;WDR26;NUDT6;HHEX;KCNA3;GPC4;IGF1R;PPP1R9A;GCC1;1110008P14RIK;YPEL2;STAU2;CDKN3;PBX3;STK3;SBK1;KCTD12;CTSG;CD24A;TPM4
TEAD2,90,1591,0.11842105263157894,0.07640589732507323,0.04201515530650571,4.196344432796296E-5,-1.155299418864346,11.643929760460098,BTBD2;JUN;FNIP2;RNF130;CDKN1A;HDAC7;IMPA2;RNF103;1110038D17RIK;HIF3A;BC028528;PLD3;KRT18;IKZF2;HOPX;NRP1;ZFP710;FAM69B;SLC25A23;CST3;ZFP148;EPB4.1;UBE2E2;HS6ST1;GPR97;GUCY1B3;GLIPR2;BBIP1;SIX5;CAMTA1;CTPS2;TRAF4;XPO7;HDC;CSF2RB;CDK6;CAMKK2;FAM129B;CDR2;GADD45A;SHROOM4;SEC14L1;PHF21A;RNF38;SATB1;SOCS5;HOXA9;PARD6G;FTL1;RCSD1;RREB1;PIK3CD;MECOM;F5;UNC119;ACSL6;LMO4;KLF3;RAB44;MLLT3;CASK;ITGAL;AGFG1;ITGB5;TUBA1A;TRA2B;CLK3;H3F3A;MARCKS;MARCKSL1;PDE10A;RASSF5;ST3GAL2;CHAC2;MAD2L1BP;PDE7A;IGF1R;PAFAH1B1;FAM105A;EMB;ZCCHC24;YPEL4;FZD5;PBX3;NDRG1;PSMB9;UCP2;BTG2;GRCC10;RASGRP2
YY1,83,1700,0.10921052631578948,0.0816404936848677,0.02757003263092178,0.0053273784368517785,-1.184649510573874,6.201516998875571,BTBD2;BRAF;EIF2AK1;LFNG;FNIP2;USP11;TMEM2;RNF138;FN3K;RNF169;HDAC7;PKLR;CEBPD;2010109K11RIK;APOE;BSDC1;GPR137;KRT10;TYROBP;HOPX;SPECC1;TMEM176A;MKRN1;FOXO4;TOR1AIP2;SLC25A39;PACS2;1110003E01RIK;FOS;LAIR1;ARHGAP25;B230312A22RIK;MAP2K3;TGFBR3;RANBP10;HMGCR;UGT8A;INPP4A;COTL1;RAVER1;ZRSR1;TMEM185B;FAM129C;SATB1;TNS3;EIF4E3;NINJ1;MYL9;GADD45GIP1;TTC39A;HIPK1;FTL1;MTHFR;2310003H01RIK;MECOM;PPP2R3A;UNC119;AA986860;ACSL6;PTP4A3;MAN2A2;EHBP1L1;EIF1AX;FUT4;ASB1;AGFG1;RHOBTB3;ADIPOR1;UBE2C;TNRC6B;JHDM1D;CREG1;PDE10A;MXD4;GRASP;GALNT10;CDC25B;DAB2IP;PGM2;EMB;PTPN18;ABCG1;MICALL2
REL,83,1752,0.10921052631578948,0.08413773231522835,0.02507279400056113,0.010763431070719464,-1.338569926123468,6.0658646850584805,BRAF;SIPA1L1;HTATIP2;NFKBIZ;ALOX12;TRIM10;WHSC1L1;IL16;MDFIC;RNF138;SLC45A3;E2F2;SPINT2;PKLR;SELPLG;ALKBH5;BSDC1;ATP6V0E2;F13A1;TOR1AIP2;CST3;RIOK3;SLC37A1;YIPF4;CD96;FOS;CDK12;ZMIZ1;SLC25A45;BBIP1;BNIP3L;SIX5;CAMTA1;VAV1;HDC;UGT8A;ADD2;TRIO;LMBR1;HOXA9;SQRDL;HIPK2;FTL1;RREB1;HSPBAP1;STRADB;PTP4A3;SFPQ;FNDC3B;IKBKG;GPSM3;2310035C23RIK;PRTN3;MLLT3;RAB37;SORL1;KLHL25;UBE2H;OXCT1;EPB4.1L2;BRPF3;FNBP1;SYNJ1;SERTAD3;GALNT10;SWAP70;ANK1;PDE4B;NUDT4;PDE7A;CD1D1;LCP2;ANXA4;PPP1R9A;TTPAL;S100A10;AFF1;THRA;SOX6;PSMB9;BTG2;CTSB;RASGRP2
IRF8,82,1770,0.10789473684210527,0.08500216107189165,0.022892575770213613,0.018180858312101957,-1.409100661935986,5.646810236290716,BTBD9;NFKBIZ;JDP2;CCL9;CDKN1A;RNF103;H2-K1;H2-M3;CD53;KRT18;ACAP1;CD69;IKZF2;ZFP710;RC3H2;TOR1AIP2;CST7;SLC25A37;PPOX;LAIR1;TXNIP;SMOX;HMG20A;GPR65;IQGAP2;ODF2L;CTPS2;CRBN;CSF2RB;LCK;INPP4A;SMC6;PDLIM7;GPCPD1;PDGFRB;FCER1A;SHROOM4;SLC19A2;ELMOD3;CNP;SATB1;SOCS5;HOXA9;HSPBAP1;AA986860;FGD4;DNAJB2;CATSPER2;MLLT11;RIT1;TUBB1;SPNA1;RAB3A;DNTT;ZC3H3;FAM134B;JHDM1D;CCDC157;FNBP1;DEPTOR;2810474O19RIK;MTHFD2;SERTAD2;HIST2H2BE;MFSD6;RNASEL;CBFB;ST3GAL2;ANK1;ALAS2;GALNT6;CHDH;FAM102B;GCNT1;CDKL1;SOX4;ELK3;NDRG1;PSMB8;NXN;CTSB;MGST1
CACYBP,78,1656,0.10263157894736842,0.07952744561302406,0.023104133334344357,0.01495621421274626,-1.1227724652337716,4.718595448126104,BTBD2;BRAF;EIF2AK1;SIPA1L1;LASP1;TMEM2;ARRB1;IFITM2;FBXO42;FBXO30;FBXO34;IMPA2;SPINT2;OTUD5;ALKBH5;GPR137;TMEM229B;ADK;F13A1;NAPSA;PTPRCAP;TBC1D10C;UBE2E2;LAIR1;ARHGAP25;PANK1;2900026A02RIK;NFAT5;CLCA1;GNAQ;IQGAP2;CAMTA1;CCNG1;TRAF4;VAV1;INPP4A;ADD2;DOCK10;SHROOM4;HOXC4;SATB1;SOCS2;SQRDL;GMFG;NFIA;RREB1;SPTY2D1;NR4A2;BPGM;DNAJB6;CYBA;SEPN1;MPEG1;PPFIA1;RAB44;GABPB2;MPO;MARCKSL1;TTC28;MAGEH1;STX3;MFSD6;PLEKHG2;CMTM7;SGK3;IGF1R;ANXA3;PPP1R9A;EMB;PTPN18;HOMER1;RAD54B;ZCCHC24;YPEL4;YPEL5;STK3;GRCC10;TPM4
SP3,56,1129,0.07368421052631578,0.05421889257071508,0.019465317955600706,0.015550141105826861,-1.107639640013651,4.611863181529997,RREB1;CRTAP;PIK3CD;LASP1;ACSL6;LMO4;FN3K;LRBA;SERPINB6B;SLC45A3;E2F8;SLC1A5;GPSM3;CEBPA;IL6ST;CCBE1;GTPBP2;SEPN1;SPNA1;TRIOBP;FUT4;ATP6V0A1;2310035K24RIK;TMEM98;ITGAL;ITGB5;LAIR1;CCDC50;EYA4;CLK3;ACP5;CCDC157;DEPTOR;PDE10A;SHMT1;CRADD;CPA3;SIX5;HHEX;ARMC9;XPO7;RHOJ;CSF2RB;VPREB1;VIM;IGF1R;ANXA3;ADD2;GCNT1;CDR2;SLC19A2;ITPR3;PHF21A;UCP2;PARD6G;NFIA
JUN,79,1699,0.10394736842105264,0.08159246986505307,0.022354898555999564,0.018785084104690982,-1.1551678907403995,4.591436715768275,BTBD2;BRAF;JUN;TFPI;ARIH1;ARHGEF12;PTOV1;DUSP8;ARRB1;LRBA;PKN2;OTUD5;TYROBP;CHST10;GPR171;CD27;HCLS1;NAPSA;SLC37A1;SLC25A39;EPB4.1;LAIR1;ZMIZ1;PTPRS;TGFBR2;HLF;3110002H16RIK;BNIP3L;ODF2L;TRAF4;TNFRSF13B;LMCD1;VAV1;RHOJ;HDC;LCK;INPP4A;GPCPD1;TMEM185B;FAM129B;GEN1;GADD45A;RNF38;SLC4A1;LMBR1;HIPK2;FTL1;CALD1;RCSD1;MECOM;2810453I06RIK;SFI1;CLCN3;TTLL4;TRIOBP;DNTT;ASB1;SLAIN1;GM2A;SORL1;UBE2H;UBE2C;FAM134B;CCDC86;2810474O19RIK;MXD1;CLN8;ANK1;MYH10;ANO6;ZFP518B;BANP;ZFYVE27;GALNT6;ANXA3;GALNS;AFF3;BTG2;GRCC10
