Term	P-value	Genes
protein kinase cascade (GO:0007243)	2.2556004663596885E-4	TIRAP,FGF13,MAP3K5,PRKACB,EDARADD,TNIK,SOCS2,STK3,MARK2,MAP4K4,MAP4K5,BLK,PTPLAD1,MAP4K2,MAP4K1,SRC,IRAK4,TGFBR3,PINK1,LATS2,SIK1,GHR,SRPK2,SH2D3C,CRKL,MKNK1,IGF1R,RASGRP3,MAP3K3,PLEK,RPS6KA5,RPS6KA2,MAPK14
Ras protein signal transduction (GO:0007265)	3.173122493386203E-4	SHOC2,RGL2,ARHGAP4,ARHGAP6,ARHGAP1,RAPGEF6,PLD1,ELMO1,CRKL,GNB1,CFL1,GRAP,GRB2,PTPLAD1,MAPKAPK3,MYO9B,SRC,KRAS,RASGRP1,YWHAB,LAT,MAPK14
intracellular signaling cascade (GO:0007242)	3.393268089505701E-4	CTNNB1,MAP3K5,TLK1,CCNA2,TNIK,MARK2,SPAG5,ZWINT,TGFBR3,LATS2,ANP32A,SIK1,GHR,SRPK2,ELMO1,GNB1,FHL2,MKNK1,DGKA,PHLDA3,FEN1,RPS6KA5,RPS6KA2,DGKZ,RGL2,PRKAR2B,EDARADD,MAPKAPK3,DOCK1,P2RY1,DYRK2,LAT,PINK1,SH2D3C,NCOA4,IGF1R,HRH2,RAPGEF6,PLD1,RFC4,CD36,RAB18,PTPLAD1,MYO9B,CHEK1,KRAS,ARFIP2,RNF4,TOLLIP,SHOC2,PDPK1,AEN,NFAM1,CXCL1,AGT,PLEK,YWHAB,MAPK14,RAB38,APBB2,F2RL3,TIRAP,FGF13,CLP1,PRKACB,SOCS2,STK3,MAP4K4,MAP4K5,KALRN,DERL1,GRAP,GRB2,BLK,MAP4K2,MAP4K1,SRC,IRAK4,CORO2A,GMIP,RNF14,BRCA1,SMC1A,ARHGAP4,ARHGAP6,ARHGAP1,BRCC3,NRIP1,CRKL,CFL1,MAP3K3,RASGRP3,RASGRP1,SH3BP5,BRE
small GTPase mediated signal transduction (GO:0007264)	4.5080218752394444E-4	RGL2,RAPGEF6,PLD1,RAB18,GRAP,GRB2,PTPLAD1,MAPKAPK3,MYO9B,SRC,KRAS,DOCK1,ARFIP2,LAT,SHOC2,ARHGAP4,ARHGAP6,ARHGAP1,ELMO1,CRKL,GNB1,CFL1,RASGRP1,YWHAB,MAPK14,RAB38
cellular protein metabolic process (GO:0044267)	7.310635629012286E-4	PPP2R5C,MAP3K5,OGT,PIK3CD,MARK2,MAPK6,ARIH1,TAOK1,PARP3,PARP4,LDLR,NUAK2,GHR,MRPL9,MKNK1,SNRK,PPP3CA,CSNK1E,ARAF,HBS1L,FBXO10,UBE2V2,RABGGTB,TTC1,PTK2,FBXW2,DNAJA3,PINK1,PMM2,FKBP4,CBL,CCT3,SLC35A1,PRKX,C5AR1,ANAPC5,CD37,BAZ1B,FBXL2,PTPLAD1,ACVRL1,PDPK1,FARSB,COL3A1,PRKACB,CLPX,SSH2,LMAN1,IRAK3,FN1,PPIH,PHEX,METAP1,METAP2,OS9,BRCC3,UBE2F,UBE2B,PRKCB,PRKD2,UBE3A,MTM1,ERCC8,MAP3K3,CSGALNACT1,SULF2,BMPR1A,BRPF1,TLK1,MGAT4A,UBA3,TGFBR3,SEPHS1,LATS2,SIK1,CLN3,SRPK2,RUVBL2,DAPP1,PTK2B,FBXW11,BUB3,CCNB1,RPS6KA5,RNASEL,BTRC,TSPAN7,TSPAN8,STK39,TWF1,HSPE1,DYRK2,SMG1,HSPD1,MERTK,NDST1,ALG6,LOXL1,PPM1G,GALNT3,GALNT2,GALNT1,IGF1R,CREB1,MRPL42,HUWE1,PDGFRA,GCNT1,PTPN18,CDC23,CDC27,CCNT1,BAG2,USP7,NFS1,PSMD13,MORF4L1,TUSC3,LOX,STK3,MAP4K4,MAP4K5,CDKL1,CPE,PSMA3,KALRN,DERL1,MAP4K2,MAP4K1,ANAPC11,PSMB7,B3GNT5,RNF14,CTR9,PSMC6,PSMD7,HSP90AA1,HIPK3,PSME3,PSMF1,PTPRD
protein metabolic process (GO:0019538)	0.0012113713912416926	PPP2R5C,MAP3K5,OGT,PIK3CD,MYH9,MARK2,MAPK6,ARIH1,TAOK1,PARP3,PARP4,LDLR,NUAK2,GHR,MRPL9,MMP13,MGEA5,MKNK1,SNRK,PPP3CA,CSNK1E,ARAF,IDE,HBS1L,FBXO10,UBE2V2,RABGGTB,TTC1,PTK2,FBXW2,DNAJA3,PINK1,PMM2,FKBP4,CBL,NCSTN,CCT3,SLC35A1,PRKX,GTPBP4,C5AR1,ANAPC5,CD37,BAZ1B,FBXL2,PTPLAD1,ACVRL1,PDPK1,FARSB,COL3A1,PRKACB,NAPSA,CLPX,SSH2,LMAN1,IRAK3,FN1,PPIH,PHEX,METAP1,METAP2,OS9,BRCC3,UBE2F,UBE2B,PRKCB,UBE2N,PRKD2,UBE3A,MTM1,ERCC8,MAP3K3,CSGALNACT1,SULF2,BMPR1A,BRPF1,TLK1,ADAMTS5,ASPRV1,MGAT4A,UBA3,TGFBR3,SEPHS1,LATS2,SIK1,CLN3,SRPK2,RUVBL2,DAPP1,PTK2B,PITRM1,FBXW11,BUB3,TMPRSS3,CCNB1,RPS6KA5,RNASEL,BTRC,TSPAN7,TSPAN8,CPA3,STK39,TWF1,ECE1,HSPE1,DYRK2,SMG1,HSPD1,MERTK,NDST1,ALG6,LOXL1,PPM1G,GALNT3,GALNT2,GALNT1,APH1B,IGF1R,CREB1,MRPL42,HUWE1,PDGFRA,GCNT1,PTPN18,CDC23,CDC27,CCNT1,BAG2,ADAM10,USP7,NFS1,TPRKB,PSMD13,MORF4L1,TUSC3,LOX,STK3,MAP4K4,MAP4K5,CDKL1,CPE,PSMA3,KALRN,DERL1,MAP4K2,MAP4K1,ANAPC11,PSMB7,B3GNT5,RNF14,CTR9,PSMC6,TPP2,PSMD7,HSP90AA1,CCDC88C,LAP3,HIPK3,PSME3,CTSH,PSMF1,PTPRD
protein amino acid phosphorylation (GO:0006468)	0.003939547341649743	PRKX,MAP3K5,TLK1,C5AR1,PIK3CD,MARK2,BAZ1B,MAPK6,PDGFRA,PTPLAD1,TAOK1,TGFBR3,ACVRL1,NUAK2,CCNT1,LATS2,PDPK1,SIK1,GHR,SRPK2,MKNK1,SNRK,PTK2B,RPS6KA5,CSNK1E,RNASEL,STK39,PRKACB,TWF1,STK3,MAP4K4,MAP4K5,CDKL1,KALRN,MAP4K2,MAP4K1,IRAK3,PTK2,DYRK2,SMG1,MERTK,PINK1,PRKCB,PRKD2,HIPK3,IGF1R,MAP3K3,CREB1,BMPR1A
regulation of cytoskeleton organization (GO:0051493)	0.004930956670759059	LIMA1,CEP76,CTNNB1,ARHGAP6,GSN,NCK1,ADD2,ADD1,TPM1,NPM1,TERF1,PLEK,BRCA1,CORO1A,ARAP1
phosphorylation (GO:0016310)	0.005452505340632951	PRKX,MAP3K5,TLK1,C5AR1,PIK3CD,MARK2,BAZ1B,MAPK6,PDGFRA,PTPLAD1,TAOK1,TGFBR3,ACVRL1,NUAK2,TOLLIP,CCNT1,LATS2,PDPK1,SIK1,GHR,SRPK2,MKNK1,SNRK,PTK2B,RPS6KA5,CSNK1E,RNASEL,STK39,PRKACB,TWF1,STK3,MAP4K4,MAP4K5,CDKL1,KALRN,MAP4K2,MAP4K1,IRAK3,PTK2,DYRK2,SMG1,MERTK,PINK1,PRKCB,PRKD2,HIPK3,IGF1R,MAP3K3,CREB1,BMPR1A
response to stress (GO:0006950)	0.007007647992901577	CTGF,CCNA2,TNIK,LIG4,EIF2AK1,RAD23A,SERPINH1,IL1RN,PARP3,PARP4,FGF7,NUAK2,ERRFI1,ALOX15,IL12A,RUVBL2,POLA1,PTK2B,PHLDA3,FEN1,SELP,ATRX,RPS6KA5,CSNK1E,DGKZ,STK39,NEIL1,HIF1A,SRXN1,MAPKAPK3,STIP1,ARNT,HSPE1,DYRK2,ANGPTL4,EPAS1,HDAC4,DNAJB1,HSPD1,DNAJB4,PINK1,KNG1,SH2D3C,TXNRD2,ASNS,TCIRG1,EXO1,RNASE6,RAD51C,AQP9,EIF2B3,C5AR1,CCR7,RFC4,BAZ1B,CHEK1,PXN,IL1RL2,CD5L,SLAMF7,AGER,PRKRIR,TOLLIP,HSPH1,AEN,GPX3,NFAM1,RBBP8,ADAM17,CXCL1,COL3A1,MLF2,ITPR2,ABCC9,CD19,MAPK14,F2RL2,F2RL3,PDGFB,CLP1,MAP4K4,MAP4K5,RAD18,DERL1,MAP4K2,MAP4K1,NPM1,FN1,MALT1,WRN,BRCA1,CORO1A,CIRBP,SMC1A,OS9,HSP90AA1,BRCC3,UBE2B,XRCC6BP1,UBE2N,CD84,CD83,CRKL,FAIM3,TNC,TPM1,ERCC8,SNN,BRE
