Term	P-value	Genes
kinase activity (GO:0016301)	1.8174753239775388E-7	MAP3K7,MAP3K5,PIK3CA,TLK1,PIK3CG,TNIK,PIK3CD,MARK2,EIF2AK1,MAPK6,MAPK7,EIF2AK2,TAOK1,MAP2K3,TGFBR3,SEPHS2,NUAK2,LATS2,SIK1,SRPK2,PIK3C2A,CARD11,HK2,MKNK1,HK1,DGKA,SNRK,PTK2B,DGKG,CERK,RPS6KA5,RPS6KA2,CSNK1E,DGKZ,STK39,TWF1,RFK,PHKA1,MAPKAPK3,DYRK2,MET,SMG1,MERTK,PINK1,IGF2R,PKLR,DCK,IGF1R,FLT4,PRKX,BAZ1B,PDGFRA,CHKA,CDK5R1,PFKFB4,CHEK1,VRK1,VRK2,ACVRL1,PDPK1,ADK,MAPK14,CASK,ITPKB,CLP1,PRKACB,STK3,MAP4K4,MAP4K5,CDKL1,KALRN,MAP4K2,MAP4K1,IRAK3,CPNE3,PFKL,PFKP,XRCC6BP1,PRKCB,CRKL,HIPK3,MAP3K3,ETNK1,CRIM1,BMPR1A
transferase activity (GO:0016740)	6.841127904881751E-7	SGMS1,MAP3K7,MAP3K5,PIK3CA,OGT,PIK3CG,ACAA2,PIK3CD,MARK2,EIF2AK1,MAPK6,MAPK7,EIF2AK2,TAOK1,GART,PARP4,NUAK2,AASDHPPT,USP14,PIK3C2A,CARD11,MKNK1,SNRK,C1GALT1,CSNK1E,YKT6,PHKA1,MAPKAPK3,MET,PINK1,PRMT3,PKLR,ATIC,GSTA4,PRKX,BAZ1B,CHKA,CDK5R1,PPAT,VRK1,VRK2,ACVRL1,PDPK1,AGPAT5,AGPAT9,CHST13,ZDHHC17,ADK,MTAP,CASK,CLP1,PRKACB,IRAK3,MTR,PFKL,PFKP,XRCC6BP1,PRKCB,CHST1,DGAT1,COMT,MAP3K3,ETNK1,CRIM1,CSGALNACT1,TEP1,BMPR1A,TLK1,TNIK,DNMT3B,MGAT4A,MAP2K3,TGFBR3,SEPHS2,LATS2,SIK1,SRPK2,HK2,POLA1,HK1,DGKA,PTK2B,DGKG,CERK,SHMT2,RPS6KA5,RPS6KA2,DGKZ,ST3GAL2,STK39,TWF1,RFK,POLE4,POLE3,PCYT1A,DYRK2,SUV39H1,SMG1,SUV39H2,TRNT1,MERTK,ALG6,IGF2R,GALNT3,GALNT1,DCK,IGF1R,FLT4,PRIM2,POLG,PDGFRA,GCNT2,PFKFB4,CHEK1,GYS1,GCNT1,RNGTT,SRCAP,NFS1,POLR3F,NAT2,POLR3C,MAPK14,TUSC3,ITPKB,STK3,MAP4K4,MAP4K5,CDKL1,PRPS2,KALRN,PRPS1,MAP4K2,MAP4K1,B3GNT8,B3GNT5,CPNE3,PIGA,PIGV,PIGN,UMPS,CRKL,HIPK3
protein kinase activity (GO:0004672)	2.3553897567562002E-5	PRKX,MAP3K7,MAP3K5,TLK1,TNIK,MARK2,EIF2AK1,BAZ1B,MAPK6,PDGFRA,MAPK7,EIF2AK2,CDK5R1,CHEK1,VRK1,VRK2,TAOK1,MAP2K3,TGFBR3,ACVRL1,NUAK2,LATS2,PDPK1,SIK1,SRPK2,MKNK1,SNRK,PTK2B,RPS6KA5,CSNK1E,RPS6KA2,MAPK14,STK39,PRKACB,TWF1,STK3,MAP4K4,MAP4K5,CDKL1,KALRN,PHKA1,MAPKAPK3,MAP4K2,MAP4K1,IRAK3,DYRK2,MET,SMG1,CPNE3,MERTK,PINK1,XRCC6BP1,PRKCB,CRKL,IGF2R,HIPK3,IGF1R,MAP3K3,CRIM1,FLT4,BMPR1A
protein serine/threonine kinase activity (GO:0004674)	3.602834168219199E-5	PRKX,MAP3K7,MAP3K5,TLK1,TNIK,MARK2,EIF2AK1,MAPK6,MAPK7,EIF2AK2,CHEK1,VRK1,VRK2,TAOK1,TGFBR3,ACVRL1,NUAK2,LATS2,PDPK1,SIK1,SRPK2,MKNK1,SNRK,RPS6KA5,RPS6KA2,CSNK1E,MAPK14,STK39,PRKACB,STK3,MAP4K4,MAP4K5,CDKL1,KALRN,PHKA1,MAP4K2,MAP4K1,IRAK3,DYRK2,SMG1,CPNE3,PINK1,XRCC6BP1,PRKCB,HIPK3,MAP3K3,BMPR1A
nucleotide binding (GO:0000166)	4.72428819232205E-4	MAP3K5,TLK1,GTPBP1,GTPBP4,OLA1,GEM,LIG4,MYH9,MARK2,RND3,ATP2C1,MYO9B,TAOK1,ARFIP2,ARF3,SEPHS1,ACVRL1,NUAK2,LATS2,NUBP1,SIK1,CDC6,SRPK2,MBD2,MTRR,POLA1,MKNK1,SNRK,LANCL2,ABCD2,RPS6KA5,DGKZ,RAB38,HPGD,DNM2,HBS1L,CLP1,PRKACB,CARS,STK3,MAP4K4,MAP4K5,PRPS1,MAP4K2,MAP4K1,IRAK3,DYRK2,MYO1F,ABCB7,TRNT1,CRYZL1,PINK1,HSP90AA1,PFKL,CHD8,BMPR1A
protein binding (GO:0005515)	5.572186337851956E-4	GFER,OGT,PDHA1,EIF2AK2,RALGPS2,ESRRA,LASP1,PARP3,PARP4,POP5,ANP32A,GHR,PARVG,EIF4A1,AZIN1,ATRX,GNA13,MPZL1,HIF1A,UBE2V2,NR2C2,RABGGTB,ERCC6L,HDAC4,HDAC2,E2F4,E2F5,PREX1,PAWR,SH2D3C,SDC1,ZFPM2,SNX18,ATIC,PELI2,BAZ1B,ACAP1,FUS,VRK1,VRK2,KRAS,SENP8,PDPK1,LIMS1,COL3A1,IL10RA,FBLN5,PDGFB,CEP76,RAI14,HAX1,SSX2IP,FN1,SETDB1,MRPS22,CIRBP,ANTXR1,ARHGAP18,FAM63A,OS9,CFL1,TIPARP,COMT,CEP63,ATXN2,BMPR1A,CTNNB1,ACBD3,TNIK,ADAMTS5,GNAI2,LIMA1,ARHGEF4,SRPK2,ARHGEF1,SMN1,FHL2,SELP,RPS6KA5,IQGAP1,DAB2,CAMTA2,DOCK2,TROVE2,ECE1,DOCK1,SMG6,SMG5,SUV39H1,SMG1,SUV39H2,XCL1,LEPR,CSF2RA,SRPRB,NFYA,NR3C1,VARS,S100A6,SNCA,TRAK2,PDGFRA,ADD2,ADD1,CAPZB,PXN,MOV10,GYS1,COPS2,HIP1R,GTF2I,SLC27A4,NFS1,TPRKB,ITPR3,MAPK14,BCAR3,PNN,SLC4A1,SOCS2,TNS1,GMIP,WRN,PTPN1,GSN,KPNB1,PIGA,HSP90AA1,EIF4G1,EIF4G3,KPNA3,KPNA1,HJURP,NUDT21,GP1BA,ACTB,PTPRC,PTPRD,PDZD11,ANXA11,PPP2R5C,ZWINT,CRTC2,SERPINH1,ALCAM,FGF7,LDLR,AASDHPPT,CLIC1,SERPINB9,CLIC4,IL12A,EEF1D,SNRK,EXOC4,PPP3CA,ZXDC,CIB2,POU2AF1,GABPA,PDCD6IP,HDLBP,TTC1,CXCL14,KIF2C,RAG1,ID4,GTPBP4,XK,KLF7,CELSR3,AGER,NCKAP1,ETS1,GPX3,RBBP4,MBD2,RBBP8,RAB11FIP5,ATG12,PHIP,MLLT4,YWHAB,BIRC3,YWHAG,YWHAQ,GATA2,RNMTL1,AGFG1,IRAK4,IRAK3,MTPN,NPM1,HTT,CYFIP2,SORL1,ACTR1B,RANBP1,RANBP2,MKL1,PHC1,PRKCA,LEF1,UBE2F,PALLD,UBE2B,PRKCB,UBE2N,MATR3,UBE3A,HCFC1,SH3BP5,IRF4,IGFBP5,RP9,INTS8,INTS7,TLK1,TCF3,PLEKHJ1,FNBP1,SYNE1,MARCKS,RTN4,MSR1,TLE3,FBXW11,BUB3,PPP1R11,WWTR1,RASSF2,BTRC,OSGIN1,JAG1,NEIL1,HSPE1,HSPD1,ZFX,CPSF6,ABLIM1,BCLAF1,VPREB1,IGF1R,CHD8,HSPA9,CREB1,GGA1,SIN3B,CHEK1,CDC27,NOTCH3,NOTCH2,BAG2,ZCCHC11,MLF2,ABCD2,AFF2,PPP1R8,MORF4L1,SLC6A3,TIRAP,MLL2,RSL1D1,PSMA3,RNPS1,MALT1,PSMC6,WDR1,HPS1,PSMD7,RUNX1T1,MCM3,PCGF1,PSME3,PSMF1,RASGRP3,RASGRP1,SYNPO,IPP,DNM1L,DTX1,PSMG2,SETD8,SH3D19,OSMR,SYNCRIP,MAP3K7,MAP3K5,BSG,PTBP1,MARK2,CYP1B1,NFKBIE,NFKBIA,ARIH1,CKLF,GART,RGS2,BRD4,ELMO1,SKIV2L,MKNK1,SF3B3,SORBS2,SNAP23,PAPSS2,FEN1,MID1,SF3A3,CSNK1E,HPGD,YKT6,RGL1,TIA1,LRRC59,API5,FMR1,TACC1,ARRB2,SMARCA2,SMARCA4,LRBA,IL33,PDXDC1,PTK2,FBXW2,MYO1F,SMARCC2,GABBR1,ISLR,CD2,VPS35,CD4,CBL,CCT3,CD44,GBF1,CEP290,TXNDC9,CD36,FBXL2,CDK5R1,PTPLAD1,MYO9B,CD72,JAKMIP1,CXCL1,CXCL5,AGT,CD22,PLEK,DLGAP4,CD19,UBTF,ATP6V0A1,FOXO1,TOR1AIP2,TRIM37,LMAN1,BMF,CFLAR,BRCA1,PIP4K2C,PDCD4,DGCR8,BRCC3,PFKL,PFKP,NRIP1,PANK2,CD86,CYTH1,RPA2,ERCC8,MAP3K3,POU2F1,IL2RB,SAP30BP,BRE,ARAP1,TUBB2A,GIT2,LSM2,CCNA2,IBTK,YARS,BCL2L11,SPAG9,PELO,ESM1,ODC1,MAP2K3,IL1RN,RPS9,DVL1,UBA3,TGFBR3,SLC23A1,SIK1,CDC6,MAST3,NCK1,NSD1,CREM,POLA1,CCNB1IP1,SHMT2,CCNB1,HSPA4L,DNM2,XPO4,CNOT3,ARID1B,HES6,POLE4,POLE3,EPAS1,EFEMP2,SMEK2,LAT,XPO7,KNG1,NCOA4,LCK,APH1B,FLT4,BZRAP1,COTL1,PTTG1,RAPGEF6,RAPGEF1,OLA1,GAPVD1,AKAP12,TRPC6,TAX1BP1,TMOD3,CCNT1,IL28RA,ZYG11B,ACTR2,PRPF31,ADAM10,SNAPC3,ADAM17,SRCAP,USP7,CAB39L,POLR3F,IPO11,CAPRIN1,PSMD13,FGF13,HOXC6,TARDBP,TNFRSF14,PKD2L2,MYL4,DERL1,SRC,HOXA9,RNF14,GABARAPL1,SSB,AKTIP,ARHGAP4,BZW1,ARHGAP6,ARHGAP1,CRKL,GLTSCR1,CALD1,CR2,SPARC,ITSN2,MED27,STAG1,PIK3CG,TAF4B,PIK3CD,MECP2,LIFR,LIG4,MYH9,MAPK7,RAD23A,SLC29A1,NOLC1,MYCN,CARD10,CARD11,PHLDA3,ARAF,CDH11,IL17RA,STAP2,RELB,STIP1,ARNT,DNAJA3,MET,EBF3,EBF1,FABP4,DNAJB4,FABP5,MAD1L1,FKBP4,EXO1,ADIPOQ,NCSTN,ATP2B1,TCF20,HNRNPAB,RNF4,ACVRL1,TOLLIP,FANCF,ZDHHC17,LY6D,IMMT,F2RL2,DSTYK,GABPB1,CLP1,CARS,DTL,NPEPPS,CLPX,GRAP,GRB2,SSH2,ITGB3,CORO2A,ITGB7,EIF3J,ITGA4,CORO1A,EIF4E,MTR,METAP1,SMARCAD1,TMEM33,GEMIN6,GSPT1,DR1,GSPT2,CTGF,FAP,LUC7L2,FAS,MPDZ,SKP2,SPIRE1,EIF2S1,EIF2S2,ZNHIT3,ADAP1,CACYBP,DNMT3B,CCDC82,PBXIP1,ANGPT1,CLN3,MXD1,MXD4,RUVBL2,PTK2B,TRIP11,TRIP12,PDE2A,DGKZ,GFRA2,VCL,SLC2A4,NUDT5,FBP1,CECR2,AKR1B10,XRN2,TIMP3,TIMP1,DDX3X,SEC61A1,ARPP19,EAF2,TRIM5,KDM5A,NCL,PAFAH1B3,TERF1,FBN1,EIF2B3,POLG,RFC3,RFC4,HUWE1,ARFIP2,EPS8,NARS,FAR1,NARF,TOP2B,TOP3B,AATK,NASP,PBX1,PBX2,CBX1,CBX5,MAP4K5,PRPS1,MAP4K2,MAP4K1,PPP1R16B,SKIL,SYCE2,PLCG1,SMC1A,CCDC88C,DYNLT3,STOM,CTSH,TPM2,RGS10,EPX
ATP binding (GO:0005524)	5.832755870889375E-4	MAP3K5,TLK1,OLA1,LIG4,MYH9,MARK2,ATP2C1,MYO9B,TAOK1,ACVRL1,SEPHS1,NUAK2,LATS2,SIK1,SRPK2,MKNK1,SNRK,LANCL2,ABCD2,RPS6KA5,DGKZ,CLP1,PRKACB,CARS,STK3,MAP4K4,MAP4K5,PRPS1,MAP4K2,MAP4K1,IRAK3,DYRK2,MYO1F,ABCB7,TRNT1,PINK1,HSP90AA1,PFKL,CHD8,BMPR1A
purine nucleotide binding (GO:0017076)	0.0012744534311449499	MAP3K5,TLK1,GTPBP1,GTPBP4,OLA1,GEM,LIG4,MYH9,MARK2,RND3,ATP2C1,MYO9B,TAOK1,ARFIP2,ARF3,SEPHS1,ACVRL1,NUAK2,LATS2,SIK1,SRPK2,MTRR,MKNK1,SNRK,LANCL2,ABCD2,RPS6KA5,DGKZ,RAB38,DNM2,HBS1L,CLP1,PRKACB,CARS,STK3,MAP4K4,MAP4K5,PRPS1,MAP4K2,MAP4K1,IRAK3,DYRK2,MYO1F,ABCB7,TRNT1,PINK1,HSP90AA1,PFKL,CHD8,BMPR1A
nucleoside binding (GO:0001882)	0.002123664116506103	MAP3K5,TLK1,OLA1,GEM,LIG4,MYH9,MARK2,ATP2C1,MYO9B,TAOK1,ACVRL1,SEPHS1,NUAK2,LATS2,SIK1,SRPK2,MTRR,MKNK1,SNRK,LANCL2,ABCD2,RPS6KA5,DGKZ,CLP1,PRKACB,CARS,STK3,MAP4K4,MAP4K5,PRPS1,MAP4K2,MAP4K1,IRAK3,DYRK2,MYO1F,ABCB7,TRNT1,PINK1,HSP90AA1,PFKL,CHD8,BMPR1A
SH3/SH2 adaptor activity (GO:0005070)	0.004793113098256428	GRAP,GRB2,ITSN2,SRC,ARHGAP4,ARHGAP6,ARHGAP1,SOCS2,SH2D3C,LAT,CRKL,EPS8,LASP1
