Term	P-value	Genes
HSA04512_ECM_RECEPTOR_INTERACTION	6.023944956302748E-4	SDC4,GP5,CD44,SDC1,CD36,RELN,TNC,COL3A1,ITGB5,ITGB3,HMMR,ITGB7,COL6A1,GP1BA,LAMB1,FN1,COL4A2,COL4A1,ITGA4,COL5A2,ITGA6,ITGA8
HSA04510_FOCAL_ADHESION	0.0011623583596638328	CTNNB1,PIK3CA,RAPGEF1,PIK3CG,PIK3CD,VEGFC,PDGFRA,PXN,LAMB1,PDPK1,PARVG,COL3A1,COL6A1,BIRC3,PDGFB,VCL,RELN,CAV1,GRB2,ITGB5,ITGB3,SRC,PTK2,DOCK1,ITGB7,FN1,MET,ITGA4,ITGA6,ITGA8,PRKCA,CRKL,TNC,IGF1R,ACTB,COL4A2,COL4A1,COL5A2
HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0036035514546167657	PIK3CA,PIK3CG,PIK3CD,CARD11,NFKBIE,NFKBIA,CD72,KRAS,RASGRP3,CD22,PPP3CA,CR2,MALT1,CD19,CD79B,CD79A
HSA04070_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.004323017484020747	IMPA2,SYNJ1,ITPKB,PIK3CA,PLCB1,PLCB2,PRKCA,PIK3CG,PIK3C2A,PIK3CD,INPP4A,DGKA,DGKG,ITPR3,ITPR2,PLCG1,DGKZ,PIP4K2C
HSA00051_FRUCTOSE_AND_MANNOSE_METABOLISM	0.011158958498349183	PFKFB4,HK2,HK1,PFKL,FBP1,PFKP,PMM2,RDH11,AKR1B10,PHPT1,RDH14
HSA04640_HEMATOPOIETIC_CELL_LINEAGE	0.012297999585831125	GP5,CD44,MS4A1,CSF2RA,CD38,CD37,CD36,CD33,ITGB3,CD2,CD22,CD4,GP1BA,CR2,ITGA4,CD19,TFRC,ITGA6
HSA05211_RENAL_CELL_CARCINOMA	0.013754157016352518	PDGFB,PIK3CA,RAPGEF1,PIK3CG,PIK3CD,VEGFC,HIF1A,CRKL,GRB2,ARNT,KRAS,EPAS1,MET,ETS1,ARAF
HSA00562_INOSITOL_PHOSPHATE_METABOLISM	0.016161157924475034	IMPA2,SYNJ1,ITPKB,PIK3CA,PLCB1,PLCB2,IPMK,PIK3CG,PIK3CD,PLCG1,INPP4A,PIP4K2C
HSA04910_INSULIN_SIGNALING_PATHWAY	0.017778936574763662	FOXO1,PRKX,PRKAR2B,SLC2A4,PIK3CA,PRKACB,RAPGEF1,PIK3CG,SOCS2,PIK3CD,FBP1,GRB2,PHKA1,KRAS,GYS1,PTPN1,PDPK1,PFKL,PFKP,CRKL,PKLR,MKNK1,CBL,ARAF
HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.019287826735085563	PIK3CA,PIK3CG,PIK3CD,CARD11,NCK1,LCK,GRB2,NFKBIE,NFKBIA,KRAS,RASGRP1,CD4,PPP3CA,PTPRC,CBL,MALT1,LAT,PLCG1
HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON	0.019671167923515344	PIK3CA,PIK3CG,PIK3CD,MYH9,PDGFRA,PXN,KRAS,NCKAP1,FGF7,ARHGEF4,ARHGEF1,ARAF,GNA13,PDGFB,FGF13,IQGAP1,VCL,SSH2,ITGB5,ITGB3,PTK2,DOCK1,ITGAX,ITGB7,FGD3,FN1,ITGA4,ITGA6,ITGA8,CYFIP2,PIP4K2C,GSN,CRKL,CFL1
HSA00230_PURINE_METABOLISM	0.021315956705446684	GMPR2,PRIM2,PDE4B,NUDT5,ADSL,PRPS2,PRPS1,XDH,PNPT1,RRM2B,PPAT,POLE4,POLE3,GART,NT5E,PDE10A,RRM2,ADK,RRM1,PKLR,DCK,POLA1,ATIC,PAPSS2,PDE2A
HSA00310_LYSINE_DEGRADATION	0.021478106411518583	AASDHPPT,SETDB1,SHMT2,SUV39H1,SUV39H2,RDH11,AKR1B10,TMLHE,ALDH2,NSD1,RDH14
HSA05215_PROSTATE_CANCER	0.03783444727377754	PDGFB,FOXO1,CTNNB1,PDPK1,CREB3L2,PIK3CA,PIK3CG,PIK3CD,LEF1,PDGFRA,GRB2,NFKBIA,IGF1R,KRAS,CREB1,ARAF
HSA00670_ONE_CARBON_POOL_BY_FOLATE	0.046138415096481485	SHMT2,GART,MTHFD2,ATIC,MTR
HSA04912_GNRH_SIGNALING_PATHWAY	0.04633078056012614	PRKX,PRKACB,PLCB1,PLCB2,PRKCA,PLD1,MAPK7,GRB2,SRC,KRAS,MAP3K3,PTK2B,CAMK2D,MAP2K3,ITPR3,ITPR2,MAPK14
HSA05214_GLIOMA	0.05998138810728742	PDGFB,PIK3CA,PIK3CG,PRKCA,PIK3CD,PDGFRA,GRB2,IGF1R,KRAS,CAMK2D,PLCG1,ARAF
HSA00625_TETRACHLOROETHENE_DEGRADATION	0.06477540120654439	RDH11,AKR1B10,RDH14
HSA00512_O_GLYCAN_BIOSYNTHESIS	0.06914422351656699	GALNT3,GALNT2,GALNT1,ST3GAL2,OGT,GCNT1,C1GALT1
HSA00970_AMINOACYL_TRNA_BIOSYNTHESIS	0.07172199621506824	NARS,VARS,MARS2,YARS,CARS,AARS,DARS2,FARSB
HSA03030_DNA_POLYMERASE	0.07329508469208412	POLG,POLA1,POLE4,POLE3,PRIM2,POLM
HSA00052_GALACTOSE_METABOLISM	0.07759062203287327	HK2,HK1,PFKL,PFKP,RDH11,AKR1B10,RDH14
HSA04540_GAP_JUNCTION	0.08166098329112904	PDGFB,TUBB2A,GJA1,PRKX,PRKACB,PLCB1,PLCB2,PRKCA,PDGFRA,MAPK7,GNAI2,GRB2,SRC,KRAS,ITPR3,ITPR2
HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.0822604242901423	F11R,ADAM10,ADAM17,CXCL1,NFKBIA,SRC,ATP6V0B,TCIRG1,MET,PLCG1,MAPK14,ATP6V0A1
HSA00030_PENTOSE_PHOSPHATE_PATHWAY	0.08319704790113594	PFKL,FBP1,PFKP,H6PD,PRPS2,PRPS1
HSA04720_LONG_TERM_POTENTIATION	0.08854730219928272	PRKX,PRKACB,PLCB1,PLCB2,PRKCA,KRAS,CAMK2D,PPP3CA,ITPR3,ITPR2,RPS6KA2,ARAF
HSA04110_CELL_CYCLE	0.08929463114569279	PTTG1,CCNA2,ANAPC5,SKP2,CHEK1,ANAPC11,CDC23,CDC27,HDAC2,SMC1A,MAD1L1,CDC6,MCM3,BUB3,YWHAB,CCNB1,YWHAG,YWHAQ
HSA00363_BISPHENOL_A_DEGRADATION	0.08935665641310156	DHRS7,RDH11,AKR1B10,RDH14
