Term	P-value	Genes
MP0000001_mammalian_phenotype_	4.333452541522947E-31	IGHM,OGT,PDHA1,TFPI,ESRRA,PARP4,ANP32A,ERRFI1,PARVG,AIMP2,ATRX,GNA13,MPZL3,HIF1A,ST8SIA1,HDAC4,HDAC2,E2F4,E2F5,E2F8,PAWR,SDC4,SSBP3,SH2D3C,ZFPM2,ZFPM1,GSTA4,GPR125,SGPL1,BAZ1B,FUS,PLAGL1,VRK1,KRAS,IL1RL2,STEAP3,PDPK1,SLC26A7,LIMS1,COL3A1,FBLN5,PDGFB,FN1,SETDB1,LIN7C,TET2,KITL,ANTXR1,CFL1,TIPARP,PPAP2B,SULF2,TEP1,BMPR1A,CTNNB1,ADAMTS5,GNAI2,PROCR,ARHGEF4,SMN1,FFAR2,FHL2,SELP,XDH,DOCK2,TROVE2,ECE1,DOCK1,TRAF4,ANGPTL4,LEPR,ITPRIP,IPMK,PRDX6,NR3C1,DACH2,SNCA,PDGFRA,FCER2A,HOXA10,GYS1,HIP1R,FAM129A,SLC27A4,ITPR3,ITPR2,MAPK14,APOBEC1,PNN,GP5,SLC4A1,SATB1,LYNX1,TNS1,STRBP,WRN,GSN,KPNB1,PIGA,ACTB,8430408G22RIK,NFIB,FGF7,KCNAB2,LDLR,CLIC4,IDE,GABPA,PNPLA6,VAMP3,TTC7,TRP53,ABCB7,CXCL14,KIF11,TXNRD2,TXNRD1,RAG1,COL5A2,SZT2,GTPBP1,SLC31A1,KLF7,AGER,ETS1,KLF4,KLF3,FERMT2,QK,PHIP,YWHAG,YWHAQ,APBB2,GATA2,AGFG1,RABGAP1L,IRAK4,NPM1,HTT,PHEX,SLC5A3,SORL1,RANBP2,MKL1,PHC1,PRKCA,LEF1,PALLD,PRKCB,UBE2N,ARCN1,UBE3A,MTM1,IRF4,TCF3,SYNE1,SYNE2,MARCKS,RTN4,MSR1,SYNJ1,LATS2,BUB3,NID1,WWTR1,BTRC,JAG1,ST3GAL2,NEIL1,KCNA3,ZFX,IGF2R,ABLIM1,BCLAF1,ALDH1A2,IGF1R,CHD7,COL4A2,COL4A1,CREB1,RAD51C,SIN3B,CHEK1,NOTCH3,NOTCH2,HERC1,ANKRD32,CYLD,ABCD2,SLC6A3,MLL1,NDRG3,WDR1,HPS1,RUNX1T1,NPAS4,MCM3,NANOS1,RASGRP3,DNM1L,DTX1,SLC6A9,SETD8,ATP8A1,RAB27B,RAB27A,BSG,C4B,MARK2,NFKBIA,ATP11C,RGS2,RGS5,BRD4,NFKBIZ,MMP13,ALOX15,MKNK1,PAPSS2,FEN1,H2-AB1,MID1,DIAP2,HPGD,TIA1,FMR1,MIB2,SMARCA2,SMARCA4,BICC1,PTK2,MYO1F,GABBR1,PINK1,KCNQ1OT1,PKLR,CD2,ALKBH8,CD44,CCR7,CD36,MYO9B,ST6GAL1,IKZF1,GJA1,BGN,ADK,SEMA4A,MYO5A,2610005L07RIK,CD22,CD19,FOXO1,BLK,BMF,CFLAR,FOXP1,BRCA1,PDCD4,CXCR6,CD83,CD86,TNC,TRIB2,ERCC8,POU2F1,KAT2B,GIT2,CCNA2,BCL2L11,SPAG9,SPAG5,PELO,ODC1,IL1RN,DVL1,TGFBR3,SLC23A1,NCK1,C330007P06RIK,POLA1,COL6A1,DNM2,EPAS1,EFEMP2,NDST1,ARID5B,PURA,INPP4A,APH1B,CDH2,DCN,TCIRG1,FLT4,SLC12A5,RDH11,RAPGEF6,RAPGEF1,SLC12A6,AKAP12,GUSB,TAX1BP1,LGALS9,PRPF31,ADAM10,CTNNBIP1,ADAM17,ADAM19,BAMBI,CNP,HOXC4,TARDBP,SRC,HOXA3,HOXA5,HOXA7,GALC,ARHGAP6,ARHGAP1,EGR3,MTAP4,CRKL,SPARC,PIK3CA,PIK3CG,TAF4B,PIK3CD,MECP2,LIG4,MYH9,MAPK6,MAPK7,RAD23A,SRSF3,SRSF1,SLC20A1,MYCN,CARD11,LIN9,TFRC,ARAF,IL17RA,STAP2,RELB,RELN,ARNT,DNAJA3,MET,FABP4,DNAJB1,FABP5,MAD1L1,PMM2,FKBP4,ADIPOQ,NCSTN,LPAR1,SLC35A1,ATP2C1,SCD1,RNF4,ACVRL1,SHOC2,ZEB2,HELZ,FANCL,RAB3D,LY6A,PLA2G15,RAB38,CASK,PRKACB,CAV1,GRB2,ITGB5,ITGB3,LIN28A,ITGAX,ITGB7,PODXL,ITGA4,ITGA8,CD79B,CD79A,EYA4,SMARCAD1,CTGF,FAP,WDR77,EIF2S2,DNMT3B,P4HA1,CLN3,CLN8,TRIP11,FADS2,P2RY14,GFRA2,SLC7A7,VCL,SLC2A4,PDE4B,PSIP1,EDARADD,CECR2,TIMP3,PCYT1A,CACNA1G,KDM5A,PAFAH1B3,TERF1,FBN1,GGTA1,POLG,HUWE1,GCNT2,TRP53BP1,GCNT1,SLAMF6,CSRP2,EPS8,CSRNP1,TOP2B,TOP3B,FAT1,NAT2,PBX1,PBX2,CBX1,STK3,MAP4K4,MAP4K5,CELF1,ZFAND5,PPP1R16B,B3GNT5,PLCG1,CTTN,TPP2,PLCB1,MPP5,CTSW,CTSL,CTSB,CTSH,TPM1,RGS10,SUN2,SUN1
MP0002429_abnormal_blood_cell_	1.2032940856870008E-28	OSMR,IGHM,MAP3K7,OGT,RAB27B,RAB27A,C4B,MARK2,EIF2AK1,EIF2AK2,NFKBIE,NFKBIA,ESRRA,RGS2,RGS5,SPIB,ALOX15,FEN1,H2-AB1,TIA1,HIF1A,H2-OA,SMARCA4,ST8SIA1,NR2C2,E2F4,PREX1,PAWR,SSBP2,SH2D3C,TNFSF13B,PKLR,ZFPM1,CBL,CD44,SGPL1,TIMD4,CCR7,CD37,CD33,FUS,MYO9B,CD72,KRAS,ST6GAL1,IKZF3,PELI1,IKZF1,CD5L,STEAP3,PDPK1,CHST15,SEMA4A,CXCL5,PLEK,CD19,PDGFB,FOXO1,HAX1,BLK,BMF,FN1,CFLAR,KITL,FOXP1,BRCA1,EPB4.2,CXCR5,CD84,CD83,CD86,TIPARP,MAP3K3,POU2F1,IL2RB,BMPR1A,CTNNB1,GIT2,BCL2L11,GNAI2,PROCR,IL1RN,TGFBR3,HLX,ARHGEF1,FFAR2,DAPP1,TCEA1,CERK,LIME1,DOCK2,EPAS1,TNFRSF13C,DOCK8,LEPR,ARID5B,PURA,LCK,DCK,NR3C1,TCIRG1,PTTG1,ADD2,ADD1,FCER2A,SIAE,FCER1A,LGALS9,ADAM10,ADAM17,CLEC2D,MAPK14,ITPKB,CNP,HOXC4,SLC4A1,SATB1,TNFRSF14,GALC,HOXA9,GSN,ARHGAP1,PIGA,GP1BA,PTPRC,SPARC,IGLL1,PIK3CG,PIK3CD,LIFR,LIG4,MECOM,MYH9,UNC13D,BACH2,SLC20A1,LDLR,CLIC1,MYCN,SERPINB9,CARD11,PPP3CA,C1GALT1,TFRC,IL17RA,POU2AF1,RELB,GABPA,TTC7,ARNT,TRP53,CXCL14,EBF1,TXNRD2,RAG1,ADIPOQ,KLF6,AGER,ETS1,ACVRL1,PRG2,LY6A,PLA2G15,BIRC3,GATA2,MS4A1,NBR1,CAV1,GRB2,ITGB3,IRAK4,IRAK3,ITGAX,ITGB7,NPM1,ITGA4,CORO1A,ITGA6,CD79B,CD79A,PHC1,PRKCB,UBE2N,PROS1,IRF4,BANK1,EIF2S1,CACYBP,TCF3,DNMT3B,MXD1,DGKA,MARCH7,DGKZ,BTRC,TNFSF14,CPA3,EDARADD,HCST,TIMP3,TIMP1,HIVEP3,MERTK,KDM5A,IGF2R,SIGLECG,GALNT1,BCLAF1,VPREB1,IGF1R,CHD4,COL4A2,COL4A1,FBN1,SIN3B,GGTA1,POLG,GCNT2,TRP53BP1,POLM,GCNT1,BTLA,NOTCH3,NOTCH2,ANKRD11,MCPT8,CYLD,ABCD2,PBX1,TIRAP,SPRED2,SPRED1,MLL1,STK3,MAP4K1,LAPTM5,B3GNT5,SKIL,MALT1,PLCG1,WDR1,HPS1,TPP2,MCM3,CTSL,H2-AA,PSME3,APEX2,RGS10,RASGRP3,EPX,RASGRP1,DTX1
MP0002398_abnormal_bone_marrow_	9.102594921826888E-28	OSMR,IGHM,MAP3K7,IGLL1,OGT,RAB27B,RAB27A,PIK3CG,PIK3CD,LIG4,MYH9,MECOM,MARK2,UNC13D,EIF2AK2,NFKBIE,NFKBIA,ESRRA,RGS2,BACH2,SLC20A1,SPIB,CLIC1,CARD11,ALOX15,PPP3CA,C1GALT1,H2-AB1,TFRC,MPZL3,IL17RA,POU2AF1,GABPA,RELB,SMARCA4,ST8SIA1,TTC7,TRP53,EBF1,E2F4,PAWR,SSBP2,TNFSF13B,PKLR,ZFPM1,RAG1,CBL,SGPL1,CD37,CCR7,CD72,IKZF3,PELI1,ST6GAL1,IKZF1,CD5L,ETS1,STEAP3,GJA1,PDPK1,PRG2,SEMA4A,LY6A,PLEK,CD19,PDGFB,FOXO1,GATA2,MS4A1,NBR1,HAX1,GRB2,BLK,ITGB3,IRAK4,ITGAX,ITGB7,NPM1,BMF,ITGA4,KITL,FOXP1,BRCA1,CORO1A,EPB4.2,CD79B,CD79A,PHC1,PRKCB,UBE2N,CD83,CD86,PROS1,MAP3K3,IL2RB,IRF4,BANK1,GIT2,FAS,BCL2L11,GNAI2,PROCR,CACYBP,TCF3,DNMT3B,IL1RN,ARHGEF1,MXD1,HK1,DGKA,DAPP1,MARCH7,LIME1,DGKZ,TNFSF14,CPA3,TIMP1,DOCK2,EPAS1,TNFRSF13C,LAT,HIVEP3,MERTK,LEPR,ARID5B,PURA,LCK,SIGLECG,BCLAF1,GALNT1,VPREB1,DCK,NR3C1,CHD4,TCIRG1,PTTG1,SIN3B,GGTA1,ADD2,ADD1,FCER2A,SIAE,TRP53BP1,POLM,GCNT1,FCER1A,BTLA,NOTCH3,NOTCH2,ADAM10,MCPT8,ADAM17,CYLD,MAPK14,PBX1,TIRAP,ITPKB,HOXC4,SPRED2,SPRED1,SLC4A1,MLL1,SATB1,TNFRSF14,MAP4K1,LAPTM5,HOXA9,SKIL,MALT1,PLCG1,WDR1,HPS1,TPP2,ARHGAP1,PIGA,PSME3,APEX2,RASGRP1,EPX,GP1BA,PTPRC,CR2,DTX1
MP0000716_abnormal_immune_system_	2.346862710989696E-25	IGHM,MAP3K7,IGLL1,OGT,PIK3CG,C4B,PIK3CD,LIFR,LIG4,MYH9,MECOM,MARK2,UNC13D,EIF2AK2,NFKBIE,NFKBIA,ESRRA,RGS2,RGS5,BACH2,LDLR,SPIB,CARD11,SERPINB9,ALOX15,PPP3CA,H2-AB1,IL17RA,TIA1,POU2AF1,GABPA,RELB,H2-OA,SMARCA4,ST8SIA1,TTC7,TRP53,CXCL14,EBF1,E2F4,PREX1,PAWR,SSBP2,SH2D3C,TNFSF13B,ZFPM1,RAG1,CBL,ADIPOQ,CD44,SGPL1,TIMD4,CCR7,CD37,FUS,MYO9B,CD72,KRAS,IKZF3,ST6GAL1,PELI1,IKZF1,CD5L,AGER,ETS1,PDPK1,CHST15,PRG2,SEMA4A,CXCL5,LY6A,CD22,PLA2G15,BIRC3,CD19,PDGFB,FOXO1,MS4A1,NBR1,CAV1,HAX1,GRB2,BLK,ITGB3,IRAK4,IRAK3,ITGAX,ITGB7,BMF,CFLAR,ITGA4,KITL,BRCA1,FOXP1,CORO1A,ITGA6,CD79B,CD79A,CXCR5,PHC1,PRKCB,UBE2N,CD84,CD83,CD86,MAP3K3,IL2RB,IRF4,BANK1,BMPR1A,CTNNB1,GIT2,FAS,BCL2L11,GNAI2,CACYBP,DNMT3B,TCF3,IL1RN,ARHGEF1,MXD1,FFAR2,DGKA,DAPP1,CERK,MARCH7,LIME1,DGKZ,BTRC,TNFSF14,CPA3,HCST,TIMP3,TIMP1,DOCK2,TNFRSF13C,DOCK8,LAT,HIVEP3,MERTK,LEPR,KDM5A,ARID5B,LCK,SIGLECG,GALNT1,BCLAF1,VPREB1,DCK,NR3C1,IGF1R,CHD4,TCIRG1,FBN1,PTTG1,SIN3B,GGTA1,FCER2A,GCNT2,SIAE,TRP53BP1,POLM,GCNT1,FCER1A,LGALS9,BTLA,NOTCH3,NOTCH2,ANKRD11,ADAM10,MCPT8,ADAM17,CYLD,CLEC2D,ABCD2,MAPK14,PBX1,TIRAP,ITPKB,CNP,HOXC4,SPRED1,MLL1,SATB1,TNFRSF14,MAP4K1,LAPTM5,B3GNT5,GALC,SKIL,MALT1,PLCG1,WDR1,GSN,TPP2,CTSL,H2-AA,PSME3,APEX2,RGS10,RASGRP3,RASGRP1,EPX,PTPRC,DTX1,SPARC
MP0002420_abnormal_adaptive_immunity_	2.544744358201359E-24	IGHM,MAP3K7,IGLL1,OGT,RAB27A,PIK3CG,PIK3CD,LIG4,MYH9,MARK2,UNC13D,EIF2AK2,NFKBIE,NFKBIA,RGS2,BACH2,LDLR,SPIB,NFKBIZ,CARD11,SERPINB9,IL12A,PPP3CA,H2-AB1,IL17RA,TIA1,POU2AF1,RELB,HIF1A,ARRB2,H2-OA,ST8SIA1,MYO1F,EBF1,PREX1,PAWR,SH2D3C,SDC1,TNFSF13B,RAG1,ADIPOQ,CD44,C5AR1,TIMD4,CD38,CCR7,CD37,CD36,FUS,MYO9B,CD72,KRAS,PELI1,ST6GAL1,IKZF3,IKZF1,ETS1,GJA1,HVCN1,PDPK1,SEMA4A,CXCL5,LY6A,IL10RA,CD22,PLA2G15,BIRC3,CD19,FOXO1,MS4A1,MS4A2,NBR1,CAV1,GRAP,ITGB3,IRAK4,IRAK3,ITGAX,ITGB7,BMF,ITGA4,BRCA1,FOXP1,CORO1A,ITGA6,CD79B,CD79A,PHEX,CXCR5,PRKCB,CD84,UBE2N,PRKD2,CD83,CD86,MAP3K3,GIMAP4,IL2RB,BANK1,IRF4,BMPR1A,CTNNB1,GIT2,FAS,BCL2L11,GNAI2,TCF3,MAP2K3,IL1RN,MSR1,ARHGEF1,MXD1,FFAR2,DGKA,DAPP1,PTK2B,SELP,FADS2,MARCH7,DGKZ,RNASEL,TNFSF14,PDE4B,HCST,RFK,TROVE2,DOCK2,TNFRSF13C,LAT,MERTK,NDST1,LEPR,TRPM2,LCK,KDM6B,SIGLECG,GALNT1,BCLAF1,VPREB1,NR3C1,IGF1R,CHD4,TCIRG1,PTTG1,GGTA1,FCER2A,SIAE,POLM,GCNT1,FCER1A,SLAMF6,SLAMF7,SLAMF1,TAX1BP1,BTLA,NOTCH2,ADAM17,FCRLA,CYLD,MAPK14,TIRAP,ITPKB,HOXC4,SPRED1,SATB1,TNFRSF14,MAP4K1,LAPTM5,B3GNT5,GALC,SKIL,MALT1,PLCG1,WDR1,HPS1,GSN,TPP2,PLCB2,CTSL,H2-AA,RASGRP3,RASGRP1,PTPRC,CR2,NCEH1,DTX1
MP0001819_abnormal_immune_cell_	4.09990827452007E-24	IGHM,MAP3K7,IGLL1,OGT,RAB27A,PIK3CG,PIK3CD,LIG4,MYH9,MARK2,UNC13D,EIF2AK2,NFKBIE,NFKBIA,RGS2,BACH2,LDLR,SPIB,NFKBIZ,CARD11,SERPINB9,IL12A,PPP3CA,H2-AB1,IL17RA,TIA1,POU2AF1,RELB,HIF1A,H2-OA,ARRB2,ST8SIA1,MYO1F,EBF1,PREX1,PAWR,SH2D3C,SDC1,TNFSF13B,RAG1,ADIPOQ,CD44,F11R,C5AR1,TIMD4,CD38,CD37,CCR7,CD36,FUS,MYO9B,CD72,KRAS,PELI1,ST6GAL1,IKZF3,IKZF1,ETS1,GJA1,HVCN1,PDPK1,SEMA4A,CXCL5,LY6A,IL10RA,PLA2G15,BIRC3,CD19,FOXO1,MS4A1,MS4A2,NBR1,CAV1,GRAP,ITGB3,IRAK4,IRAK3,ITGAX,ITGB7,BMF,ITGA4,BRCA1,FOXP1,CORO1A,ITGA6,CD79B,CD79A,PHEX,CXCR5,PRKCB,CD84,UBE2N,PRKD2,CD83,CD86,MAP3K3,GIMAP4,IL2RB,BANK1,IRF4,BMPR1A,CTNNB1,GIT2,FAS,BCL2L11,GNAI2,TCF3,MAP2K3,IL1RN,MSR1,ARHGEF1,MXD1,FFAR2,DGKA,DAPP1,PTK2B,SELP,FADS2,MARCH7,DGKZ,RNASEL,TNFSF14,PDE4B,HCST,RFK,TROVE2,DOCK2,TRAF4,TNFRSF13C,LAT,MERTK,NDST1,LEPR,TRPM2,LCK,KDM6B,SIGLECG,GALNT1,BCLAF1,VPREB1,NR3C1,IGF1R,CHD4,TCIRG1,PTTG1,GGTA1,FCER2A,SIAE,POLM,GCNT1,FCER1A,SLAMF6,SLAMF7,SLAMF1,TAX1BP1,BTLA,NOTCH2,ADAM17,FCRLA,CYLD,MAPK14,TIRAP,ITPKB,HOXC4,SPRED1,SATB1,TNFRSF14,MAP4K1,LAPTM5,B3GNT5,GALC,SKIL,MALT1,PLCG1,WDR1,HPS1,GSN,TPP2,PLCB2,CTSL,H2-AA,RASGRP3,RASGRP1,PTPRC,NCEH1,DTX1
MP0002080_prenatal_lethality_	7.639755437981519E-21	MAP3K7,PDHA1,OGT,BSG,MARK2,TFPI,NUAK2,BRD4,NFKBIZ,SNAP23,FEN1,MID1,ATRX,GNA13,HIF1A,SMARCA4,BICC1,CXXC1,PTK2,HDAC2,E2F4,SSBP3,ZFPM2,ZFPM1,CBL,UBR1,VEGFC,KRAS,IKZF1,GJA1,PDPK1,2610005L07RIK,LIMS1,EEF1E1,PDGFB,FOXO1,SETDB1,CFLAR,KITL,FOXP1,BRCA1,DGCR8,CFL1,MAP3K3,ZFP191,POU2F1,PPAP2B,ATXN2,SULF2,BMPR1A,CTNNB1,CCNA2,BCL2L11,PELO,GNAI2,PROCR,ODC1,DVL1,UBA3,TGFBR3,HLX,SMN1,GNB1,NCK1,NSD1,HK2,TCEA1,CCNB1,DNM2,DAB2,NCAM1,DOCK1,ECE1,TRAF4,EPAS1,EFEMP2,SUV39H1,NDST1,IPMK,TRPM7,NFYA,CDH2,FLT4,PITPNB,S1PR4,RAPGEF1,PDGFRA,ADD1,SRSF10,PXN,TAX1BP1,COPS2,PRPF31,ADAM10,ADAM17,SLC27A4,MAPK14,PNN,TARDBP,TFB1M,WRN,ARHGAP6,GSN,KPNB1,PIGA,CRKL,ACTB,PIK3CA,LIFR,LIG4,MYH9,MECOM,MAPK7,RAD23A,AHCTF1,SERPINH1,SRSF3,MAB21L2,SLC20A1,LDLR,MYCN,LIN9,EXOC4,C1GALT1,PPHLN1,TFRC,LMO4,GABPA,PNPLA6,ARNT,DNAJA3,TRP53,MET,ABCB7,CXCL14,MAD1L1,KIF11,PMM2,TXNRD2,TXNRD1,FKBP4,ADIPOQ,NCSTN,ATP2B1,F11R,ATP2C1,CHKA,SLC31A1,KLF6,NCKAP1,RNF4,ETS1,ACVRL1,FERMT2,SHOC2,ZEB2,FANCL,MBD2,RBBP8,QK,MTAP,LY6A,LY6E,MLLT4,YWHAQ,GATA2,GABPB1,DTL,GRB2,NPM1,HTT,ITGA4,MTR,METAP2,RANBP2,MKL1,PHC1,PALLD,UBE2N,CTGF,WDR77,EIF2S2,DNMT3B,RTN4,LATS2,MTHFD2,P4HA1,ANGPT1,BUB3,WWTR1,PDE2A,JAG1,VCL,RFK,PCYT1A,GINS1,ZFX,M6PR,ZFR,IGF2R,GALNT1,ALDH1A2,CHD8,CHD7,TERF1,COL4A2,COL4A1,FBN1,RAD51C,CLNS1A,POLG,HUWE1,CHEK1,LAMB1,NOTCH2,ANKRD11,NASP,PPP1R8,PBX1,MORF4L1,MLL1,STK3,MAP4K4,B3GNT5,SKIL,PLCG1,WDR1,ASNA1,CTTN,PSMD7,MCM3,TPM1,DNM1L,RGS14,SLC6A9,SETD8
MP0002452_abnormal_antigen_presenting_	6.049133153199295E-17	IGHM,CTNNB1,IGLL1,FAS,PIK3CG,PIK3CD,LIG4,BCL2L11,MARK2,UNC13D,GNAI2,NFKBIE,NFKBIA,TCF3,MSR1,BACH2,LDLR,SPIB,NFKBIZ,ARHGEF1,MXD1,CARD11,DAPP1,PTK2B,SELP,FADS2,H2-AB1,TIA1,POU2AF1,RELB,HCST,HIF1A,H2-OA,RFK,TROVE2,TRAF4,TNFRSF13C,LAT,EBF1,PAWR,TRPM2,SH2D3C,SDC1,TNFSF13B,LCK,SIGLECG,GALNT1,VPREB1,RAG1,IGF1R,TCIRG1,PTTG1,GGTA1,F11R,TIMD4,CCR7,CD37,CD36,FUS,FCER2A,MYO9B,CD72,SIAE,KRAS,POLM,FCER1A,ST6GAL1,PELI1,IKZF3,IKZF1,SLAMF1,TAX1BP1,BTLA,ETS1,HVCN1,ADAM17,FCRLA,SEMA4A,LY6A,CYLD,IL10RA,CD22,PLA2G15,BIRC3,CD19,TIRAP,ITPKB,HOXC4,MS4A1,NBR1,CAV1,MAP4K1,ITGB3,IRAK4,IRAK3,B3GNT5,GALC,BMF,MALT1,ITGA4,FOXP1,CORO1A,CD79B,CD79A,WDR1,PHEX,HPS1,GSN,PLCB2,PRKCB,UBE2N,CD84,CTSL,CD83,PRKD2,CD86,H2-AA,RASGRP3,RASGRP1,PTPRC,IL2RB,NCEH1,DTX1,IRF4,BANK1,BMPR1A
MP0000689_abnormal_spleen_morphology_	3.55168543942493E-16	IGHM,MAP3K7,GIT2,IGLL1,FAS,C4B,PIK3CD,LIG4,BCL2L11,MARK2,UNC13D,NFKBIA,CACYBP,TCF3,ESRRA,TGFBR3,BACH2,FGF7,SLC20A1,SPIB,GHR,ARHGEF1,CARD11,ALOX15,HK1,FEN1,SELP,FADS2,H2-AB1,TFRC,CP,MPZL3,SLC7A7,PSIP1,POU2AF1,RELB,HCST,TTC7,DOCK2,TRP53,EPAS1,TNFRSF13C,DOCK8,LAT,MERTK,LEPR,PAWR,ARID5B,PURA,SH2D3C,TNFSF13B,PKLR,ZFPM1,GALNT1,VPREB1,RAG1,DCK,CD4,CHD4,TCIRG1,CBL,SLC14A1,PTTG1,RAPGEF6,SGPL1,C5AR1,CD37,CCR7,ADD2,CD72,SIAE,KRAS,SLC31A1,IKZF3,ST6GAL1,IKZF1,NOTCH2,ETS1,STEAP3,ADAM10,ADAM17,TOP3B,LY6A,CYLD,CD22,PLA2G15,CD19,PBX1,MORF4L1,FOXO1,SLC4A1,MLL1,SATB1,ITGB3,RRM2B,B3GNT5,GALC,HOXA9,SKIL,BMF,MALT1,CORO1A,EPB4.2,CD79B,CD79A,CXCR5,TPP2,ARHGAP1,PHC1,CD84,CD86,MAP3K3,RASGRP1,PTPRC,IL2RB,DTX1,IRF4,BANK1
MP0002723_abnormal_immune_serum_	1.0791731381502955E-15	IGHM,IGLL1,PIK3CG,PIK3CD,LIG4,MARK2,UNC13D,TFPI,EIF2AK2,NFKBIE,NFKBIA,BACH2,LDLR,SPIB,NFKBIZ,CARD11,IL12A,PPP3CA,H2-AB1,IL17RA,POU2AF1,RELB,HIF1A,H2-OA,ARRB2,IL33,EBF1,SH2D3C,SDC1,TNFSF13B,ZFPM1,RAG1,CD4,MAF,CBL,CD209D,TIMD4,CD37,CCR7,CD36,FUS,CD72,KRAS,IKZF3,PELI1,IKZF1,AGER,TOLLIP,SEMA4A,CXCL5,LY6A,IL10RA,BIRC3,CD19,MS4A2,NBR1,CAV1,IRAK4,IRAK3,ITGAX,BMF,CORO1A,CD79B,CD79A,PDCD4,PRKCB,CD84,PRKD2,CD83,CD86,MAP3K3,IL2RB,IRF4,BANK1,FAS,BCL2L11,GNAI2,IL1RN,MSR1,ARHGEF1,FFAR2,DGKA,DAPP1,SELP,MARCH7,DGKZ,TNFSF14,PDE4B,HCST,TIMP3,TROVE2,TNFRSF13C,LAT,HIVEP3,MERTK,LEPR,TRPM2,LCK,SIGLECG,GALNT1,VPREB1,NR3C1,TCIRG1,CREB1,PTTG1,GGTA1,FCER2A,SIAE,FCER1A,SLAMF6,SLAMF1,TAX1BP1,BTLA,ADAM17,FCRLA,CYLD,MAPK14,TLR1,TIRAP,ITPKB,HOXC4,SPRED1,2610301G19RIK,MAP4K2,MAP4K1,LAPTM5,B3GNT5,GALC,MALT1,PLCB2,RASGRP3,RASGRP1,PTPRC,DTX1
