Term	P-value	Genes
Cell Cycle, Mitotic	1.227966910316262E-5	PPP2R5C,PTTG1,PRIM2,CEP290,CCNA2,STAG1,ANAPC5,SKP2,RFC3,RFC4,ZWINT,NUP43,AHCTF1,CEP164,TAOK1,CDC23,CDC27,SEH1L,CDC6,RRM2,POLA1,BUB3,FEN1,CCNB1,YWHAG,PSMD13,CSNK1E,CEP76,BTRC,CEP70,PRKAR2B,PSMA3,ANAPC11,PSMB7,ERCC6L,GINS1,GINS4,NEDD1,PSMC6,SMC1A,MAD1L1,E2F4,E2F5,KIF2C,ACTR1A,RANBP2,PSMD7,KIF2A,HSP90AA1,MCM3,PSME3,HAUS2,TUBGCP4,PSMF1,RPA2,CENPP,CEP63
Hemostasis	3.2646437983812357E-4	PIK3CA,F11R,BSG,VEGFC,TFPI,KRAS,ANGPT1,CAP1,ARHGEF1,SELP,PLEK,ITPR3,ITPR2,GNA13,F2RL2,F2RL3,PDGFB,VCL,SLC7A7,GP5,CAV1,GRB2,ITGB3,SRC,TIMP1,PTK2,ITGAX,ITGA4,PLCG1,PTPN1,WDR1,MERTK,PLCB2,KNG1,PRKCA,CFL1,PROS1,RASGRP3,CD2,GP1BA,SPARC
Integrin cell surface interactions	0.0023064701433833496	F11R,BSG,GRB2,TNC,ITGB5,ITGB3,SRC,PTK2,RASGRP3,ITGAX,ITGB7,LAMB1,COL4A2,COL4A1,FBN1,ITGA4,ITGA8,PTPN1
Signaling by PDGF	0.004921226161712469	PDGFB,PIK3CA,RAPGEF1,CRKL,NCK1,PDGFRA,GRB2,SRC,KRAS,COL6A1,COL4A2,COL4A1,YWHAB,PLCG1
Signaling by EGFR	0.008839696191076848	GRB2,PXN,SRC,KRAS,PIK3CA,ADAM10,CBL,YWHAB,AP2A2,PLCG1,ADAM17
Axon guidance	0.01015088380393148	GRB2,SRC,PTK2,KRAS,COL6A1,COL4A2,COL4A1,CREB1,YWHAB,RPS6KA5
Signaling by Notch	0.011633937114455076	ADAM10,APH1B,JAG1,NCSTN,NOTCH3,NOTCH2
Cell Cycle Checkpoints	0.011973614842481524	ANAPC5,RFC3,RFC4,PSMA3,CHEK1,ANAPC11,PSMB7,CDC23,CDC27,PSMC6,MAD1L1,PSMD7,CDC6,MCM3,PSME3,PSMF1,RPA2,BUB3,CCNB1,PSMD13
DNA Replication	0.014349017089381785	PRIM2,CCNA2,PSMD7,CDC6,MCM3,RFC3,RFC4,PSMA3,PSME3,POLA1,PSMF1,RPA2,PSMB7,FEN1,GINS1,GINS4,PSMC6,PSMD13
HIV Infection	0.02255730034625682	BTRC,PSIP1,NUP35,TAF4B,LIG4,PSMA3,NUP43,DOCK2,PSMB7,NUP54,PSMC6,SUPT16H,CCNT1,RNGTT,AP1S2,SEH1L,RANBP1,RANBP2,KPNB1,PSMD7,ELMO1,PSME3,KPNA1,PSMF1,TCEA1,CD4,AP2A2,PSMD13
