Term	P-value	Genes
Hs_B_Cell_Receptor_Signaling_Pathway_WP23_20725	1.6155732499886983E-4	FOXO1,IGHM,CTNNB1,MAP3K7,RAPGEF1,CCNA2,PIK3CG,BCL2L11,BLK,NFKBIA,MAP4K1,CD72,PTK2,PTPN18,PLCG1,PLEKHA2,PIP4K2C,ACTR2,PDPK1,CHST15,PRKCB,CARD11,CRKL,GTF2I,NCK1,LCK,DAPP1,RASGRP3,CD22,PPP3CA,CR2,CREB1,CBL,ITPR2,CD19,MAPK14,LIME1,BANK1
Hs_T_Cell_Receptor_Signaling_Pathway_WP69_20823	0.0035219514431784524	CTNNB1,GIT2,STK39,RAPGEF1,MAPK7,GRAP,MAP4K1,PXN,SRC,PTK2,DOCK2,PLCG1,NFAM1,NCL,SH2D3C,PRKD2,CARD11,CRKL,NCK1,LCK,CD2,CD4,DTX1,CREB1,CBL,YWHAQ,LIME1,DNM2
Hs_IL-3_Signaling_Pathway_WP286_21281	0.0036836600635487006	FOXO1,VCL,GATA2,PIK3CA,RAPGEF1,PRKCA,PIK3CD,BCL2L11,PRKCB,CRKL,LCK,MAPK7,CHEK1,PXN,SRC,PTK2,KRAS,SELP,CREB1,CBL,YWHAB,MAPK14,YWHAQ
Hs_Insulin_Signaling_WP481_28132	0.006316202124780635	FOXO1,MAP3K7,MAP3K5,SLC2A4,PIK3CA,RAPGEF1,PIK3CG,PIK3CD,MAP4K4,MAP4K5,MAPK6,MAPK7,MAP4K2,MAP4K1,GYS1,MAP2K3,EIF4E,PDPK1,CAP1,PRKCA,PFKL,PIK3C2A,STXBP2,PRKCB,INPP4A,IGF1R,MAP3K3,SNAP23,CBL,RPS6KA5,RPS6KA2,MAPK14
Hs_TGF-beta_Receptor_Signaling_Pathway_WP366_21445	0.01603404307761469	BTRC,FOXO1,CTNNB1,MAP3K7,DAB2,CD44,ANAPC5,ARRB2,CAV1,STAMBPL1,HOXA9,SKIL,MAP2K3,CDC23,CDC27,DVL1,ETS1,TGFBR3,ACVRL1,E2F4,E2F5,ZEB2,KPNB1,PRKCB,NFYA,CAMK2D,KAT2B,SPARC,MAPK14
Hs_Translation_Factors_WP107_20907	0.018173853241117213	EIF5B,EIF3J,EIF2B3,EIF4G1,EIF4G3,EIF4E,EIF2AK1,EIF2S1,EIF4A1,GSPT2,EIF2S2,EIF2AK2,EEF1D
Hs_Translation_Factors_WP107_29787	0.018173853241117213	EIF5B,EIF3J,EIF2B3,EIF4G1,EIF4G3,EIF4E,EIF2AK1,EIF2S1,EIF4A1,GSPT2,EIF2S2,EIF2AK2,EEF1D
Hs_Nucleotide_Metabolism_WP404_21532	0.026263339958355753	RRM2,RRM1,POLA1,ADSL,RRM2B,PRPS2
Hs_Myometrial_Relaxation_and_Contraction_Pathways_WP289_21289	0.029448285089809303	LPAR1,GABPB1,PRKAR2B,PDE4B,PRKACB,GABPA,ARRB2,MYL4,RGS2,PLCG1,RGS5,GJA1,PRKCA,PRKCB,GNB1,CALD1,RGS10,CAMK2D,ACTB,CREB1,YWHAB,ITPR3,RGS14,ITPR2,YWHAG,YWHAQ,DGKZ,IGFBP5
Hs_Integrin-mediated_cell_adhesion_WP185_21067	0.04143351362789162	VCL,PDPK1,GIT2,RAPGEF1,TNS1,MAPK6,MAPK7,CAV1,ITGB5,ITGB3,SRC,PXN,PTK2,DOCK1,ITGAX,ITGB7,MAP2K3,ITGA8,ARAF
