Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
IKBKB,35,87,0.17412935323383086,0.019192587690271344,0.1549367655435595,9.840426151602965E-21,-2.1258977796902503,97.93540808553252,HSP90AB1;TUBB2B;TBK1;NFKB1;TIMM50;NFKB2;CLTC;CTNNB1;RPS3;MAP3K7;ACTG1;FOS;CDKN2A;MAP3K8;TUBB4;HSP90AA1;RELA;NCOA3;UBB;NFKBIB;NFKBIA;HSPA1A;HSPA1L;TUBB;REL;HSPA5;HSPA8;HSPA9;KIAA1967;IKBKG;IRF3;IKBKB;PARP1;CALM1;MYH10
CHUK,35,90,0.17412935323383086,0.01985440105890139,0.15427495217492948,2.3926003604832148E-20,-2.083047642651934,94.11067824827123,HSP90AB1;BTRC;NFKB1;NFKB2;CLTC;CTNNB1;MAP3K7;ACTG1;MAP3K8;MYC;CHUK;TUBB4;HSP90AA1;RELA;RELB;ESR1;TP53;NCOA3;PIAS1;NFKBIE;NFKBIB;NFKBIA;HSPA1A;CHEK1;TUBB;REL;HSPA9;EEF1A2;CREBBP;IKBKG;IKBKB;NCOR1;NCOR2;CALM1;MYH10
MAP3K1,36,139,0.1791044776119403,0.030664019413192148,0.14844045819874813,3.866049353514067E-16,-2.063083026193067,73.21701829503284,TUBB2B;ACTG1;RPS27A;MAPK1;NFKBIA;HSPA1A;HSPA1L;HNRNPM;TUBB;DNAJA1;DNAJA3;DHX9;EEF1A2;MYH10;HSP90AB1;CAD;TIMM50;BAG2;TUBA1A;TUBB4;HSP90AA1;SLC25A5;SLC25A6;ESR1;UBE2I;NCL;UBC;RUVBL2;UBB;USP9X;VIM;HSPA5;HSPA8;HSPA9;STAT3;CALM1
MAPK1,50,312,0.24875621890547264,0.06882859033752482,0.1799276285679478,1.0851706138392751E-14,-2.09199564867909,67.2669780199828,PGR;NCF1;RXRA;MAPK1;JUN;CREBBP;SMAD4;SMAD3;SMAD2;ETS1;PARP1;MYC;AR;TP53;PML;BCL6;STAT1;STAT3;MAPK14;GSK3B;NR5A1;GATA2;CSNK2A1;RELA;RBL1;EP300;HIF1A;ATF2;JUND;RUNX1;SREBF2;CDKN1A;E2F1;CAD;RPS3;FOS;HSP90AA1;ESR1;RB1;ESR2;CDK2;NCOA1;NCOA3;NCOA6;PRKCZ;NR3C1;CEBPA;CEBPB;SP1;SP3
MAP3K3,40,193,0.19900497512437812,0.04257666004853298,0.15642831507584515,5.198757398851604E-15,-2.025269341273304,66.61183116883707,TUBB2B;ACTG1;MAP3K7;NFKBIA;HSPA1A;HSPA1L;BAG2;TUBB4;SLC25A5;SLC25A6;PFDN5;RUVBL2;RUVBL1;KIAA1967;CALM1;RPS27A;TUBB;DNAJA1;DNAJA3;EEF1A2;BRCA1;IKBKG;SMARCC2;SPTBN1;IKBKB;MYH10;HSP90AB1;CAD;TIMM50;CLTC;TUBA1A;HSP90AA1;UBC;UBB;MATR3;VIM;STUB1;HSPA5;HSPA8;HSPA9
MAP3K8,23,54,0.11442786069651742,0.011912640635340834,0.10251522006117658,2.6076651461048315E-14,-1.7562551565663735,54.931685242842754,HSP90AB1;NFKB1;NFKB2;CLTC;MAP3K8;TNIP2;TUBB4;HSP90AA1;RELA;MAPK1;MAPK3;RUVBL1;HSPA1A;CHEK1;HSPA1L;REL;HSPA5;HSPA8;HSPA9;EEF1A2;SPTBN1;ABL1;CALM1
MAP3K14,32,145,0.15920398009950248,0.03198764615045224,0.12721633394905024,9.217575717670737E-13,-1.8785154081600892,52.058347246686594,TUBB2B;MAP3K7;ACTG1;DDX21;MAPK3;NFKBIA;HSPA1A;HSPA1L;HNRNPM;TUBB;DNAJA1;DHX9;IKBKG;IKBKB;HSP90AB1;CAD;TIMM50;NFKB2;RPS3;BAG2;CHUK;TUBB4;HSP90AA1;NCL;RUVBL2;RUVBL1;STUB1;HSPA5;HSPA8;HSPA9;SFPQ;CALM1
RIPK3,26,95,0.12935323383084577,0.020957423339951466,0.1083958104908943,2.493944687454922E-12,-1.7231340967994015,46.037241520495506,HSP90AB1;TUBB2B;CAD;TIMM50;CLTC;ACTG1;RPS27A;TUBB4;HSP90AA1;SLC25A5;UBC;RUVBL2;RUVBL1;UBB;VIM;HSPA1A;HSPA1L;TUBB;DNAJA1;HSPA5;HSPA8;HSPA9;EEF1A2;SPTBN1;CALM1;MYH10
IKBKE,21,60,0.1044776119402985,0.013236267372600927,0.09124134456769757,7.94567101535512E-12,-1.7975658363247418,45.94289563755723,HSP90AB1;BTRC;NFKB1;CLTC;ACTG1;TUBB4;HSP90AA1;RELA;ESR1;RUVBL1;NFKBIA;HSPA1A;TUBB;REL;HSPA8;HSPA9;STAT1;SPTBN1;IRF3;MYH10;CALM1
AKT1,38,256,0.1890547263681592,0.05647474078976395,0.13257998557839526,2.399446746639366E-10,-1.9366695810639944,42.89841789818724,CTNNB1;MAP3K8;NCF1;PIAS2;CHEK1;RAC1;TP53BP1;CREBBP;SMAD4;SMAD3;SKI;SMAD2;AR;STAT1;GSK3B;GATA2;CSNK2A1;EP300;BRCA1;CDKN1A;SMARCC2;DNMT1;IKBKB;HSP90AB1;RPS3;TERT;CHUK;HSP90AA1;ESR1;ESR2;CDK2;MDM2;MDM4;PRKCZ;VIM;PRKDC;APLP2;NFATC2
MAP3K7,26,102,0.12935323383084577,0.022501654533421574,0.1068515792974242,9.853755159404512E-12,-1.6758230695372245,42.47066642569043,TUBB2B;ACTG1;MAP3K7;RELA;HSPA1A;HSPA1L;TUBB;DNAJA1;SMAD3;IKBKB;HSP90AB1;CAD;CLTC;RPS3;FOS;CHUK;TUBB4;HSP90AA1;RUVBL2;RUVBL1;UBB;HSPA5;HSPA8;HSPA9;STAT3;CALM1
MAPK3,38,251,0.1890547263681592,0.05537171850871388,0.1336830078594453,1.4309262603714958E-10,-1.8445508772724017,41.811410430301315,PGR;NCF1;RXRA;JUN;MAPK3;SMAD4;SMAD2;ETS1;SPIB;MYC;AR;TP53;PML;BCL3;BCL6;STAT1;STAT3;GSK3B;MAPK14;NR5A1;HIF1A;ATF2;JUND;RUNX1;SREBF2;CAD;RPS3;FOS;ESR1;ESR2;CDK2;NCOA1;PRKCZ;NR3C1;CEBPA;CEBPB;SP1;SP3
