Term	P-value	Genes
PROTEASOMEPATHWAY	0.02607436305434638	UBE2A,UBE3A,PSMA7,PSMB5,PSMA1,PSMD14,PSMB7,PSMA6,PSMA5,PSMB3,PSMA3,PSMB2,RPN1,RPN2
VIPPATHWAY	0.03642816243338383	NFKBIA,PRKAR2A,MAP3K1,PPP3CC,PPP3CA,PRKACB,NFATC2,MYC,CHUK,NFATC1,EGR3,EGR2,PLCG1,PRKAR1B,CALM3,CALM2
CALCINEURINPATHWAY	0.049244933800087355	CDKN1A,SP1,PLCG1,SP3,CALM3,PPP3CC,MARCKS,PPP3CA,NFATC2,NFATC3,CALM2,NFATC1
CHEMICALPATHWAY	0.05741118991845215	BID,TLN1,CYCS,BCL2L1,BAD,STAT1,ATM,PXN,CASP3,CASP7,EIF2S1,BCL2,APAF1
ETSPATHWAY	0.06737301094258966	E2F1,RBL2,CSF1,RBL1,FOS,SIN3B,SIN3A,HDAC2,ETS1,CSF1R,ETV3
CELLCYCLEPATHWAY	0.07089655365284622	E2F1,CCNH,RBL1,CDK6,CDK7,CDK4,CDC25A,CCNB1,CCNE1,CDKN1A,CCND3,CCND2,TFDP1
IL7PATHWAY	0.07285616305162315	CREBBP,STAT5B,IL7R,FYN,PTK2B,BCL2,LCK,JAK1,IL2RG,PIK3R1
TCYTOTOXICPATHWAY	0.07863051142367875	PTPRC,ICAM1,CD3G,CD8A,CD3D,CD3E,THY1,CD2,CD28
THELPERPATHWAY	0.07863051142367875	PTPRC,ICAM1,CD3G,CD3D,CD3E,THY1,CD2,CD4,CD28
ATRBRCAPATHWAY	0.09445355761656031	MRE11A,CHEK1,CHEK2,ATR,BRCA1,ATM,RAD50,RAD51,RAD1,FANCD2,FANCF,FANCC
BCRPATHWAY	0.09934224352908941	FOS,MAP3K1,PPP3CC,PPP3CA,NFATC2,NFATC3,SYK,BLNK,NFATC1,VAV1,PLCG1,MAPK14,CALM3,MAPK8,CD79B,CD79A,CALM2
IGF1MTORPATHWAY	0.1034783492781309	INPPL1,IGF1,RPS6KB1,PTEN,IGF1R,EIF4EBP1,EIF4E,EIF2S1,GSK3B,EIF2S2,PIK3R1
ATMPATHWAY	0.1034783492781309	MRE11A,NFKBIA,CHEK1,CHEK2,BRCA1,ATM,RAD50,RAD51,RBBP8,CDKN1A,MAPK8
PTC1PATHWAY	0.11876387768473923	CCNB1,MNAT1,CCNH,CDK7,CDC25C,CDC25A,SHH
GATA3PATHWAY	0.12460942881195915	MAF,PRKAR2A,MAP2K3,PRKAR1B,MAPK14,PRKACB,NFATC2,JUNB,NFATC1
MITOCHONDRIAPATHWAY	0.12508943156223098	BID,CYCS,BCL2L1,BIRC3,BIRC2,CASP3,BCL2,ENDOG,CASP7,BIK,APAF1
AMIPATHWAY	0.13522173866633133	PTPRC,CD3G,CD3D,CD3E,CREBBP,PRKAR2A,GNB1,PRKAR1B,LCK,CD4,PRKACB,CSK
CSKPATHWAY	0.13522173866633133	PTPRC,CD3G,CD3D,CD3E,CREBBP,PRKAR2A,GNB1,PRKAR1B,LCK,CD4,PRKACB,CSK
PS1PATHWAY	0.13701570711346842	BTRC,FZD1,DLL1,CTNNB1,DVL1,PSEN1,GSK3B,ADAM17
TSP1PATHWAY	0.13955322143595686	FOS,CASP3,CD36,FYN,MAPK14
TCRPATHWAY	0.14770950548117556	NFKBIA,FOS,MAP3K1,PPP3CC,PPP3CA,NFATC2,NFATC3,PIK3R1,NFATC1,CD3G,CD3D,CD3E,VAV1,LAT,PLCG1,FYN,LCK,CALM3,MAPK8,CALM2
BADPATHWAY	0.14899826745314798	IGF1,BCL2L1,BAD,KIT,IGF1R,PRKAR2A,PRKAR1B,BCL2,CSF2RB,PRKACB,PIK3R1
RANPATHWAY	0.14939580634836433	RAN,RANBP1,RANGAP1,RANBP2
FCER1PATHWAY	0.15089591980861383	FOS,PAK2,MAP3K1,FCER1G,PPP3CC,PPP3CA,NFATC2,NFATC3,PIK3R1,SYK,NFATC1,VAV1,PLA2G4A,PLCG1,CALM3,MAPK8,CALM2
DEATHPATHWAY	0.1589918418410395	BID,NFKBIA,CASP3,CASP7,BCL2,CHUK,CFLAR,CYCS,GAS2,FADD,BIRC3,BIRC2,RIPK1,APAF1,MAP3K14
HIVNEFPATHWAY	0.1629791711999497	BAG4,CASP3,PAK2,CASP7,CHUK,CYCS,FADD,PRKCD,PSEN1,RIPK1,MAPK8,MAP3K14,TRAF1,BID,LMNB1,LMNB2,NFKBIA,NUMA1,MAP3K1,BCL2,CFLAR,BIRC3,BIRC2,APAF1
RNAPATHWAY	0.16648397971958068	EIF2S1,EIF2S2,NFKBIA,MAP3K14,DNAJC3,CHUK
DNAFRAGMENTPATHWAY	0.16648397971958068	HMGB1,CASP3,HMGB2,CASP7,ENDOG,TOP2A
TALL1PATHWAY	0.16815447814777015	TNFSF13B,MAPK14,TNFRSF13B,TNFRSF13C,MAPK8,MAP3K14,TRAF5,CHUK
MAPKPATHWAY	0.1713786411858092	MEF2C,MEF2A,RPS6KB2,RPS6KB1,FOS,MAP3K6,PAK2,MAP3K8,MYC,CHUK,BRAF,MAP4K3,MAP4K4,RIPK1,MAPK8,MAP3K14,MAPKAPK3,MAP4K2,MKNK2,NFKBIA,ATF2,MAP3K1,CREB1,MAP2K3,STAT1,RPS6KA5,RPS6KA3,RPS6KA4,RPS6KA1,SP1,MAPK13,RPS6KA2,MAPK14,IKBKB
TNFR2PATHWAY	0.18209635588740866	TRAF1,NFKBIA,RIPK1,MAP3K1,IKBKG,TNFAIP3,MAP3K14,IKBKB,CHUK
PLK3PATHWAY	0.18402852929121288	CHEK1,ATR,CHEK2,CDC25C,ATM
TCRAPATHWAY	0.18659435619865616	PTPRC,CD3G,CD3D,CD3E,FYN,LCK,CD4
P27PATHWAY	0.18659435619865616	E2F1,CKS1B,SKP2,SKP1A,CCNE1,UBE2M,TFDP1
CTLA4PATHWAY	0.1935782843736544	ITK,ICOSL,CD3G,CD3D,CD3E,PTPN11,CD86,LCK,PIK3R1,CD28
G2PATHWAY	0.20318292748821584	CHEK1,CHEK2,ATR,CDC25C,ATM,BRCA1,WEE1,CDC25A,CCNB1,CDKN1A,RPS6KA1
IFNGPATHWAY	0.2037510565740383	JAK1,STAT1,IFNGR2,IFNGR1
