Term	P-value	Genes
chr3p21	3.0761157559954004E-4	PPP2R5C,CTNNB1,PTPRG,EOMES,NME6,CCR9,CCR3,CCR2,NEK4,GNAI2,MST1,PXK,ARIH2,DALRD3,SFMBT1,QARS,USP19,NISCH,SEMA3F,ALS2CL,ARHGEF3,ZDHHC3,EXOSC7,CCR1,RPP14,CYB561D2,CISH,RBM15B,RBM5,NT5DC2,RBM6,PDHB,SLC25A20,PRKAR2A,WNT5A,CCDC12,MAPKAPK3,ACY1,ABHD14A,ITGA9,PHF7,UQCRC1,ALAS1,PCBP4,CXCR6,RHOA,ITIH3,IMPDH2,SACM1L,CCDC51,KLHL18,TRAIP,CHDH,LARS2,CDC25A,SETD2
chr10q24	4.2459101182129556E-4	BTRC,NT5C2,CUTC,SFXN2,TAF5,PEO1,NOLC1,ARHGAP19,NFKB2,PDCD4,ACTR1A,PCGF6,PIK3AP1,TM9SF3,CHUK,COX15,KIF11,LDB1,EXOSC1,ZDHHC16,TMEM180,MGEA5,LCOR,CUEDC2,ALDH18A1,CEP55,SUFU,CWF19L1,PAPSS2,BUB3,TLX1
chr1p22	7.079453923906756E-4	LMO4,MCOLN2,GBP7,GBP6,MTF2,PGM1,GBP3,GBP2,CCDC18,ASB17,RPL5,RBMXL1,RWDD3,LRRC8D,CTBS,CYR61,CDC7,PKN2,GTF2B,TTF2,CNN3,FAM69A,SH3GLB1,CSDE1,GFI1,BCAR3
chr2p22	0.0017562664394321925	CAD,TTC27,HNRPLL,PUM2,FOXN2,MAP4K3,EIF2AK2,CYP1B1,PPM1B,ZFP36L2,GALM,GEMIN6,SLC30A6,DHX57,BIRC6,THUMPD2,YIPF4
chr11q13	0.0018965795952933231	GAB2,CLNS1A,YIF1A,MARK2,VEGFB,PCF11,FCHSD2,MRPL49,MRPL48,SUV420H1,CHKA,ADRBK1,BANF1,SAC3D1,SSSCA1,TM7SF2,BSCL2,UVRAG,RTN3,SF1,PPFIA1,SF3B2,MRPL11,NUMA1,MOGAT2,MRPL21,BRMS1,MALAT1,RBM4,RPS6KB2,AIP,FADD,RNASEH2C,SYVN1,SIPA1,MAP4K2,UNC93B1,PTPRCAP,TBC1D10C,UCP2,NDUFV1,SPCS2,ATG16L2,KCTD14,RSF1,PRDX5,RPS3,CTTN,PLCB3,CLCF1,NDUFS8,YAP1,PPP1R14B,ALDH3B1,CTSW,PGM2L1,CFL1,FKBP2,NUDT8,RASGRP2,MUS81,EHD1,CD5,BAD
chr1q22	0.0067046655014959735	PIGM,PBXIP1,ANP32E,KRTCAP2,ASH1L,SEMA4A,ALDH9A1,CD247,PEX19,POU2F1,SLC25A44,SELP,MSTO1,FDPS,SKI,PMF1,USF1,AIM2,NCSTN,ATF6
chr8p11	0.008353725326864283	HGSNAT,HOOK3,BAG4,AGPAT6,ASH2L,LSM1,MYST3,RNF170,AP3M2,THAP1,TM2D2,SFRP1,WHSC1L1,IKBKB,PLEKHA2
chr3p25	0.009482406402037107	MKRN2,ATG7,LSM3,JAGN1,RAD18,VGLL4,ARPC4,CHCHD4,NR2C2,IQSEC1,MRPS25,TSEN2,METTL6,ANKRD28,XPC,FANCD2,ABHD5,TMEM40,VHL,FBLN2,TMEM43,SETD5
chr16q22	0.013609513120205396	ZNRF1,ST3GAL2,DDX28,MLKL,PDPR,ALDOA,TK2,FAM65A,CKLF,DHODH,PARD6A,CFDP1,NUTF2,HP,PRMT7,PSMD7,CYB5B,FHOD1,SLC7A6OS,NOB1,CDH5,SF3B3,DDX19B,NFAT5,NFATC3,TERF2,MAF,TXNL4B,COG4,COG8,CMTM4,CDH11
chr5q12	0.015177513276527981	MCCC2,PDE8B,ELOVL7,DEPDC1B,ANKRA2,ZSWIM6,CDK7,MAST4,ERCC8,IPO11,CENPK,CD180,CCNB1,NLN
chr17q23	0.019818403000307065	PRR11,RPS6KB1,TLK2,PTRH2,TK1,ACE,VEZF1,AXIN2,DDX42,TUBD1,CD79B,DYNLL2,MRPS7,ERN1,KPNA2,GALK1,MSI2,LIMD2,USP32,TEX2,CUEDC1
chr14q22	0.019943472806850968	GNPNAT1,TIMM9,PTGER2,CGRRF1,SNAPC1,SOCS4,SYNJ2BP,PPM1A,GCH1,ZFP36L1,HSPA2,ERO1L,EXOC5,WDHD1,SNW1,CDKN3,GMFB,SYNE2,L2HGDH
chr11q22	0.02028403722045651	IL18,MMP3,CUL5,AASDHPPT,DDX10,DCUN1D5,FDX1,ACAT1,MTMR2,TMEM123,NPAT,PTS,BIRC3,BIRC2,ATM,RAB39
chr5q23	0.020782485236225345	GPX3,LOX,EGR1,RAD50,DTWD2,TNFAIP8,CSNK1G3,LMNB1,SNX2,PRRC1,GRAMD3,PGGT1B,SLC12A2,FNIP1,MARCH3,SRFBP1,IRF1,HBEGF
