Term	P-value	Genes
HMDB02142	2.6474602571678125E-4	DZIP3,IARS2,MYLIP,ZNRF1,YARS,POLH,POLG,LIG1,POLE,LIG3,UBR2,POLB,UBR1,HUWE1,RARS,COASY,UBA7,UBA6,PPAT,POLM,UAP1,RTCD1,GARS,EPRS,PPA2,PPA1,CBLB,RNF5,SMURF1,UBE2G1,QARS,AASDHPPT,MGRN1,GUCY1A3,TARSL2,POLR1E,POLR1D,POLR1C,POLR1B,DARS2,CDS1,GMPS,GUCY1B3,POLA1,MYCBP2,PRPF19,ACSL1,MARS2,ACSL4,PAPSS2,TRIP12,MARS,CCNB1IP1,BIRC6,MARCH7,MARCH6,MARCH5,MARCH3,APRT,MARCH1,PAPOLA,ADCY9,PAPOLG,SAE1,FDFT1,ITCH,DARS,MIB1,RAD18,YARS2,PRPS2,SYVN1,KARS,POLE2,POLE3,PCYT1A,UBE2D1,FDPS,NRF1,FPGT,UBE2E2,DUT,TRIM5,NARS2,UBE2A,UBE2I,UBE2H,UBE2N,UMPS,UBE2M,UBE2W,UGP2,UBE2Z,UBE3A,VARS,IARS,GGPS1,NEDD4L,UBE4B,LARS2,UBE2Q2,ITPA
HMDB00250	2.9601733795645257E-4	DZIP3,IARS2,MYLIP,ZNRF1,YARS,POLH,POLG,LIG1,POLE,LIG3,UBR2,POLB,UBR1,HUWE1,RARS,COASY,UBA7,UBA6,PPAT,POLM,UAP1,RTCD1,GARS,EPRS,PPA2,PPA1,CBLB,RNF5,SMURF1,UBE2G1,QARS,AASDHPPT,MGRN1,GUCY1A3,TARSL2,POLR1E,POLR1D,POLR1C,POLR1B,DARS2,CDS1,GMPS,GUCY1B3,POLA1,MYCBP2,PRPF19,ACSL1,MARS2,ACSL4,PAPSS2,TRIP12,MARS,CCNB1IP1,BIRC6,MARCH7,MARCH6,MARCH5,MARCH3,APRT,MARCH1,PAPOLA,ADCY9,PAPOLG,SAE1,FDFT1,ITCH,DARS,MIB1,RAD18,YARS2,PRPS2,SYVN1,KARS,POLE2,POLE3,PCYT1A,UBE2D1,FDPS,NRF1,FPGT,UBE2E2,DUT,TRIM5,NARS2,UBE2A,UBE2I,UBE2H,UBE2N,UMPS,UBE2M,UBE2W,UGP2,UBE2Z,UBE3A,VARS,IARS,GGPS1,NEDD4L,UBE4B,LARS2,UBE2Q2,ITPA
HMDB00045	0.0037759339184509828	DZIP3,IARS2,MYLIP,ZNRF1,NT5C2,YARS,NUDT12,LIG1,LIG3,UBR2,UBR1,HUWE1,RARS,ADSL,UBA7,UBA6,RTCD1,GARS,EPRS,CBLB,RNF5,SMURF1,SEPHS2,SEPHS1,UBE2G1,QARS,AASDHPPT,MGRN1,TARSL2,PDE10A,DARS2,GMPS,ADK,MYCBP2,PRPF19,ACSL1,MARS2,ACSL4,TRIP12,MARS,CCNB1IP1,BIRC6,MARCH7,MARCH6,MARCH5,MARCH3,APRT,MARCH1,PYGL,SAE1,PDE4B,ITCH,BPNT1,DARS,NUDT5,MIB1,RAD18,YARS2,PRPS2,SYVN1,KARS,PDE6D,UBE2D1,AK2,NRF1,UBE2E2,TRIM5,NARS2,PDE8B,UBE2A,UBE2I,UBE2H,UBE2N,UBE2M,UBE2W,UBE2Z,ADPGK,UBE3A,VARS,IARS,NEDD4L,CREB1,UBE4B,LARS2,AMPD2,UBE2Q2
HMDB06709	0.012014020465972641	UQCRC2,UQCRC1,NDUFAB1,UQCRQ,NDUFS6,NDUFS5,NDUFS4,NDUFS8,NDUFB10,NDUFC2,NDUFC1,NDUFA12,NDUFA11,COQ3,NDUFB5,NDUFB6,NDUFB7,NDUFB9,NDUFB2,NDUFA5,NDUFA8,NDUFA6,NDUFA7,NDUFV3,NDUFV1,NDUFV2,SDHD
HMDB00547	0.012259663614543708	PDP1,MAP3K6,MAP3K8,TLK2,NME6,MARK2,NME4,NME1,MAPK8,ADSS,TAOK2,TGFBR2,EME1,KCNJ8,TNK2,NUAK1,MTHFD2,GUCY1A3,SRPK2,PIK3C2A,TOP1MT,MAST4,GUCY1B3,MKNK2,ACSL1,ACSL4,RPS6KA5,RPS6KA3,RPS6KA4,RPS6KA1,RPS6KA2,UBLCP1,IMPAD1,RNASEL,MIPEP,CNOT6,FDFT1,ENOPH1,BPNT1,PDXK,STK25,NUDT3,NUDT5,RNASEH2A,WEE1,ME2,DYRK3,DYRK2,B4GALT6,IDH3A,ABL2,IMPA2,FIGNL1,PINK1,RHOU,RHOA,TRPM7,RECQL,PPM1K,SLC41A2,ERN1,SLC41A1,PPM1L,PPM1A,PPM1B,NUDT8,NUDT7,MTHFD2L,CREB1,ITPA,ICK,SMPD4,AURKB,ATP2B1,ATP2B4,NT5C2,NUDT19,NUDT12,POLH,POLG,NUDT14,WNK1,POLB,PGM2,PGM3,PGM1,NEK4,NEK7,NEK2,NEK1,CHEK2,PPAT,IDH2,POLM,IDH1,SUPV3L1,TKT,PPA2,PPA1,ATP2A2,KCNJ10,PTEN,CDS1,H6PD,ADK,NLK,ATP1A1,ADCY9,HELB,MAPK13,PPP1R8,MAPK14,PSTK,CASK,TTN,CLYBL,DMPK,PRKACB,STK3,MAP4K3,MAP4K4,CLPP,PRPS2,KALRN,BLM,MAP4K2,IRAK4,MDP1,ENTPD6,ADSSL1,DUT,FOXK2,POMT2,NSF,G3BP1,PFKP,MINK1,DAPK3,LAP3,ACVR2A,EYA1,ADPGK,MAP3K1,MUS81,APEX1,GIMAP4,ENDOG,BMPR1A
HMDB01304	0.01637933993699215	UQCRC2,UQCRC1,NDUFAB1,UQCRQ,NDUFS6,NDUFS5,NDUFS4,NDUFS8,NDUFB10,NDUFC2,NDUFC1,NDUFA12,NDUFA11,NDUFB5,NDUFB6,NDUFB7,NDUFB9,NDUFB2,NDUFA5,NDUFA8,NDUFA6,NDUFA7,NDUFV3,NDUFV1,NDUFV2,SDHD
HMDB02012	0.016458908711401665	UQCRC2,UQCRC1,NDUFAB1,UQCRQ,NDUFS6,NDUFS5,NDUFS4,NDUFS8,NDUFB10,NDUFC2,NDUFC1,NDUFA12,NDUFA11,COQ3,NDUFB5,NDUFB6,NDUFB7,NDUFB9,NDUFB2,NDUFA5,NDUFA8,NDUFA6,NDUFA7,NDUFV3,NDUFV1,NDUFV2,SDHD
HMDB09789	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09786	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09785	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
