Term	P-value	Genes
HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1.270554363735777E-4	CD8A,NFKB2,FOS,PAK2,MAP3K8,RHOA,CHUK,PIK3CG,CD3G,CD3D,CD3E,PIK3CB,PIK3CD,CDK4,CARD11,LCK,GRAP2,MAP3K14,NFKBIE,CD247,PPP3R1,NFKBIA,RASGRP1,SOS2,NFAT5,PPP3CC,CD4,PPP3CA,NFATC2,NFATC3,PIK3R1,CD28,TEC,NFATC1,PDK1,PTPRC,PTPN6,ITK,VAV3,MALT1,VAV2,VAV1,LAT,NRAS,CBLB,PLCG1,FYN,IKBKG,IKBKB
HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2.1768107774803344E-4	NFKB2,FOS,CHUK,SYK,PIK3CG,PIK3CB,PIK3CD,CARD11,NFKBIE,PPP3R1,NFKBIA,CD72,RASGRP3,NFAT5,CD22,PPP3CC,INPP5D,PPP3CA,NFATC2,NFATC3,PIK3R1,BLNK,NFATC1,PTPN6,VAV3,CR2,MALT1,VAV2,VAV1,NRAS,CD19,FCGR2B,GSK3B,IKBKG,CD79B,CD79A,IKBKB
HSA04110_CELL_CYCLE	0.0013279036577907605	DBF4,PTTG1,CCNA2,ANAPC1,ANAPC5,RBL2,RBL1,SKP2,ESPL1,WEE1,MAD2L1,MAD2L2,ANAPC10,CHEK1,CHEK2,ANAPC11,TFDP1,CREBBP,SMAD4,CDC20,ATR,CDC26,CDC27,ATM,CDKN1A,HDAC2,PLK1,E2F1,E2F3,CCNE1,CDC7,CCNH,CDK6,CDK7,MCM3,CDK4,MCM5,MCM6,CCND3,CCND2,BUB1B,YWHAZ,BUB1,BUB3,YWHAB,CDC25C,YWHAE,CDC25A,CCNB1,YWHAG,CCNB2,GSK3B
HSA00240_PYRIMIDINE_METABOLISM	0.004968900576219571	CTPS,DTYMK,CAD,PRIM1,PRIM2,NT5C2,NT5E,POLR1D,POLE,POLR1C,POLR1B,NME6,RFC5,NME4,UMPS,NME1,POLR2H,POLR2F,POLR2J,PNPT1,POLR2I,POLA1,POLR2D,POLR2C,TK2,TK1,TYMS,POLE2,POLE3,DHODH,CDA,ENTPD6,UCK2,POLR3G,DCTD,POLR3B,POLD3,ITPA,POLD2,DUT
HSA04210_APOPTOSIS	0.013015632994619573	NFKB2,CASP3,PRKAR2A,MYD88,CASP7,IL1RAP,CSF2RB,PRKACB,CHUK,PIK3CG,AIFM1,PIK3CB,PIK3CD,CYCS,FADD,RIPK1,MAP3K14,BID,PPP3R1,NFKBIA,BCL2L1,IRAK4,BCL2,PPP3CC,PPP3CA,PIK3R1,CFLAR,BAD,BIRC3,BIRC2,ATM,PRKAR1B,ENDOG,IKBKG,APAF1,IKBKB
HSA05221_ACUTE_MYELOID_LEUKEMIA	0.015355009512484351	RPS6KB2,RPS6KB1,NFKB2,EIF4EBP1,MYC,CHUK,PIK3CG,BRAF,PIK3CB,PIK3CD,RUNX1T1,PIM1,LEF1,PIM2,JUP,PML,KIT,SOS2,RUNX1,TCF7,BAD,STAT3,NRAS,IKBKG,IKBKB
HSA00230_PURINE_METABOLISM	0.01712573314816995	GMPR2,PRIM1,PRIM2,NT5C2,PDE4B,POLE,NUDT5,NME6,RFC5,NME4,NME1,ADSL,PRPS2,XDH,ADSS,PNPT1,PPAT,ADA,PDE6D,POLE2,POLE3,ENTPD6,ADSSL1,AK2,GART,POLD3,PDE7A,POLD2,GUCY1A3,PDE8B,NT5E,IMPDH2,POLR1D,POLR1C,PDE10A,POLR1B,GMPR,GMPS,ADK,GUCY1B3,POLR2H,POLR2F,POLR2J,POLR2I,POLA1,POLR2D,POLR2C,PFAS,PAPSS2,POLR3G,AMPD2,POLR3B,APRT,ITPA,ADCY9
HSA00970_AMINOACYL_TRNA_BIOSYNTHESIS	0.021316405179120243	QARS,IARS2,VARS,KARS,IARS,NARS2,MARS2,MARS,YARS,DARS,GARS,EPRS,LARS2,DARS2,RARS,FARSB,FARSA,YARS2,MTFMT
HSA03050_PROTEASOME	0.021551522655401525	PSMA7,PSMB5,PSMA1,PSMB7,PSMD12,PSMA6,PSMD11,PSMA5,PSMB3,PSMD1,PSMA3,PSMB2,PSMD6
HSA00670_ONE_CARBON_POOL_BY_FOLATE	0.032666487501783886	SHMT1,SHMT2,MTHFD1L,GART,MTHFD1,TYMS,MTHFD2,DHFR,MTR,MTFMT
HSA03030_DNA_POLYMERASE	0.042430496472798444	POLH,POLG,POLE,POLA1,POLB,PRIM1,RFC5,POLD3,POLE2,POLE3,PRIM2,POLD2,POLM
HSA00510_N_GLYCAN_BIOSYNTHESIS	0.04248787038743783	FUT8,ALG1,ALG3,ALG5,ALG6,ALG8,ALG9,STT3B,RPN1,DAD1,RPN2,DDOST,MGAT4A,ST6GAL1,DHDDS,DPAGT1,ALG10B,MGAT5,ALG13
HSA04120_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.04909892613753576	BTRC,ANAPC10,ANAPC11,CUL3,WWP1,ITCH,UBE2D1,FBXW11,ANAPC1,ANAPC5,VHL,SKP2,CDC20,CDC26,CDC27,SMURF1,TCEB1,UBE2E2
HSA00450_SELENOAMINO_ACID_METABOLISM	0.05364215975831858	SEPHS2,SEPHS1,AHCY,WBSCR22,PRMT2,SCLY,PRMT7,PRMT6,MARS2,PAPSS2,MARS,LCMT1,LCMT2,METTL6
HSA01510_NEURODEGENERATIVE_DISEASES	0.056788608454319746	SNCA,PINK1,BCL2L1,CASP3,APOE,CASP7,BCL2,NEFH,HSPA5,HTT,CREBBP,NR4A2,BAD,SOD1,PSEN1,LRRK2,PRNP
HSA00310_LYSINE_DEGRADATION	0.05752636130981467	HSD17B10,HSD3B7,EHHADH,ECHS1,ACAT1,AASDHPPT,PLOD2,PLOD3,SHMT1,DLST,SHMT2,SUV39H1,SUV39H2,RDH11,ALDH1B1,SPCS3,ALDH2,NSD1,ALDH9A1,RDH13
HSA04130_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.06574731049794023	SNAP29,STX8,BET1,STX18,STX17,SEC22B,SNAP23,STX3,VTI1A,VAMP7,VAMP4,VAMP3,GOSR1,VAMP2,VAMP1,YKT6
HSA00790_FOLATE_BIOSYNTHESIS	0.06627646761326782	GCH1,DDX18,ENTPD7,NUDT8,SPR,PTS,DHX58,NUDT5,GGH,QDPR,RAD54L,DDX4,DDX56,DHFR,ASCC3,SMARCA5,RAD54B,DDX52
HSA04115_P53_SIGNALING_PATHWAY	0.07783459489468424	PTEN,GTSE1,CCNE1,CASP3,CYCS,CDK6,CDK4,CCND3,CCND2,CD82,DDB2,BID,CHEK1,CHEK2,SESN1,SESN3,IGF1,ATR,ATM,CCNB1,CDKN1A,CCNB2,TSC2,APAF1,PERP,IGFBP3
HSA04070_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.08153565601054596	IMPA2,SYNJ1,PIP5K1B,ITPKB,PTEN,PLCB3,PLCB4,PIK3C3,PIK3CG,INPPL1,PIK3C2A,PIK3CB,PIK3CD,PI4KB,CDS1,PTPMT1,OCRL,DGKA,DGKD,DGKG,INPP5D,PIK3R1,ITPR3,ITPR2,PLCG1,CALM3,PIP4K2A,CALM2,PIP4K2C
HSA03020_RNA_POLYMERASE	0.08515036816172292	POLR2H,POLR3G,POLR2F,POLR1D,POLR2J,POLR2I,POLR1C,POLR1B,POLR2D,POLR3B,POLR2C
HSA00563_GLYCOSYLPHOSPHATIDYLINOSITOL_ANCHOR_BIOSYNTHESIS	0.08515036816172292	PIGX,PGAP1,PIGV,GPAA1,PIGU,PIGT,PIGQ,PIGL,PIGM,PIGF,PIGA
