Term	P-value	Genes
immunodeficiency	4.5975532996569664E-4	UNG,STAT5B,CD247,NFKBIA,IL7R,ADA,IL2RG,DNMT3B,PTPRC,CD3G,CD3D,CD3E,TNFRSF13B,IKBKG,CD79B
leukemia	0.006270914695425469	LMO1,STAT5B,CHIC2,MYB,TCRA,ARHGEF12,GMPS,NSD1,NUP98,PML,KIT,NUMA1,BCL2,ETV6,RUNX1,TLX1,IKZF1,LPP,ATM,PTPN11,WHSC1L1,IRF1,PBX1,ABL2
neuropathy	0.012863254964384447	SNAP29,BSCL2,SLC12A6,EGR2,POLG,WNK1,GARS,GAN,MFN2,TDP1,HSPB1,PMP22,SCP2
charcot-marie-tooth_disease	0.012950595275375147	LITAF,MTMR2,FGD4,YARS,EGR2,GARS,MFN2,KIF1B,SBF2,HSPB1,PMP22
disorder_of_glycosylation	0.028314860739168075	ALG1,ALG3,ALG6,ALG8,ALG9,COG8,MPDU1,COG1
fanconi_anemia	0.04123002681211114	FANCD2,FANCI,BRIP1,FANCF,PALB2,FANCC
lymphoma	0.05114345952080128	TCRA,MALT1,RAD54L,ATM,BCL2,RAD54B,BCL7A,MYC
colorectal_cancer	0.05403739769195157	DLC1,FGFR3,CHEK2,CTNNB1,BUB1,PMS2,AXIN2,MSH6,BRAF,TGFBR2,NRAS,BUB1B
anemia	0.06755847364124237	GSS,GSR,FANCI,FANCF,FANCC,FANCD2,PUS1,SLC19A2,TPI1,RPL5,PALB2,BRIP1,ABCB7,RHAG,DHFR,IRF1
rheumatoid_arthritis	0.09851867374580243	SLC22A4,PTPN22,PADI4,RUNX1,MIF
glycogen_storage_disease	0.09851867374580243	LAMP2,GBE1,PYGL,GYS1,AGL
macular_degeneration	0.11178394116928426	TLR3,HMCN1,APOE,HTRA1,FBLN5,C2
leigh_syndrome	0.1189789047935864	NDUFS4,NDUFV1,NDUFS8,BCS1L,COX15
encephalopathy	0.1189789047935864	COX10,ETHE1,MECP2,GCSH,RANBP2
breast_cancer	0.12529899668479286	XRCC3,PHB,BRIP1,CHEK2,RAD54L,ATM,HMMR,PALB2
cardiomyopathy,_dilated	0.12841345967950996	TTN,TPM1,DES,DMD,FKTN,ABCC9,PSEN1,DSP,TMPO
muscular_dystrophy	0.12841345967950996	TTN,DMD,COL6A3,FKRP,EMD,FKTN,SEPN1,CAPN3,SGCB
bardet-biedl_syndrome	0.14125670316460998	BBS5,TTC8,BBS12,MKS1,MKKS
myocardial_infarction	0.16519243527296276	OLR1,ACE,PSMA6,APOE,LRP8
cardiomyopathy	0.19059775346268482	TTN,TPM1,DES,DMD,COX15,FKTN,ABCC9,PSEN1,DSP,TMPO
systemic_lupus_erythematosus	0.21723426508578175	PTPN22,ITGAM,CD4,CR2,FCGR2B,IRF5,BANK1
dystonia	0.21729749838700443	ACTB,GCH1,SPR,THAP1,SCP2
ataxia	0.22400538959472063	TTPA,FXN,ATXN10,POLG,APTX,MRE11A,ABCB7,ATM,ATXN1,ATXN2,SYNE1,TDP1,CP
