Term	P-value	Genes
Helicase_C	5.386540921008464E-5	DDX27,DDX18,DDX28,DDX24,DHX34,DDX21,DDX10,DHX30,DDX39,DHX29,ASCC3,SMARCA5,BLM,DDX49,SUPV3L1,DHX58,HELLS,DHX57,DDX42,ERCC6L,RECQL4,DDX1,DDX5,DDX4,RAD54L,DDX6,DDX58,DDX56,RAD54B,DDX52,HLTF,TTF2,RECQL,EIF4A3,EIF4A2,SNRNP200,EIF4A1,SMARCAD1,CHD9,CHD8,CHD7,DDX19B,CHD2,CHD1,CHD3,ATRX
SH2	2.965989871363023E-4	STAT5B,SH2D5,SYK,SOCS6,SOCS4,SOCS5,TNS3,GRB10,TNS1,GRAP2,GRAP,BLK,TEC,BLNK,PTPN6,ITK,VAV3,BMX,VAV2,VAV1,PTPN11,PLCG1,ABL2,TENC1,SLA,SH2D4A,SH2D1A,CSK,INPPL1,LCK,STAT6,DAPP1,SH2B3,INPP5D,YES1,PIK3R1,STAT1,STAT3,CISH,STAT2,FYN,SH3BP2,BCAR3
Prot_kinase_core	4.943980883634256E-4	AURKA,AURKB,CLK1,PRKX,MAP3K6,MAP3K8,CLK4,TLK2,TNIK,BRAF,WNK1,PIM1,PIM2,MARK2,EIF2AK1,SCYL2,MAPK8,EIF2AK2,NEK7,NEK2,NEK1,STK17B,ADRBK2,CHEK1,ADRBK1,CHEK2,VRK1,VRK2,TAOK2,TAOK1,MAP2K3,TAOK3,TGFBR2,NUAK1,CAMKK1,CAMKK2,MASTL,CDC7,SRPK2,PDIK1L,MAST4,RIPK1,MAP3K14,MKNK2,BUB1,CSNK1A1,STRADB,RPS6KA5,RPS6KA3,RPS6KA4,RPS6KA1,RPS6KA2,MAPK13,CSNK1E,MAPK14,GSK3B,CIT,RNASEL,PRPF4B,CASK,TTK,RPS6KB2,RPS6KB1,TTN,DMPK,CSNK2A2,AAK1,MLKL,PRKACB,CSNK1G1,STK25,STK3,WEE1,MAP4K3,MAP4K4,BMP2K,RIPK3,CSNK1G3,LRRK2,KALRN,STK16,MAP4K2,MAPKAPK3,IRAK4,SBK1,DYRK3,DYRK2,PLK4,PLK1,IKBKB,PINK1,PAK2,SLK,CHUK,SGK1,PKN2,MINK1,CDK6,CDK7,PBK,PRKCE,CDK4,PRKCD,DAPK3,PRKCB,PRKD2,ACVR2A,HIPK2,MELK,CAMK1D,TRIB2,MAP3K1,CAMK2D,PIK3R4,ICK,BMPR1A
DEAD/DEAH_N	5.679084013144374E-4	DDX27,DDX18,DDX28,DDX24,DDX21,DDX10,DHX30,RECQL,DDX39,EIF4A3,DHX29,ASCC3,EIF4A2,EIF4A1,SNRNP200,BLM,DDX49,DDX19B,DHX58,DHX57,DDX42,RECQL4,DDX1,DDX5,DDX4,DDX6,DDX58,DDX56,DDX52
SET	0.0024201342052604363	EZH1,MLL5,SETMAR,MLL3,SMYD3,SUV39H1,WHSC1,SUV39H2,WHSC1L1,ASH1L,PRDM2,SETD8,PRDM1,SETD2,NSD1,SETD3,SETD4,SETD5,SUV420H1
PH	0.0027637895666240207	PLEKHM2,ITSN2,ITSN1,GAB2,COL4A3BP,PLD2,DAB2IP,GRB10,ACAP1,ACAP2,RALGPS2,ASAP2,AKAP13,ADRBK2,ASAP1,ADRBK1,AFAP1L1,ADAP1,OSBPL3,PLEKHJ1,OSBPL9,FERMT2,MCF2L,DOCK11,ARHGEF3,ARHGEF18,ARHGEF6,DOK3,APBB1IP,PLEKHG2,DAPP1,DGKD,RASA3,TBC1D2,SWAP70,RAPH1,PLEKHF2,CIT,TIAM2,TIAM1,PSD4,KALRN,FGD2,ANLN,FGD3,FGD4,TEC,ITK,VAV3,DOCK9,BMX,VAV2,VAV1,PLEKHA3,MYO10,PLCG1,PLEKHA2,PLEKHA1,SKAP2,SKAP1,FAM109B,ARHGAP27,ARHGAP24,ARHGAP25,PRKD2,KIF1B,SBF1,DEF6,SBF2,CYTH1,PLEKHO1,SH2B3,PLEKHO2,ARAP3,ARAP2,ARAP1,SH3BP2
dDENN	0.007690640849854384	MADD,DENND2D,DENND1C,DENND1B,SBF1,SBF2,DENND4A,DENND4B,DENND3,DENND5B,ST5
DENN	0.007690640849854384	MADD,DENND2D,DENND1C,DENND1B,SBF1,SBF2,DENND4A,DENND4B,DENND3,DENND5B,ST5
uDENN	0.009426589223002603	MADD,DENND2D,DENND1C,DENND1B,SBF1,SBF2,DENND4A,DENND4B,DENND5B,ST5
SNF2_N	0.011607322727919088	SMARCAD1,CHD9,CHD8,CHD7,CHD2,CHD1,HELLS,CHD3,ERCC6L,HLTF,RAD54L,TTF2,ATRX,SMARCA5,RAD54B
Calponin_act_bd	0.014655581616046041	GAS2L3,IQGAP3,IQGAP2,IQGAP1,MICAL1,PLS3,ARHGEF6,ACTN1,LRCH1,TAGLN,LIMCH1,LRCH3,MAPRE2,MAPRE1,LCP1,CNN3,TAGLN2,MACF1,DMD,MICALL2,VAV3,GAS2,VAV2,VAV1,SYNE1,SYNE2
AAA_ATPase_core	0.017410739617686494	FIGNL1,PEX6,ATAD3A,LONP1,TAF9,SPATA5,TRIP13,ATAD2,BCS1L,SPATA5L1,ATAD1,NVL,RFC5,RFC4,PSMC4,RFC2,PSMC1,CHTF18,RUVBL1,SPAST
DnaJ_N	0.021482095249730562	DNAJB12,SEC63,DNAJB11,DNAJC14,DNAJC7,DNAJA1,DNAJC5,DNAJC3,DNAJC2,DNAJA4,DNAJC19,DNAJC1,DNAJA2,DNAJC21,DNAJC24,DNAJB2,DNAJB1,DNAJB6,DNAJB5
Znf_MYND	0.022780588601730312	ZMYND11,ANKMY2,RUNX1T1,SMYD3,SMYD2,CBFA2T3,ZMYND8,CBFA2T2,USP19,ZMYND19,ZMYND17
KH_type_1	0.024735283541267326	HDLBP,PNPT1,IGF2BP2,BICC1,FUBP1,ANKRD17,FUBP3,PCBP4,KHDRBS1,KRR1,PNO1,SF1,MEX3C,KHSRP,MEX3D,AKAP1
PWWP	0.028664926662314773	ZMYND11,DNMT3A,MSH6,HDGF,WHSC1,ZMYND8,HDGFRP3,PWWP2A,WHSC1L1,DNMT3B,NSD1
bZIP_2	0.028679372278573003	JDP2,FOSL2,CEBPB,CEBPD,CEBPG,FOS,DBP,XBP1,NFIL3,CREBL2
Cyclin_N	0.03345414235829053	CCNT2,CCNH,CCNF,CCNT1,CCNC,CCNB1,CCNE1,CCNB2,CCND3,CCND2,CCNY,CABLES2,CCNA2
UBA/Transl_elong_EF1B_N	0.034567204610218095	RAD23B,TDRD3,RAD23A,UBASH3B,VPS13D,UBAP2L,UBASH3A,DHX57,UBXN1,RHBDD3,MARK2,CBLB,HUWE1,UBE2K,TSFM,UBAP2
NUDIX_hydrolase	0.035563178883592034	NUDT1,NUDT19,NUDT12,NUDT3,NUDT13,NUDT6,NUDT14,NUDT5,NUDT8,NUDT21,NUDT7
