Term	P-value	Genes
Cell Cycle, Mitotic	1.2228679178338656E-12	PPP2R5D,PPP2R5C,RANGAP1,AURKA,PTTG1,AURKB,PRIM1,CDCA8,INCENP,PRIM2,NUP37,CCNA2,ANAPC1,ANAPC5,LIG1,POLE,SKP2,PCM1,DCTN3,RFC5,RFC3,MAD2L1,RFC4,RCC2,RFC2,ZWINT,NUP43,CCDC99,NEK2,AHCTF1,CEP164,TK2,NUDC,TAOK1,NUF2,ALMS1,CDC20,NDC80,CDC26,CDC27,CDT1,CCNE1,SEH1L,DYNC1H1,CDC7,CCNH,CCND3,CCND2,NUP107,SDCCAG8,POLA1,NUMA1,PPP2CB,BUB1,ZWILCH,BUB3,GMNN,YWHAE,CCNB1,MNAT1,PSMD14,YWHAG,CCNB2,PSMD12,CSNK1E,PSMD11,PSMD10,SSNA1,KIF20A,CEP72,DBF4,BTRC,CEP78,KNTC1,TUBG1,NUP133,SGOL2,WEE1,PSMA1,PSMA6,PSMA5,PSMA3,CLIP1,B9D2,ANAPC10,ANAPC11,PSMA7,SPC24,PSMB5,SPC25,PSMB7,POLE2,PSMB3,PSMB2,CLASP1,CLASP2,UBE2D1,ERCC6L,TFDP1,GINS1,GINS2,CKAP5,CASC5,POLD3,DNA2,NEDD1,PLK4,CDKN1A,PSMC4,PLK1,POLD2,PSMC1,SEC13,E2F1,KIF23,E2F3,E2F5,KIF2C,MCM8,ACTR1A,PSMD1,PSMD3,RANBP2,PSMD6,PSMD7,PSMD8,PSMD9,PPP2R1A,CDK6,CDK7,MCM3,CDK4,MCM5,MCM6,APITD1,PSME2,NSL1,PSME3,MAPRE1,CKS1B,HAUS2,RPA3,TUBGCP4,TYMS,TUBGCP5,CEP57,CENPA,PAFAH1B1,CENPO,CENPN,CENPM,CENPL,CENPQ,CENPP,CENPE,SFI1,CDC25C,CENPK,TUBGCP2,MLF1IP,CDC25A,CENPI,CENPH
Cell Cycle Checkpoints	1.2633884660853738E-4	DBF4,ANAPC1,ANAPC5,WEE1,RAD1,RFC5,PSMA1,RFC3,RFC4,MAD2L1,PSMA6,PSMA5,RFC2,PSMA3,ANAPC10,CHEK1,ANAPC11,PSMA7,PSMB5,PSMB7,PSMB3,PSMB2,UBE2D1,CDC20,ATR,CDC26,CDC27,ATM,CDKN1A,PSMC4,PSMC1,CLSPN,CCNE1,MCM8,PSMD1,PSMD3,PSMD6,PSMD7,PSMD8,PSMD9,CDC7,MCM3,MCM5,MCM6,PSME2,PSME3,RPA3,BUB3,CDC25C,CDC25A,CCNB1,PSMD14,CCNB2,PSMD12,PSMD11,PSMD10
HIV Infection	2.471764339291872E-4	NCBP2,NCBP1,RNMT,AP1G1,BTRC,XRCC6,GTF2E2,CUL5,NUP37,NUP133,TAF4B,PSMA1,AAAS,PSMA6,PSMA5,PSMA3,NUP43,PSMA7,BANF1,PSMB5,DOCK2,PSMB7,PSMB3,PSMB2,TAF9,TAF5,PSMC4,NUP62,GTF2F1,PSMC1,GTF2F2,AP2S1,CCNT1,AP1S3,AP1S1,AP1S2,PAK2,SEH1L,PSMD1,PSMD3,RANBP1,RANBP2,PSMD6,KPNB1,PSMD7,PSMD8,PSMD9,SLC25A5,CCNH,GTF2H4,ATP6V1H,GTF2H3,CDK7,GTF2B,TAF11,PSME2,NUP205,PSME3,NUP107,POLR2H,POLR2F,POLR2J,POLR2I,CD247,POLR2D,POLR2C,TCEA1,CD4,CD28,NUP155,MNAT1,PSMD14,AP2A2,PSMD12,AP2A1,FYN,PSMD11,PSMD10,TCEB3,TCEB1
DNA Replication	3.9321623475040314E-4	DBF4,CDT1,PRIM1,MCM8,PSMD1,PRIM2,PSMD3,PSMD6,CCNA2,PSMD7,PSMD8,PSMD9,CDC7,LIG1,POLE,MCM3,MCM5,MCM6,RFC5,PSMA1,RFC3,RFC4,PSMA6,RFC2,PSME2,PSMA5,PSMA3,PSME3,POLA1,PSMA7,RPA3,PSMB5,PSMB7,POLE2,PSMB3,PSMB2,GINS1,GINS2,GMNN,POLD3,DNA2,PSMD14,CDKN1A,PSMC4,PSMD12,PSMD11,PSMD10,PSMC1,POLD2
DNA Repair	6.151557318074956E-4	NBN,XRCC6,FANCI,FANCF,FANCB,FANCC,POLH,CCNH,LIG1,POLE,LIG3,GTF2H4,GTF2H3,MBD4,POLB,CDK7,RAD52,RAD50,RAD51,RFC5,XPA,RFC3,RFC4,XPC,FANCD2,RFC2,DDB2,MAD2L2,UBE2T,POLR2H,RAD23B,POLR2F,POLR2J,MRE11A,POLR2I,POLR2D,POLR2C,RPA3,ERCC8,POLE2,TCEA1,APEX1,NTHL1,BRCA1,ATM,POLD3,MNAT1,TDP1,POLD2,TDG
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.002370620930444197	PSMD1,PSMD3,PSMD6,PSMD7,CCNA2,PSMD8,PSMD9,ANAPC1,ANAPC5,PSMA1,MAD2L1,PSMA6,PSME2,PSMA5,PSMA3,PSME3,ANAPC10,ANAPC11,PSMA7,PSMB5,PSMB7,PSMB3,PSMB2,UBE2D1,BUB3,CDC20,CDC26,CDC27,PSMD14,PSMC4,PSMD12,PSMD11,PSMD10,PSMC1
APC/C:Cdh1-mediated degradation of Skp2	0.003981840410825225	PSMD1,PSMD3,PSMD6,PSMD7,PSMD8,PSMD9,ANAPC1,ANAPC5,SKP2,PSMA1,PSMA6,PSMA5,PSME2,PSMA3,PSME3,ANAPC10,ANAPC11,PSMA7,PSMB5,PSMB7,PSMB3,PSMB2,UBE2D1,CDC26,CDC27,PSMD14,PSMC4,PSMD12,PSMD11,PSMD10,PSMC1
Signaling by Wnt	0.0048318492987121835	PPP2R5D,BTRC,PPP2R5C,CTNNB1,PSMD1,PSMD3,PSMD6,PSMD7,PSMD8,PSMD9,PPP2R1A,PSMA1,PSMA6,PSME2,PSMA5,PSMA3,PSME3,PSMA7,PSMB5,PSMB7,PSMB3,PPP2CB,PSMB2,CSNK1A1,PSMD14,PSMC4,PSMD12,PSMD11,GSK3B,PSMD10,PSMC1
Regulation of activated PAK-2p34 by proteasome mediated degradation	0.011548722267785652	PSMA7,PSMB5,PSMB7,PSMB3,PSMB2,PSMD1,PSMD3,PSMD6,PSMD7,PSMD8,PSMD9,PSMA1,PSMD14,PSMA6,PSMC4,PSMD12,PSMA5,PSMD11,PSME2,PSMD10,PSMC1,PSMA3,PSME3
mRNA Processing	0.02753014547224218	NCBP2,POLR2H,NCBP1,POLR2F,RNMT,POLR2J,POLR2I,POLR2D,POLR2C,CCNH,GTF2H4,GTF2H3,CDK7,MNAT1,GTF2F1,GTF2F2,ADAR
Apoptosis	0.028685614240273393	CTNNB1,H1F0,FADD,PSMA1,PSMA6,PSMA5,PSMA3,DSP,MAPK8,LMNB1,BCL2L1,PSMA7,PSMB5,PSMB7,PSMB3,PSMB2,BMX,GAS2,PSMC4,PSMC1,CLSPN,CASP3,PAK2,DYNLL2,CASP7,PSMD1,PSMD3,PSMD6,PSMD7,KPNB1,PSMD8,PSMD9,CYCS,PRKCD,PSME2,RIPK1,PSME3,BID,PPP3R1,BCL2,PPP3CC,YWHAB,BAD,BIRC2,PSMD14,PSMD12,PSMD11,PSMD10
Diabetes pathways	0.0336265402729997	PGAM1,DNAJB11,RAPGEF4,GNG2,RAB27A,KIF5B,SUCLG2,EIF2S1,SRP72,ALDOA,GNAI2,TPI1,DLAT,COX6A1,MARCKS,PDIA6,SRPR,ATP5O,NDUFB10,SLC25A5,NDUFA12,NDUFA11,GNB1,SRP9,MYO5A,EXOC7,GNG12,EDEM1,STT3B,STT3A,XBP1,EXOC4,EXOC6,EXOC5,ETFB,ETFA,CS,IGF1,IGF2,ITPR3,ITPR2,SDHD,SSR4,PGK1,SSR2,GNA15,NDUFAB1,SRP19,COX5B,IQGAP1,PDHB,PRKAR2A,RPN1,RPN2,DNAJC3,DDOST,AKAP5,VAMP2,ERO1L,SLC30A6,SLC30A7,SEC11C,COX8A,IDH3A,ATF6,NDUFV3,PRKAR1B,NDUFV1,NDUFV2,SPCS3,SPCS2,UQCRC2,UQCRC1,UQCRQ,NDUFS6,PLCB3,NDUFS5,NDUFS4,NDUFS8,CYCS,NDUFC2,PFKP,NDUFC1,ERN1,NDUFB5,NDUFB6,NDUFB7,NDUFB9,ATP5G1,NDUFB2,DAD1,HSPA5,DLST,NDUFA5,NDUFA8,NDUFA6,NDUFA7,IGFBP3,IGFBP5
Transcription	0.03890957167526739	NCBP2,NCBP1,RNMT,GTF2E2,TAF4B,MAGOH,PCF11,CDC40,TAF9,CSTF3,CSTF2,TAF5,GTF2F1,GTF2F2,CSTF1,CCNT2,TAF1B,GTF3A,CCNT1,RRN3,SNAPC2,CCNH,SNAPC1,POLR1D,GTF2H4,GTF2H3,POLR1C,CDK7,POLR1B,GTF2B,TAF11,CPSF7,CPSF2,POLR2H,POLR2F,POLR2J,POLR2I,POLR2D,POLR2C,NUDT21,POU2F1,TCEA1,GTF3C4,GTF3C3,KAT2B,POLR3B,MNAT1,PAPOLA,TCEB3,TCEB1
Metablism of nucleotides	0.04303935756871723	CTPS,DTYMK,CAD,GSR,NT5C2,ATP5O,NT5E,IMPDH2,SLC25A5,GMPS,NME4,UMPS,NME1,ADK,ADSL,XDH,ADSS,ATP5G1,TK2,ADA,PFAS,PPAT,TK1,TYMS,DHODH,CDA,UCK2,GLRX,DCTD,ADSSL1,APRT,GART
Processing of Capped Intron-Containing Pre-mRNA	0.04665204452927217	NCBP2,NCBP1,SNRPD1,LSM2,SNRPA1,MAGOH,PTBP1,HNRNPR,PCF11,SNRPF,NHP2L1,SNRPB2,HNRNPL,CDC40,CSTF3,CSTF2,NXF1,HNRNPA1,RBMX,EIF4E,GTF2F1,GTF2F2,CSTF1,SNRNP200,CPSF7,SNRNP40,CPSF2,POLR2H,POLR2F,POLR2J,POLR2I,POLR2D,SF3B5,POLR2C,SF3B3,SF3B2,SF3B1,NUDT21,SF3A1,SF3A3,PAPOLA,TXNL4A
APC-Cdc20 mediated degradation of Nek2A	0.05471970948282775	ANAPC1,ANAPC5,NEK2,CDC20,ANAPC10,ANAPC11,CDC26,CDC27,MAD2L1,UBE2D1,BUB3
Gene Expression	0.05552422296083275	RPL17,RPL14,IARS2,EIF1AX,MED27,LSM2,EIF2B3,YARS,TAF4B,PTBP1,MED12,PCF11,MED15,RARS,EIF2S1,EIF2S2,NHP2L1,CDC40,RPS20,CREBBP,GARS,RPS9,EPRS,NXF1,HNRNPA1,NOTCH3,CCNT2,CCNT1,QARS,CCNH,GTF2H4,GTF2H3,CCNC,DARS2,GTF2B,TAF11,MED6,MED8,EIF4A2,EIF4A1,FARSB,SNRNP40,FARSA,MED1,POLR2H,POLR2F,POLR2J,POLR2I,RPL27A,POLR2D,SF3B5,POLR2C,SF3B3,SF3B2,SF3B1,RPL31,MARS2,TCEA1,MARS,ETF1,EIF2B1,SF3A1,SF3A3,MNAT1,PAPOLA,RPL23,RPL21,TCEB3,TCEB1,TXNL4A,NCBP2,NCBP1,RNMT,EIF5,SNRPD1,EIF5B,GTF2E2,EIF4EBP1,SNRPA1,DARS,MAGOH,HNRNPR,YARS2,SNRPF,SNRPB2,KARS,HNRNPL,EIF3A,EIF3B,EIF3K,RPL5,TAF9,EIF3J,CSTF3,CSTF2,TAF5,SNW1,RBMX,EIF4E,GTF2F1,GTF2F2,CSTF1,RPS3,NARS2,CDK7,SNRNP200,CPSF7,CPSF2,VARS,IARS,NUDT21,KAT2B,LARS2,MED31,GSPT2
